time,open,high,low,close,volume
2010-01-04,7.68,8.12,7.68,8.12,35300
2010-01-05,8.56,8.56,8.29,8.56,192200
2010-01-06,8.84,9.11,8.29,9.11,183600
2010-01-07,9.61,9.61,9.34,9.61,166300
2010-01-08,10.11,10.22,9.0,9.06,94000
2010-01-11,9.5,9.5,8.84,8.84,59100
2010-01-12,8.62,8.62,8.23,8.29,48900
2010-01-13,8.23,8.78,7.73,8.56,91200
2010-01-14,8.56,8.56,8.29,8.56,65300
2010-01-15,8.84,8.84,8.07,8.07,12700
2010-01-18,8.56,8.56,7.95,7.95,17100
2010-01-19,8.18,8.18,7.68,8.07,26100
2010-01-20,7.9,7.9,7.57,7.62,26400
2010-01-21,7.73,7.73,7.35,7.46,37200
2010-01-22,7.84,7.84,7.4,7.62,12900
2010-01-25,7.84,7.84,7.51,7.73,6200
2010-01-26,8.23,8.29,8.18,8.29,50700
2010-01-27,8.01,8.01,7.73,7.73,6100
2010-01-28,7.46,7.84,7.46,7.84,2300
2010-01-29,7.62,7.73,7.62,7.68,4800
2010-02-01,7.9,7.9,7.73,7.84,5600
2010-02-02,7.95,7.95,7.35,7.46,10900
2010-02-03,7.73,7.73,7.46,7.57,7900
2010-02-04,7.51,7.95,7.51,7.73,21600
2010-02-05,7.46,7.57,7.4,7.46,21500
2010-02-08,7.46,7.51,7.35,7.51,6400
2010-02-09,7.73,7.73,7.29,7.29,18400
2010-02-10,7.46,7.46,7.4,7.46,10900
2010-02-11,7.68,7.73,7.68,7.73,6100
2010-02-12,7.9,8.18,7.9,8.18,5000
2010-02-22,8.34,8.34,7.62,7.62,2100
2010-02-23,7.46,7.57,7.24,7.46,16100
2010-02-24,7.57,7.62,7.57,7.62,2200
2010-02-25,7.73,7.73,7.46,7.46,3800
2010-02-26,7.73,7.73,7.62,7.62,13300
2010-03-01,7.73,7.73,7.73,7.73,8600
2010-03-02,7.35,7.73,7.29,7.51,9000
2010-03-03,7.73,8.01,7.51,8.01,31200
2010-03-04,7.84,8.01,7.62,7.68,27900
2010-03-05,7.73,7.9,7.62,7.9,22400
2010-03-08,7.84,8.18,7.84,8.07,20500
2010-03-09,8.18,8.23,8.01,8.12,37200
2010-03-10,8.12,8.18,7.84,7.84,6400
2010-03-11,7.95,8.01,7.73,8.01,17900
2010-03-12,7.79,8.01,7.73,8.01,29600
2010-03-15,8.18,8.45,8.18,8.45,134100
2010-03-16,8.56,8.56,7.95,7.95,64200
2010-03-17,8.18,8.18,7.84,8.01,15900
2010-03-18,8.29,8.29,7.95,8.29,26900
2010-03-19,8.45,8.51,8.23,8.4,111600
2010-03-22,8.4,8.92,8.4,8.92,458600
2010-03-23,9.38,9.38,8.69,8.81,71900
2010-03-24,8.69,8.86,8.52,8.75,52500
2010-03-25,8.46,8.46,8.11,8.17,59600
2010-03-26,8.17,8.28,7.99,8.11,21700
2010-03-29,8.17,8.63,8.11,8.46,65700
2010-03-30,8.23,8.23,7.76,8.11,85800
2010-03-31,7.99,8.11,7.82,7.88,81100
2010-04-01,7.82,8.05,7.59,7.94,96400
2010-04-02,7.99,8.28,7.99,8.28,298800
2010-04-05,8.86,8.86,8.17,8.46,56900
2010-04-06,8.34,8.69,8.17,8.46,76400
2010-04-07,8.46,8.46,8.11,8.46,105200
2010-04-08,8.4,8.92,8.4,8.92,222100
2010-04-09,9.38,9.38,9.38,9.38,204400
2010-04-12,10.02,10.02,8.86,9.56,363400
2010-04-13,9.5,9.5,8.86,9.09,195300
2010-04-14,8.75,9.56,8.75,9.5,234800
2010-04-15,9.5,9.96,9.5,9.96,504900
2010-04-16,10.49,10.54,10.2,10.54,439000
2010-04-19,10.49,11.24,10.43,10.72,338000
2010-04-20,11.12,11.12,10.31,10.49,394500
2010-04-21,10.89,11.35,10.89,11.35,137800
2010-04-22,11.99,11.99,10.49,11.59,665800
2010-04-26,12.4,12.4,12.17,12.4,783600
2010-04-27,13.21,13.21,12.74,13.21,214000
2010-04-28,14.08,14.08,13.85,14.08,211100
2010-04-29,15.06,15.06,15.06,15.06,210400
2010-05-04,16.1,16.1,16.1,16.1,87600
2010-05-05,17.2,17.2,15.64,17.2,1289700
2010-05-06,17.67,18.25,17.67,18.25,228200
2010-05-07,19.41,19.41,18.19,19.41,919400
2010-05-10,20.68,20.68,18.02,18.02,202200
2010-05-11,18.54,18.54,16.86,16.86,203200
2010-05-12,15.99,15.99,15.99,15.99,51900
2010-05-13,14.89,14.89,14.89,14.89,4300
2010-05-14,13.9,15.06,13.9,14.83,1045300
2010-05-17,14.77,15.06,14.19,14.89,571400
2010-05-18,15.64,15.64,13.9,13.9,214100
2010-05-19,13.09,13.9,13.09,13.09,127000
2010-05-20,12.28,13.56,12.28,12.74,319000
2010-05-21,11.59,11.59,11.59,11.59,45700
2010-05-24,10.77,11.59,10.77,10.83,514400
2010-05-25,10.2,11.64,10.14,11.64,538800
2010-05-26,11.88,12.28,11.59,12.28,100900
2010-05-27,13.03,13.03,13.03,13.03,60800
2010-05-28,13.9,13.9,13.9,13.9,29700
2010-05-31,14.83,14.83,14.19,14.83,1151900
2010-06-01,15.06,15.35,13.79,14.13,397800
2010-06-02,14.48,15.0,13.79,14.48,146900
2010-06-03,15.12,15.24,14.31,14.42,192700
2010-06-04,13.9,14.37,13.61,13.79,284200
2010-06-07,13.15,13.27,12.86,12.86,229100
2010-06-08,12.17,13.56,12.05,13.15,221700
2010-06-09,13.56,13.73,13.32,13.73,422100
2010-06-10,13.9,13.9,13.27,13.27,88800
2010-06-11,13.9,14.48,13.9,14.48,614300
2010-06-14,15.24,15.41,14.48,15.41,303300
2010-06-15,16.22,16.34,15.29,15.64,488800
2010-06-16,16.22,16.34,15.06,16.05,614400
2010-06-17,15.76,16.86,15.41,16.51,1258100
2010-06-18,16.86,17.15,15.93,16.34,237100
2010-06-21,16.45,17.55,16.45,17.09,431100
2010-06-22,17.96,17.96,16.16,16.16,530200
2010-06-23,15.41,16.34,15.29,15.76,271400
2010-06-24,15.7,16.28,15.41,15.93,527800
2010-06-25,15.06,16.68,14.83,16.22,343800
2010-06-28,16.1,16.22,15.7,15.81,107700
2010-06-29,15.64,16.05,15.35,15.53,185900
2010-06-30,14.83,15.06,14.6,14.83,248100
2010-07-01,14.19,15.18,14.19,14.71,282600
2010-07-02,14.77,15.24,14.48,15.24,208100
2010-07-05,15.64,15.81,15.18,15.24,116700
2010-07-06,15.35,15.35,14.42,14.6,141000
2010-07-07,14.83,15.06,14.25,14.48,230800
2010-07-08,14.77,15.18,13.9,14.02,218800
2010-07-09,14.19,14.83,14.19,14.48,146800
2010-07-12,14.54,14.77,14.25,14.77,152300
2010-07-13,15.18,15.53,14.95,15.53,321100
2010-07-14,16.28,16.34,15.06,15.64,343100
2010-07-15,15.64,15.64,14.95,15.0,203300
2010-07-16,14.83,15.29,14.83,15.18,173500
2010-07-19,15.12,15.29,14.77,15.18,131600
2010-07-20,15.24,16.1,15.06,15.47,327100
2010-07-21,15.64,15.93,15.24,15.47,232000
2010-07-22,15.06,15.29,14.83,15.12,194900
2010-07-23,15.12,15.29,14.77,15.0,102400
2010-07-26,14.77,15.18,14.42,14.48,123900
2010-07-27,14.83,15.12,14.54,14.54,105900
2010-07-28,14.48,14.54,13.79,13.85,450100
2010-07-29,13.61,14.25,13.61,14.13,111900
2010-07-30,14.37,14.42,14.02,14.19,103000
2010-08-02,13.9,13.96,13.5,13.5,107700
2010-08-03,13.79,13.9,13.15,13.32,79400
2010-08-04,12.74,12.92,12.57,12.63,104500
2010-08-05,12.63,13.21,12.45,12.57,93300
2010-08-06,12.4,12.63,12.34,12.63,72300
2010-08-09,12.57,12.57,11.59,11.59,102500
2010-08-10,11.59,11.64,10.95,11.18,122000
2010-08-11,11.41,11.82,11.12,11.82,139700
2010-08-12,11.99,11.99,10.89,10.95,199800
2010-08-13,11.01,11.76,10.89,11.76,287100
2010-08-16,12.11,12.28,12.11,12.28,87400
2010-08-17,13.03,13.03,11.88,12.34,141800
2010-08-18,12.17,12.17,11.7,11.82,134900
2010-08-19,11.59,12.17,11.59,11.82,98500
2010-08-20,11.59,12.45,11.3,11.88,110500
2010-08-23,11.59,11.76,11.12,11.18,63400
2010-08-24,10.72,10.72,10.54,10.54,214700
2010-08-25,10.54,10.54,9.91,9.91,86100
2010-08-26,9.38,10.14,9.27,9.67,108400
2010-08-27,9.56,9.62,9.04,9.15,198800
2010-08-30,9.5,9.85,9.5,9.85,79600
2010-08-31,10.2,10.49,9.85,10.49,199300
