time,open,high,low,close,volume
2010-01-04,4.65,4.85,4.65,4.85,904220
2010-01-05,5.07,5.07,4.99,5.07,2064790
2010-01-06,4.92,5.21,4.92,5.21,2577450
2010-01-07,5.21,5.24,4.99,4.99,728750
2010-01-08,5.14,5.21,4.99,4.99,958470
2010-01-11,5.02,5.12,4.94,5.02,834630
2010-01-12,5.09,5.24,5.02,5.02,1764530
2010-01-13,5.02,5.14,4.8,5.04,832960
2010-01-14,5.14,5.14,5.04,5.04,321680
2010-01-15,5.04,5.04,4.89,4.89,729430
2010-01-18,4.77,4.8,4.65,4.65,1568830
2010-01-19,4.6,4.7,4.6,4.63,823570
2010-01-20,4.6,4.65,4.58,4.58,382170
2010-01-21,4.53,4.63,4.53,4.53,814500
2010-01-22,4.48,4.55,4.43,4.5,275850
2010-01-25,4.5,4.55,4.48,4.53,262490
2010-01-26,4.65,4.75,4.65,4.75,711230
2010-01-27,4.75,4.77,4.58,4.58,491610
2010-01-28,4.75,4.75,4.55,4.55,428370
2010-01-29,4.6,4.63,4.55,4.58,322970
2010-02-01,4.73,4.79,4.71,4.79,437210
2010-02-02,4.81,4.81,4.73,4.73,455070
2010-02-03,4.81,4.89,4.79,4.89,608630
2010-02-04,4.89,4.94,4.84,4.89,390410
2010-02-05,4.79,4.84,4.73,4.73,423470
2010-02-08,4.73,4.76,4.68,4.71,304910
2010-02-09,4.66,4.68,4.58,4.6,469700
2010-02-10,4.71,4.71,4.63,4.66,221590
2010-02-11,4.71,4.71,4.63,4.71,294690
2010-02-12,4.73,4.79,4.73,4.76,214520
2010-02-22,4.92,4.92,4.84,4.84,287760
2010-02-23,4.81,4.81,4.66,4.66,482130
2010-02-24,4.58,4.63,4.52,4.55,896540
2010-02-25,4.71,4.71,4.5,4.5,808340
2010-02-26,4.5,4.71,4.47,4.71,2134870
2010-03-01,4.81,4.81,4.66,4.66,928470
2010-03-02,4.66,4.68,4.6,4.6,446880
2010-03-03,4.66,4.66,4.58,4.66,523120
2010-03-04,4.68,4.71,4.6,4.6,906370
2010-03-05,4.6,4.66,4.58,4.63,675060
2010-03-08,4.66,4.71,4.63,4.71,961000
2010-03-09,4.71,4.76,4.71,4.71,546370
2010-03-10,4.71,4.71,4.63,4.63,534360
2010-03-11,4.66,4.68,4.6,4.6,467130
2010-03-12,4.68,4.68,4.6,4.63,257410
2010-03-15,4.66,4.68,4.6,4.6,541340
2010-03-16,4.58,4.6,4.5,4.52,617270
2010-03-17,4.52,4.55,4.45,4.47,399860
2010-03-18,4.55,4.55,4.47,4.5,470910
2010-03-19,4.5,4.52,4.45,4.45,393300
2010-03-22,4.47,4.47,4.39,4.42,349570
2010-03-23,4.45,4.45,4.39,4.42,303070
2010-03-24,4.47,4.5,4.42,4.45,293720
2010-03-25,4.47,4.47,4.34,4.37,306020
2010-03-26,4.37,4.42,4.32,4.32,585580
2010-03-29,4.34,4.42,4.34,4.34,241890
2010-03-30,4.34,4.37,4.26,4.26,447760
2010-03-31,4.29,4.34,4.26,4.26,338830
2010-04-01,4.32,4.47,4.29,4.47,853070
2010-04-02,4.5,4.55,4.45,4.47,718170
2010-04-05,4.52,4.55,4.5,4.52,362400
2010-04-06,4.52,4.58,4.45,4.45,557060
2010-04-07,4.45,4.47,4.42,4.47,300500
2010-04-08,4.45,4.47,4.39,4.39,571510
2010-04-09,4.45,4.6,4.42,4.58,1530210
2010-04-12,4.66,4.66,4.58,4.58,986850
2010-04-13,4.63,4.71,4.6,4.6,1669840
2010-04-14,4.6,4.63,4.55,4.63,513350
2010-04-15,4.66,4.66,4.58,4.63,647250
2010-04-16,4.63,4.66,4.55,4.55,464150
2010-04-19,4.52,4.58,4.45,4.45,553010
2010-04-20,4.5,4.52,4.47,4.52,424700
2010-04-21,4.55,4.55,4.47,4.52,235820
2010-04-22,4.52,4.63,4.52,4.55,659870
2010-04-26,4.76,4.76,4.71,4.76,2676590
2010-04-27,4.79,4.94,4.71,4.89,1755290
2010-04-28,4.97,5.13,4.97,5.13,1671840
2010-04-29,5.28,5.36,5.23,5.26,1981850
2010-05-04,5.44,5.44,5.2,5.2,981200
2010-05-05,5.05,5.1,4.97,4.97,1998640
2010-05-06,5.0,5.07,4.97,5.05,913380
2010-05-07,4.89,4.97,4.81,4.89,1313620
2010-05-10,4.86,4.86,4.68,4.68,723700
2010-05-11,4.81,4.89,4.68,4.89,665420
2010-05-12,4.76,4.84,4.71,4.71,534360
2010-05-13,4.71,4.79,4.68,4.68,569530
2010-05-14,4.73,4.73,4.63,4.66,330710
2010-05-17,4.66,4.66,4.47,4.47,532330
2010-05-18,4.45,4.52,4.39,4.45,684460
2010-05-19,4.37,4.42,4.24,4.26,887750
2010-05-20,4.24,4.37,4.21,4.37,684190
2010-05-21,4.18,4.32,4.16,4.16,898240
2010-05-24,4.26,4.29,4.16,4.24,430690
2010-05-25,4.24,4.29,4.21,4.26,610760
2010-05-26,4.32,4.34,4.29,4.32,548210
2010-05-27,4.32,4.37,4.29,4.37,483270
2010-05-28,4.47,4.58,4.45,4.58,1039400
2010-05-31,4.55,4.58,4.42,4.5,413710
2010-06-01,4.42,4.66,4.39,4.6,593110
2010-06-02,4.58,4.6,4.55,4.55,512700
2010-06-03,4.6,4.6,4.5,4.5,342640
2010-06-04,4.5,4.55,4.45,4.47,396580
2010-06-07,4.34,4.42,4.32,4.32,834690
2010-06-08,4.32,4.37,4.29,4.32,617420
2010-06-09,4.37,4.39,4.29,4.32,595700
2010-06-10,4.32,4.34,4.29,4.32,292960
2010-06-11,4.39,4.39,4.34,4.34,272430
2010-06-14,4.37,4.52,4.34,4.42,779470
2010-06-15,4.45,4.47,4.37,4.37,337880
2010-06-16,4.45,4.45,4.39,4.39,379460
2010-06-17,4.39,4.42,4.37,4.42,376570
2010-06-18,4.5,4.5,4.42,4.47,960770
2010-06-21,4.5,4.52,4.45,4.45,663470
2010-06-22,4.42,4.47,4.39,4.45,555490
2010-06-23,4.39,4.45,4.39,4.42,296610
2010-06-24,4.45,4.47,4.42,4.42,689640
2010-06-25,4.39,4.45,4.39,4.42,794310
2010-06-28,4.39,4.45,4.39,4.39,332070
2010-06-29,4.39,4.42,4.37,4.39,236960
2010-06-30,4.26,4.32,4.24,4.26,542220
2010-07-01,4.29,4.32,4.26,4.32,199010
2010-07-02,4.26,4.32,4.21,4.24,496330
2010-07-05,4.24,4.32,4.24,4.32,278290
2010-07-06,4.24,4.26,4.18,4.21,410120
2010-07-07,4.26,4.26,4.16,4.16,233990
2010-07-08,4.18,4.18,4.13,4.13,223290
2010-07-09,4.13,4.18,4.13,4.13,258200
2010-07-12,4.13,4.13,4.08,4.13,166190
2010-07-13,4.21,4.32,4.18,4.26,308950
2010-07-14,4.32,4.32,4.18,4.21,288740
2010-07-15,4.18,4.21,4.16,4.18,215060
2010-07-16,4.18,4.21,4.18,4.18,300110
2010-07-19,4.18,4.21,4.13,4.16,278230
2010-07-20,4.16,4.18,4.13,4.16,249000
2010-07-21,4.16,4.16,4.05,4.11,360370
2010-07-22,4.08,4.11,4.03,4.03,292510
2010-07-23,4.08,4.08,4.0,4.03,239510
2010-07-26,4.08,4.08,4.0,4.03,170490
2010-07-27,4.03,4.16,4.03,4.08,492770
2010-07-28,4.05,4.08,4.0,4.0,131790
2010-07-29,4.0,4.03,3.9,3.9,495010
2010-07-30,3.87,3.92,3.84,3.84,664060
2010-08-02,3.84,3.84,3.77,3.79,525540
2010-08-03,3.82,3.82,3.69,3.71,587930
2010-08-04,3.71,3.71,3.58,3.61,841240
2010-08-05,3.69,3.77,3.69,3.77,1217680
2010-08-06,3.84,3.84,3.77,3.77,467640
2010-08-09,3.77,3.77,3.66,3.66,258450
2010-08-10,3.69,3.71,3.5,3.55,1003220
2010-08-11,3.63,3.63,3.47,3.55,704760
2010-08-12,3.47,3.55,3.39,3.39,740920
2010-08-13,3.34,3.42,3.31,3.42,613500
2010-08-16,3.47,3.58,3.47,3.58,699130
2010-08-17,3.55,3.61,3.5,3.61,455940
2010-08-18,3.58,3.61,3.45,3.47,711350
2010-08-19,3.47,3.5,3.45,3.47,578760
2010-08-20,3.47,3.58,3.42,3.58,584870
2010-08-23,3.58,3.58,3.45,3.47,253800
2010-08-24,3.42,3.42,3.31,3.37,413940
2010-08-25,3.34,3.34,3.21,3.21,459840
2010-08-26,3.21,3.31,3.13,3.15,577030
2010-08-27,3.21,3.23,3.13,3.21,283520
2010-08-30,3.31,3.37,3.29,3.37,582980
2010-08-31,3.45,3.53,3.37,3.42,865900
2010-09-01,3.45,3.47,3.34,3.42,377070
2010-09-06,3.45,3.58,3.45,3.5,886030
2010-09-07,3.5,3.5,3.42,3.42,565540
2010-09-08,3.39,3.39,3.29,3.39,571740
2010-09-09,3.45,3.45,3.37,3.45,243160
2010-09-10,3.45,3.45,3.31,3.31,451480
2010-09-13,3.37,3.37,3.26,3.31,465810
2010-09-14,3.34,3.37,3.31,3.37,338150
2010-09-15,3.39,3.45,3.31,3.45,1041770
2010-09-16,3.47,3.47,3.39,3.45,665290
2010-09-17,3.42,3.5,3.39,3.5,755640
2010-09-20,3.53,3.53,3.47,3.53,545380
2010-09-21,3.47,3.5,3.42,3.42,448380
2010-09-22,3.42,3.45,3.39,3.42,346670
2010-09-23,3.39,3.45,3.39,3.45,635690
2010-09-24,3.37,3.42,3.34,3.42,559610
2010-09-27,3.42,3.42,3.34,3.39,298970
2010-09-28,3.45,3.45,3.39,3.42,222830
2010-09-29,3.42,3.45,3.39,3.45,503020
2010-09-30,3.47,3.47,3.39,3.42,286620
2010-10-01,3.42,3.45,3.37,3.37,191770
2010-10-04,3.37,3.37,3.31,3.34,375960
2010-10-05,3.34,3.42,3.29,3.42,334480
2010-10-06,3.42,3.45,3.39,3.42,592160
2010-10-07,3.39,3.45,3.37,3.37,270690
2010-10-08,3.37,3.37,3.26,3.26,969560
2010-10-11,3.26,3.29,3.18,3.21,478630
2010-10-12,3.21,3.21,3.13,3.15,454030
2010-10-13,3.15,3.23,3.13,3.23,423010
2010-10-14,3.23,3.23,3.15,3.15,522880
2010-10-15,3.18,3.18,3.13,3.18,344990
2010-10-18,3.15,3.21,3.15,3.15,183280
2010-10-19,3.18,3.18,3.1,3.13,366790
2010-10-20,3.1,3.13,3.02,3.02,285630
2010-10-21,3.02,3.07,2.97,3.05,393970
2010-10-22,2.97,3.02,2.94,3.02,342420
2010-10-25,3.02,3.02,2.94,2.97,195310
2010-10-26,2.97,3.07,2.97,3.05,279240
2010-10-27,3.05,3.05,2.97,3.02,238710
2010-10-28,2.99,3.02,2.99,2.99,87300
2010-10-29,2.99,3.02,2.97,3.02,216560
2010-11-01,3.02,3.07,2.99,3.07,205360
2010-11-02,3.07,3.07,3.02,3.02,118190
2010-11-03,2.99,3.02,2.99,3.02,171800
2010-11-04,3.02,3.05,2.99,3.02,243250
2010-11-05,3.02,3.1,3.02,3.1,216840
2010-11-08,3.1,3.1,3.02,3.02,224900
2010-11-09,3.05,3.05,2.94,2.97,259840
2010-11-10,2.97,2.99,2.94,2.97,318430
2010-11-11,2.97,2.97,2.91,2.91,253460
2010-11-12,2.94,2.94,2.86,2.94,462480
2010-11-15,2.86,2.94,2.86,2.86,158800
2010-11-16,2.86,2.86,2.81,2.81,260170
2010-11-17,2.78,2.91,2.78,2.83,582730
2010-11-18,2.89,2.91,2.83,2.91,147230
2010-11-19,2.94,2.94,2.89,2.91,201010
2010-11-22,2.83,2.89,2.81,2.89,288460
2010-11-23,2.86,2.97,2.86,2.97,391710
2010-11-24,2.97,3.02,2.89,3.02,358240
2010-11-25,3.02,3.1,2.94,2.99,128140
2010-11-26,2.99,3.05,2.97,2.97,168480
2010-11-29,2.97,3.1,2.97,3.1,341350
2010-11-30,3.23,3.23,3.1,3.1,478590
2010-12-01,3.15,3.15,3.02,3.02,369250
2010-12-02,3.02,3.15,3.02,3.07,377320
2010-12-03,3.18,3.18,3.07,3.13,805190
2010-12-06,3.13,3.18,3.07,3.1,518960
2010-12-07,3.1,3.13,3.05,3.05,615490
2010-12-08,3.02,3.05,2.91,2.91,265220
2010-12-09,2.86,3.05,2.86,2.97,255050
2010-12-10,3.02,3.07,2.94,3.07,500770
2010-12-13,3.21,3.21,3.18,3.21,827520
2010-12-14,3.21,3.31,3.13,3.29,1215290
2010-12-15,3.31,3.34,3.26,3.26,477380
2010-12-16,3.15,3.29,3.15,3.23,453460
2010-12-17,3.23,3.39,3.21,3.39,993270
2010-12-20,3.47,3.47,3.29,3.29,366430
2010-12-21,3.21,3.42,3.21,3.29,472560
2010-12-22,3.34,3.34,3.21,3.21,523450
