time,open,high,low,close,volume
2010-01-04,3.39,3.43,3.33,3.43,9620
2010-01-05,3.58,3.58,3.52,3.52,47410
2010-01-06,3.43,3.52,3.39,3.43,74080
2010-01-07,3.43,3.58,3.39,3.58,146830
2010-01-08,3.7,3.73,3.58,3.58,103750
2010-01-11,3.58,3.58,3.49,3.55,34690
2010-01-12,3.55,3.58,3.43,3.43,40250
2010-01-13,3.33,3.43,3.27,3.43,70740
2010-01-14,3.52,3.52,3.39,3.49,24660
2010-01-15,3.39,3.49,3.33,3.33,46130
2010-01-18,3.18,3.27,3.18,3.18,33000
2010-01-19,3.18,3.24,3.09,3.18,23210
2010-01-20,3.33,3.33,3.09,3.12,24490
2010-01-21,3.06,3.15,3.02,3.02,14380
2010-01-22,3.12,3.15,3.02,3.12,22090
2010-01-25,3.09,3.24,3.09,3.09,5210
2010-01-26,3.09,3.21,3.09,3.09,39720
2010-01-27,3.09,3.15,3.09,3.09,10910
2010-01-28,3.09,3.15,3.06,3.06,25360
2010-01-29,3.12,3.12,3.02,3.02,10200
2010-02-01,3.02,3.02,2.99,3.02,10000
2010-02-02,3.02,3.06,2.99,3.02,16810
2010-02-03,3.06,3.15,3.02,3.15,28590
2010-02-04,3.09,3.21,3.09,3.09,7320
2010-02-05,3.09,3.09,2.99,2.99,27070
2010-02-08,2.99,3.02,2.93,2.96,11440
2010-02-09,2.96,2.96,2.93,2.93,14260
2010-02-10,2.93,3.02,2.93,2.96,20990
2010-02-11,2.96,3.06,2.96,2.96,1730
2010-02-12,2.96,2.99,2.96,2.99,5510
2010-02-22,3.06,3.06,2.99,3.02,9810
2010-02-23,3.02,3.02,2.93,2.96,11420
2010-02-24,2.93,2.93,2.93,2.93,5990
2010-02-25,2.93,3.02,2.93,2.99,17750
2010-02-26,2.96,3.06,2.96,3.02,16710
2010-03-01,3.06,3.06,3.02,3.06,11620
2010-03-02,3.02,3.06,2.99,3.02,19910
2010-03-03,2.99,3.06,2.99,3.06,17140
2010-03-04,3.06,3.09,3.06,3.06,12230
2010-03-05,3.06,3.09,3.02,3.06,7110
2010-03-08,3.06,3.15,3.06,3.15,64770
2010-03-09,3.09,3.3,3.09,3.3,60010
2010-03-10,3.33,3.39,3.21,3.3,46020
2010-03-11,3.24,3.39,3.21,3.33,19320
2010-03-12,3.33,3.33,3.18,3.33,50840
2010-03-15,3.33,3.39,3.33,3.33,67650
2010-03-16,3.3,3.3,3.21,3.24,45740
2010-03-17,3.21,3.24,3.18,3.24,16970
2010-03-18,3.3,3.3,3.15,3.18,36760
2010-03-19,3.27,3.27,3.12,3.12,24460
2010-03-22,3.09,3.18,3.09,3.15,17980
2010-03-23,3.15,3.21,3.09,3.15,22630
2010-03-24,3.18,3.18,3.12,3.18,15450
2010-03-25,3.18,3.18,3.12,3.18,51260
2010-03-26,3.12,3.18,3.12,3.18,105260
2010-03-29,3.18,3.24,3.18,3.24,38970
2010-03-30,3.24,3.27,3.18,3.27,40320
2010-03-31,3.24,3.3,3.24,3.27,70320
2010-04-01,3.43,3.43,3.27,3.43,154630
2010-04-02,3.58,3.58,3.46,3.58,215350
2010-04-05,3.73,3.73,3.73,3.73,47270
2010-04-06,3.92,3.92,3.92,3.92,53490
2010-04-07,4.1,4.1,4.1,4.1,173340
2010-04-08,4.29,4.29,4.1,4.29,826990
2010-04-09,4.48,4.48,4.17,4.29,735230
2010-04-12,4.29,4.29,4.1,4.1,160060
2010-04-13,4.23,4.29,4.17,4.26,749330
2010-04-14,4.26,4.26,4.07,4.1,328980
2010-04-15,4.17,4.29,4.1,4.29,467560
2010-04-16,4.48,4.48,4.38,4.48,644860
2010-04-19,4.69,4.69,4.63,4.69,616840
2010-04-20,4.91,4.91,4.91,4.91,192860
2010-04-21,5.12,5.12,5.12,5.12,132360
2010-04-22,5.37,5.37,5.22,5.37,1613800
2010-04-26,5.62,5.62,5.62,5.62,421250
2010-04-27,5.89,5.89,5.89,5.89,119190
2010-04-28,6.17,6.17,6.17,6.17,116220
2010-04-29,6.48,6.48,6.48,6.48,103450
2010-05-04,6.79,6.79,6.79,6.79,28120
2010-05-05,7.13,7.13,7.13,7.13,66530
2010-05-06,7.47,7.47,7.47,7.47,16160
2010-05-07,7.84,7.84,7.72,7.84,1033730
2010-05-10,8.21,8.21,7.47,7.47,1587170
2010-05-11,7.81,7.81,7.1,7.1,682560
2010-05-12,6.76,6.76,6.76,6.76,49340
2010-05-13,6.45,6.45,6.45,6.45,17800
2010-05-14,6.14,6.45,6.14,6.14,574800
2010-05-17,6.08,6.42,6.08,6.42,908950
2010-05-18,6.39,6.39,6.11,6.11,287930
2010-05-19,5.83,5.86,5.83,5.83,72760
2010-05-20,5.56,5.56,5.56,5.56,181620
2010-05-21,5.28,5.28,5.28,5.28,15120
2010-05-24,5.03,5.03,5.03,5.03,62020
2010-05-25,4.78,5.09,4.78,4.81,910060
2010-05-26,5.03,5.03,5.03,5.03,70250
2010-05-27,5.28,5.28,5.22,5.28,274200
2010-05-28,5.52,5.52,5.52,5.52,4890
2010-05-31,5.52,5.77,5.28,5.71,570370
2010-06-01,5.43,5.65,5.43,5.52,300070
2010-06-02,5.43,5.56,5.37,5.52,166830
2010-06-03,5.65,5.65,5.43,5.56,233520
2010-06-04,5.43,5.56,5.37,5.52,213290
2010-06-07,5.28,5.31,5.28,5.28,287900
2010-06-08,5.09,5.28,5.03,5.15,282110
2010-06-09,5.34,5.37,5.15,5.22,120310
2010-06-10,5.22,5.25,5.19,5.25,94180
2010-06-11,5.31,5.49,5.25,5.49,404860
2010-06-14,5.74,5.74,5.74,5.74,150540
2010-06-15,6.02,6.02,5.74,6.02,1052540
2010-06-16,5.89,6.14,5.86,5.86,287870
2010-06-17,5.74,5.83,5.59,5.65,349500
2010-06-18,5.71,5.93,5.65,5.93,452980
2010-06-21,6.02,6.2,5.99,6.2,391080
2010-06-22,6.23,6.42,5.89,5.89,315400
2010-06-23,5.89,6.17,5.8,6.17,596850
2010-06-24,6.3,6.39,5.96,5.96,267130
2010-06-25,5.86,6.05,5.68,5.71,282710
2010-06-28,5.86,5.86,5.56,5.56,133330
2010-06-29,5.68,5.71,5.46,5.52,139150
2010-06-30,5.4,5.52,5.37,5.43,156840
2010-07-01,5.56,5.56,5.25,5.28,298450
2010-07-02,5.4,5.52,5.4,5.52,196840
2010-07-05,5.68,5.68,5.52,5.52,165220
2010-07-06,5.56,5.56,5.31,5.34,75640
2010-07-07,5.34,5.4,5.25,5.25,126490
2010-07-08,5.25,5.34,5.25,5.25,98660
2010-07-09,5.19,5.34,5.19,5.25,113920
2010-07-12,5.37,5.37,5.22,5.31,91700
2010-07-13,5.46,5.56,5.4,5.56,171740
2010-07-14,5.62,5.65,5.34,5.37,97490
2010-07-15,5.31,5.43,5.28,5.31,100350
2010-07-16,5.31,5.52,5.31,5.31,95700
2010-07-19,5.31,5.49,5.31,5.37,165110
2010-07-20,5.52,5.62,5.49,5.62,418480
2010-07-21,5.62,5.65,5.43,5.46,124900
2010-07-22,5.4,5.49,5.37,5.37,127780
2010-07-23,5.37,5.49,5.31,5.34,145340
2010-07-26,5.46,5.46,5.22,5.22,133630
2010-07-27,5.34,5.34,5.19,5.19,118910
2010-07-28,5.12,5.12,4.94,4.97,235890
2010-07-29,5.03,5.09,4.78,4.94,116730
2010-07-30,4.94,5.09,4.94,4.97,59840
2010-08-02,4.97,5.12,4.88,4.88,77800
2010-08-03,4.88,4.97,4.81,4.81,87310
2010-08-04,4.72,4.85,4.63,4.78,95360
2010-08-05,4.81,4.91,4.75,4.91,123460
2010-08-06,4.88,4.88,4.69,4.69,92290
2010-08-09,4.6,4.69,4.48,4.48,326880
2010-08-10,4.26,4.41,4.26,4.26,268200
2010-08-11,4.41,4.41,4.1,4.26,34610
2010-08-12,4.17,4.17,4.07,4.07,152140
2010-08-13,3.89,4.07,3.89,4.07,157050
2010-08-16,4.26,4.26,4.1,4.26,80230
2010-08-17,4.17,4.26,4.1,4.17,92280
2010-08-18,4.01,4.17,4.01,4.01,183730
2010-08-19,3.98,4.07,3.98,4.04,116840
2010-08-20,4.04,4.23,4.01,4.07,113450
2010-08-23,3.95,4.17,3.95,4.07,124370
2010-08-24,3.92,4.04,3.89,3.89,151970
2010-08-25,3.73,3.89,3.7,3.7,194830
2010-08-26,3.8,3.8,3.58,3.58,147400
2010-08-27,3.49,3.58,3.43,3.49,127970
2010-08-30,3.64,3.64,3.64,3.64,56400
2010-08-31,3.8,3.8,3.61,3.8,98540
2010-09-01,3.98,3.98,3.89,3.98,260040
2010-09-06,4.17,4.17,4.01,4.17,202330
2010-09-07,4.32,4.35,4.17,4.35,574250
2010-09-08,4.35,4.48,4.17,4.32,290570
2010-09-09,4.54,4.54,4.26,4.54,537170
2010-09-10,4.38,4.6,4.32,4.32,250520
2010-09-13,4.14,4.23,4.1,4.14,342610
2010-09-14,4.01,4.17,4.01,4.17,26050
2010-09-15,4.07,4.26,3.98,4.07,122130
2010-09-16,3.92,4.2,3.92,4.01,49640
2010-09-17,4.2,4.2,4.01,4.2,129620
2010-09-20,4.07,4.38,4.07,4.38,177850
2010-09-21,4.54,4.54,4.32,4.38,305640
2010-09-22,4.38,4.51,4.26,4.26,124730
2010-09-23,4.14,4.2,4.1,4.14,58080
2010-09-24,4.14,4.26,4.04,4.14,167420
2010-09-27,4.26,4.26,4.07,4.14,30040
2010-09-28,4.14,4.32,4.07,4.07,28110
2010-09-29,3.95,4.2,3.95,3.95,50330
2010-09-30,3.89,4.14,3.89,3.89,400710
2010-10-01,3.83,4.04,3.83,3.83,32990
2010-10-04,3.89,3.89,3.67,3.7,119340
