time,open,high,low,close,volume
2010-01-04,4.33,4.61,4.33,4.61,16500
2010-01-05,4.83,4.88,4.71,4.88,20700
2010-01-06,4.88,5.17,4.88,5.17,29000
2010-01-07,5.48,5.48,5.48,5.48,5200
2010-01-08,5.85,5.85,5.85,5.85,31900
2010-01-11,6.23,6.23,5.8,6.21,276300
2010-01-12,6.52,6.52,5.73,6.04,86300
2010-01-13,5.82,6.43,5.8,6.4,67600
2010-01-14,6.52,6.55,6.19,6.26,72700
2010-01-15,6.4,6.4,6.02,6.02,52700
2010-01-18,5.8,5.8,5.77,5.77,7400
2010-01-19,5.39,5.97,5.39,5.53,39600
2010-01-20,5.46,5.46,5.15,5.19,71400
2010-01-21,5.44,5.56,4.83,5.51,11600
2010-01-22,5.32,5.32,4.98,4.98,7800
2010-01-25,5.46,5.46,5.32,5.46,4600
2010-01-26,5.7,5.7,5.1,5.68,49000
2010-01-27,5.7,5.7,5.15,5.17,81800
2010-01-28,5.53,5.53,5.0,5.03,26800
2010-01-29,5.32,5.41,5.32,5.41,46500
2010-02-01,5.75,5.75,5.75,5.75,38600
2010-02-02,6.14,6.14,5.75,6.14,201000
2010-02-03,6.28,6.28,5.73,6.04,53000
2010-02-04,5.99,6.04,5.8,5.8,26800
2010-02-05,5.97,6.09,5.56,5.58,30700
2010-02-08,5.8,6.02,5.41,6.02,21200
2010-02-09,5.77,5.8,5.53,5.53,5500
2010-02-10,6.02,6.02,5.68,5.68,8300
2010-02-11,5.92,5.92,5.8,5.8,2700
2010-02-12,5.99,5.99,5.82,5.9,4900
2010-02-22,6.26,6.26,5.9,6.04,6200
2010-02-23,6.4,6.4,5.73,5.73,9400
2010-02-24,5.82,5.82,5.56,5.82,5400
2010-02-25,5.68,5.8,5.61,5.73,8800
2010-02-26,5.92,6.02,5.68,6.02,14100
2010-03-01,5.92,6.21,5.8,6.21,60300
2010-03-02,6.28,6.45,6.28,6.45,182000
2010-03-03,6.64,6.89,6.64,6.89,53900
2010-03-04,7.3,7.32,7.25,7.32,129300
2010-03-05,7.47,7.83,7.32,7.83,211500
2010-03-08,8.29,8.34,8.22,8.34,197500
2010-03-09,8.34,8.92,8.34,8.92,125000
2010-03-10,9.28,9.28,8.26,8.7,42000
2010-03-11,8.22,8.7,7.97,8.02,213600
2010-03-12,8.24,8.8,8.24,8.8,183300
2010-03-15,8.8,9.35,8.8,9.06,70600
2010-03-16,9.18,9.3,8.6,8.6,62700
2010-03-17,8.58,8.7,8.07,8.07,161500
2010-03-18,8.65,8.65,7.97,8.63,125600
2010-03-19,8.46,8.82,8.05,8.41,89700
2010-03-22,8.43,8.65,8.22,8.34,77300
2010-03-23,8.38,8.41,7.83,7.83,103100
2010-03-24,7.85,8.29,7.61,8.22,91800
2010-03-25,8.22,8.22,7.42,7.66,77500
2010-03-26,7.95,7.97,7.27,7.85,54300
2010-03-29,7.95,8.34,7.73,8.34,119200
2010-03-30,8.65,8.65,8.6,8.65,254500
2010-03-31,9.16,9.23,8.22,8.65,105200
2010-04-01,8.34,8.67,8.07,8.58,87300
2010-04-02,8.46,8.51,8.05,8.05,94700
2010-04-05,8.53,8.53,8.07,8.36,72800
2010-04-06,8.7,8.77,8.22,8.24,75300
2010-04-07,8.41,9.04,8.34,9.04,189400
2010-04-08,9.08,9.4,8.99,9.4,162400
2010-04-09,10.03,10.05,9.42,9.88,178700
2010-04-12,9.91,9.91,9.3,9.3,115400
2010-04-13,9.16,9.25,8.7,8.92,84900
2010-04-14,8.72,9.28,8.72,9.25,63500
2010-04-15,9.42,9.71,9.18,9.52,59200
2010-04-16,9.52,9.54,8.99,9.06,86800
2010-04-19,9.21,9.21,8.58,8.58,137600
2010-04-20,8.65,9.21,8.63,8.94,99500
2010-04-21,8.46,8.94,8.34,8.63,126200
2010-04-22,8.7,8.7,7.97,8.09,134400
2010-04-26,7.97,8.46,7.97,8.46,38700
2010-04-27,8.46,8.46,8.14,8.29,26800
2010-04-28,8.43,8.53,8.22,8.26,107300
2010-04-29,8.38,8.63,8.26,8.41,49900
2010-05-04,8.65,8.67,8.26,8.38,71900
2010-05-05,8.22,8.94,8.09,8.94,163400
2010-05-06,9.4,9.4,9.35,9.4,62000
2010-05-07,9.42,9.54,8.82,8.89,135900
2010-05-10,8.63,8.82,8.63,8.7,118300
2010-05-11,8.89,8.94,8.46,8.67,75800
2010-05-12,8.7,8.7,8.14,8.22,88300
2010-05-13,8.65,8.65,8.12,8.22,10000
2010-05-14,8.58,8.58,8.02,8.41,38000
2010-05-17,8.43,8.55,8.17,8.24,30500
2010-05-18,8.09,8.09,7.97,7.97,39200
2010-05-19,8.02,8.02,7.47,7.47,37400
2010-05-20,6.98,7.49,6.98,7.37,57400
