time,open,high,low,close,volume
2010-01-04,22.22,22.87,22.22,22.87,83200
2010-01-05,24.3,24.3,22.22,23.66,233900
2010-01-06,22.58,23.66,22.3,23.08,240100
2010-01-07,22.94,24.59,22.94,24.59,160800
2010-01-08,26.02,26.02,22.8,24.38,162000
2010-01-11,26.38,26.45,24.73,26.24,255400
2010-01-12,26.53,27.24,23.87,23.87,175800
2010-01-13,23.16,26.6,23.16,25.09,403200
2010-01-14,25.52,25.81,24.38,25.67,154900
2010-01-15,24.95,25.45,23.94,23.94,122100
2010-01-18,24.38,24.38,22.73,22.73,85500
2010-01-19,22.3,24.45,22.22,24.38,177400
2010-01-20,24.52,24.52,22.44,22.94,72500
2010-01-21,22.94,23.3,21.94,22.58,154500
2010-01-22,21.51,23.3,21.22,23.08,204300
2010-01-25,23.16,23.8,22.58,23.8,294500
2010-01-26,24.02,25.09,24.02,25.09,267800
2010-01-27,25.02,25.45,23.66,24.09,102800
2010-01-28,23.08,23.3,22.8,22.8,124600
2010-01-29,22.94,22.94,21.44,22.58,129400
2010-02-01,22.65,22.94,21.51,21.79,90200
2010-02-02,22.87,23.3,21.51,22.15,57000
2010-02-03,21.87,22.58,21.08,22.22,65800
2010-02-04,21.87,22.15,21.65,21.94,64700
2010-02-05,21.94,22.15,21.36,21.51,79500
2010-02-08,21.65,21.87,20.93,21.87,65200
2010-02-09,21.51,22.65,21.51,22.65,168400
2010-02-10,23.66,24.16,23.66,23.87,124400
2010-02-11,24.02,25.09,23.51,24.59,146700
2010-02-12,24.38,25.95,24.38,25.88,230300
2010-02-22,27.24,27.24,25.81,27.24,201700
2010-02-23,26.67,26.81,25.81,26.53,193200
2010-02-24,25.88,28.03,25.81,28.03,348200
2010-02-25,28.6,29.75,28.6,29.75,216600
2010-02-26,30.83,30.83,28.68,29.32,291900
2010-03-01,29.39,31.9,29.18,31.83,388900
2010-03-02,31.83,31.83,29.39,29.39,420600
2010-03-03,29.39,30.83,28.68,30.04,378700
2010-03-04,31.9,31.9,29.04,29.97,693200
2010-03-05,30.68,30.68,29.04,29.9,416400
2010-03-08,27.89,29.97,27.89,29.9,522300
2010-03-09,28.75,30.76,28.68,30.76,1270100
2010-03-10,32.76,32.76,30.11,31.11,280200
2010-03-11,30.47,31.19,29.75,30.18,209700
2010-03-12,30.11,30.4,29.39,30.18,330300
2010-03-15,30.47,32.19,30.04,32.19,1026700
2010-03-16,32.98,33.98,31.9,33.98,830600
2010-03-17,35.49,36.06,34.84,36.06,472800
2010-03-18,33.48,35.85,33.48,34.84,783600
2010-03-19,35.7,36.2,34.34,36.2,217700
2010-03-22,38.43,38.43,36.63,38.43,762300
2010-03-23,40.08,41.08,38.43,40.79,590900
2010-03-24,39.43,40.51,38.0,38.43,707900
2010-03-25,38.43,38.43,36.13,36.56,859400
2010-03-26,37.28,39.07,36.56,39.07,542300
2010-03-29,40.29,41.72,40.15,41.72,320300
2010-03-30,44.31,44.31,41.58,41.94,708900
2010-03-31,42.87,42.87,40.15,40.94,713800
2010-04-01,40.51,44.02,40.15,44.02,1275400
2010-04-02,45.17,46.81,44.45,46.81,1421600
2010-04-05,49.83,50.04,48.11,50.04,890400
2010-04-06,53.05,53.12,49.47,52.26,482300
2010-04-07,51.98,55.06,50.9,54.2,720800
2010-04-08,53.84,57.35,53.05,55.92,1479900
2010-04-09,56.56,57.57,54.84,57.35,953100
2010-04-12,60.22,60.22,55.92,56.64,649200
2010-04-13,57.21,61.44,56.64,61.44,1080100
2010-04-14,64.52,64.52,60.94,62.37,716300
2010-04-15,63.81,65.24,62.01,64.59,478300
2010-04-16,64.52,67.82,64.52,67.82,423900
2010-04-19,68.11,71.69,67.39,69.54,429000
2010-04-20,70.4,70.97,67.39,69.04,564900
2010-04-21,68.11,73.91,68.11,73.91,795400
2010-04-22,75.28,78.86,68.68,68.68,940900
2010-04-26,66.67,72.41,65.31,70.26,1064500
2010-04-27,70.26,73.77,70.26,73.77,502900
2010-04-28,77.93,77.93,77.36,77.93,175800
2010-04-29,83.38,83.38,81.01,83.09,1048400
2010-05-04,84.6,84.6,77.43,80.94,543200
2010-05-05,80.29,83.66,77.5,82.52,771000
2010-05-06,85.96,85.96,82.45,85.6,735500
2010-05-07,84.6,85.31,79.65,79.65,841800
2010-05-10,79.58,82.45,75.13,76.71,844000
2010-05-11,79.58,79.58,70.9,70.9,709900
2010-05-12,66.31,67.39,66.31,66.31,651400
2010-05-13,61.87,61.87,61.87,61.87,604800
2010-05-14,57.57,63.09,57.57,61.65,1165600
2010-05-17,61.65,63.09,57.35,58.07,643100
2010-05-18,59.5,59.5,55.78,55.78,640900
2010-05-19,53.41,54.49,52.41,52.41,204900
2010-05-20,49.04,54.41,49.04,50.18,1745200
2010-05-21,46.17,46.6,46.17,46.17,292000
2010-05-24,43.01,45.17,42.94,45.17,1303700
2010-05-25,44.09,46.24,43.01,46.24,165200
2010-05-26,48.75,48.75,48.75,48.75,196200
2010-05-27,52.12,52.12,49.11,52.12,761300
2010-05-28,55.35,55.35,55.2,55.35,250300
2010-05-31,59.22,59.22,53.84,55.35,695300
2010-06-01,55.2,55.2,52.26,52.48,715200
2010-06-02,50.54,52.69,49.9,51.62,434700
2010-06-03,54.49,54.99,52.91,53.34,493500
2010-06-04,55.2,55.92,50.9,51.26,353100
2010-06-07,49.11,49.47,48.03,48.03,482000
2010-06-08,45.17,48.39,45.17,48.11,520200
2010-06-09,48.75,49.47,47.67,48.03,300300
2010-06-10,48.89,48.89,47.32,48.11,139900
2010-06-11,48.75,50.18,48.11,48.32,305900
2010-06-14,49.47,52.05,49.25,52.05,633500
2010-06-15,53.77,54.34,51.04,51.62,420700
2010-06-16,53.63,55.49,52.69,55.49,1068100
2010-06-17,57.21,57.21,53.05,53.27,376100
2010-06-18,53.77,54.49,52.91,54.06,361300
2010-06-21,53.77,55.56,53.55,54.63,338100
2010-06-22,54.34,54.34,51.62,52.33,408100
2010-06-23,52.62,52.69,50.9,52.62,225600
2010-06-24,53.41,54.7,52.41,53.05,375800
2010-06-25,52.33,52.33,50.54,51.76,408700
2010-06-28,52.69,52.69,51.76,52.33,136200
2010-06-29,52.84,54.92,52.69,53.7,623500
2010-06-30,51.62,52.69,50.9,52.26,215000
2010-07-01,51.26,52.33,50.9,51.98,172000
2010-07-02,52.26,52.69,51.62,51.76,138200
2010-07-05,52.84,53.41,51.98,52.98,304000
2010-07-06,53.05,53.05,51.26,51.26,165900
2010-07-07,52.84,53.05,51.33,51.4,308200
2010-07-08,52.98,55.35,51.83,53.27,1217200
2010-07-09,54.63,54.63,52.12,52.12,259500
2010-07-12,53.05,54.84,52.69,53.55,188800
2010-07-13,54.49,54.49,53.48,53.91,304700
2010-07-14,54.49,55.92,53.05,53.48,351100
2010-07-15,53.63,54.49,52.76,53.05,383700
2010-07-16,52.69,53.41,52.19,52.48,274700
2010-07-19,52.12,53.05,51.62,52.55,222000
2010-07-20,53.05,53.41,51.98,52.05,200300
2010-07-21,52.33,52.55,51.4,51.9,223800
2010-07-22,51.76,51.76,51.04,51.4,248500
2010-07-23,51.62,53.05,51.33,51.4,192700
2010-07-26,52.69,52.69,50.18,50.54,218000
2010-07-27,51.55,51.55,49.47,49.47,252900
2010-07-28,49.47,49.83,47.75,48.39,370200
2010-07-29,48.03,51.26,47.39,49.11,306800
2010-07-30,49.54,50.18,49.11,49.68,147900
2010-08-02,50.18,50.18,48.75,48.82,137700
2010-08-03,49.47,49.47,47.75,48.03,194400
2010-08-04,47.89,48.03,46.31,46.53,172500
2010-08-05,46.6,48.03,45.6,45.6,295400
2010-08-06,46.17,46.6,45.38,45.6,175700
2010-08-09,45.17,45.52,42.73,42.73,614200
2010-08-10,43.37,43.37,40.0,40.43,427400
2010-08-11,40.08,41.58,39.65,40.36,281800
2010-08-12,40.58,40.58,37.78,37.78,365600
2010-08-13,35.34,36.92,35.27,35.85,761200
2010-08-16,35.85,38.0,35.85,38.0,262800
2010-08-17,39.07,39.07,36.56,36.78,310900
2010-08-18,36.56,37.14,35.06,35.49,284500
2010-08-19,35.85,35.99,34.48,35.49,399500
2010-08-20,35.49,35.85,34.05,35.13,290300
2010-08-23,34.41,34.77,32.62,32.62,471300
2010-08-24,32.26,32.26,30.97,30.97,202600
2010-08-25,29.39,30.11,28.89,28.89,221200
2010-08-26,27.24,29.75,26.96,27.39,340800
2010-08-27,25.81,27.24,25.67,26.74,588900
2010-08-30,26.53,27.96,26.53,27.96,45000
2010-08-31,29.9,29.9,29.9,29.9,70200
2010-09-01,31.97,31.97,31.97,31.97,24600
2010-09-06,34.2,34.2,34.2,34.2,2500
2010-09-07,36.56,36.56,36.56,36.56,126200
2010-09-08,39.07,39.07,37.28,39.07,1856100
2010-09-09,41.58,41.72,40.15,41.72,493900
2010-09-10,44.52,44.52,40.15,41.22,644600
2010-09-13,40.51,40.72,39.29,39.29,457900
2010-09-14,36.71,40.94,36.71,38.86,694800
2010-09-15,38.14,38.43,36.35,36.56,352300
2010-09-16,37.21,37.28,35.06,36.92,264100
2010-09-17,36.92,38.71,36.92,38.71,125100
2010-09-20,41.15,41.15,39.43,41.15,667800
2010-09-21,42.3,42.3,39.79,40.43,667700
2010-09-22,41.01,41.15,39.43,39.43,349500
2010-09-23,39.79,39.79,37.42,39.0,245700
2010-09-24,39.43,40.15,38.64,38.86,262900
2010-09-27,39.79,41.15,39.29,40.36,379200
2010-09-28,42.8,42.8,40.51,40.79,321800
2010-09-29,41.22,41.22,38.35,38.71,285200
2010-09-30,39.22,39.43,38.43,39.36,276000
2010-10-01,39.43,39.93,38.35,38.5,239300
2010-10-04,39.07,39.07,36.13,36.35,711800
2010-10-05,36.13,36.92,34.05,36.42,276900
2010-10-06,37.28,38.07,36.56,37.78,338400
2010-10-07,37.64,38.71,36.85,37.28,307100
2010-10-08,37.28,39.43,37.28,38.0,669700
2010-10-11,39.79,40.0,38.0,38.21,340900
2010-10-12,38.71,38.86,36.92,36.99,300800
2010-10-13,36.63,37.35,36.42,36.99,271200
2010-10-14,37.57,37.64,36.71,36.92,216100
2010-10-15,35.49,36.85,35.49,36.2,254900
2010-10-18,37.06,37.06,35.34,35.63,114100
2010-10-19,35.85,35.85,33.55,33.98,419500
2010-10-20,32.26,32.62,31.76,31.76,361600
2010-10-21,31.69,32.98,31.11,31.47,344000
2010-10-22,31.83,31.83,29.61,30.83,217600
2010-10-25,29.75,31.19,29.39,31.19,309100
2010-10-26,31.19,32.55,31.19,32.55,281100
2010-10-27,33.62,34.41,31.54,31.76,145200
2010-10-28,31.19,32.12,30.68,30.68,124100
2010-10-29,31.19,31.54,30.47,31.19,105300
2010-11-01,30.61,31.4,30.11,30.25,110600
2010-11-02,30.97,30.97,28.89,29.11,302700
2010-11-03,29.25,29.25,27.89,27.96,227200
2010-11-04,28.17,29.39,28.17,28.68,175600
2010-11-05,30.11,30.54,29.61,30.54,338400
2010-11-08,30.54,30.83,29.68,29.82,259700
2010-11-09,29.75,29.75,28.1,28.1,333500
2010-11-10,28.32,29.11,28.1,28.46,151700
2010-11-11,28.32,28.32,27.6,27.96,168700
2010-11-12,27.6,27.96,26.31,27.03,243200
2010-11-15,27.24,27.24,25.95,26.1,157500
2010-11-16,25.81,26.38,24.73,25.24,213200
2010-11-17,25.45,26.53,25.09,25.45,173300
2010-11-18,26.38,27.31,25.95,27.31,359300
2010-11-19,27.17,27.67,25.88,25.95,169200
2010-11-22,26.38,26.38,25.09,25.81,163700
2010-11-23,25.81,26.45,25.45,26.17,145500
2010-11-24,25.67,27.24,25.31,26.53,320800
2010-11-25,27.24,28.32,26.88,28.32,513100
2010-11-26,29.04,29.75,27.96,28.32,394000
2010-11-29,27.82,30.68,27.6,30.68,609300
2010-11-30,30.76,31.4,30.76,31.04,451700
2010-12-01,31.33,32.26,29.18,29.54,422500
2010-12-02,30.11,32.05,29.75,31.9,482700
2010-12-03,32.29,33.31,32.29,33.31,246800
2010-12-06,35.22,35.52,34.49,35.52,523500
2010-12-07,37.72,37.72,36.03,36.69,962500
2010-12-08,36.32,38.01,34.78,34.78,695900
2010-12-09,34.64,37.06,33.75,36.62,457400
2010-12-10,36.69,38.23,36.25,38.23,518100
2010-12-13,40.29,40.29,39.18,39.62,499300
2010-12-14,39.77,39.77,37.06,37.06,715800
2010-12-15,36.69,37.42,34.78,35.15,407200
2010-12-16,34.86,34.86,33.17,33.17,351600
2010-12-17,34.41,35.66,33.39,35.37,303600
2010-12-20,34.93,35.22,33.09,33.24,287000
2010-12-21,33.75,34.12,31.63,32.43,267500
2010-12-22,33.61,33.9,31.55,31.85,172500
2010-12-23,31.55,31.92,30.38,30.82,270800
2010-12-24,30.82,32.29,30.67,31.26,277200
2010-12-27,32.29,32.29,31.41,31.63,165300
2010-12-28,32.21,33.61,31.85,33.09,225400
2010-12-29,33.02,33.9,31.99,32.29,169500
2010-12-30,33.02,33.02,31.48,31.55,114100
2010-12-31,33.61,33.75,31.92,33.39,262500
2011-01-04,33.61,33.75,32.36,32.65,127300
2011-01-05,32.29,32.87,31.55,31.77,152900
2011-01-06,31.85,31.92,31.55,31.7,122500
2011-01-07,31.19,32.58,31.19,31.7,96400
2011-01-10,31.55,31.7,30.23,30.31,238800
2011-01-11,30.09,30.09,28.98,29.06,181000
2011-01-12,30.75,30.75,29.35,29.87,159300
2011-01-13,30.09,30.82,29.65,29.94,112200
2011-01-14,30.09,30.31,29.72,29.94,122800
2011-01-17,30.09,31.55,30.09,30.31,107600
2011-01-18,30.45,30.67,29.65,29.72,122200
2011-01-19,30.09,30.38,29.72,29.79,81400
2011-01-20,30.01,30.23,29.35,29.57,120900
2011-01-21,29.65,30.09,29.28,29.35,105300
2011-01-24,30.01,30.23,28.69,28.76,91400
2011-01-25,28.32,28.91,28.25,28.25,132500
2011-01-26,28.98,29.2,28.32,28.47,122800
2011-01-27,28.98,29.2,28.69,29.13,120800
2011-01-28,29.35,29.94,28.62,28.98,149100
2011-02-08,29.5,29.5,29.13,29.13,58400
2011-02-09,27.3,30.45,27.3,29.57,141800
2011-02-10,29.5,29.79,29.2,29.28,65300
2011-02-11,29.5,29.5,28.76,28.84,90500
2011-02-14,29.13,29.72,28.98,29.06,164200
2011-02-15,28.98,29.35,28.69,28.91,76600
2011-02-16,28.98,29.06,28.4,28.47,91400
2011-02-17,28.54,28.54,27.44,27.74,173300
2011-02-18,28.18,28.18,27.15,27.37,129900
2011-02-21,26.78,26.78,25.54,25.54,145600
2011-02-22,24.14,24.58,23.85,24.29,355400
2011-02-23,22.75,24.95,22.75,24.58,191400
2011-02-24,24.8,24.95,22.67,23.19,437600
2011-02-25,23.11,23.77,22.75,23.77,247000
2011-02-28,23.63,24.22,22.97,23.04,161500
2011-03-01,23.7,23.7,22.38,22.82,78500
2011-03-02,21.94,22.09,21.28,21.28,353600
2011-03-03,20.55,21.21,19.96,20.18,187600
2011-03-04,20.18,20.91,19.08,20.62,132400
2011-03-07,20.4,20.55,20.11,20.25,105500
2011-03-08,19.08,20.55,19.08,20.03,115200
2011-03-09,19.52,19.67,18.79,18.79,241900
2011-03-10,18.71,20.25,18.71,20.25,204600
2011-03-11,21.28,21.35,20.77,21.35,48200
2011-03-14,22.75,22.75,20.25,20.84,426700
2011-03-15,20.55,21.43,20.25,20.47,111600
2011-03-16,20.77,21.28,20.55,21.13,244800
2011-03-17,20.91,22.01,20.91,21.57,161300
2011-03-18,21.65,22.31,21.21,22.31,294300
2011-03-21,22.01,23.04,22.01,22.01,342400
2011-03-22,22.16,22.31,20.99,21.13,234600
2011-03-23,20.91,21.65,20.84,21.35,156600
2011-03-24,22.01,22.01,21.06,21.35,177800
2011-03-25,21.5,21.5,20.84,20.99,148300
2011-03-28,21.28,22.6,21.28,22.6,617200
2011-03-29,23.11,23.41,22.53,22.97,711200
2011-03-30,22.45,22.45,21.65,22.01,244100
2011-03-31,22.38,22.53,21.28,21.57,117800
2011-04-01,21.65,21.65,21.21,21.35,138900
2011-04-04,21.28,21.28,20.33,20.47,325400
2011-04-05,20.84,20.84,20.11,20.55,182200
2011-04-06,20.55,21.28,20.55,21.21,198000
2011-04-07,21.57,21.57,20.55,20.62,85000
2011-04-08,20.4,20.69,20.33,20.4,107400
2011-04-13,20.25,20.47,20.03,20.11,130100
2011-04-14,20.18,20.18,19.59,19.67,161200
2011-04-15,19.67,20.03,19.08,19.3,142500
