time,open,high,low,close,volume
2013-12-24,10.61,10.61,10.61,10.61,100
2013-12-25,11.66,11.66,11.66,11.66,100
2013-12-26,12.78,12.78,12.78,12.78,4000
2013-12-27,14.03,14.03,14.03,14.03,11900
2013-12-30,15.42,15.42,14.1,15.09,84500
2013-12-31,15.15,15.15,14.16,14.89,2900
2014-01-02,14.1,14.1,13.44,13.64,11900
2014-01-03,12.39,13.44,12.39,13.44,27800
2014-01-06,12.39,12.58,12.32,12.32,23200
2014-01-07,11.53,13.51,11.4,13.51,9500
2014-01-08,14.76,14.76,13.24,13.51,15600
2014-01-09,13.51,13.83,13.51,13.77,11300
2014-01-10,13.64,13.64,13.51,13.51,11200
2014-01-13,13.51,13.83,13.51,13.77,10200
2014-01-14,14.36,15.09,14.36,15.09,38500
2014-01-15,15.09,15.42,14.56,14.56,11210
2014-01-16,15.81,15.81,14.82,14.82,3900
2014-01-17,14.49,14.49,14.49,14.49,9100
2014-01-20,13.31,14.49,13.31,13.31,4100
2014-01-21,13.31,14.1,13.31,14.1,21800
2014-01-22,14.23,14.49,14.16,14.16,6600
2014-01-23,14.23,14.3,14.16,14.23,19300
2014-01-24,14.23,14.23,14.23,14.23,2200
2014-01-27,14.23,14.23,14.23,14.23,0
2014-02-06,14.23,14.23,14.23,14.23,0
2014-02-07,14.23,14.23,13.77,13.83,12500
2014-02-10,13.7,13.7,13.31,13.37,30600
2014-02-11,13.44,13.44,13.18,13.18,10700
2014-02-12,13.51,13.51,13.44,13.44,800
2014-02-13,13.44,13.57,13.24,13.57,15900
2014-02-14,13.31,13.7,13.31,13.64,6900
2014-02-17,13.83,14.16,13.64,13.83,26300
2014-02-18,14.16,15.22,13.97,15.22,49880
2014-02-19,15.88,16.73,15.88,16.73,84730
2014-02-20,17.46,18.38,16.73,17.79,82408
2014-02-21,16.87,18.12,16.47,18.05,14760
2014-02-24,17.92,19.76,17.79,19.76,61450
2014-02-25,20.55,21.61,20.09,21.48,74000
2014-02-26,22.4,22.4,20.42,21.35,38400
2014-02-27,21.35,21.35,19.24,19.24,68700
2014-02-28,19.11,19.24,18.45,19.17,71600
2014-03-03,19.11,19.43,18.78,18.84,16600
2014-03-04,19.11,19.11,19.11,19.11,8500
2014-03-05,19.11,19.17,18.84,19.04,7800
2014-03-06,19.17,19.37,19.04,19.17,8900
2014-03-07,19.11,19.17,19.04,19.17,5600
2014-03-10,19.11,19.17,18.45,19.17,8800
2014-03-11,19.11,19.17,18.45,18.78,45710
2014-03-12,18.45,18.58,17.79,18.45,22700
2014-03-13,18.05,18.78,18.05,18.78,5200
2014-03-14,17.92,18.64,17.92,18.45,700
2014-03-17,18.45,18.45,17.99,17.99,9700
2014-03-18,18.18,18.18,18.18,18.18,1400
2014-03-19,18.18,18.18,18.05,18.18,2100
2014-03-20,18.18,18.18,17.79,17.79,14500
2014-03-21,17.79,18.12,17.79,18.12,11750
2014-03-24,18.12,18.18,17.92,17.92,10600
2014-03-25,18.78,18.78,17.66,17.66,29500
2014-03-26,17.66,17.66,16.01,16.01,32920
2014-03-27,16.01,17.59,16.01,17.59,28720
2014-03-28,18.12,18.18,18.12,18.18,800
2014-03-31,17.79,18.12,17.79,18.12,10220
