time,open,high,low,close,volume
2017-03-16,9.67,9.67,9.67,9.67,14900
2017-03-17,11.07,11.07,9.18,9.61,3000
2017-03-20,9.61,9.61,9.61,9.61,0
2017-03-21,8.82,8.82,8.27,8.27,9451
2017-03-22,7.54,7.54,7.54,7.54,2300
2017-03-23,6.45,6.45,6.45,6.45,3300
2017-03-24,5.53,5.53,5.53,5.53,2100
2017-03-27,5.17,5.17,5.17,5.17,14250
2017-03-28,5.84,5.84,5.78,5.84,311
2017-03-29,6.45,6.45,6.45,6.45,120
2017-03-30,6.45,6.45,6.45,6.45,10
2017-03-31,7.06,7.06,6.39,6.39,220
2017-04-03,6.75,6.75,6.75,6.75,0
2017-04-04,5.78,5.78,5.78,5.78,210
2017-04-05,4.93,4.99,4.93,4.93,4700
2017-04-07,5.66,5.66,5.66,5.66,200
2017-04-10,6.08,6.08,6.08,6.08,100
2017-04-11,5.17,5.17,5.17,5.17,100
2017-04-12,5.17,5.17,4.74,4.8,500
2017-04-13,4.62,4.62,4.62,4.62,100
2017-04-14,4.62,4.62,4.26,4.26,15000
2017-04-17,4.38,4.38,4.26,4.26,3200
2017-04-18,4.14,4.14,3.77,3.77,10200
2017-04-19,3.65,4.01,3.65,3.65,7400
2017-04-20,3.77,3.83,3.77,3.77,2500
2017-04-21,3.77,3.77,3.77,3.77,0
2017-04-24,3.77,3.77,3.77,3.77,0
2017-04-25,4.01,4.01,4.01,4.01,100
2017-04-26,4.56,4.56,4.56,4.56,100
2017-04-27,4.44,4.5,4.44,4.44,3400
2017-04-28,4.44,4.44,4.44,4.44,103
2017-05-03,4.44,4.44,4.44,4.44,101
2017-05-04,4.87,5.05,4.44,4.44,3407
2017-05-05,4.44,4.74,4.44,4.74,16830
2017-05-08,4.62,4.62,4.62,4.62,2000
2017-05-09,4.62,4.68,4.62,4.68,17000
2017-05-10,4.68,4.87,4.68,4.87,8100
2017-05-11,5.35,5.35,5.35,5.35,100
2017-05-12,5.35,5.35,5.35,5.35,100
2017-05-15,5.35,5.35,5.35,5.35,61
2017-05-16,4.8,4.87,4.74,4.74,14000
2017-05-17,4.8,4.8,4.44,4.8,4900
2017-05-18,4.93,5.17,4.87,4.93,2350
2017-05-19,5.11,5.11,4.56,4.87,6000
2017-05-22,4.87,4.87,4.87,4.87,1611
2017-05-23,4.87,4.93,4.87,4.93,3700
2017-05-24,4.87,4.87,4.87,4.87,4500
2017-05-25,4.87,4.99,4.87,4.99,4500
2017-05-26,4.99,4.99,4.99,4.99,2000
2017-05-29,4.99,4.99,4.99,4.99,100
2017-05-30,4.99,4.99,4.99,4.99,500
2017-05-31,5.05,5.05,5.05,5.05,400
2017-06-01,5.78,5.78,5.05,5.05,1420
2017-06-02,5.47,5.47,5.05,5.05,400
2017-06-05,5.17,5.17,4.44,4.44,2400
2017-06-06,4.99,4.99,4.99,4.99,3500
2017-06-07,5.05,5.05,5.05,5.05,2000
2017-06-08,5.05,5.05,5.05,5.05,1100
2017-06-09,5.05,5.05,5.05,5.05,2500
