time,open,high,low,close,volume
2010-01-04,13.01,13.36,13.01,13.36,16900
2010-01-05,14.24,14.24,14.03,14.12,32900
2010-01-06,14.36,14.36,13.88,13.96,17400
2010-01-07,14.11,14.17,13.72,13.72,24100
2010-01-08,13.96,14.35,13.09,13.57,34400
2010-01-11,14.36,14.36,13.17,13.25,8000
2010-01-12,13.41,13.41,12.64,12.64,30800
2010-01-13,13.85,13.85,12.54,13.69,19900
2010-01-14,13.62,14.15,13.54,13.6,19900
2010-01-15,13.69,13.75,13.41,13.5,21100
2010-01-18,13.41,13.41,12.62,12.64,24600
2010-01-19,13.02,13.56,13.02,13.48,14200
2010-01-20,13.6,13.98,13.04,13.06,9100
2010-01-21,13.41,13.41,13.12,13.14,20900
2010-01-22,12.83,13.96,12.83,13.96,21600
2010-01-25,13.41,13.79,13.31,13.62,17500
2010-01-26,14.56,14.56,14.56,14.56,2000
2010-01-27,15.57,15.57,15.57,15.57,9600
2010-01-28,16.64,16.64,16.57,16.64,130100
2010-01-29,17.72,17.72,15.9,16.68,81800
2010-02-01,17.01,17.01,16.64,16.68,18100
2010-02-02,16.76,16.85,15.9,16.09,10700
2010-02-03,16.26,16.26,15.51,15.7,60600
2010-02-04,15.74,16.43,15.74,16.41,35300
2010-02-05,16.28,16.28,15.7,16.09,8400
2010-02-08,15.53,15.99,15.51,15.9,9500
2010-02-09,15.7,15.7,15.13,15.13,21200
2010-02-10,15.61,15.61,15.32,15.32,10700
2010-02-11,15.9,15.9,15.42,15.67,12400
2010-02-12,16.16,16.18,15.53,15.9,4100
2010-02-22,15.9,16.09,15.82,15.9,4800
2010-02-23,15.36,15.36,15.15,15.17,8300
2010-02-24,15.24,16.28,15.05,16.05,30100
2010-02-25,16.26,16.26,15.74,15.78,5700
2010-02-26,15.88,15.88,15.7,15.84,6000
2010-03-01,16.16,16.16,15.53,16.01,7200
2010-03-02,15.7,15.99,15.7,15.8,6500
2010-03-03,15.8,16.09,15.74,16.09,17700
2010-03-04,16.26,16.47,16.11,16.11,23100
2010-03-05,16.47,16.85,16.01,16.6,26600
2010-03-08,16.85,17.58,16.85,17.58,57800
2010-03-09,17.56,17.56,16.85,17.24,13100
2010-03-10,17.01,17.01,16.59,16.59,600
2010-03-11,16.95,16.95,16.66,16.66,3900
2010-03-12,16.76,16.95,16.72,16.93,23600
2010-03-15,17.81,17.96,17.04,17.04,37200
2010-03-16,17.5,17.5,16.47,16.66,25000
2010-03-17,17.2,17.2,16.37,16.41,9700
2010-03-18,17.04,17.24,16.47,16.85,7800
2010-03-19,17.22,17.22,16.49,16.49,19900
2010-03-22,16.66,17.03,16.6,16.76,17600
2010-03-23,17.63,17.63,16.29,16.47,2600
2010-03-24,17.24,17.24,16.57,16.86,1200
2010-03-25,17.44,17.44,15.89,15.98,3300
