time,open,high,low,close,volume
2010-01-04,5.2,5.29,5.11,5.29,1014070
2010-01-05,5.55,5.55,5.44,5.51,1741700
2010-01-06,5.44,5.61,5.43,5.44,1022600
2010-01-07,5.44,5.5,5.38,5.41,1116850
2010-01-08,5.6,5.61,5.27,5.27,1114880
2010-01-11,5.29,5.34,5.17,5.19,794260
2010-01-12,5.16,5.24,4.94,4.94,780920
2010-01-13,4.94,5.18,4.7,5.18,1011910
2010-01-14,5.33,5.33,5.16,5.17,437160
2010-01-15,5.1,5.17,4.99,5.0,530480
2010-01-18,4.93,4.93,4.76,4.76,824030
2010-01-19,4.81,4.97,4.76,4.9,572750
2010-01-20,4.91,4.92,4.76,4.76,399060
2010-01-21,4.65,4.8,4.53,4.53,880170
2010-01-22,4.48,4.61,4.48,4.53,525170
2010-01-25,4.51,4.65,4.5,4.6,440230
2010-01-26,4.7,4.83,4.7,4.83,436190
2010-01-27,4.99,5.04,4.87,4.92,1807750
2010-01-28,4.9,4.94,4.76,4.78,358780
2010-01-29,4.72,4.87,4.7,4.8,326810
2010-02-01,4.82,4.9,4.77,4.9,315200
2010-02-02,4.93,4.94,4.86,4.89,510260
2010-02-03,4.93,4.98,4.89,4.95,506410
2010-02-04,4.99,5.19,4.99,5.19,1662690
2010-02-05,5.01,5.18,4.98,5.01,841470
2010-02-08,5.01,5.03,4.93,5.0,381870
2010-02-09,4.94,4.98,4.9,4.9,242760
2010-02-10,4.94,4.99,4.92,4.94,235320
2010-02-11,4.93,5.09,4.93,5.09,418110
2010-02-12,5.08,5.16,5.08,5.11,442270
2010-02-22,5.17,5.21,5.12,5.18,752360
2010-02-23,5.18,5.18,5.0,5.01,638510
2010-02-24,4.99,5.06,4.97,5.06,503970
2010-02-25,5.14,5.17,5.04,5.06,573990
2010-02-26,5.06,5.1,5.03,5.08,296020
2010-03-01,5.12,5.19,5.1,5.11,378530
2010-03-02,5.11,5.15,5.04,5.04,400860
2010-03-03,5.08,5.19,5.07,5.17,671070
2010-03-04,5.25,5.31,5.2,5.2,976570
2010-03-05,5.21,5.45,5.18,5.45,2037560
2010-03-08,5.5,5.67,5.46,5.67,1440060
2010-03-09,5.55,5.67,5.54,5.61,821270
2010-03-10,5.55,5.61,5.5,5.53,1513670
2010-03-11,5.52,5.55,5.46,5.5,959050
2010-03-12,5.51,5.72,5.45,5.67,1477040
2010-03-15,5.67,5.78,5.61,5.61,997180
2010-03-16,5.58,5.6,5.36,5.44,1301830
2010-03-17,5.58,5.67,5.57,5.67,3530980
2010-03-18,5.95,5.95,5.95,5.95,414240
2010-03-19,6.18,6.23,6.06,6.18,6673050
2010-03-22,6.12,6.18,5.95,6.01,1739440
2010-03-23,5.95,6.06,5.84,5.89,1752290
2010-03-24,6.01,6.01,5.84,6.01,1467810
2010-03-25,5.95,5.95,5.78,5.84,1922820
2010-03-26,5.89,5.89,5.72,5.89,1303060
2010-03-29,5.89,5.89,5.72,5.78,1119110
2010-03-30,5.78,5.84,5.72,5.78,1294030
2010-03-31,5.78,5.84,5.67,5.67,863560
2010-04-01,5.67,5.78,5.62,5.78,972740
2010-04-02,5.78,5.84,5.72,5.72,703410
2010-04-05,5.78,5.95,5.72,5.89,1136870
2010-04-06,5.89,5.95,5.78,5.78,1184140
2010-04-07,5.84,5.84,5.72,5.78,738970
2010-04-08,5.78,5.84,5.72,5.78,907660
2010-04-09,5.84,5.89,5.78,5.84,915910
2010-04-12,5.89,5.95,5.84,5.89,1162020
2010-04-13,5.89,5.95,5.84,5.84,1110000
2010-04-14,5.84,5.84,5.78,5.84,529020
2010-04-15,5.89,5.89,5.78,5.84,710230
2010-04-16,5.89,5.89,5.78,5.78,850760
2010-04-19,5.72,5.78,5.72,5.72,892410
2010-04-20,5.72,5.78,5.67,5.67,653580
2010-04-21,5.78,5.78,5.67,5.72,475800
2010-04-22,5.84,6.01,5.78,5.89,2005480
2010-04-26,5.84,5.89,5.78,5.84,391080
2010-04-27,5.84,5.89,5.78,5.78,422260
2010-04-28,5.78,5.89,5.78,5.89,701480
2010-04-29,5.95,5.95,5.84,5.84,1080890
2010-05-04,5.89,5.95,5.84,5.84,908140
2010-05-05,5.84,5.89,5.78,5.84,1211400
2010-05-06,5.89,5.89,5.78,5.89,630810
2010-05-07,5.78,5.78,5.67,5.72,1323820
2010-05-10,5.72,5.72,5.65,5.65,1000920
2010-05-11,5.72,5.78,5.67,5.72,676140
2010-05-12,5.67,5.67,5.57,5.57,583260
2010-05-13,5.67,5.67,5.55,5.55,668500
2010-05-14,5.55,5.65,5.55,5.55,230720
2010-05-17,5.55,5.55,5.38,5.44,700140
2010-05-18,5.42,5.44,5.38,5.41,348510
2010-05-19,5.31,5.32,5.18,5.18,817950
2010-05-20,5.0,5.33,5.0,5.33,1018840
2010-05-21,5.08,5.16,5.07,5.07,1246700
2010-05-24,5.09,5.19,5.01,5.1,664580
2010-05-25,5.1,5.14,5.06,5.06,436460
2010-05-26,5.12,5.12,5.09,5.1,472020
2010-05-27,5.1,5.35,5.06,5.35,1179900
2010-05-28,5.44,5.59,5.38,5.54,1135760
2010-05-31,5.52,5.58,5.44,5.55,685630
2010-06-01,5.55,5.6,5.5,5.59,438600
2010-06-02,5.53,5.55,5.5,5.5,557520
2010-06-03,5.54,5.54,5.5,5.5,417290
2010-06-04,5.55,5.72,5.55,5.58,1151730
2010-06-07,5.44,5.5,5.36,5.44,660830
2010-06-08,5.44,5.53,5.4,5.5,674110
2010-06-09,5.55,5.58,5.48,5.48,494440
2010-06-10,5.5,5.54,5.48,5.5,510600
2010-06-11,5.72,5.72,5.67,5.72,2204900
2010-06-14,5.72,5.78,5.65,5.65,1472600
2010-06-15,5.62,5.62,5.51,5.52,1006140
2010-06-16,5.57,5.58,5.51,5.52,884860
2010-06-17,5.51,5.52,5.46,5.48,994830
2010-06-18,5.5,5.5,5.45,5.45,1101440
2010-06-21,5.5,5.54,5.48,5.48,1344860
2010-06-22,5.46,5.48,5.41,5.41,2585530
2010-06-23,5.66,5.66,5.61,5.66,2327520
2010-06-24,5.74,5.74,5.59,5.59,1826670
2010-06-25,5.46,5.51,5.41,5.41,933520
2010-06-28,5.36,5.41,5.29,5.29,670360
2010-06-29,5.29,5.44,5.24,5.31,951440
2010-06-30,5.14,5.21,5.14,5.16,725110
2010-07-01,5.16,5.19,5.11,5.14,523430
2010-07-02,5.19,5.19,5.11,5.14,454790
2010-07-05,5.11,5.14,5.06,5.06,692400
2010-07-06,5.06,5.06,4.94,4.94,662490
2010-07-07,5.04,5.04,4.89,4.89,474380
2010-07-08,4.96,4.96,4.86,4.86,338080
2010-07-09,4.89,4.91,4.84,4.86,456650
2010-07-12,4.86,4.96,4.84,4.91,825610
2010-07-13,5.04,5.14,4.99,5.14,843670
2010-07-14,5.34,5.34,5.21,5.21,1197020
2010-07-15,5.11,5.19,5.09,5.09,331620
2010-07-16,5.06,5.11,4.99,5.06,447450
2010-07-19,4.99,5.04,4.99,5.01,462670
2010-07-20,4.99,5.04,4.96,4.96,451430
2010-07-21,4.94,4.96,4.91,4.94,282440
2010-07-22,4.89,4.94,4.86,4.86,356010
2010-07-23,4.89,4.94,4.89,4.89,319280
2010-07-26,4.74,4.81,4.71,4.71,1978000
2010-07-27,4.69,4.74,4.56,4.59,1619650
2010-07-28,4.54,4.59,4.44,4.49,1118520
2010-07-29,4.46,4.49,4.39,4.44,1072240
2010-07-30,4.44,4.64,4.44,4.64,3164910
2010-08-02,4.66,4.66,4.54,4.54,1222760
2010-08-03,4.59,4.66,4.54,4.56,1125210
2010-08-04,4.51,4.54,4.46,4.51,603720
2010-08-05,4.54,4.56,4.44,4.46,704580
2010-08-06,4.46,4.46,4.39,4.39,907700
2010-08-09,4.34,4.36,4.22,4.24,1675580
2010-08-10,4.19,4.24,4.07,4.19,1479470
2010-08-11,4.22,4.27,4.17,4.22,1382430
2010-08-12,4.17,4.19,4.02,4.07,2335780
2010-08-13,3.99,4.14,3.99,4.14,1617190
2010-08-16,4.22,4.34,4.19,4.34,1172770
