time,open,high,low,close,volume
2010-01-04,29.74,30.79,29.74,30.79,15240
2010-01-05,32.07,32.07,31.43,32.07,7030
2010-01-06,32.07,32.07,30.71,31.91,5560
2010-01-07,30.63,31.27,30.39,30.39,11570
2010-01-08,30.14,31.35,28.94,28.94,7940
2010-01-11,28.94,29.74,28.13,28.94,3030
2010-01-12,28.94,28.94,27.49,27.49,3590
2010-01-13,27.49,28.86,26.53,28.86,1400
2010-01-14,27.49,28.94,27.49,28.94,27880
2010-01-15,27.49,29.02,27.49,28.94,18400
2010-01-18,27.57,28.46,27.57,28.46,3640
2010-01-19,28.46,28.46,27.33,28.13,260
2010-01-20,26.93,27.33,26.93,26.93,1720
2010-01-21,25.8,25.8,25.64,25.64,1860
2010-01-22,26.29,26.29,24.44,26.29,2010
2010-01-25,25.0,25.0,25.0,25.0,14830
2010-01-26,25.72,25.96,25.56,25.96,2630
2010-01-27,24.84,24.84,24.68,24.68,4070
2010-01-28,24.68,24.68,23.47,24.68,7310
2010-01-29,25.24,25.24,23.79,25.24,330
2010-02-01,25.08,25.08,25.08,25.08,140
2010-02-02,24.92,24.92,24.92,24.92,710
2010-02-03,23.71,25.08,23.71,25.0,1910
2010-02-04,25.0,25.08,24.92,25.08,310
2010-02-05,25.08,25.08,25.0,25.08,810
2010-02-08,25.08,25.08,25.08,25.08,20
2010-02-09,23.87,24.6,23.87,24.6,1800
2010-02-10,25.4,25.4,23.39,25.4,4120
2010-02-11,25.64,25.64,25.08,25.64,700
2010-02-12,25.72,25.72,25.56,25.72,1290
2010-02-22,25.8,26.77,25.8,25.8,700
2010-02-23,25.72,25.72,24.92,25.72,1660
2010-02-24,25.72,25.72,24.92,25.72,1230
2010-02-25,25.72,25.72,25.72,25.72,500
2010-02-26,25.72,25.72,25.0,25.72,700
2010-03-01,24.92,25.72,24.92,25.72,1560
2010-03-02,25.72,25.72,25.72,25.72,680
2010-03-03,25.64,25.64,24.52,25.64,2950
2010-03-04,25.64,26.13,25.56,26.13,6370
2010-03-05,26.29,26.29,25.72,26.13,2100
2010-03-08,26.13,26.13,24.92,24.92,6360
2010-03-09,23.95,25.64,23.95,25.64,6730
2010-03-10,25.32,25.32,25.08,25.08,2900
2010-03-11,24.28,25.88,24.28,24.28,3260
2010-03-12,24.28,25.4,24.28,25.4,5700
2010-03-15,24.2,25.56,24.2,25.4,1820
2010-03-16,24.52,25.32,24.52,25.32,1720
2010-03-17,25.24,25.24,25.24,25.24,190
2010-03-18,24.92,25.24,24.52,25.24,2500
2010-03-19,24.44,25.24,24.44,24.44,1890
2010-03-22,24.2,24.52,23.87,24.44,2490
2010-03-23,24.12,24.52,24.12,24.52,2340
2010-03-24,25.0,25.0,24.92,24.92,200
2010-03-25,23.79,24.92,23.79,23.79,3560
2010-03-26,23.87,23.87,22.75,23.87,6450
2010-03-29,22.91,24.12,22.83,23.31,13510
2010-03-30,23.31,24.04,22.91,23.31,1800
2010-03-31,23.71,23.71,23.31,23.31,730
2010-04-01,23.31,23.31,23.31,23.31,250
2010-04-02,23.55,23.55,22.19,23.31,5520
2010-04-05,23.31,23.31,23.31,23.31,1540
2010-04-06,22.19,23.31,22.19,23.31,11570
2010-04-07,22.59,23.31,22.51,23.23,6950
2010-04-08,22.91,23.23,22.91,22.91,5880
2010-04-09,23.31,23.31,23.23,23.31,800
2010-04-12,24.04,24.36,23.31,24.04,10380
2010-04-13,24.04,24.6,24.04,24.04,3860
2010-04-14,23.31,24.04,23.31,23.31,2260
2010-04-15,23.55,23.55,23.07,23.55,590
2010-04-16,23.55,23.55,22.43,22.51,23150
2010-04-19,22.51,22.91,22.51,22.51,5580
2010-04-20,23.23,23.55,22.51,23.55,9360
2010-04-21,24.12,24.12,22.83,24.04,6400
2010-04-22,24.04,24.92,24.04,24.52,27430
2010-04-26,25.72,25.72,25.72,25.72,58080
2010-04-27,27.01,27.01,27.01,27.01,12860
2010-04-28,28.3,28.3,27.33,28.13,43480
2010-04-29,28.13,28.13,27.09,28.13,38780
2010-05-04,26.77,28.13,26.77,26.77,24010
2010-05-05,25.48,26.77,25.48,26.77,21230
2010-05-06,25.96,26.93,25.72,25.72,8490
2010-05-07,25.72,26.53,24.52,24.6,25610
2010-05-10,24.36,25.8,24.36,25.8,31120
2010-05-11,26.93,27.09,26.61,27.09,36390
2010-05-12,25.8,25.88,25.8,25.8,13020
2010-05-13,24.6,24.76,24.6,24.6,8870
2010-05-14,25.64,25.64,24.6,24.6,1840
2010-05-17,25.72,25.72,24.28,24.28,3550
2010-05-18,24.28,24.92,24.12,24.52,1900
2010-05-19,24.52,24.6,23.31,23.31,5180
2010-05-20,22.91,22.91,22.19,22.51,3590
2010-05-21,21.38,21.7,21.38,21.38,7660
2010-05-24,20.58,21.86,20.34,21.86,7680
2010-05-25,20.98,21.3,20.82,20.82,3020
2010-05-26,20.82,21.78,20.82,21.78,1450
2010-05-27,22.59,22.59,20.74,22.59,8800
2010-05-28,22.59,23.31,22.51,23.31,5840
2010-05-31,23.87,23.87,23.87,23.87,390
2010-06-01,23.63,23.63,23.23,23.63,1120
2010-06-02,22.67,22.67,22.51,22.51,8720
2010-06-03,22.51,22.91,21.7,21.7,5230
2010-06-04,20.9,22.43,20.9,20.9,5440
2010-06-07,20.18,20.82,19.86,20.82,16840
2010-06-08,20.26,20.82,20.26,20.34,3330
2010-06-09,20.9,21.3,20.9,21.3,4260
2010-06-10,21.95,21.95,21.62,21.62,1300
2010-06-11,21.62,21.86,20.9,21.7,2400
2010-06-14,21.54,21.7,20.66,21.54,4470
2010-06-15,21.7,21.7,21.3,21.7,1300
2010-06-16,20.98,22.51,20.98,21.22,3260
2010-06-17,20.58,21.3,20.58,20.9,1950
2010-06-18,20.82,21.06,20.82,20.82,3350
2010-06-21,20.74,20.82,19.86,20.74,33410
2010-06-22,20.66,20.66,20.1,20.66,5970
2010-06-23,20.18,20.74,19.77,20.18,5730
2010-06-24,20.1,20.18,19.29,20.1,19140
2010-06-25,19.53,20.1,19.29,20.1,14850
2010-06-28,20.34,20.34,19.69,19.69,6430
2010-06-29,19.69,19.69,19.29,19.69,6470
2010-06-30,19.69,19.69,19.21,19.69,1630
2010-07-01,19.21,19.29,18.73,19.21,35020
2010-07-02,18.89,19.13,18.65,19.05,3840
2010-07-05,19.05,19.05,18.89,18.97,5890
2010-07-06,18.49,18.89,18.49,18.49,5640
2010-07-07,18.25,18.65,18.25,18.25,6060
2010-07-08,18.33,18.49,18.33,18.33,800
2010-07-09,17.93,18.49,17.93,18.49,3120
2010-07-12,18.49,18.89,18.49,18.89,110
2010-07-13,18.89,19.13,18.89,18.89,3300
2010-07-14,19.29,19.29,18.81,18.81,6010
2010-07-15,18.41,19.21,18.41,19.05,5370
2010-07-16,18.97,18.97,18.33,18.97,3130
2010-07-19,18.97,18.97,18.81,18.97,4730
2010-07-20,18.65,18.89,18.49,18.65,1520
2010-07-21,18.49,19.13,18.49,18.57,1760
2010-07-22,18.25,18.57,17.85,17.85,14390
2010-07-23,18.67,18.67,18.67,18.67,4560
