time,open,high,low,close,volume
2016-05-27,7.26,7.26,6.85,7.08,94010
2016-05-30,7.49,7.49,7.08,7.17,16090
2016-05-31,7.26,7.26,6.9,7.26,1330
2016-06-01,6.99,7.17,6.99,7.17,6500
2016-06-02,7.04,7.13,6.99,7.13,9280
2016-06-03,6.9,7.04,6.9,6.9,10030
2016-06-06,6.9,6.9,6.85,6.9,14060
2016-06-07,6.81,6.9,6.81,6.85,2210
2016-06-08,6.81,6.81,6.72,6.81,12900
2016-06-09,6.72,6.72,6.67,6.67,10430
2016-06-10,6.63,6.63,6.63,6.63,26600
2016-06-13,6.67,6.67,6.45,6.63,8130
2016-06-14,6.49,6.49,6.49,6.49,2100
2016-06-15,6.49,6.49,6.49,6.49,0
2016-06-16,6.81,6.81,6.45,6.76,2220
2016-06-17,6.54,6.72,6.45,6.72,1760
2016-06-20,6.81,6.81,6.81,6.81,10
2016-06-21,6.81,6.81,6.81,6.81,0
2016-06-22,6.49,6.81,6.45,6.81,6730
2016-06-23,6.58,6.81,6.58,6.81,1510
2016-06-24,6.63,6.63,6.58,6.58,2050
2016-06-27,6.17,6.81,6.17,6.81,6010
2016-06-28,6.45,6.58,6.4,6.4,1710
2016-06-29,6.54,6.54,6.4,6.4,110
2016-06-30,6.36,6.54,6.36,6.54,2550
2016-07-01,6.45,6.45,6.36,6.36,3310
2016-07-04,6.22,6.4,6.22,6.4,130
2016-07-05,6.4,6.4,6.26,6.36,7510
2016-07-06,6.36,6.45,6.26,6.45,2280
2016-07-07,6.45,6.45,6.26,6.26,350
2016-07-08,6.45,6.45,6.36,6.36,6500
2016-07-11,6.36,6.58,5.99,5.99,105670
2016-07-12,6.36,6.4,6.22,6.22,7670
2016-07-13,6.22,6.63,6.22,6.63,71100
2016-07-14,6.67,6.67,6.36,6.36,120
2016-07-15,6.36,6.36,6.36,6.36,20
2016-07-18,6.4,6.58,6.31,6.58,26050
2016-07-19,6.72,6.72,6.36,6.36,390
2016-07-20,6.4,6.58,6.4,6.4,24930
2016-07-21,6.58,6.58,6.36,6.4,44860
2016-07-22,6.36,6.54,6.36,6.54,8030
2016-07-25,6.58,6.63,6.45,6.45,34500
2016-07-26,6.58,6.67,6.45,6.58,80480
2016-07-27,6.49,6.76,6.45,6.76,520
2016-07-28,6.49,6.54,6.49,6.54,20
2016-07-29,6.67,6.67,6.45,6.63,7470
2016-08-01,6.9,6.9,6.45,6.58,20410
2016-08-02,6.45,6.45,6.45,6.45,10
