time,open,high,low,close,volume
2010-01-04,8.0,8.19,8.0,8.19,5600
2010-01-05,8.72,8.72,8.17,8.19,52500
2010-01-06,8.43,8.51,8.0,8.0,87600
2010-01-07,8.04,8.16,7.59,7.61,60200
2010-01-08,7.83,8.43,7.34,7.66,53600
2010-01-11,7.98,7.98,7.32,7.41,31500
2010-01-12,7.61,7.61,7.08,7.08,50300
2010-01-13,6.98,7.83,6.84,7.49,46300
2010-01-14,7.49,7.56,7.49,7.56,35800
2010-01-15,7.24,7.41,7.01,7.01,13500
2010-01-18,6.81,7.07,6.73,6.73,34900
2010-01-19,6.98,7.22,6.84,6.91,14200
2010-01-20,7.01,7.07,6.55,6.81,14800
2010-01-21,6.47,6.78,6.4,6.44,30000
2010-01-22,6.47,6.69,6.47,6.69,6200
2010-01-25,6.64,6.81,6.64,6.81,3600
2010-01-26,7.15,7.18,6.98,7.18,16300
2010-01-27,7.68,7.68,6.79,7.13,14600
2010-01-28,6.84,6.84,6.79,6.81,18500
2010-01-29,6.98,7.12,6.81,6.9,15000
2010-02-01,7.05,7.05,6.64,6.64,11800
2010-02-02,7.13,7.13,6.81,6.93,11700
2010-02-03,6.98,7.01,6.91,6.95,5200
2010-02-04,7.07,7.07,6.98,6.98,12200
2010-02-05,6.66,6.66,6.57,6.57,9200
2010-02-08,6.61,6.61,6.55,6.55,3800
2010-02-09,6.79,6.79,6.3,6.3,9300
2010-02-10,6.62,6.62,6.59,6.59,1200
2010-02-11,6.61,6.64,6.61,6.62,13500
2010-02-12,6.64,6.78,6.64,6.78,3800
2010-02-22,6.81,6.81,6.73,6.78,800
2010-02-23,6.4,6.55,6.38,6.55,8000
2010-02-24,6.47,6.64,6.47,6.55,4100
2010-02-25,6.81,6.81,6.57,6.57,6900
2010-02-26,6.71,6.71,6.61,6.62,14800
2010-03-01,6.64,6.81,6.62,6.76,19500
2010-03-02,6.81,7.07,6.74,6.9,18100
2010-03-03,7.32,7.35,7.32,7.35,36100
2010-03-04,7.81,7.87,7.39,7.47,46200
2010-03-05,7.83,7.83,7.41,7.75,21800
2010-03-08,8.0,8.12,7.83,7.92,32500
2010-03-09,7.83,8.02,7.66,7.71,21300
2010-03-10,7.68,7.75,7.49,7.54,47800
2010-03-11,7.56,7.64,7.49,7.49,28900
2010-03-12,7.71,7.71,7.49,7.58,9400
2010-03-15,7.75,7.83,7.63,7.64,25700
2010-03-16,7.66,7.75,7.27,7.32,58400
2010-03-17,7.75,7.81,7.49,7.75,59700
2010-03-18,7.92,8.09,7.66,8.0,49700
2010-03-19,7.85,8.14,7.85,8.14,124800
2010-03-22,8.31,8.61,7.83,8.51,116800
2010-03-23,8.51,8.51,7.92,7.93,55200
2010-03-24,8.12,8.21,7.93,8.17,73300
2010-03-25,7.83,7.97,7.61,7.66,40900
2010-03-26,7.66,8.0,7.51,8.0,73000
2010-03-29,7.83,7.83,7.2,7.49,69200
2010-03-30,7.41,7.41,7.15,7.18,61300
2010-03-31,7.15,7.22,7.08,7.12,32100
2010-04-01,6.98,7.41,6.98,7.29,41500
2010-04-02,7.24,7.32,7.15,7.32,28700
2010-04-05,7.41,7.41,7.24,7.35,34400
2010-04-06,7.49,7.49,7.24,7.32,60300
2010-04-07,7.39,7.44,7.15,7.39,47300
2010-04-08,7.49,7.78,7.49,7.78,95800
2010-04-09,8.22,8.31,7.8,7.8,46100
2010-04-12,8.0,8.0,7.54,7.66,15100
2010-04-13,7.75,7.75,7.41,7.49,50200
2010-04-14,7.37,7.54,7.35,7.47,24500
2010-04-15,7.56,7.87,7.47,7.64,38400
2010-04-16,7.8,7.92,7.64,7.81,146100
2010-04-19,7.76,8.0,7.58,7.58,72600
2010-04-20,7.97,8.34,7.88,8.34,106500
2010-04-21,8.6,8.61,8.19,8.61,110800
2010-04-22,8.61,9.07,7.92,7.93,151500
2010-04-26,8.27,8.27,8.05,8.12,71200
2010-04-27,8.04,8.68,8.02,8.26,90600
2010-04-28,8.29,8.5,8.29,8.34,23000
2010-04-29,8.26,8.52,8.26,8.38,49400
2010-05-04,8.52,8.79,8.42,8.42,63900
2010-05-05,8.2,8.31,8.2,8.2,34600
2010-05-06,7.99,8.43,7.99,8.33,50200
2010-05-07,8.36,8.36,7.9,8.08,26000
2010-05-10,7.81,8.11,7.55,7.9,46400
2010-05-11,7.99,8.08,7.81,7.81,17000
2010-05-12,7.99,7.99,7.35,7.35,75300
2010-05-13,7.62,7.67,7.28,7.46,41800
2010-05-14,7.55,7.71,7.46,7.63,27900
2010-05-17,7.46,7.63,7.37,7.49,72600
2010-05-18,7.39,7.51,7.39,7.51,25200
2010-05-19,7.46,7.47,6.92,6.94,35100
2010-05-20,6.6,7.28,6.59,7.1,75100
2010-05-21,6.37,6.48,6.36,6.36,55700
2010-05-24,6.48,6.73,6.37,6.71,20900
2010-05-25,6.66,6.71,6.52,6.57,14300
2010-05-26,6.66,6.89,6.66,6.89,10900
2010-05-27,6.75,6.8,6.62,6.78,7600
2010-05-28,6.92,7.23,6.92,7.23,40700
2010-05-31,6.85,6.85,6.84,6.84,3500
2010-06-01,6.75,6.84,6.71,6.76,12800
2010-06-02,6.75,6.84,6.66,6.76,19400
2010-06-03,6.92,6.92,6.78,6.87,10600
2010-06-04,6.98,6.98,6.75,6.84,7700
2010-06-07,6.76,6.76,6.39,6.45,43400
2010-06-08,6.46,6.62,6.46,6.62,12400
2010-06-09,6.75,6.75,6.53,6.55,13500
2010-06-10,6.69,6.75,6.69,6.75,1000
2010-06-11,7.0,7.01,6.76,6.76,22000
2010-06-14,6.96,7.07,6.94,7.05,30100
2010-06-15,7.03,7.1,6.92,6.92,11000
2010-06-16,7.1,7.1,7.01,7.1,11400
2010-06-17,6.92,6.96,6.87,6.92,16100
2010-06-18,6.92,7.12,6.92,7.07,20700
2010-06-21,7.19,7.19,7.01,7.08,18800
2010-06-22,6.98,7.1,6.96,7.0,20700
2010-06-23,7.05,7.07,7.05,7.05,7600
2010-06-24,7.08,7.08,6.92,6.92,9400
2010-06-25,6.66,6.94,6.66,6.76,11500
2010-06-28,6.8,6.92,6.8,6.92,13800
2010-06-29,7.01,7.01,6.92,7.01,28300
2010-06-30,6.75,6.84,6.75,6.84,6200
2010-07-01,6.96,7.14,6.75,6.75,21600
2010-07-02,7.0,7.0,6.85,6.85,6800
2010-07-05,7.08,7.08,6.89,6.89,2100
2010-07-06,6.92,7.01,6.78,6.8,28500
2010-07-07,6.84,6.92,6.8,6.92,4800
2010-07-08,6.98,6.98,6.84,6.84,2000
2010-07-09,6.84,6.98,6.82,6.87,15200
2010-07-12,7.1,7.1,6.91,6.92,4900
2010-07-13,7.19,7.19,7.05,7.17,18900
2010-07-14,7.6,7.6,7.17,7.28,32000
2010-07-15,7.44,7.44,7.14,7.16,16900
2010-07-16,7.32,7.81,7.28,7.58,57400
2010-07-19,7.46,7.88,7.46,7.88,62800
2010-07-20,7.99,8.08,7.9,8.06,64100
2010-07-21,8.17,8.17,7.63,7.71,29500
2010-07-22,7.63,7.99,7.63,7.97,88200
2010-07-23,7.99,8.08,7.76,7.78,68400
2010-07-26,7.79,7.79,7.32,7.6,40800
2010-07-27,7.46,7.46,7.37,7.37,4100
2010-07-28,7.14,7.14,6.92,7.1,51100
2010-07-29,6.94,7.17,6.94,7.17,11300
2010-07-30,7.28,7.46,7.12,7.28,13900
2010-08-02,7.32,7.32,6.92,7.08,19000
2010-08-03,7.35,7.35,7.0,7.17,32400
2010-08-04,6.98,7.19,6.92,7.01,22900
2010-08-05,7.42,7.42,6.92,6.94,5100
2010-08-06,7.03,7.05,6.92,7.01,6700
2010-08-09,7.0,7.0,6.66,6.84,48900
2010-08-10,6.59,6.59,6.3,6.39,73600
2010-08-11,6.87,6.87,6.57,6.66,5700
2010-08-12,6.48,6.66,6.27,6.27,40400
2010-08-13,6.29,6.57,6.29,6.57,14000
2010-08-16,6.71,6.85,6.71,6.85,25500
2010-08-17,6.84,6.84,6.57,6.57,11300
2010-08-18,6.48,6.55,6.36,6.55,11000
2010-08-19,6.23,6.57,6.23,6.57,7400
2010-08-20,6.25,6.64,6.25,6.39,12200
2010-08-23,6.53,6.53,6.53,6.53,300
2010-08-24,6.23,6.36,6.09,6.09,21000
2010-08-25,5.89,6.39,5.72,6.21,19800
2010-08-26,6.13,6.13,5.79,5.86,13200
2010-08-27,5.86,6.0,5.77,5.86,14800
2010-08-30,6.07,6.27,6.07,6.27,16000
2010-08-31,6.48,6.55,6.39,6.39,10100
2010-09-01,6.66,6.68,6.3,6.64,16000
2010-09-06,6.64,6.75,6.48,6.64,48400
2010-09-07,6.57,6.62,6.27,6.27,6100
2010-09-08,6.39,6.39,6.13,6.21,15100
2010-09-09,6.25,6.39,6.2,6.2,18700
2010-09-10,6.21,6.29,6.16,6.29,33400
2010-09-13,6.07,6.21,5.89,6.21,4700
2010-09-14,6.14,6.48,6.05,6.21,12100
2010-09-15,6.36,6.36,5.97,6.27,3400
2010-09-16,6.32,6.32,6.27,6.27,1000
2010-09-17,6.32,6.43,6.21,6.43,8200
2010-09-20,6.23,6.46,6.23,6.3,6900
2010-09-21,6.25,6.41,6.13,6.25,8000
2010-09-22,6.29,6.29,6.25,6.25,2000
2010-09-23,6.05,6.07,6.05,6.05,2500
2010-09-24,6.21,6.21,6.21,6.21,1000
2010-09-27,6.21,6.21,6.21,6.21,0
2010-09-28,6.11,6.14,6.11,6.11,4800
2010-09-29,6.04,6.04,5.95,5.97,4300
2010-09-30,5.77,6.25,5.77,6.25,900
2010-10-01,5.86,5.88,5.84,5.84,11700
2010-10-04,5.56,5.66,5.52,5.54,9600
2010-10-05,5.84,5.84,5.68,5.77,900
2010-10-06,5.91,6.0,5.68,5.68,2800
2010-10-07,6.02,6.02,5.86,5.86,4900
2010-10-08,5.61,5.65,5.61,5.61,5900
2010-10-11,5.5,5.84,5.5,5.65,1700
2010-10-12,5.5,5.56,5.5,5.56,3400
2010-10-13,5.33,5.84,5.33,5.84,2800
2010-10-14,5.84,5.84,5.84,5.84,100
2010-10-15,6.25,6.25,5.49,5.49,6900
2010-10-18,5.84,5.84,5.36,5.36,3600
2010-10-19,5.33,5.33,5.26,5.33,4700
2010-10-20,5.4,5.4,4.95,4.95,7900
2010-10-21,4.94,5.22,4.94,5.22,2200
2010-10-22,5.31,5.31,4.74,4.74,5000
2010-10-25,5.13,5.15,4.79,5.11,5600
2010-10-26,5.29,5.4,5.29,5.4,6700
2010-10-27,5.59,5.59,5.15,5.33,10400
2010-10-28,5.5,5.5,5.2,5.47,6800
2010-10-29,5.06,5.5,5.06,5.33,3000
2010-11-01,5.52,5.52,5.52,5.52,100
2010-11-02,5.5,5.5,5.24,5.24,700
2010-11-03,5.15,5.15,5.15,5.15,700
2010-11-04,5.42,5.42,5.42,5.42,100
2010-11-05,5.56,5.59,5.54,5.56,1800
2010-11-08,5.26,5.26,5.26,5.26,100
2010-11-09,4.9,4.94,4.9,4.92,1100
2010-11-10,5.24,5.24,4.99,4.99,3300
2010-11-11,5.31,5.31,4.97,4.97,400
2010-11-12,5.38,5.38,4.88,4.88,6500
2010-11-15,4.95,4.95,4.65,4.65,11500
2010-11-16,4.44,4.53,4.44,4.53,11600
2010-11-17,4.51,4.62,4.51,4.53,2600
2010-11-18,4.85,4.85,4.62,4.62,1900
2010-11-19,4.56,4.56,4.44,4.44,2400
2010-11-22,4.6,4.6,4.6,4.6,100
2010-11-23,4.49,4.6,4.49,4.6,1100
2010-11-24,4.71,4.71,4.71,4.71,100
2010-11-25,4.76,4.97,4.76,4.97,8800
2010-11-26,4.85,4.95,4.79,4.95,4900
2010-11-29,4.63,5.06,4.63,5.06,1500
2010-11-30,5.24,5.26,5.15,5.15,2900
2010-12-01,5.17,5.18,5.15,5.15,1400
2010-12-02,4.81,5.5,4.81,5.24,7000
2010-12-03,5.36,5.47,5.24,5.47,20900
2010-12-06,5.33,5.7,5.33,5.5,51800
2010-12-07,5.59,5.59,5.33,5.49,9600
2010-12-08,5.33,5.33,5.17,5.17,9400
2010-12-09,4.92,5.34,4.92,5.34,700
2010-12-10,5.36,5.36,5.33,5.36,10800
2010-12-13,5.73,5.73,5.68,5.68,19200
2010-12-14,5.75,5.75,5.33,5.33,3700
2010-12-15,5.42,5.65,5.33,5.5,8600
2010-12-16,5.42,5.42,5.15,5.15,3600
2010-12-17,5.33,5.33,5.15,5.15,1500
2010-12-20,5.15,5.15,5.15,5.15,0
2010-12-21,5.33,5.33,5.33,5.33,100
2010-12-22,5.5,5.52,5.5,5.52,200
2010-12-23,5.68,5.68,5.68,5.68,100
2010-12-24,5.29,5.29,5.29,5.29,1100
2010-12-27,5.15,5.4,5.15,5.33,2700
2010-12-28,5.45,5.45,5.38,5.42,1000
2010-12-29,5.5,5.75,5.02,5.59,16100
2010-12-30,5.7,5.7,5.33,5.66,4100
2010-12-31,5.26,5.75,5.18,5.75,2100
2011-01-04,5.75,5.75,5.75,5.75,0
2011-01-05,5.4,5.49,5.4,5.49,8900
2011-01-06,5.49,5.49,5.49,5.49,100
2011-01-07,5.33,5.33,5.33,5.33,3500
2011-01-10,5.06,5.15,5.02,5.02,7500
2011-01-11,5.24,5.24,4.97,4.97,600
2011-01-12,5.33,5.34,5.15,5.15,9500
2011-01-13,5.47,5.47,5.47,5.47,3500
