time,open,high,low,close,volume
2015-04-16,18.91,18.91,18.91,18.91,207100
2015-04-17,20.72,20.78,19.39,19.39,513900
2015-04-20,21.75,21.81,19.39,21.69,444100
2015-04-21,20.0,20.0,20.0,20.0,68400
2015-04-22,19.45,19.94,18.24,19.94,102000
2015-04-23,19.39,19.39,18.3,18.42,56200
2015-04-24,19.94,19.94,18.42,18.42,54300
2015-04-27,18.48,19.33,18.36,19.33,53400
2015-05-04,18.54,18.97,18.18,18.18,42900
2015-05-05,18.48,18.48,18.42,18.42,300
2015-05-06,18.66,18.66,16.66,18.18,34400
2015-05-07,18.84,18.84,16.97,18.18,32500
2015-05-08,17.15,18.42,16.97,18.42,40200
2015-05-11,18.24,18.6,16.97,16.97,21300
2015-05-12,16.78,17.21,16.72,17.21,28900
2015-05-13,16.97,18.12,16.97,17.21,23700
2015-05-14,16.42,17.09,16.42,17.09,5100
2015-05-15,17.21,17.27,15.75,16.66,8200
2015-05-18,16.36,16.54,16.36,16.54,10000
2015-05-19,16.36,16.48,16.36,16.36,7600
2015-05-20,16.3,16.72,16.0,16.36,18900
2015-05-21,15.82,16.24,15.82,16.24,8100
2015-05-22,16.24,16.3,16.18,16.18,14700
2015-05-25,16.18,16.6,15.75,15.75,20600
2015-05-26,16.36,17.51,15.21,16.18,9200
2015-05-27,15.88,16.48,15.88,15.88,9400
2015-05-28,15.45,16.3,15.45,16.3,10500
2015-05-29,16.36,17.39,16.36,17.33,13000
2015-06-01,17.45,17.51,16.36,16.91,26500
2015-06-02,16.36,16.78,16.36,16.36,16600
2015-06-03,16.36,17.21,16.36,16.36,32300
2015-06-04,17.15,17.15,16.12,16.66,36400
2015-06-05,17.33,17.33,16.97,16.97,24000
2015-06-08,16.66,16.91,16.06,16.06,19000
2015-06-09,16.78,16.78,15.75,15.75,18200
2015-06-10,16.6,16.6,15.82,16.06,47100
2015-06-11,16.6,16.6,15.75,16.06,21000
2015-06-12,16.42,16.42,16.12,16.12,25500
2015-06-15,15.82,16.24,15.75,16.06,28200
2015-06-16,16.24,16.48,16.24,16.48,13000
2015-06-17,16.48,16.48,16.48,16.48,0
2015-06-18,16.12,16.24,16.12,16.12,26300
2015-06-19,16.12,16.3,16.12,16.24,42300
2015-06-22,16.24,16.6,15.82,16.3,19700
2015-06-23,16.3,16.3,16.3,16.3,0
2015-06-24,15.75,16.42,15.75,16.42,30500
2015-06-25,16.42,16.42,16.42,16.42,22000
2015-06-26,16.36,16.36,16.36,16.36,5000
2015-06-29,16.18,16.18,15.75,15.75,2200
2015-06-30,16.3,16.3,14.48,16.3,15500
2015-07-01,16.3,16.3,16.18,16.18,19600
2015-07-02,16.24,16.91,16.06,16.06,19400
2015-07-03,16.78,16.78,16.78,16.78,16000
2015-07-06,15.75,16.3,15.75,16.3,16800
2015-07-07,16.72,16.72,16.36,16.36,28500
2015-07-08,16.36,16.36,16.36,16.36,0
2015-07-09,16.48,16.54,16.48,16.54,8200
2015-07-10,16.36,16.36,15.15,16.18,19300
2015-07-13,16.3,16.36,15.75,15.75,21000
2015-07-14,16.6,16.6,15.75,15.94,18600
2015-07-15,15.82,16.3,15.75,16.06,15900
2015-07-16,16.24,16.36,16.18,16.36,43000
2015-07-17,17.27,18.66,16.36,17.27,26500
2015-07-20,18.18,18.66,16.97,18.18,14800
2015-07-21,19.33,19.33,17.09,17.57,6800
2015-07-22,17.75,17.75,17.57,17.69,21400
2015-07-23,17.69,17.69,15.15,16.66,19200
2015-07-24,18.18,18.18,16.06,16.06,20300
2015-07-27,17.81,17.81,17.39,17.39,30300
2015-07-28,16.97,17.51,16.97,17.27,67000
2015-07-29,17.27,17.45,17.27,17.45,64600
2015-07-30,19.27,19.27,18.18,18.18,21800
2015-07-31,17.57,18.66,17.57,18.66,500
2015-08-03,16.66,18.0,16.66,18.0,600
2015-08-04,16.97,17.57,16.97,17.57,1800
2015-08-05,15.94,17.39,15.88,17.39,400
2015-08-06,16.66,17.03,16.66,16.97,1500
2015-08-07,16.97,16.97,16.97,16.97,10600
2015-08-10,16.97,16.97,16.97,16.97,10000
2015-08-11,17.27,17.81,16.97,17.81,29300
2015-08-12,16.12,17.81,16.12,17.81,24000
2015-08-13,16.97,17.51,16.97,16.97,18600
2015-08-14,16.72,17.09,16.72,17.09,28300
2015-08-17,16.06,16.97,16.06,16.97,22500
2015-08-18,16.24,16.97,16.24,16.97,21000
2015-08-19,16.42,17.27,16.42,17.27,38000
2015-08-20,17.51,17.51,16.97,17.03,4000
2015-08-21,16.66,17.21,16.66,17.21,4900
2015-08-24,16.78,16.91,16.78,16.91,7800
2015-08-25,16.72,16.72,16.72,16.72,13200
2015-08-26,17.57,17.57,17.57,17.57,100
2015-08-27,17.51,17.51,16.97,16.97,1100
2015-08-28,16.72,17.51,16.36,17.51,8600
2015-08-31,16.97,18.18,16.97,18.18,1400
2015-09-01,17.39,17.39,17.39,17.39,100
2015-09-03,17.39,17.39,17.39,17.39,0
2015-09-04,16.42,17.57,16.42,17.57,300
2015-09-07,17.57,17.57,17.57,17.57,0
2015-09-08,17.57,17.57,17.57,17.57,0
2015-09-09,16.97,17.21,16.97,17.21,15300
2015-09-10,16.97,17.57,16.66,17.57,14900
2015-09-11,16.91,18.06,16.91,18.06,10100
2015-09-14,17.03,17.81,17.03,17.81,14800
2015-09-15,16.97,17.69,16.97,17.69,10100
2015-09-16,16.97,17.09,16.97,16.97,13800
2015-09-17,16.97,16.97,16.97,16.97,10000
2015-09-18,16.97,17.57,16.97,17.57,14600
2015-09-21,17.03,17.57,17.03,17.57,12000
2015-09-22,17.33,17.57,17.33,17.57,10300
2015-09-23,17.57,18.18,17.33,17.63,12600
2015-09-24,17.57,18.06,17.45,18.06,13700
2015-09-25,17.51,17.57,17.51,17.57,10300
2015-09-28,17.57,18.0,17.57,18.0,2600
2015-09-29,17.57,17.57,17.27,17.27,600
2015-09-30,17.94,17.94,17.94,17.94,100
2015-10-01,17.88,17.94,17.88,17.94,14500
2015-10-02,17.88,17.88,17.27,17.63,11600
2015-10-05,17.81,17.81,17.57,17.57,28500
2015-10-06,17.69,17.69,17.57,17.57,11700
2015-10-07,17.69,17.69,17.57,17.57,11000
2015-10-08,19.33,19.33,17.57,17.57,15800
2015-10-09,18.48,18.6,17.57,18.06,12400
2015-10-12,17.88,18.06,17.57,18.06,12700
2015-10-13,18.0,18.0,17.57,17.88,26500
2015-10-14,17.81,17.88,17.63,17.88,16900
