time,open,high,low,close,volume
2010-01-04,9.36,9.47,9.36,9.47,3590
2010-01-05,9.71,9.71,9.47,9.6,3680
2010-01-06,9.71,9.71,9.16,9.16,3120
2010-01-07,9.16,9.16,9.05,9.16,290
2010-01-08,9.16,9.16,8.74,8.74,5130
2010-01-11,9.03,9.03,8.83,9.01,620
2010-01-12,8.61,9.27,8.61,8.61,1660
2010-01-13,9.01,9.01,8.39,8.39,2500
2010-01-14,8.81,8.81,8.81,8.81,2050
2010-01-15,8.41,8.83,8.41,8.41,1010
2010-01-18,8.61,8.61,8.61,8.61,50
2010-01-19,8.61,8.61,8.61,8.61,10650
2010-01-20,8.24,8.59,8.21,8.21,2410
2010-01-21,7.84,8.37,7.82,7.82,1950
2010-01-22,8.15,8.15,8.1,8.15,510
2010-01-25,8.5,8.5,7.77,8.5,30
2010-01-26,8.59,8.59,8.59,8.59,4130
2010-01-27,8.94,8.94,8.17,8.83,1860
2010-01-28,8.39,8.61,8.39,8.61,3770
2010-01-29,8.72,8.72,8.59,8.72,250
2010-02-01,8.32,8.99,8.32,8.32,1010
2010-02-02,8.61,8.61,8.61,8.61,10
2010-02-03,8.83,8.83,8.19,8.81,30
2010-02-04,8.43,8.59,8.43,8.43,80
2010-02-05,8.39,8.61,8.39,8.39,2080
2010-02-08,8.48,8.5,7.97,8.48,2500
2010-02-09,8.48,8.48,8.48,8.48,0
2010-02-10,8.59,8.59,8.59,8.59,10
2010-02-11,8.5,8.5,8.5,8.5,2100
2010-02-12,8.83,8.83,8.68,8.83,4010
2010-02-22,8.83,8.83,8.39,8.83,70
2010-02-23,8.85,8.85,8.39,8.85,1200
2010-02-24,8.83,8.83,8.83,8.83,200
2010-02-25,8.39,8.61,8.39,8.39,1920
2010-02-26,8.72,8.72,8.72,8.72,10
2010-03-01,8.72,8.83,8.72,8.83,1210
2010-03-02,8.61,8.9,8.61,8.61,680
2010-03-03,8.83,8.83,8.61,8.83,960
2010-03-04,8.61,8.83,8.39,8.61,530
2010-03-05,8.81,8.81,8.79,8.81,4030
2010-03-08,8.94,8.94,8.39,8.94,5720
2010-03-09,8.83,9.03,8.83,8.83,1080
2010-03-10,8.83,8.83,8.39,8.39,230
2010-03-11,8.61,8.79,8.61,8.61,2930
2010-03-12,8.39,8.83,8.39,8.39,920
