time,open,high,low,close,volume
2010-01-04,13.78,13.82,13.67,13.82,57500
2010-01-05,14.74,14.78,14.48,14.74,127000
2010-01-06,13.82,15.11,13.82,14.74,128600
2010-01-07,15.11,15.44,14.74,14.85,77700
2010-01-08,14.78,15.3,13.82,14.3,39000
2010-01-11,14.19,14.19,13.67,13.86,18600
2010-01-12,13.64,13.64,12.94,12.97,50400
2010-01-13,13.27,13.64,12.75,13.45,38500
2010-01-14,13.93,13.97,13.38,13.82,13000
2010-01-15,13.82,13.82,13.01,13.08,13500
2010-01-18,12.72,13.08,12.38,12.64,24600
2010-01-19,12.86,12.9,12.75,12.9,9100
2010-01-20,12.64,12.64,12.53,12.53,7800
2010-01-21,11.98,12.57,11.79,11.98,29900
2010-01-22,12.02,12.24,12.02,12.16,14800
2010-01-25,12.16,12.94,12.16,12.83,41500
2010-01-26,13.64,13.67,13.56,13.67,45600
2010-01-27,14.01,14.01,12.72,12.9,20700
2010-01-28,13.27,13.27,12.46,12.68,14300
2010-01-29,12.35,12.72,12.16,12.68,18100
2010-02-01,12.53,12.61,12.42,12.57,14900
2010-02-02,12.61,12.61,12.53,12.53,10500
2010-02-03,12.53,12.57,12.53,12.53,27800
2010-02-04,12.57,12.75,12.53,12.68,11900
2010-02-05,12.57,12.57,11.98,12.09,11800
2010-02-08,12.16,12.38,12.16,12.16,1900
2010-02-09,12.16,12.24,12.02,12.16,4900
2010-02-10,12.35,12.38,12.16,12.24,4800
2010-02-11,12.24,12.72,12.2,12.35,12200
2010-02-12,12.68,12.72,12.68,12.68,2100
2010-02-22,12.68,12.97,12.68,12.72,2500
2010-02-23,12.53,12.72,12.53,12.53,15800
2010-02-24,12.53,12.53,12.53,12.53,7200
2010-02-25,12.57,12.57,12.27,12.38,5200
2010-02-26,12.16,12.42,12.16,12.42,8700
2010-03-01,12.46,12.61,12.38,12.53,10500
2010-03-02,12.53,12.64,12.46,12.46,12700
2010-03-03,12.57,13.05,12.38,12.72,40600
2010-03-04,12.83,13.45,12.83,13.08,48300
2010-03-05,13.12,13.75,13.12,13.75,14500
2010-03-08,13.64,13.75,13.27,13.45,44000
2010-03-09,13.45,13.45,13.27,13.38,37700
2010-03-10,13.27,13.27,12.97,13.23,25500
2010-03-11,13.19,13.45,13.19,13.27,10400
2010-03-12,13.27,14.01,13.27,13.82,72200
2010-03-15,14.19,14.19,13.64,13.67,24900
2010-03-16,13.82,13.82,13.08,13.08,23700
2010-03-17,13.08,13.34,12.75,12.9,17400
2010-03-18,12.9,13.31,12.79,12.94,28100
2010-03-19,13.64,13.64,12.75,12.9,32400
2010-03-22,12.72,12.75,12.49,12.72,23600
2010-03-23,12.61,12.68,12.38,12.38,27100
2010-03-24,12.35,12.83,12.16,12.83,248900
2010-03-25,13.01,13.45,12.9,13.34,284600
2010-03-26,13.42,13.42,12.61,12.9,42900
2010-03-29,12.83,13.27,12.75,12.79,81700
2010-03-30,12.72,12.72,12.16,12.31,96400
2010-03-31,12.38,12.38,11.61,11.87,119500
2010-04-01,11.98,12.16,11.79,12.02,94400
2010-04-02,12.27,12.35,12.02,12.2,65200
2010-04-05,12.16,12.61,12.16,12.57,99500
2010-04-06,12.53,13.27,12.49,13.27,511200
2010-04-07,14.01,14.15,13.45,14.15,523300
2010-04-08,15.07,15.07,14.56,15.07,282300
