time,open,high,low,close,volume
2010-11-09,13.05,13.05,10.48,10.82,966900
2010-11-10,10.69,10.69,10.53,10.53,765300
2010-11-11,9.95,10.15,9.82,9.82,1760300
2010-11-12,9.53,9.53,9.2,9.2,1690900
2010-11-15,9.24,9.7,8.95,9.16,425700
2010-11-16,8.95,9.82,8.95,9.82,2864200
2010-11-17,9.86,10.03,9.78,9.95,637500
2010-11-18,10.03,10.24,9.78,9.86,465300
2010-11-19,9.95,9.99,9.66,9.82,646700
2010-11-22,9.53,9.53,9.2,9.49,312400
2010-11-23,9.53,9.57,9.24,9.53,308400
2010-11-24,9.37,9.53,9.37,9.45,262200
2010-11-25,9.53,9.9,9.53,9.82,324000
2010-11-26,9.95,9.95,9.74,9.9,363800
2010-11-29,9.74,10.48,9.66,10.48,507000
2010-11-30,10.77,10.82,10.36,10.61,637300
2010-12-01,10.77,10.94,10.36,10.48,418200
2010-12-02,10.69,11.44,10.53,11.44,781300
2010-12-03,11.94,11.94,11.6,11.94,503100
2010-12-06,12.64,12.76,12.02,12.39,3513000
2010-12-07,12.02,13.26,12.02,12.31,1896500
2010-12-08,12.43,12.68,11.69,11.77,1673500
2010-12-09,11.85,12.68,11.69,12.68,858500
2010-12-10,13.18,13.18,13.05,13.18,785300
2010-12-13,14.09,14.09,14.09,14.09,833300
2010-12-14,15.04,15.04,13.63,14.09,1370500
2010-12-15,14.09,14.59,13.97,14.01,1764500
2010-12-16,13.3,13.84,13.26,13.3,572400
2010-12-17,13.68,14.09,13.47,14.05,533400
2010-12-20,14.09,14.09,13.18,13.22,418700
2010-12-21,13.34,13.34,12.72,12.89,1064100
2010-12-22,13.47,13.47,12.85,13.05,510300
2010-12-23,13.05,13.1,12.35,13.1,418500
2010-12-24,13.01,13.26,12.43,12.97,266200
2010-12-27,13.18,13.18,12.68,13.05,486600
2010-12-28,13.26,13.68,12.89,13.26,683700
2010-12-29,13.88,13.88,12.81,12.85,280500
2010-12-30,12.64,13.05,12.6,12.81,286400
2010-12-31,12.76,13.47,12.52,13.05,650500
2011-01-04,13.22,13.8,13.01,13.01,243000
2011-01-05,12.85,12.89,12.68,12.72,198300
2011-01-06,12.56,12.85,12.56,12.81,75700
2011-01-07,12.81,12.85,12.47,12.64,180000
2011-01-10,12.06,12.23,11.77,11.81,174500
2011-01-11,12.02,12.02,11.48,11.69,156200
2011-01-12,12.02,12.43,11.65,11.85,589200
2011-01-13,12.14,12.23,12.02,12.02,300500
2011-01-14,12.18,12.18,11.85,12.1,126800
2011-01-17,12.1,12.56,12.06,12.23,167200
2011-01-18,11.94,12.14,11.81,11.98,159300
2011-01-19,12.02,12.23,11.65,11.73,218000
2011-01-20,11.69,11.85,11.56,11.56,176000
2011-01-21,11.69,11.81,11.4,11.48,170400
2011-01-24,11.52,11.52,11.02,11.06,108400
2011-01-25,11.19,11.31,11.06,11.19,96600
2011-01-26,11.69,11.69,11.19,11.31,36400
2011-01-27,11.6,11.77,11.56,11.73,44000
2011-01-28,11.48,11.6,11.27,11.36,125300
2011-02-08,11.52,11.52,11.19,11.19,59100
2011-02-09,11.19,11.81,11.19,11.31,322800
