time,open,high,low,close,volume
2010-01-04,20.54,21.74,20.54,21.74,61900
2010-01-05,23.04,23.04,20.13,22.05,283700
2010-01-06,21.43,23.12,21.16,21.21,343000
2010-01-07,21.65,22.23,20.54,20.76,262400
2010-01-08,20.98,22.86,20.22,21.43,169200
2010-01-11,20.98,22.32,20.58,20.98,78700
2010-01-12,20.98,21.03,19.6,19.6,163000
2010-01-13,19.64,20.98,18.53,20.45,151200
2010-01-14,20.76,20.8,20.54,20.8,114300
2010-01-15,21.34,21.43,19.46,20.27,118400
2010-01-18,19.42,19.42,19.29,19.29,57900
2010-01-19,19.2,19.87,19.2,19.64,102400
2010-01-20,20.54,20.54,18.04,18.04,70800
2010-01-21,18.3,18.3,17.23,17.41,186700
2010-01-22,16.52,17.81,16.25,17.5,41700
2010-01-25,17.41,17.63,16.92,17.59,25900
2010-01-26,18.26,18.57,18.26,18.57,28900
2010-01-27,19.64,19.78,17.41,17.41,71000
2010-01-28,17.63,17.86,17.19,17.41,37300
2010-01-29,17.19,17.59,17.14,17.41,22400
2010-02-01,17.86,17.86,17.41,17.81,27800
2010-02-02,17.86,17.86,16.96,16.96,50900
2010-02-03,17.37,17.63,17.28,17.28,20500
2010-02-04,17.63,17.95,17.41,17.86,52200
2010-02-05,17.86,17.86,16.96,17.81,37000
2010-02-08,17.01,17.37,16.96,17.14,29800
2010-02-09,17.01,17.01,16.74,16.74,13100
2010-02-10,16.96,17.19,16.87,16.96,24500
2010-02-11,17.19,17.63,17.19,17.41,14600
2010-02-12,18.08,18.08,17.41,17.95,9200
2010-02-22,17.86,18.66,17.63,17.68,17500
2010-02-23,17.1,17.19,16.61,17.19,42600
2010-02-24,16.52,17.14,16.52,17.14,15800
2010-02-25,17.1,17.19,17.05,17.05,5200
2010-02-26,17.05,17.41,17.01,17.19,18300
2010-03-01,17.41,18.35,17.41,18.35,168500
2010-03-02,19.24,19.24,18.75,19.24,286900
2010-03-03,19.64,20.54,19.64,20.54,133700
2010-03-04,20.98,21.65,20.58,21.16,193000
2010-03-05,21.43,21.96,20.58,21.87,239000
2010-03-08,22.1,22.77,21.87,22.1,146100
2010-03-09,21.87,22.28,21.21,21.65,217900
2010-03-10,21.83,23.26,21.21,22.86,421900
2010-03-11,22.86,23.93,22.46,23.93,291400
2010-03-12,23.66,25.22,23.66,24.55,177200
2010-03-15,25.18,25.36,23.17,23.44,135000
2010-03-16,22.77,23.44,22.1,22.1,271800
2010-03-17,22.32,23.21,21.43,21.92,206300
2010-03-18,22.32,22.77,21.65,22.32,131700
2010-03-19,22.54,22.99,21.87,21.96,140300
2010-03-22,21.87,22.5,21.65,21.96,91500
2010-03-23,21.83,21.83,20.8,21.34,80300
2010-03-24,20.98,21.65,20.98,21.43,157100
2010-03-25,21.21,21.43,20.0,20.09,174400
2010-03-26,20.54,20.98,19.69,20.45,108100
2010-03-29,20.54,21.7,20.54,21.7,275200
2010-03-30,22.32,22.54,20.54,21.43,109600
2010-03-31,21.65,21.65,20.8,20.98,83800
2010-04-01,21.34,21.65,20.54,21.43,128100
2010-04-02,21.43,22.32,21.43,22.1,276200
2010-04-05,22.99,23.53,22.99,23.53,124800
2010-04-06,25.09,25.09,24.55,24.73,660600
2010-04-07,24.96,25.4,24.33,24.55,251500
2010-04-08,25.0,26.56,24.64,26.56,406100
2010-04-09,24.55,26.92,24.55,25.22,197500
2010-04-12,25.0,25.89,24.15,24.82,233800
2010-04-13,25.22,25.22,23.66,23.93,139300
2010-04-14,23.53,24.82,23.53,24.33,174300
2010-04-15,24.51,25.94,24.42,25.94,349000
2010-04-16,26.16,26.34,25.0,25.27,163000
2010-04-19,25.27,25.89,24.55,25.18,226400
2010-04-20,25.45,26.12,25.27,25.54,162500
2010-04-21,25.89,27.37,25.67,27.37,506800
2010-04-22,28.39,28.75,25.45,25.94,191800
2010-04-26,25.89,26.12,25.0,25.09,152500
2010-04-27,25.67,25.89,25.13,25.36,147400
2010-04-28,25.85,25.85,25.04,25.04,177000
2010-04-29,24.78,25.89,24.78,25.4,145600
2010-05-04,23.66,26.03,23.66,25.36,206900
