time,open,high,low,close,volume
2010-01-04,8.18,8.27,8.18,8.27,5200
2010-01-05,8.84,8.84,8.57,8.65,7600
2010-01-06,9.31,9.31,8.21,8.65,4100
2010-01-07,8.92,8.92,8.13,8.13,7700
2010-01-08,8.76,8.76,8.1,8.51,5700
2010-01-11,8.65,8.65,8.65,8.65,100
2010-01-12,8.38,8.38,8.05,8.05,13300
2010-01-13,7.55,7.55,7.5,7.55,4700
2010-01-14,7.14,8.02,7.14,7.85,1900
2010-01-15,7.85,7.85,7.85,7.85,0
2010-01-18,8.24,8.24,7.41,7.41,2600
2010-01-19,7.44,7.44,7.41,7.41,800
2010-01-20,7.14,7.14,6.95,6.95,4100
2010-01-21,6.95,6.95,6.95,6.95,0
2010-01-22,7.5,7.5,6.73,6.73,700
2010-01-25,7.11,7.11,6.59,6.59,200
2010-01-26,7.3,7.33,7.3,7.33,300
2010-01-27,7.33,7.33,7.33,7.33,0
2010-01-28,7.61,7.61,7.14,7.55,400
2010-01-29,7.85,7.85,7.55,7.85,5300
2010-02-01,8.4,8.4,7.96,7.96,300
2010-02-02,8.35,8.35,7.83,7.83,200
2010-02-03,7.83,7.83,7.83,7.83,400
2010-02-04,8.21,8.21,7.69,7.69,700
2010-02-05,7.69,7.69,7.69,7.69,0
2010-02-08,7.69,7.69,7.69,7.69,0
2010-02-09,7.96,7.96,7.94,7.96,600
2010-02-10,7.44,7.96,7.41,7.94,800
2010-02-11,8.24,8.24,7.96,7.96,400
2010-02-12,8.18,8.18,8.18,8.18,200
2010-02-22,8.18,8.18,8.18,8.18,0
2010-02-23,7.63,8.1,7.63,8.1,400
2010-02-24,7.41,7.41,7.41,7.41,400
2010-02-25,7.8,7.8,7.03,7.03,400
2010-02-26,7.8,7.8,7.44,7.44,700
2010-03-01,7.5,7.5,7.5,7.5,100
2010-03-02,7.41,7.96,7.41,7.66,900
2010-03-03,7.69,7.69,7.69,7.69,700
2010-03-04,8.18,8.21,8.1,8.21,5700
2010-03-05,8.13,8.13,8.13,8.13,1100
2010-03-08,8.43,8.43,7.96,7.96,3300
2010-03-09,8.07,8.07,7.83,8.02,3000
2010-03-10,7.74,7.94,7.72,7.94,3700
2010-03-11,7.96,7.96,7.96,7.96,400
2010-03-12,7.69,7.96,7.69,7.96,1200
2010-03-15,7.88,8.27,7.83,8.27,9700
2010-03-16,7.69,8.51,7.69,8.51,6800
2010-03-17,7.88,7.88,7.69,7.69,3000
2010-03-18,8.21,8.32,8.21,8.32,3400
2010-03-19,8.24,8.24,8.24,8.24,400
2010-03-22,8.24,8.24,8.24,8.24,0
2010-03-23,8.1,8.21,7.74,8.21,400
2010-03-24,7.8,7.8,7.69,7.69,7800
2010-03-25,7.55,7.55,7.41,7.41,7400
2010-03-26,7.41,7.41,7.41,7.41,0
2010-03-29,7.41,7.47,7.41,7.47,300
2010-03-30,7.44,7.44,7.19,7.41,2700
2010-03-31,7.3,7.41,7.17,7.36,6500
2010-04-01,7.28,7.74,7.28,7.74,3800
2010-04-02,7.74,7.74,7.74,7.74,0
2010-04-05,7.74,7.77,7.74,7.77,1100
2010-04-06,7.44,7.44,7.41,7.44,1700
2010-04-07,7.41,7.47,7.41,7.47,4700
2010-04-08,7.91,7.94,7.83,7.94,8100
2010-04-09,7.94,8.4,7.94,8.4,9800
2010-04-12,7.96,7.96,7.96,7.96,1000
2010-04-13,7.58,7.58,7.55,7.55,1800
2010-04-14,7.96,7.96,7.96,7.96,100
2010-04-15,8.32,8.32,8.18,8.18,600
2010-04-16,8.38,8.38,7.74,7.77,2300
2010-04-19,7.96,7.96,7.69,7.69,8000
2010-04-20,7.85,7.96,7.85,7.96,2600
2010-04-21,8.24,8.46,7.91,8.46,24100
2010-04-22,8.98,8.98,8.95,8.95,22500
2010-04-26,8.4,9.06,8.38,8.38,2500
2010-04-27,8.68,8.68,8.13,8.13,3700
