time,open,high,low,close,volume
2010-01-04,25.34,25.34,25.34,25.34,13000
2010-01-05,27.06,27.06,26.58,26.58,53000
2010-01-06,27.73,27.73,25.14,25.14,32000
2010-01-07,23.81,25.53,23.81,23.81,65200
2010-01-08,25.14,25.24,22.66,23.9,22100
2010-01-11,26.0,26.39,22.94,23.42,11900
2010-01-12,23.04,24.86,22.94,22.94,7500
2010-01-13,21.61,23.9,21.61,23.23,58600
2010-01-14,23.52,23.81,22.94,23.71,42200
2010-01-15,22.94,22.94,21.99,21.99,13500
2010-01-18,21.03,21.13,20.75,20.75,10600
2010-01-19,20.55,21.13,20.55,21.13,12600
2010-01-20,22.37,22.37,20.55,20.55,5100
2010-01-21,20.94,22.28,19.5,19.5,13800
2010-01-22,21.03,21.51,19.31,21.51,30900
2010-01-25,21.61,21.61,20.55,21.22,7300
2010-01-26,20.84,22.28,20.84,22.28,30100
2010-01-27,23.57,23.57,20.79,20.79,5900
2010-01-28,19.9,20.4,19.9,20.4,3900
2010-01-29,19.8,20.7,19.31,20.7,5400
2010-02-01,18.81,20.1,18.71,20.1,3800
2010-02-02,20.3,20.3,19.8,19.8,3800
2010-02-03,20.1,20.1,19.31,19.8,8500
2010-02-04,20.1,20.5,20.1,20.3,14200
2010-02-05,20.3,20.5,19.31,19.61,3200
2010-02-08,19.8,19.8,19.8,19.8,1000
2010-02-09,18.42,19.7,18.42,18.52,3600
2010-02-10,19.8,19.8,19.8,19.8,300
2010-02-11,18.81,19.9,18.81,19.11,4700
2010-02-12,20.6,20.6,19.61,19.7,700
2010-02-22,20.89,20.89,19.8,19.9,4400
2010-02-23,19.01,20.2,18.81,18.81,5800
2010-02-24,18.71,19.61,18.71,19.31,6800
2010-02-25,18.81,19.31,18.81,19.31,4000
2010-02-26,19.01,19.8,19.01,19.8,11100
2010-03-01,19.8,19.8,19.31,19.8,15600
2010-03-02,19.8,20.79,19.51,19.8,16600
2010-03-03,19.8,21.59,19.8,21.59,30300
2010-03-04,21.49,22.28,21.49,21.78,45300
2010-03-05,22.77,22.77,22.18,22.77,14500
2010-03-08,23.57,23.57,22.87,23.37,18400
2010-03-09,23.37,23.37,22.38,22.38,17500
2010-03-10,22.28,22.28,21.39,21.78,17800
2010-03-11,22.68,22.77,21.78,22.18,22500
2010-03-12,22.18,22.18,21.88,22.18,12900
2010-03-15,22.58,22.58,21.78,21.78,38200
2010-03-16,21.78,21.78,20.5,20.7,28600
2010-03-17,20.79,21.29,20.3,20.79,26000
2010-03-18,20.79,21.49,20.79,21.19,14500
2010-03-19,21.19,21.19,20.79,20.79,5200
2010-03-22,20.79,20.79,20.79,20.79,1300
2010-03-23,20.3,20.6,20.1,20.2,12100
2010-03-24,21.0,21.0,20.5,20.5,13200
2010-03-25,21.0,21.0,19.5,19.8,5700
2010-03-26,20.5,20.6,20.0,20.2,13500
2010-03-29,20.1,20.2,20.1,20.1,8900
2010-03-30,19.5,19.7,19.3,19.7,12200
2010-03-31,19.6,19.6,19.5,19.5,7700
2010-04-01,19.0,20.0,19.0,19.1,1300
2010-04-02,19.8,19.8,19.5,19.5,5200
2010-04-05,20.3,20.3,19.9,20.3,8700
2010-04-06,20.3,21.2,20.0,20.0,7500
2010-04-07,20.0,20.5,19.7,20.0,10300
2010-04-08,20.6,21.5,20.6,21.5,47500
2010-04-09,21.5,22.0,21.1,21.1,39700
2010-04-12,21.7,21.7,20.4,20.6,16500
2010-04-13,20.7,20.7,20.2,20.2,16000
2010-04-14,20.5,20.9,20.5,20.7,7700
2010-04-15,21.0,21.0,20.1,20.8,29100
2010-04-16,21.2,21.5,20.5,20.5,37200
2010-04-19,21.5,22.0,20.2,20.5,69800
2010-04-20,22.5,22.8,21.9,22.8,122200
2010-04-21,23.7,24.2,23.7,24.2,69100
2010-04-22,25.8,25.8,23.0,23.7,57300
2010-04-26,23.1,23.2,23.1,23.1,22900
2010-04-27,23.0,23.0,21.5,22.1,28100
2010-04-28,22.8,23.0,22.3,23.0,36300
2010-04-29,23.9,24.1,23.7,24.1,80800
2010-05-04,24.8,24.9,24.0,24.2,58400
2010-05-05,23.9,24.0,23.0,24.0,29900
2010-05-06,24.5,25.0,23.9,24.8,76200
2010-05-07,23.1,24.9,23.1,23.7,42900
2010-05-10,22.6,23.4,21.9,22.4,51100
2010-05-11,22.6,23.0,22.5,22.5,14300
2010-05-12,22.6,22.6,21.1,21.1,39200
2010-05-13,21.0,22.0,21.0,21.6,17300
2010-05-14,22.0,22.3,21.8,22.3,14500
2010-05-17,22.1,22.2,21.2,21.2,9600
2010-05-18,21.0,21.0,21.0,21.0,3800
2010-05-19,22.0,22.0,19.6,19.6,22000
2010-05-20,18.5,19.7,18.4,19.5,76300
2010-05-21,17.4,17.6,17.4,17.4,29700
2010-05-24,18.6,18.6,18.0,18.5,5800
2010-05-25,18.0,18.5,17.6,18.3,15700
2010-05-26,18.6,19.2,18.0,19.1,42400
2010-05-27,17.8,18.9,17.8,18.6,15600
2010-05-28,20.0,20.0,19.7,20.0,25600
2010-05-31,19.0,19.2,18.8,18.8,4600
2010-06-01,18.1,19.0,18.0,18.5,7500
2010-06-02,18.5,18.8,18.1,18.7,10100
2010-06-03,18.7,18.7,18.4,18.4,18900
2010-06-04,18.4,18.5,17.9,18.4,23000
2010-06-07,18.0,18.1,17.0,17.3,17600
2010-06-08,17.0,17.8,17.0,17.8,34200
2010-06-09,18.4,18.4,17.7,17.7,8500
2010-06-10,18.0,18.0,17.7,17.9,11500
2010-06-11,18.3,18.4,18.0,18.1,31700
2010-06-14,18.5,19.4,18.2,19.4,73300
2010-06-15,19.0,19.9,18.9,19.0,26600
2010-06-16,19.3,19.6,19.2,19.5,23300
2010-06-17,19.0,19.0,18.8,18.8,26900
2010-06-18,18.4,19.0,18.4,18.9,11900
2010-06-21,19.0,20.0,18.9,20.0,96900
2010-06-22,19.7,20.0,19.6,19.8,49900
2010-06-23,19.8,19.8,18.8,19.3,22900
2010-06-24,19.3,19.6,19.2,19.3,21100
2010-06-25,19.4,19.4,18.6,18.7,33000
2010-06-28,19.5,19.5,18.7,18.9,14100
2010-06-29,18.9,19.0,18.7,18.9,12300
