time,open,high,low,close,volume
2010-01-04,7.44,7.57,7.12,7.57,77500
2010-01-05,8.02,8.02,7.57,7.7,209100
2010-01-06,7.44,7.95,7.44,7.58,207300
2010-01-07,7.34,7.63,7.29,7.3,160700
2010-01-08,7.39,7.68,7.06,7.44,209800
2010-01-11,7.38,7.44,6.93,7.06,167100
2010-01-12,7.08,7.3,6.59,6.67,226900
2010-01-13,6.54,7.33,6.39,7.18,149300
2010-01-14,7.38,7.39,7.25,7.39,164800
2010-01-15,7.63,7.7,7.07,7.25,63400
2010-01-18,7.13,7.15,6.86,6.93,133700
2010-01-19,6.86,7.31,6.83,7.06,57400
2010-01-20,6.99,6.99,6.77,6.79,96600
2010-01-21,6.54,6.84,6.36,6.41,195900
2010-01-22,6.13,6.67,6.03,6.65,84900
2010-01-25,6.48,6.76,6.29,6.76,70000
2010-01-26,6.95,7.09,6.81,7.09,29200
2010-01-27,7.44,7.44,6.8,7.03,52400
2010-01-28,6.94,7.06,6.8,6.93,54300
2010-01-29,6.74,6.92,6.61,6.85,60000
2010-02-01,6.88,7.11,6.81,7.06,34900
2010-02-02,7.07,7.07,6.93,6.93,40700
2010-02-03,6.93,7.13,6.93,7.11,65000
2010-02-04,7.06,7.25,7.06,7.15,36300
2010-02-05,7.06,7.13,6.98,7.0,44000
2010-02-08,7.06,7.06,6.95,7.06,15500
2010-02-09,7.06,7.06,6.86,6.93,94000
2010-02-10,7.06,7.06,6.99,7.02,20800
2010-02-11,6.99,7.15,6.93,7.15,36600
2010-02-12,7.11,7.25,7.11,7.18,20000
2010-02-22,7.25,7.44,7.21,7.29,25700
2010-02-23,7.26,7.3,6.95,7.29,50400
2010-02-24,7.18,7.38,7.18,7.38,36000
2010-02-25,7.44,7.44,7.17,7.18,18500
2010-02-26,7.06,7.15,7.06,7.15,9300
2010-03-01,7.13,7.25,7.12,7.24,36400
2010-03-02,7.18,7.44,7.18,7.38,73700
2010-03-03,7.44,7.7,7.38,7.57,97300
2010-03-04,7.63,7.92,7.53,7.58,70200
2010-03-05,7.7,7.83,7.57,7.8,59400
2010-03-08,8.02,8.15,7.77,8.08,67800
2010-03-09,7.83,8.06,7.83,7.83,56500
2010-03-10,7.83,7.95,7.67,7.88,87200
2010-03-11,7.99,8.08,7.86,7.92,90300
2010-03-12,8.21,8.34,8.08,8.26,91500
2010-03-15,8.34,8.53,8.26,8.39,231500
2010-03-16,8.27,8.34,7.8,7.83,137600
2010-03-17,8.08,8.15,7.49,7.7,72700
2010-03-18,7.95,8.15,7.49,8.08,81600
2010-03-19,8.08,8.21,7.92,8.08,63100
2010-03-22,7.95,8.19,7.95,7.98,53200
2010-03-23,7.83,8.02,7.57,8.01,72500
2010-03-24,8.19,8.25,7.85,7.88,93600
2010-03-25,7.7,7.94,7.52,7.76,62000
2010-03-26,8.07,8.15,7.63,7.7,158000
2010-03-29,7.2,7.88,7.2,7.7,26600
2010-03-30,7.7,7.83,7.62,7.68,62600
2010-03-31,7.7,7.79,7.45,7.57,59300
2010-04-01,7.7,7.8,7.52,7.8,55200
2010-04-02,7.89,7.94,7.71,7.89,91100
2010-04-05,8.2,8.2,7.89,8.02,16000
2010-04-06,8.02,8.19,7.95,8.02,62600
2010-04-07,8.06,8.07,7.83,7.95,28500
2010-04-08,7.95,8.21,7.95,8.08,72300
2010-04-09,8.15,8.21,8.06,8.08,48600
2010-04-12,8.02,8.21,7.95,8.08,78900
2010-04-13,7.95,8.06,7.83,7.95,47300
2010-04-14,7.83,7.92,7.72,7.76,34100
2010-04-15,8.08,8.15,7.84,8.15,133000
2010-04-16,8.03,8.58,8.03,8.4,315100
2010-04-19,8.34,8.89,8.34,8.84,346900
2010-04-20,8.84,8.88,8.48,8.67,123100
2010-04-21,8.72,9.29,8.72,9.24,373300
2010-04-22,9.12,9.49,8.72,8.85,255100
2010-04-26,8.92,8.92,8.67,8.7,152800
2010-04-27,8.85,8.92,8.72,8.72,153000
2010-04-28,8.85,9.11,8.6,9.1,210500
2010-04-29,9.11,9.35,8.98,9.07,189500
2010-05-04,9.11,9.17,8.79,8.88,157400
2010-05-05,8.93,8.93,8.6,8.71,170800
2010-05-06,8.71,8.98,8.62,8.69,151100
2010-05-07,8.47,8.98,8.34,8.65,218900
2010-05-10,8.72,8.72,8.22,8.39,124300
2010-05-11,8.79,8.84,8.26,8.34,109600
2010-05-12,8.46,8.46,7.81,7.81,193200
2010-05-13,7.93,8.18,7.66,7.93,83700
2010-05-14,7.99,8.06,7.94,8.06,43900
2010-05-17,8.06,8.19,7.93,7.94,57700
2010-05-18,7.93,8.1,7.93,8.06,59600
2010-05-19,7.86,8.01,7.6,7.6,133200
2010-05-20,7.6,7.93,7.28,7.82,99400
2010-05-21,7.4,7.47,7.14,7.14,179700
2010-05-24,7.33,7.68,7.0,7.29,17200
2010-05-25,7.33,7.4,7.14,7.2,27100
2010-05-26,7.53,7.65,7.2,7.56,38100
2010-05-27,7.35,7.53,7.33,7.53,25100
2010-05-28,7.55,7.98,7.55,7.8,70500
2010-05-31,7.93,7.98,7.62,7.73,3700
2010-06-01,7.47,7.66,7.41,7.55,59100
2010-06-02,7.6,7.64,7.57,7.57,20000
