time,open,high,low,close,volume
2010-01-04,1.7,1.79,1.69,1.72,31300
2010-01-05,1.72,1.76,1.62,1.62,10700
2010-01-06,1.62,1.69,1.62,1.69,5300
2010-01-07,1.6,1.62,1.54,1.58,7900
2010-01-08,1.7,1.7,1.54,1.54,1100
2010-01-11,1.55,1.66,1.54,1.62,6000
2010-01-12,1.55,1.55,1.54,1.54,3100
2010-01-13,1.52,1.52,1.47,1.49,4300
2010-01-14,1.54,1.54,1.54,1.54,4000
2010-01-15,1.61,1.61,1.61,1.61,1600
2010-01-18,1.51,1.51,1.51,1.51,2000
2010-01-19,1.53,1.53,1.48,1.48,2400
2010-01-20,1.57,1.57,1.43,1.43,6900
2010-01-21,1.45,1.45,1.38,1.45,10300
2010-01-22,1.48,1.48,1.42,1.48,11600
2010-01-25,1.43,1.43,1.43,1.43,2000
2010-01-26,1.53,1.53,1.51,1.51,3100
2010-01-27,1.48,1.48,1.48,1.48,1700
2010-01-28,1.48,1.48,1.48,1.48,0
2010-01-29,1.38,1.4,1.38,1.39,1200
2010-02-01,1.49,1.49,1.49,1.49,2200
2010-02-02,1.53,1.58,1.53,1.58,34400
2010-02-03,1.51,1.51,1.51,1.51,1000
2010-02-04,1.51,1.51,1.51,1.51,1000
2010-02-05,1.49,1.49,1.48,1.48,4500
2010-02-08,1.49,1.49,1.48,1.48,2100
2010-02-09,1.48,1.48,1.48,1.48,0
2010-02-10,1.54,1.54,1.54,1.54,100
2010-02-11,1.65,1.65,1.65,1.65,200
2010-02-12,1.65,1.65,1.65,1.65,0
2010-02-22,1.64,1.73,1.6,1.6,9800
2010-02-23,1.66,1.66,1.66,1.66,0
2010-02-24,1.66,1.66,1.66,1.66,0
2010-02-25,1.66,1.66,1.66,1.66,100
2010-02-26,1.63,1.66,1.58,1.65,4600
2010-03-01,1.55,1.56,1.55,1.56,4100
2010-03-02,1.56,1.56,1.56,1.56,3100
2010-03-03,1.56,1.62,1.56,1.62,600
2010-03-04,1.58,1.58,1.58,1.58,500
2010-03-05,1.58,1.58,1.58,1.58,1000
2010-03-08,1.54,1.54,1.53,1.53,2400
2010-03-09,1.53,1.57,1.53,1.56,5700
2010-03-10,1.56,1.56,1.56,1.56,0
2010-03-11,1.52,1.6,1.52,1.6,200
2010-03-12,1.58,1.58,1.53,1.58,2700
2010-03-15,1.54,1.54,1.54,1.54,1900
2010-03-16,1.51,1.51,1.51,1.51,200
2010-03-17,1.52,1.58,1.51,1.53,11200
2010-03-18,1.53,1.53,1.53,1.53,0
2010-03-19,1.54,1.54,1.54,1.54,9800
2010-03-22,1.55,1.55,1.54,1.55,13600
2010-03-23,1.58,1.58,1.58,1.58,1100
2010-03-24,1.54,1.57,1.54,1.54,1200
2010-03-25,1.53,1.53,1.53,1.53,6500
2010-03-26,1.54,1.54,1.53,1.53,800
2010-03-29,1.54,1.55,1.54,1.55,12500
2010-03-30,1.45,1.46,1.45,1.46,700
2010-03-31,1.56,1.56,1.45,1.45,600
2010-04-01,1.5,1.5,1.48,1.48,3300
2010-04-02,1.57,1.57,1.48,1.48,9100
2010-04-05,1.57,1.57,1.57,1.57,100
2010-04-06,1.62,1.62,1.48,1.48,8800
2010-04-07,1.48,1.48,1.48,1.48,2700
2010-04-08,1.48,1.48,1.46,1.48,8400
2010-04-09,1.48,1.48,1.48,1.48,900
2010-04-12,1.48,1.52,1.48,1.52,6200
2010-04-13,1.48,1.5,1.48,1.5,1300
2010-04-14,1.5,1.5,1.49,1.49,700
2010-04-15,1.54,1.56,1.54,1.56,50600
2010-04-16,1.48,1.48,1.48,1.48,1200
2010-04-19,1.5,1.52,1.5,1.51,16800
2010-04-20,1.52,1.57,1.52,1.55,9700
2010-04-21,1.55,1.55,1.54,1.54,9400
2010-04-22,1.61,1.61,1.54,1.54,9000
2010-04-26,1.51,1.51,1.51,1.51,100
2010-04-27,1.48,1.5,1.48,1.5,1100
2010-04-28,1.54,1.58,1.54,1.56,6600
2010-04-29,1.56,1.56,1.55,1.55,2100
2010-05-04,1.58,1.66,1.58,1.64,18800
2010-05-05,1.66,1.68,1.58,1.6,12000
2010-05-06,1.58,1.71,1.58,1.71,84800
2010-05-07,1.73,1.74,1.64,1.7,25900
2010-05-10,1.68,1.68,1.58,1.66,4200
2010-05-11,1.73,1.73,1.58,1.6,6000
2010-05-12,1.59,1.61,1.51,1.52,32900
2010-05-13,1.56,1.56,1.54,1.55,16000
2010-05-14,1.53,1.54,1.53,1.54,1700
2010-05-17,1.51,1.51,1.5,1.51,1500
2010-05-18,1.52,1.53,1.52,1.53,11300
2010-05-19,1.48,1.52,1.48,1.51,13700
2010-05-20,1.51,1.52,1.48,1.52,24700
2010-05-21,1.52,1.52,1.48,1.48,27700
2010-05-24,1.5,1.52,1.5,1.52,3500
2010-05-25,1.61,1.61,1.61,1.61,100
2010-05-26,1.5,1.51,1.5,1.51,9400
2010-05-27,1.48,1.54,1.48,1.53,21700
2010-05-28,1.58,1.58,1.48,1.5,1100
2010-05-31,1.48,1.53,1.48,1.48,17000
2010-06-01,1.48,1.48,1.46,1.48,14700
2010-06-02,1.5,1.5,1.48,1.48,5800
2010-06-03,1.49,1.49,1.48,1.48,11500
2010-06-04,1.48,1.48,1.48,1.48,4300
2010-06-07,1.48,1.48,1.48,1.48,0
2010-06-08,1.48,1.48,1.48,1.48,3000
2010-06-09,1.48,1.48,1.48,1.48,6500
2010-06-10,1.48,1.48,1.48,1.48,7100
2010-06-11,1.48,1.48,1.48,1.48,0
2010-06-14,1.48,1.48,1.48,1.48,0
2010-06-15,1.48,1.48,1.48,1.48,7500
2010-06-16,1.53,1.53,1.53,1.53,100
2010-06-17,1.45,1.46,1.45,1.45,6500
2010-06-18,1.42,1.48,1.42,1.48,9500
2010-06-21,1.46,1.51,1.46,1.5,19800
2010-06-22,1.5,1.5,1.48,1.48,3500
2010-06-23,1.49,1.59,1.49,1.59,101700
2010-06-24,1.69,1.69,1.69,1.69,101400
2010-06-25,1.8,1.8,1.71,1.8,224200
2010-06-28,1.91,1.91,1.88,1.91,179500
2010-06-29,2.03,2.04,2.02,2.04,192700
2010-06-30,1.9,2.02,1.9,1.92,158500
2010-07-01,1.84,1.92,1.83,1.87,63400
2010-07-02,1.9,1.9,1.81,1.86,75500
2010-07-05,1.84,1.84,1.76,1.78,35100
2010-07-06,1.79,1.79,1.68,1.69,42700
2010-07-07,1.78,1.85,1.72,1.72,48500
2010-07-08,1.78,1.78,1.7,1.7,15400
2010-07-09,1.74,1.74,1.64,1.64,29400
2010-07-12,1.73,1.73,1.65,1.65,16400
2010-07-13,1.73,1.78,1.71,1.78,79100
2010-07-14,1.88,1.88,1.78,1.84,94100
2010-07-15,1.88,1.88,1.76,1.76,19900
2010-07-16,1.76,1.79,1.75,1.78,13900
2010-07-19,1.73,1.78,1.68,1.75,17300
2010-07-20,1.69,1.8,1.69,1.78,56900
2010-07-21,1.79,1.82,1.78,1.78,68000
2010-07-22,1.73,1.73,1.72,1.73,7100
2010-07-23,1.78,1.78,1.73,1.73,3900
2010-07-26,1.73,1.73,1.67,1.67,32300
2010-07-27,1.6,1.77,1.6,1.66,21800
2010-07-28,1.64,1.64,1.56,1.57,39900
2010-07-29,1.66,1.7,1.6,1.7,61900
2010-07-30,1.78,1.79,1.71,1.73,57300
2010-08-02,1.73,1.73,1.66,1.66,13500
2010-08-03,1.64,1.64,1.63,1.64,8500
2010-08-04,1.6,1.66,1.6,1.6,1000
2010-08-05,1.63,1.63,1.58,1.6,7500
2010-08-06,1.58,1.58,1.5,1.53,20600
2010-08-09,1.5,1.5,1.48,1.49,12400
2010-08-10,1.55,1.55,1.41,1.44,52000
2010-08-11,1.46,1.53,1.44,1.53,28300
2010-08-12,1.46,1.53,1.44,1.45,10900
2010-08-13,1.52,1.52,1.48,1.5,6000
2010-08-16,1.57,1.6,1.57,1.6,19600
2010-08-17,1.6,1.6,1.53,1.53,6200
2010-08-18,1.61,1.61,1.61,1.61,500
2010-08-19,1.53,1.56,1.52,1.53,73200
2010-08-20,1.45,1.53,1.45,1.53,6700
2010-08-23,1.52,1.52,1.52,1.52,100
2010-08-24,1.46,1.46,1.43,1.44,98700
2010-08-25,1.47,1.47,1.38,1.39,90300
2010-08-26,1.44,1.44,1.37,1.4,51300
2010-08-27,1.39,1.43,1.39,1.43,31400
2010-08-30,1.47,1.47,1.44,1.47,13100
2010-08-31,1.49,1.49,1.45,1.48,20000
2010-09-01,1.48,1.49,1.45,1.48,17900
2010-09-06,1.54,1.57,1.5,1.57,25200
2010-09-07,1.55,1.56,1.53,1.55,45300
2010-09-08,1.48,1.48,1.48,1.48,37400
2010-09-09,1.49,1.5,1.48,1.5,31100
2010-09-10,1.5,1.51,1.48,1.5,50400
2010-09-13,1.47,1.51,1.46,1.48,22900
2010-09-14,1.48,1.5,1.48,1.5,40300
2010-09-15,1.48,1.48,1.48,1.48,7400
2010-09-16,1.5,1.5,1.5,1.5,6000
2010-09-17,1.5,1.51,1.5,1.5,10800
2010-09-20,1.5,1.5,1.5,1.5,0
