time,open,high,low,close,volume
2010-01-04,6.27,6.49,6.27,6.49,159000
2010-01-05,6.81,6.81,6.49,6.7,165020
2010-01-06,6.54,7.02,6.54,7.02,316950
2010-01-07,7.36,7.36,7.17,7.36,284440
2010-01-08,7.7,7.7,7.01,7.01,274980
2010-01-11,7.01,7.24,6.84,6.92,173150
2010-01-12,6.79,6.92,6.58,6.58,232970
2010-01-13,6.47,6.63,6.25,6.63,196800
2010-01-14,6.81,6.81,6.63,6.63,90380
2010-01-15,6.63,6.63,6.36,6.36,70470
2010-01-18,6.18,6.27,6.06,6.06,125570
2010-01-19,6.22,6.27,6.06,6.13,47400
2010-01-20,6.13,6.18,6.0,6.0,75190
2010-01-21,5.91,6.04,5.73,5.73,123730
2010-01-22,5.57,5.84,5.55,5.63,115690
2010-01-25,5.63,5.82,5.63,5.82,46950
2010-01-26,6.0,6.11,6.0,6.11,49370
2010-01-27,6.18,6.2,5.81,5.81,71100
2010-01-28,5.81,6.07,5.73,6.0,126610
2010-01-29,5.91,6.07,5.82,6.0,46930
2010-02-01,6.02,6.09,5.97,6.09,34610
2010-02-02,6.02,6.13,6.0,6.02,19700
2010-02-03,5.98,6.13,5.98,6.09,94550
2010-02-04,6.16,6.27,6.06,6.18,43520
2010-02-05,6.18,6.27,6.0,6.04,97400
2010-02-08,5.98,6.04,5.95,5.95,17520
2010-02-09,5.95,5.95,5.82,5.82,27770
2010-02-10,5.91,5.93,5.86,5.91,32760
2010-02-11,5.88,5.95,5.88,5.91,32600
2010-02-12,6.13,6.13,6.0,6.09,22540
2010-02-22,5.93,6.25,5.93,6.0,20770
2010-02-23,5.91,6.15,5.91,5.91,14150
2010-02-24,5.79,6.09,5.79,5.98,12280
2010-02-25,5.93,6.06,5.91,5.93,21250
2010-02-26,6.06,6.06,5.86,6.06,19510
2010-03-01,6.13,6.13,6.04,6.04,43700
2010-03-02,6.0,6.04,5.97,5.97,51430
2010-03-03,6.02,6.25,5.95,6.25,266780
2010-03-04,6.45,6.56,6.45,6.56,190980
2010-03-05,6.34,6.61,6.34,6.61,65620
2010-03-08,6.63,6.77,6.58,6.63,61950
2010-03-09,6.56,6.61,6.5,6.52,103140
2010-03-10,6.45,6.54,6.41,6.45,144980
2010-03-11,6.45,6.54,6.36,6.47,77320
2010-03-12,6.54,6.54,6.45,6.49,44990
2010-03-15,6.61,6.63,6.5,6.56,122310
