time,open,high,low,close,volume
2010-01-04,7.67,7.89,7.67,7.89,7300
2010-01-05,8.14,8.14,7.34,7.34,7000
2010-01-06,7.85,7.85,7.67,7.67,1300
2010-01-07,7.74,8.22,7.74,8.22,2000
2010-01-08,8.29,8.29,7.67,7.67,6400
2010-01-11,7.3,7.3,7.19,7.19,1600
2010-01-12,7.23,7.23,7.23,7.23,1100
2010-01-13,7.3,7.41,7.3,7.41,800
2010-01-14,7.85,7.85,7.67,7.67,1900
2010-01-15,7.3,7.3,7.3,7.3,7000
2010-01-18,7.23,7.23,6.79,6.79,1000
2010-01-19,7.3,7.3,7.3,7.3,100
2010-01-20,7.74,7.74,7.74,7.74,100
2010-01-21,7.74,7.74,7.74,7.74,0
2010-01-22,7.74,7.74,7.74,7.74,0
2010-01-25,7.3,7.3,7.3,7.3,3000
2010-01-26,7.49,7.52,7.38,7.49,3700
2010-01-27,7.49,7.49,7.49,7.49,0
2010-01-28,7.3,7.3,7.12,7.3,10400
2010-01-29,6.86,6.86,6.83,6.83,1500
2010-02-01,7.12,7.12,7.12,7.12,900
2010-02-02,7.12,7.12,7.12,7.12,800
2010-02-03,7.12,7.12,7.12,7.12,100
2010-02-04,7.12,7.12,7.12,7.12,0
2010-02-05,7.12,7.12,7.12,7.12,2900
2010-02-08,7.12,7.12,7.12,7.12,0
2010-02-09,6.65,6.65,6.65,6.65,300
2010-02-10,6.75,6.79,6.75,6.79,1300
2010-02-11,6.79,6.79,6.79,6.79,0
2010-02-12,7.19,7.19,7.19,7.19,200
2010-02-22,7.49,7.49,7.49,7.49,100
2010-02-23,7.49,7.49,7.49,7.49,0
2010-02-24,7.23,7.23,7.23,7.23,500
2010-02-25,7.23,7.23,7.23,7.23,300
2010-02-26,7.23,7.23,7.23,7.23,0
2010-03-01,7.3,7.3,7.23,7.23,400
2010-03-02,7.3,7.3,7.19,7.3,16200
2010-03-03,7.3,7.3,7.3,7.3,0
2010-03-04,7.49,7.49,7.27,7.27,700
2010-03-05,7.3,7.3,7.23,7.23,500
2010-03-08,7.38,7.38,7.27,7.27,1500
2010-03-09,6.94,7.3,6.94,7.3,1600
2010-03-10,6.75,7.27,6.75,7.27,200
2010-03-11,7.12,7.12,7.12,7.12,300
2010-03-12,7.49,7.49,7.23,7.3,1100
2010-03-15,7.34,7.34,7.19,7.3,27700
2010-03-16,7.38,7.7,7.3,7.3,11500
2010-03-17,7.3,7.3,7.27,7.27,2200
2010-03-18,7.34,7.34,7.27,7.27,4300
2010-03-19,7.27,7.27,7.27,7.27,2300
2010-03-22,7.67,7.74,7.67,7.74,76100
2010-03-23,7.74,7.74,7.74,7.74,1900
2010-03-24,7.34,8.11,7.34,7.85,3400
2010-03-25,8.0,8.0,7.49,7.49,1600
2010-03-26,7.45,7.45,7.3,7.3,17400
2010-03-29,7.3,7.59,7.23,7.59,1500
2010-03-30,7.34,7.63,7.3,7.38,10700
2010-03-31,7.3,7.59,7.3,7.59,1100
2010-04-01,7.49,7.49,7.49,7.49,3100
2010-04-02,7.45,7.67,7.45,7.67,6500
2010-04-05,7.67,7.85,7.56,7.85,13900
2010-04-06,7.96,7.96,7.67,7.67,1500
2010-04-07,7.89,7.89,7.81,7.81,6100
2010-04-08,7.34,7.38,7.34,7.34,400
2010-04-09,7.49,7.49,7.45,7.49,3400
2010-04-12,7.52,7.52,7.45,7.52,3700
2010-04-13,7.67,7.67,7.45,7.45,5100
2010-04-14,7.52,7.63,7.52,7.63,700
2010-04-15,7.52,7.56,7.52,7.52,4900
2010-04-16,7.63,7.74,7.63,7.67,1000
2010-04-19,7.74,7.74,7.67,7.67,6900
2010-04-20,7.49,7.81,7.45,7.81,6500
2010-04-21,7.67,7.74,7.63,7.74,4600
2010-04-22,7.67,7.67,7.67,7.67,1200
2010-04-26,7.3,7.49,7.3,7.49,12300
2010-04-27,7.67,7.67,7.59,7.59,8700
2010-04-28,7.3,7.52,7.3,7.52,6000
2010-04-29,7.49,7.49,7.41,7.41,5400
2010-05-04,7.45,7.59,7.45,7.52,16000
2010-05-05,7.63,7.63,7.52,7.56,9600
2010-05-06,7.56,7.92,7.49,7.92,13700
2010-05-07,7.59,7.63,7.56,7.63,13900
2010-05-10,7.63,7.63,7.38,7.38,3400
2010-05-11,7.59,7.59,7.56,7.59,12700
2010-05-12,7.59,7.81,7.56,7.81,33800
2010-05-13,7.67,8.0,7.63,7.63,49200
2010-05-14,7.74,7.85,7.59,7.85,14200
2010-05-17,7.7,7.74,7.59,7.59,35500
2010-05-18,7.59,7.67,7.56,7.59,47700
2010-05-19,7.34,7.38,7.34,7.38,11600
2010-05-20,7.85,7.85,7.12,7.81,6800
2010-05-21,7.7,7.74,7.34,7.49,21700
2010-05-24,8.22,8.22,8.22,8.22,100
2010-05-25,7.78,7.78,7.78,7.78,3000
2010-05-26,7.78,7.78,7.78,7.78,3000
2010-05-27,7.78,7.85,7.74,7.85,8000
2010-05-28,7.85,8.32,7.81,7.85,8000
2010-05-31,7.85,7.85,7.85,7.85,0
2010-06-01,8.4,8.4,7.67,8.18,900
2010-06-02,7.7,7.7,7.7,7.7,3000
2010-06-03,8.22,8.22,8.22,8.22,100
2010-06-04,8.4,8.4,7.67,7.67,1400
2010-06-07,8.22,8.22,8.22,8.22,100
2010-06-08,7.78,7.78,7.7,7.7,3900
2010-06-09,7.67,8.29,7.49,7.49,2800
2010-06-10,7.49,7.49,7.49,7.49,0
2010-06-11,7.67,8.36,7.67,8.36,8200
2010-06-14,8.07,8.07,8.07,8.07,500
2010-06-15,8.07,8.07,8.07,8.07,0
2010-06-16,7.85,8.4,7.85,8.4,5700
2010-06-17,7.67,7.85,7.67,7.85,2900
2010-06-18,7.67,7.67,7.67,7.67,500
2010-06-21,7.67,7.67,7.67,7.67,0
2010-06-22,7.67,7.67,7.67,7.67,0
2010-06-23,7.63,7.7,7.63,7.7,94200
2010-06-24,8.14,8.14,8.03,8.03,3600
2010-06-25,7.67,7.96,7.67,7.96,1500
2010-06-28,8.0,8.0,7.89,8.0,20400
2010-06-29,7.67,7.78,7.59,7.59,96400
2010-06-30,7.59,7.59,7.3,7.3,3900
2010-07-01,7.78,7.78,7.34,7.34,1700
2010-07-02,7.49,7.49,7.16,7.16,2000
2010-07-05,7.16,7.74,7.16,7.49,2700
2010-07-06,7.49,7.49,7.49,7.49,0
2010-07-07,7.3,7.67,7.3,7.67,600
2010-07-08,7.67,7.67,7.67,7.67,0
2010-07-09,7.85,8.0,7.85,8.0,1900
2010-07-12,7.78,7.78,7.78,7.78,500
2010-07-13,7.85,7.85,7.85,7.85,5000
2010-07-14,7.85,7.85,7.85,7.85,0
2010-07-15,7.81,7.81,7.81,7.81,2000
2010-07-16,7.81,7.81,7.81,7.81,0
2010-07-19,7.81,7.81,7.81,7.81,0
2010-07-20,7.7,7.7,7.7,7.7,7000
2010-07-21,7.38,7.38,7.38,7.38,1000
