time,open,high,low,close,volume
2010-01-04,3.37,3.51,3.37,3.51,22200
2010-01-05,3.64,3.75,3.51,3.72,117600
2010-01-06,3.53,3.53,3.48,3.48,21900
2010-01-07,3.64,3.64,3.32,3.32,6400
2010-01-08,3.53,3.53,3.16,3.34,28600
2010-01-11,3.45,3.45,3.21,3.29,17000
2010-01-12,3.32,3.34,3.21,3.24,19200
2010-01-13,3.29,3.29,3.13,3.24,26500
2010-01-14,3.37,3.37,3.24,3.24,17800
2010-01-15,3.34,3.34,3.21,3.21,2700
2010-01-18,3.16,3.21,3.08,3.08,30600
2010-01-19,3.21,3.24,3.18,3.21,10700
2010-01-20,3.21,3.21,3.1,3.1,6000
2010-01-21,2.94,3.18,2.94,3.13,18300
2010-01-22,3.1,3.13,3.08,3.13,10400
2010-01-25,3.16,3.16,3.1,3.1,11500
2010-01-26,3.24,3.26,3.16,3.26,46100
2010-01-27,3.26,3.26,3.16,3.18,11800
2010-01-28,3.13,3.16,3.1,3.1,10900
2010-01-29,3.1,3.13,3.08,3.13,7400
2010-02-01,3.13,3.16,3.13,3.13,7000
2010-02-02,3.13,3.16,3.13,3.13,4100
2010-02-03,3.13,3.16,3.1,3.16,13100
2010-02-04,3.16,3.16,3.16,3.16,10100
2010-02-05,3.13,3.18,3.13,3.16,16200
2010-02-08,3.16,3.18,3.13,3.18,6400
2010-02-09,3.05,3.18,3.05,3.16,22100
2010-02-10,3.02,3.38,3.02,3.18,5500
2010-02-11,3.13,3.16,3.13,3.16,6000
2010-02-12,3.21,3.21,3.16,3.18,11100
2010-02-22,3.16,3.24,3.16,3.21,34900
2010-02-23,3.21,3.21,3.1,3.1,19800
2010-02-24,3.1,3.16,3.05,3.05,13400
2010-02-25,3.1,3.16,3.07,3.1,15700
2010-02-26,3.1,3.1,3.07,3.1,8300
2010-03-01,3.1,3.13,3.07,3.1,16800
2010-03-02,3.24,3.24,3.1,3.1,9400
2010-03-03,3.1,3.16,3.1,3.13,34800
2010-03-04,3.13,3.21,3.07,3.13,44600
2010-03-05,3.13,3.16,3.13,3.16,43800
2010-03-08,3.16,3.32,3.16,3.32,128600
2010-03-09,3.46,3.49,3.43,3.49,149600
2010-03-10,3.35,3.49,3.29,3.38,48500
2010-03-11,3.32,3.38,3.29,3.38,26800
2010-03-12,3.32,3.46,3.29,3.43,87400
2010-03-15,3.46,3.6,3.46,3.57,211300
2010-03-16,3.49,3.51,3.32,3.32,50200
2010-03-17,3.43,3.43,3.32,3.32,17500
2010-03-18,3.4,3.51,3.38,3.51,104300
2010-03-19,3.54,3.54,3.43,3.46,56700
2010-03-22,3.51,3.57,3.43,3.57,111700
2010-03-23,3.62,3.73,3.54,3.73,311500
2010-03-24,3.9,3.95,3.87,3.95,242400
2010-03-25,4.17,4.2,3.68,3.71,70200
2010-03-26,3.76,3.76,3.54,3.6,69900
2010-03-29,3.54,3.68,3.49,3.54,112500
2010-03-30,3.57,3.57,3.43,3.51,102200
2010-03-31,3.46,3.51,3.38,3.38,56900
2010-04-01,3.43,3.49,3.38,3.49,34000
2010-04-02,3.49,3.65,3.4,3.65,81600
2010-04-05,3.82,3.82,3.51,3.6,65500
2010-04-06,3.51,3.62,3.49,3.51,100300
2010-04-07,3.57,3.57,3.51,3.51,45700
2010-04-08,3.54,3.6,3.46,3.6,106300
2010-04-09,3.6,3.65,3.57,3.62,87000
2010-04-12,3.71,3.71,3.51,3.57,34500
2010-04-13,3.49,3.57,3.49,3.54,42800
2010-04-14,3.49,3.57,3.49,3.54,44000
2010-04-15,3.54,3.6,3.51,3.6,36400
2010-04-16,3.54,3.73,3.54,3.68,74200
2010-04-19,3.57,3.9,3.57,3.9,270400
2010-04-20,3.93,4.15,3.84,4.15,281600
2010-04-21,4.39,4.39,4.06,4.12,255200
2010-04-22,3.98,4.09,3.9,3.9,111900
2010-04-26,3.84,3.84,3.71,3.73,67500
2010-04-27,3.82,3.82,3.6,3.79,99800
2010-04-28,3.9,3.95,3.84,3.95,93600
2010-04-29,4.23,4.23,3.93,4.06,154800
2010-05-04,4.09,4.15,4.04,4.12,117200
2010-05-05,3.98,4.12,3.9,4.09,100300
2010-05-06,4.09,4.31,4.09,4.31,316600
2010-05-07,4.58,4.58,4.17,4.47,243300
2010-05-10,4.39,4.58,4.17,4.39,131400
2010-05-11,4.37,4.53,4.2,4.31,86900
2010-05-12,4.28,4.28,4.04,4.04,218800
2010-05-13,4.09,4.12,3.9,4.04,73800
2010-05-14,4.04,4.04,3.84,3.9,91000
2010-05-17,3.95,4.12,3.73,3.79,49400
2010-05-18,3.84,3.84,3.68,3.68,43900
2010-05-19,3.68,3.73,3.49,3.49,162400
2010-05-20,3.51,3.73,3.4,3.71,68500
2010-05-21,3.46,3.51,3.32,3.32,169300
2010-05-24,3.57,3.57,3.54,3.57,23400
2010-05-25,3.54,3.76,3.54,3.68,24000
2010-05-26,3.71,3.76,3.62,3.71,52900
2010-05-27,3.54,3.68,3.54,3.65,51300
2010-05-28,3.79,3.84,3.73,3.79,77200
2010-05-31,3.82,3.82,3.6,3.76,11800
2010-06-01,3.62,3.68,3.6,3.65,33500
2010-06-02,3.62,3.71,3.6,3.68,32400
2010-06-03,3.71,3.76,3.68,3.71,29000
2010-06-04,3.71,3.73,3.65,3.68,22100
2010-06-07,3.57,3.65,3.51,3.57,50700
2010-06-08,3.68,3.68,3.57,3.68,49400
2010-06-09,3.79,3.82,3.62,3.65,33900
2010-06-10,3.73,3.9,3.73,3.9,203400
2010-06-11,4.12,4.12,4.01,4.12,211200
2010-06-14,4.39,4.39,4.12,4.12,211400
2010-06-15,4.12,4.17,4.06,4.12,81800
2010-06-16,4.2,4.2,4.04,4.09,123800
2010-06-17,3.98,4.06,3.95,3.95,85300
2010-06-18,4.06,4.12,3.95,4.09,139000
2010-06-21,4.09,4.31,4.09,4.31,374100
