time,open,high,low,close,volume
2010-12-22,0.0,,,,0
2010-12-23,0.0,0.0,0.0,0.0,0
2010-12-24,0.0,0.0,0.0,0.0,0
2010-12-27,67.87,84.84,6.5,6.5,11500
2010-12-28,56.62,6.5,6.5,6.5,0
2010-12-29,50.96,50.96,50.96,50.96,1000
2010-12-30,50.96,50.96,50.96,50.96,0
2010-12-31,50.96,50.96,50.96,50.96,0
2011-01-04,50.96,50.96,50.96,50.96,0
2011-01-05,50.96,50.96,50.96,50.96,0
2011-01-06,50.96,50.96,50.96,50.96,0
2011-01-07,50.96,50.96,50.96,50.96,0
2011-01-10,50.96,50.96,50.96,50.96,0
2011-01-11,50.96,50.96,50.96,50.96,0
2011-01-12,50.96,50.96,50.96,50.96,0
2011-01-13,50.96,50.96,50.96,50.96,0
2011-01-14,50.96,50.96,50.96,50.96,0
2011-01-17,50.96,50.96,50.96,50.96,0
2011-01-18,50.96,50.96,50.96,50.96,0
2011-01-19,50.96,50.96,50.96,50.96,0
2011-01-20,50.96,50.96,50.96,50.96,0
2011-01-21,50.96,50.96,50.96,50.96,0
2011-01-24,50.96,50.96,50.96,50.96,0
2011-01-25,50.96,50.96,50.96,50.96,0
2011-01-26,50.96,50.96,50.96,50.96,0
2011-01-27,45.87,45.87,45.87,45.87,200
2011-01-28,41.29,41.29,41.29,41.29,100
2011-02-08,37.16,37.16,37.16,37.16,100
2011-02-09,33.48,33.48,33.48,33.48,100
2011-02-10,33.48,33.48,33.48,33.48,0
2011-02-11,30.15,30.15,30.15,30.15,100
2011-02-14,27.15,27.15,27.15,27.15,100
2011-02-15,24.43,24.43,24.43,24.43,100
2011-02-16,24.43,24.43,24.43,24.43,0
2011-02-17,22.0,22.0,22.0,22.0,100
2011-02-18,19.85,19.85,19.85,19.85,100
2011-02-21,17.87,17.87,17.87,17.87,100
2011-02-22,16.12,16.12,16.12,16.12,100
2011-02-23,14.54,14.54,14.54,14.54,100
2011-02-24,13.12,13.12,13.12,13.12,100
2011-02-25,11.82,11.82,11.82,11.82,100
2011-02-28,10.69,10.69,10.69,10.69,100
2011-03-01,10.69,10.69,10.69,10.69,0
2011-03-02,10.69,10.69,10.69,10.69,0
2011-03-03,10.69,10.69,10.69,10.69,0
2011-03-04,9.67,9.67,9.67,9.67,100
2011-03-07,8.71,8.71,8.71,8.71,100
2011-03-08,7.86,7.86,7.86,7.86,100
2011-03-09,7.13,7.13,7.13,7.13,100
2011-03-10,6.45,6.45,6.45,6.45,100
2011-03-11,5.83,5.83,5.83,5.83,700
2011-03-14,5.83,5.83,5.83,5.83,0
2011-03-15,5.26,5.26,5.26,5.26,100
2011-03-16,4.75,4.75,4.75,4.75,100
2011-03-17,4.75,4.75,4.75,4.75,0
2011-03-18,4.3,4.3,4.3,4.3,100
2011-03-21,3.9,3.9,3.9,3.9,100
2011-03-22,3.56,3.56,3.56,3.56,100
2011-03-23,3.22,3.22,3.22,3.22,3000
2011-03-24,2.94,2.94,2.94,2.94,1200
2011-03-25,2.66,2.66,2.66,2.66,2700
2011-03-28,2.88,2.88,2.43,2.43,19200
