time,open,high,low,close,volume
2010-01-04,3.33,3.55,3.27,3.55,930000
2010-01-05,3.63,3.74,3.63,3.74,1685500
2010-01-06,3.75,3.93,3.66,3.78,1843700
2010-01-07,3.78,3.87,3.72,3.77,1047000
2010-01-08,3.78,4.04,3.71,3.81,1086400
2010-01-11,3.92,4.01,3.71,3.71,646900
2010-01-12,3.77,3.77,3.49,3.52,723300
2010-01-13,3.48,3.77,3.45,3.68,854200
2010-01-14,3.33,3.63,3.33,3.6,1040200
2010-01-15,3.48,3.48,3.42,3.42,224000
2010-01-18,3.42,3.42,3.27,3.31,677200
2010-01-19,3.3,3.36,3.3,3.33,366100
2010-01-20,3.34,3.39,3.25,3.33,425100
2010-01-21,3.33,3.33,3.1,3.16,317900
2010-01-22,3.16,3.25,3.12,3.21,458800
2010-01-25,3.22,3.22,3.15,3.21,364900
2010-01-26,3.22,3.39,3.22,3.39,677600
2010-01-27,3.51,3.51,3.18,3.22,385900
2010-01-28,3.25,3.27,3.22,3.25,676900
2010-01-29,3.25,3.28,3.22,3.27,347600
2010-02-01,3.25,3.27,3.24,3.25,274100
2010-02-02,3.25,3.27,3.22,3.25,401900
2010-02-03,3.25,3.27,3.22,3.25,435500
2010-02-04,3.25,3.27,3.24,3.27,315100
2010-02-05,3.25,3.27,3.22,3.24,695600
2010-02-08,3.18,3.27,3.18,3.27,502300
2010-02-09,3.25,3.27,3.22,3.25,454000
2010-02-10,3.25,3.33,3.24,3.25,117000
2010-02-11,3.3,3.39,3.25,3.36,370300
2010-02-12,3.33,3.45,3.31,3.34,177400
2010-02-22,3.48,3.48,3.36,3.4,171500
2010-02-23,3.4,3.42,3.25,3.27,136600
2010-02-24,3.25,3.33,3.21,3.3,492100
2010-02-25,3.39,3.39,3.22,3.27,651000
2010-02-26,3.33,3.33,3.25,3.31,824400
2010-03-01,3.33,3.36,3.3,3.31,463300
2010-03-02,3.28,3.33,3.28,3.28,526800
2010-03-03,3.31,3.34,3.28,3.34,601400
2010-03-04,3.33,3.4,3.3,3.3,341100
2010-03-05,3.33,3.36,3.3,3.33,622500
2010-03-08,3.33,3.36,3.31,3.36,532000
2010-03-09,3.37,3.37,3.33,3.33,422000
2010-03-10,3.33,3.34,3.28,3.3,292100
2010-03-11,3.31,3.31,3.27,3.28,247000
2010-03-12,3.31,3.31,3.27,3.3,300400
2010-03-15,3.33,3.39,3.3,3.31,505400
2010-03-16,3.36,3.36,3.22,3.25,382900
2010-03-17,3.25,3.27,3.18,3.21,387500
2010-03-18,3.18,3.24,3.16,3.21,303500
2010-03-19,3.21,3.24,3.16,3.19,342400
2010-03-22,3.19,3.19,3.13,3.18,205700
2010-03-23,3.16,3.18,3.1,3.12,262200
2010-03-24,3.15,3.15,3.1,3.15,221700
2010-03-25,3.12,3.12,3.04,3.06,347300
2010-03-26,3.1,3.1,3.01,3.07,325200
2010-03-29,3.03,3.07,3.01,3.03,292300
2010-03-30,3.03,3.03,2.99,3.01,257000
2010-03-31,2.99,3.06,2.95,2.96,169300
2010-04-01,2.95,3.06,2.95,3.04,338200
2010-04-02,3.03,3.1,2.99,3.01,179300
2010-04-05,3.04,3.07,3.01,3.04,333100
2010-04-06,3.03,3.03,2.98,2.99,196200
2010-04-07,3.01,3.04,2.96,2.98,214000
2010-04-08,2.99,2.99,2.96,2.96,241300
2010-04-09,2.96,2.98,2.93,2.95,307400
2010-04-12,2.96,3.01,2.86,3.01,835300
2010-04-13,3.15,3.15,2.95,3.03,728000
2010-04-14,2.99,3.03,2.93,2.99,285600
2010-04-15,3.03,3.03,2.96,2.99,256900
2010-04-16,2.99,3.03,2.95,2.95,207700
2010-04-19,2.96,2.96,2.92,2.93,193600
2010-04-20,2.86,2.93,2.86,2.87,348900
2010-04-21,2.89,2.9,2.86,2.87,414000
2010-04-22,2.87,3.06,2.86,3.03,533700
2010-04-26,3.03,3.18,2.99,2.99,300200
2010-04-27,3.03,3.04,2.96,2.96,197100
2010-04-28,2.98,2.98,2.92,2.95,193300
2010-04-29,2.93,2.95,2.9,2.92,349300
2010-05-04,2.96,3.12,2.96,3.12,902000
2010-05-05,3.07,3.25,3.03,3.13,990100
2010-05-06,3.15,3.18,3.07,3.13,644900
2010-05-07,3.22,3.22,2.99,3.06,565900
2010-05-10,3.06,3.09,2.96,2.99,444900
2010-05-11,3.03,3.09,2.96,2.96,361100
2010-05-12,3.03,3.03,2.86,2.89,450400
2010-05-13,2.89,2.93,2.86,2.86,297600
2010-05-14,2.89,2.9,2.86,2.87,207700
2010-05-17,2.87,2.89,2.8,2.81,313200
2010-05-18,2.81,2.81,2.74,2.75,257900
2010-05-19,2.74,2.75,2.59,2.59,352200
2010-05-20,2.65,2.83,2.54,2.83,1033800
2010-05-21,2.92,2.92,2.62,2.68,418700
2010-05-24,2.78,2.83,2.72,2.81,381000
2010-05-25,2.8,2.8,2.72,2.8,248400
2010-05-26,2.72,2.8,2.71,2.8,316400
2010-05-27,2.87,2.87,2.72,2.75,222000
2010-05-28,2.74,2.92,2.74,2.92,1064600
2010-05-31,3.03,3.03,2.81,2.83,189000
2010-06-01,2.87,2.87,2.8,2.84,181100
2010-06-02,2.8,2.81,2.78,2.78,114100
2010-06-03,2.87,2.87,2.78,2.87,316000
2010-06-04,2.84,2.87,2.78,2.84,306900
2010-06-07,3.01,3.01,2.72,2.77,283900
2010-06-08,2.75,2.84,2.75,2.78,227000
2010-06-09,2.83,2.86,2.78,2.8,113100
