time,open,high,low,close,volume
2019-06-06,4.26,4.26,4.26,4.26,0
2019-06-07,4.26,4.26,4.26,4.26,0
2019-06-10,4.26,4.26,4.26,4.26,0
2019-06-11,4.26,4.26,4.26,4.26,0
2019-06-12,4.26,4.26,4.26,4.26,0
2019-06-13,5.95,5.95,5.95,5.95,100
2019-06-14,6.84,6.84,6.84,6.84,100
2019-06-17,7.86,7.86,7.86,7.86,100
2019-06-18,9.02,9.02,9.02,9.02,100
2019-06-19,10.36,10.36,10.36,10.36,200
2019-06-20,11.89,11.89,11.89,11.89,110
2019-06-21,13.68,13.68,13.68,13.68,25377
2019-06-24,15.71,15.71,15.71,15.71,5200
2019-06-25,18.06,18.06,17.84,18.06,78444
2019-06-26,20.57,20.57,17.35,17.84,26330
2019-06-27,17.84,17.97,17.72,17.79,247500
2019-06-28,16.97,16.97,16.5,16.5,330300
2019-07-01,16.36,16.36,15.36,15.86,23436
2019-07-02,16.85,17.84,16.6,17.1,61599
2019-07-03,17.27,17.84,17.25,17.59,98859
2019-07-04,17.59,19.33,17.59,17.49,110219
2019-07-05,19.3,21.16,19.3,20.67,44964
2019-07-08,20.57,20.94,19.82,20.39,65908
2019-07-09,20.12,21.66,20.12,21.63,95410
2019-07-10,21.19,23.74,21.06,23.49,303850
2019-07-11,22.8,24.51,19.5,22.3,218461
2019-07-12,22.05,23.02,21.93,22.25,77760
2019-07-15,22.3,22.55,21.81,22.3,33795
2019-07-16,21.61,22.05,21.61,21.81,66600
2019-07-17,21.93,21.93,20.39,20.82,104502
2019-07-18,21.19,22.55,20.32,22.28,62700
2019-07-19,22.43,23.79,22.43,22.8,104370
2019-07-22,22.8,23.12,22.57,22.92,54055
2019-07-23,22.92,23.74,22.87,23.17,119577
2019-07-24,23.29,23.29,22.8,22.8,32103
2019-07-25,22.57,22.8,22.3,22.55,56420
2019-07-26,22.33,22.43,21.86,22.05,119352
2019-07-29,22.05,22.18,21.76,22.05,33341
2019-07-30,21.93,22.9,21.93,22.8,34455
2019-07-31,23.29,26.04,23.29,26.04,259373
2019-08-01,27.26,29.17,26.64,29.17,184092
2019-08-02,29.74,32.93,29.74,31.22,131781
2019-08-05,31.22,32.96,29.24,32.56,91230
2019-08-06,32.21,32.69,30.98,31.97,120906
2019-08-07,32.09,32.71,30.23,30.55,96931
2019-08-08,26.54,31.22,26.54,29.24,154297
2019-08-09,28.52,30.98,27.38,29.24,168497
2019-08-12,29.74,30.98,29.74,30.9,36742
2019-08-13,31.22,31.22,29.49,30.23,34480
2019-08-14,29.98,30.48,29.49,29.74,44930
2019-08-15,30.98,32.71,28.5,32.71,135269
2019-08-16,32.71,34.32,32.71,32.71,67206
2019-08-19,32.73,34.69,32.73,33.95,53336
2019-08-20,33.95,34.69,33.95,34.44,53152
2019-08-21,34.44,34.69,33.6,33.7,77451
2019-08-22,33.92,34.27,33.7,34.15,46212
2019-08-23,33.92,34.69,33.73,33.8,32506
2019-08-26,34.2,34.2,33.92,34.05,25030
2019-08-27,33.83,33.97,33.58,33.7,38961
2019-08-28,33.95,33.95,32.96,33.08,240279
2019-08-29,32.96,33.21,31.72,32.46,67861
2019-08-30,32.21,32.21,29.24,30.48,158595
2019-09-03,30.78,30.78,28.5,28.99,60317
2019-09-04,27.75,29.49,26.54,28.7,101685
2019-09-05,28.5,30.21,28.5,28.99,40802
2019-09-06,28.87,29.36,28.84,28.99,15499
2019-09-09,28.99,29.07,26.27,27.48,48507
2019-09-10,26.76,26.76,24.28,25.28,100336
2019-09-11,24.78,27.01,24.78,27.01,31720
2019-09-12,27.01,27.63,26.89,27.16,32180
2019-09-13,27.26,28.5,26.47,27.75,44790
2019-09-16,27.75,27.75,26.91,27.21,21846
2019-09-17,26.79,27.23,26.69,27.01,24799
2019-09-18,27.01,27.26,26.76,26.76,19132
2019-09-19,26.76,26.76,24.78,25.28,67130
2019-09-20,25.4,25.4,24.78,25.18,28136
2019-09-23,25.28,25.62,24.04,24.33,24921
2019-09-24,24.31,24.33,22.8,23.19,78470
2019-09-25,23.14,23.24,22.55,23.17,42909
2019-09-26,23.05,24.28,23.05,24.09,46785
2019-09-27,24.09,24.24,23.27,23.54,35560
2019-09-30,23.34,23.54,22.85,22.87,27600
2019-10-01,23.19,23.79,23.17,23.49,41200
2019-10-02,23.19,24.78,23.19,24.36,60751
2019-10-03,23.79,24.71,23.54,24.53,57704
2019-10-04,24.88,24.88,24.24,24.28,21668
2019-10-07,24.73,24.78,23.74,23.79,27860
2019-10-08,24.06,24.06,23.67,23.67,110200
2019-10-09,23.67,24.78,23.54,24.09,290950
2019-10-10,24.16,25.45,24.16,24.9,58071
2019-10-11,24.9,24.9,24.53,24.66,20732
2019-10-14,24.78,24.78,23.69,23.71,71077
2019-10-15,23.54,23.79,23.05,23.54,45030
2019-10-16,23.54,23.79,23.05,23.29,30350
2019-10-17,22.8,24.16,22.8,23.67,34675
2019-10-18,23.79,24.76,23.79,24.28,39525
2019-10-21,24.76,25.52,24.28,24.83,76060
2019-10-22,25.28,25.28,24.71,25.0,26695
2019-10-23,24.28,25.85,24.28,25.55,72184
2019-10-24,25.77,27.13,25.77,26.86,65286
2019-10-25,27.01,27.75,27.01,27.21,44521
2019-10-28,27.26,27.51,26.54,27.01,52348
2019-10-29,26.66,26.89,26.42,26.89,24750
2019-10-30,26.76,27.58,24.04,24.04,193549
2019-10-31,26.02,27.63,25.03,24.04,141456
2019-11-01,26.47,26.51,25.38,25.82,23396
2019-11-04,25.82,26.27,25.08,25.65,54370
2019-11-05,25.77,25.77,25.03,25.52,55730
2019-11-06,25.52,26.27,25.52,25.9,35850
2019-11-07,25.77,25.77,25.42,25.65,47107
2019-11-08,25.65,25.65,25.4,25.47,22280
2019-11-11,25.99,26.02,25.28,25.3,39293
2019-11-12,25.4,25.52,25.28,25.5,25887
2019-11-13,25.28,25.5,25.25,25.5,27094
2019-11-14,25.33,25.35,25.03,25.15,22200
2019-11-15,25.03,25.28,25.03,25.03,12670
2019-11-18,24.95,25.28,24.95,25.2,20200
2019-11-19,25.03,25.65,25.03,25.52,17592
2019-11-20,25.45,26.27,25.45,26.02,33619
2019-11-21,26.02,26.14,25.77,25.9,9100
2019-11-22,25.9,25.92,22.05,25.55,38320
2019-11-25,25.3,25.3,24.04,24.83,17660
2019-11-26,25.52,25.52,24.93,25.18,9760
2019-11-27,25.6,25.6,25.03,25.23,3610
2019-11-28,25.05,25.25,24.85,25.25,14823
2019-11-29,25.03,25.15,24.53,24.71,24400
2019-12-02,24.78,25.15,23.71,24.78,37392
2019-12-03,24.04,24.28,23.84,23.91,23763
2019-12-04,24.16,24.26,23.79,24.06,14567
2019-12-05,24.04,24.41,24.04,24.28,8561
2019-12-06,24.53,24.53,24.04,24.28,18600
2019-12-09,24.04,24.28,23.94,24.16,8605
2019-12-10,24.16,24.24,24.11,24.14,16863
2019-12-11,24.24,24.78,24.24,24.76,10400
2019-12-12,24.46,25.25,24.46,25.25,11730
2019-12-13,25.28,25.28,24.88,24.88,6490
2019-12-16,26.02,26.02,24.58,24.66,20300
2019-12-17,24.61,24.66,23.54,24.19,34415
2019-12-18,24.06,24.28,24.04,24.11,21560
2019-12-19,24.78,24.78,24.14,24.14,5130
2019-12-20,24.06,24.06,23.91,24.04,7900
2019-12-23,24.04,24.04,23.67,23.69,11540
2019-12-24,23.54,23.64,23.17,23.54,29667
2019-12-25,23.52,24.04,23.52,23.71,7130
2019-12-26,23.59,23.71,23.59,23.69,4460
2019-12-27,23.69,24.04,23.69,23.86,12155
2019-12-30,23.79,23.84,23.67,23.67,5661
2019-12-31,23.79,23.99,23.66,23.91,4902
2020-01-02,23.84,23.84,23.54,23.79,23500
2020-01-03,23.54,23.74,23.49,23.66,27618
2020-01-06,23.56,23.56,22.59,22.61,39631
2020-01-07,22.99,23.01,22.66,22.66,9163
2020-01-08,22.59,22.79,21.33,22.01,52420
2020-01-09,22.29,22.29,21.54,21.81,21800
2020-01-10,21.91,22.29,21.79,22.19,16726
2020-01-13,24.54,24.54,22.01,22.04,2438
2020-01-14,22.04,22.54,22.01,22.41,1497
2020-01-15,22.04,22.04,21.43,21.79,7930
2020-01-16,21.79,22.04,21.79,21.96,2470
2020-01-17,21.96,21.96,21.71,21.96,1860
2020-01-20,21.79,21.79,21.28,21.54,10656
2020-01-21,22.66,22.66,21.33,21.64,2407
2020-01-22,21.36,21.46,21.11,21.46,8965
2020-01-30,20.61,21.28,20.56,21.03,3910
2020-01-31,21.28,21.28,18.91,19.28,101976
2020-02-03,19.28,19.28,17.28,18.78,84376
2020-02-04,18.53,18.53,17.78,17.78,11596
2020-02-05,18.28,18.66,18.1,18.53,33376
2020-02-06,18.53,19.63,18.53,19.63,15520
2020-02-07,18.93,19.03,18.91,18.91,4850
2020-02-10,18.03,18.78,18.03,18.78,520
2020-02-11,18.03,18.53,18.03,18.53,5220
2020-02-12,18.53,19.53,18.53,19.53,23617
2020-02-13,19.33,20.28,19.33,20.03,15151
2020-02-14,20.03,20.13,20.03,20.13,4073
