time,open,high,low,close,volume
2010-01-04,11.92,12.03,11.89,12.03,11800
2010-01-05,12.73,12.76,12.27,12.76,42800
2010-01-06,13.57,13.57,11.92,12.27,15900
2010-01-07,13.32,13.32,11.89,11.92,36200
2010-01-08,12.31,12.34,11.47,12.24,22000
2010-01-11,12.62,12.62,11.36,11.36,12800
2010-01-12,10.83,10.83,10.66,10.66,11100
2010-01-13,10.06,10.87,9.96,10.69,31300
2010-01-14,10.76,10.76,10.52,10.76,22100
2010-01-15,11.22,11.43,11.18,11.18,5500
2010-01-18,11.39,11.39,10.62,10.62,22800
2010-01-19,10.87,10.87,10.34,10.83,24900
2010-01-20,10.73,10.73,9.99,9.99,14700
2010-01-21,10.69,10.69,9.33,9.47,11100
2010-01-22,9.99,10.1,9.05,9.96,13300
2010-01-25,9.64,10.13,9.47,10.13,9600
2010-01-26,10.34,10.41,10.34,10.41,19000
2010-01-27,11.11,11.11,10.34,10.34,13600
2010-01-28,10.06,10.69,10.03,10.03,6800
2010-01-29,9.99,10.27,9.5,10.27,5800
2010-02-01,10.17,10.17,9.89,10.17,5900
2010-02-02,9.89,10.13,9.85,9.85,17500
2010-02-03,10.03,10.06,9.99,10.06,4100
2010-02-04,10.69,10.69,10.06,10.13,5600
2010-02-05,10.1,10.1,9.68,9.68,6200
2010-02-08,9.92,9.92,9.29,9.29,8200
2010-02-09,9.19,9.19,8.87,8.87,8900
2010-02-10,9.47,9.57,9.36,9.43,4500
2010-02-11,9.82,9.82,9.54,9.64,3200
2010-02-12,9.82,10.27,9.78,9.99,5700
2010-02-22,10.52,10.52,10.17,10.17,2700
2010-02-23,9.85,10.34,9.61,9.61,3900
2010-02-24,9.99,9.99,9.26,9.78,6100
2010-02-25,10.2,10.2,9.68,9.82,14700
2010-02-26,9.82,10.17,9.64,10.17,8400
2010-03-01,9.82,10.52,9.82,10.52,13500
2010-03-02,10.76,10.76,10.34,10.38,17000
2010-03-03,10.8,11.15,10.45,11.15,40100
2010-03-04,11.22,11.5,11.22,11.22,34700
2010-03-05,11.39,11.57,11.22,11.57,12600
2010-03-08,12.06,12.06,11.57,11.99,12900
2010-03-09,11.92,11.92,11.43,11.57,8700
2010-03-10,11.64,11.64,10.97,11.18,26100
2010-03-11,11.57,11.57,11.11,11.11,4800
2010-03-12,11.57,11.57,11.22,11.57,31000
2010-03-15,11.78,12.1,11.64,12.1,60400
2010-03-16,12.73,12.73,12.73,12.73,118400
2010-03-17,13.6,13.6,13.6,13.6,23500
2010-03-18,14.55,14.55,12.97,14.38,152400
2010-03-19,14.23,15.08,13.95,14.31,39100
2010-03-22,14.02,14.02,13.5,13.64,51300
2010-03-23,14.55,14.73,13.78,14.73,90300
2010-03-24,15.46,15.57,15.25,15.57,37800
2010-03-25,16.62,16.62,16.13,16.48,94400
2010-03-26,15.43,16.3,15.43,15.78,59100
2010-03-29,15.78,16.83,15.78,16.65,73600
2010-03-30,16.34,16.48,15.88,16.13,66900
2010-03-31,16.51,16.51,15.11,15.43,46400
2010-04-01,15.78,15.88,14.8,15.57,50200
2010-04-02,15.78,16.3,15.78,16.3,44100
2010-04-05,17.43,17.43,17.43,17.43,28000
2010-04-06,18.62,18.62,17.04,17.53,118300
2010-04-07,17.71,17.88,16.83,17.11,60300
2010-04-08,17.18,18.37,17.15,17.29,95200
2010-04-09,17.5,18.09,16.65,16.83,44400
2010-04-12,16.86,16.86,16.23,16.23,45500
2010-04-13,16.27,16.48,15.15,15.39,39300
2010-04-14,16.09,16.48,15.78,16.44,68700
2010-04-15,16.65,17.25,16.48,17.25,59900
2010-04-16,17.53,18.09,16.65,17.0,49800
2010-04-19,16.9,18.09,16.48,17.18,39100
2010-04-20,17.5,17.5,16.51,16.51,42100
2010-04-21,18.06,18.06,17.0,17.88,112800
2010-04-22,17.18,17.22,16.3,16.44,42700
2010-04-26,16.65,16.65,16.3,16.3,17800
2010-04-27,17.36,17.36,15.95,15.95,22300
2010-04-28,16.2,16.2,15.78,15.78,53200
2010-04-29,16.65,16.65,15.64,15.85,48800
2010-05-04,16.83,16.83,16.2,16.34,35500
2010-05-05,16.13,16.3,15.99,16.09,35800
2010-05-06,16.48,16.55,16.23,16.37,36500
2010-05-07,16.02,16.3,15.78,15.78,20400
2010-05-10,14.9,15.78,14.9,15.78,50300
2010-05-11,16.37,16.37,15.43,15.46,22200
2010-05-12,15.25,15.43,14.59,14.66,39900
2010-05-13,15.25,15.43,15.11,15.32,25600
2010-05-14,14.94,15.36,14.94,15.36,14600
2010-05-17,15.25,15.25,14.73,14.76,20200
2010-05-18,14.73,15.18,14.62,14.73,4700
2010-05-19,14.41,14.41,13.88,13.88,29600
2010-05-20,13.04,14.31,13.04,13.85,19600
2010-05-21,12.87,13.81,12.87,12.87,23900
2010-05-24,13.74,13.74,13.32,13.32,6400
2010-05-25,13.46,13.5,13.32,13.32,6000
2010-05-26,13.67,13.81,13.32,13.81,35400
2010-05-27,13.78,14.52,13.71,13.99,23100
2010-05-28,14.87,15.11,14.38,14.66,30200
2010-05-31,14.69,14.69,13.92,14.34,21700
2010-06-01,14.2,14.27,13.53,13.95,97200
2010-06-02,13.64,14.38,13.64,14.23,33000
2010-06-03,14.81,14.81,14.34,14.48,32000
2010-06-04,14.96,15.03,14.26,14.34,21700
2010-06-07,13.97,14.19,13.9,13.9,23200
2010-06-08,13.53,13.86,13.09,13.78,40600
2010-06-09,13.09,14.15,13.09,13.6,51200
2010-06-10,13.2,13.71,12.94,13.71,64800
2010-06-11,14.26,14.3,14.04,14.3,83500
2010-06-14,14.92,15.22,13.6,15.0,75100
2010-06-15,14.04,15.0,14.04,14.34,47700
2010-06-16,14.7,14.7,14.19,14.37,28900
2010-06-17,15.22,15.22,13.71,14.15,75400
2010-06-18,14.01,14.26,13.97,13.97,18100
2010-06-21,14.01,14.3,13.45,14.12,43300
2010-06-22,13.78,13.97,13.42,13.93,59800
2010-06-23,13.12,13.9,13.12,13.82,48600
