time,open,high,low,close,volume
2010-07-30,4.6,5.83,4.6,5.83,31100
2010-08-02,5.71,5.71,5.68,5.71,11000
2010-08-03,6.11,6.11,5.83,5.83,9800
2010-08-04,5.83,5.83,5.59,5.59,900
2010-08-05,5.31,5.37,5.31,5.31,6700
2010-08-06,4.94,4.94,4.94,4.94,6600
2010-08-09,4.6,4.6,4.6,4.6,12000
2010-08-10,4.3,4.45,4.3,4.45,17400
2010-08-11,4.05,4.51,4.02,4.3,22600
2010-08-12,4.14,4.57,4.14,4.17,4600
2010-08-13,4.7,4.7,4.3,4.3,500
2010-08-16,4.76,4.76,4.17,4.57,5100
2010-08-17,4.24,4.24,4.2,4.2,6600
2010-08-18,3.96,4.05,3.93,4.05,14200
2010-08-19,3.99,3.99,3.68,3.71,4000
2010-08-20,3.93,3.96,3.93,3.96,3300
2010-08-23,3.99,4.02,3.99,4.02,6100
2010-08-24,3.78,3.78,3.74,3.74,3200
2010-08-25,3.5,3.5,3.5,3.5,9600
2010-08-26,3.65,3.65,3.62,3.62,3700
2010-08-27,3.62,3.62,3.62,3.62,300
2010-08-30,3.71,3.84,3.71,3.84,7000
2010-08-31,3.71,3.87,3.71,3.74,1900
2010-09-01,3.84,3.87,3.78,3.78,7500
2010-09-06,3.84,4.05,3.84,3.93,31900
2010-09-07,4.11,4.17,4.11,4.17,14000
2010-09-08,4.45,4.45,4.45,4.45,60100
2010-09-09,4.76,4.76,4.76,4.76,24100
2010-09-10,5.06,5.06,5.03,5.06,104100
2010-09-13,5.4,5.4,5.06,5.4,102600
2010-09-14,5.71,5.74,5.68,5.74,98600
2010-09-15,5.74,6.14,5.37,5.77,68400
2010-09-16,5.52,5.52,5.52,5.52,1000
2010-09-17,5.16,5.77,5.16,5.74,148200
2010-09-20,5.71,5.71,5.71,5.71,64900
2010-09-21,6.08,6.11,5.4,5.4,47400
2010-09-22,5.74,5.74,5.28,5.52,26600
2010-09-23,5.52,5.52,5.16,5.25,58800
2010-09-24,5.37,5.37,5.09,5.09,16600
2010-09-27,4.88,5.06,4.85,4.91,53000
2010-09-28,5.06,5.19,4.76,5.09,17100
2010-09-29,4.67,4.79,4.6,4.6,39400
2010-09-30,4.85,4.85,4.33,4.45,50100
2010-10-01,4.39,4.67,4.33,4.33,7500
2010-10-04,4.2,4.24,4.2,4.2,27600
2010-10-05,4.14,4.36,4.02,4.02,6200
2010-10-06,4.3,4.42,4.24,4.42,35200
2010-10-07,4.6,4.7,4.6,4.7,93200
2010-10-08,4.85,4.85,4.48,4.6,5900
2010-10-11,4.6,4.6,4.6,4.6,2600
2010-10-12,4.6,4.6,4.3,4.3,26200
2010-10-13,4.08,4.27,4.02,4.24,22100
2010-10-14,4.24,4.24,3.87,3.99,26300
2010-10-15,4.14,4.14,3.99,4.14,2800
2010-10-18,4.14,4.14,3.87,3.93,10600
2010-10-19,3.87,3.87,3.74,3.78,31300
2010-10-20,3.68,3.68,3.53,3.53,26100
2010-10-21,3.62,3.68,3.53,3.59,18200
2010-10-22,3.5,3.5,3.47,3.5,13600
2010-10-25,3.38,3.68,3.28,3.62,16800
2010-10-26,3.62,3.62,3.62,3.62,13700
2010-10-27,3.87,3.87,3.62,3.68,2900
2010-10-28,3.56,3.56,3.5,3.5,2700
2010-10-29,3.68,3.71,3.5,3.62,11200
2010-11-01,3.5,3.53,3.47,3.53,1500
2010-11-02,3.44,3.44,3.28,3.31,16600
2010-11-03,3.35,3.35,3.13,3.13,17700
2010-11-04,3.25,3.28,3.16,3.22,14700
2010-11-05,3.41,3.47,3.41,3.47,19500
