time,open,high,low,close,volume
2014-05-20,4.58,5.49,4.12,5.49,15000
2014-05-21,5.49,5.49,5.49,5.49,0
2014-05-22,4.4,4.4,4.35,4.35,200
2014-05-23,3.98,3.98,3.98,3.98,300
2014-05-26,3.71,3.71,3.71,3.71,100
2014-05-27,3.34,3.34,3.34,3.34,100
2014-05-28,3.34,3.34,3.34,3.34,0
2014-05-29,3.34,3.34,3.34,3.34,0
2014-05-30,3.34,3.34,3.34,3.34,0
2014-06-02,3.34,3.34,3.34,3.34,0
2014-06-03,3.34,3.34,3.34,3.34,0
2014-06-04,3.34,3.34,3.34,3.34,0
2014-06-05,3.34,3.34,3.34,3.34,0
2014-06-06,3.34,3.34,3.34,3.34,0
2014-06-09,3.34,3.34,3.34,3.34,0
2014-06-10,3.34,3.34,3.34,3.34,0
2014-06-11,3.34,3.34,3.34,3.34,10000
2014-06-12,3.34,3.34,3.34,3.34,0
2014-06-13,3.34,3.34,3.34,3.34,0
2014-06-16,3.34,3.34,3.34,3.34,0
2014-06-17,3.34,3.34,3.34,3.34,0
2014-06-18,3.39,3.39,3.34,3.34,1100
2014-06-19,3.34,3.34,3.34,3.34,0
2014-06-20,3.71,3.71,3.39,3.39,600
2014-06-23,3.39,3.39,3.39,3.39,0
2014-06-24,3.39,3.39,3.39,3.39,0
2014-06-25,3.39,3.39,3.39,3.39,0
2014-06-26,3.39,3.39,3.39,3.39,0
2014-06-27,3.39,3.39,3.39,3.39,0
2014-06-30,3.39,3.39,3.39,3.39,0
2014-07-01,3.39,3.39,3.39,3.39,0
2014-07-02,3.39,3.39,3.39,3.39,0
2014-07-03,3.39,3.39,3.39,3.39,0
2014-07-04,3.39,3.39,3.39,3.39,0
2014-07-07,3.39,3.39,3.39,3.39,0
2014-07-08,3.39,3.39,3.39,3.39,0
2014-07-09,3.39,3.39,3.39,3.39,0
2014-07-10,3.39,3.39,3.39,3.39,0
2014-07-11,3.39,3.39,3.39,3.39,0
2014-07-14,3.39,3.39,3.39,3.39,0
2014-07-15,3.39,3.39,3.39,3.39,0
2014-07-16,3.39,3.39,3.39,3.39,0
2014-07-17,3.39,3.39,3.39,3.39,0
2014-07-18,3.39,3.39,3.39,3.39,0
2014-07-21,3.39,3.39,3.39,3.39,0
2014-07-22,3.39,3.39,3.39,3.39,0
2014-07-23,3.39,3.39,3.39,3.39,0
2014-07-24,3.39,3.39,3.39,3.39,0
2014-07-25,3.39,3.39,3.39,3.39,0
2014-07-28,3.39,3.39,3.39,3.39,0
2014-07-29,3.39,3.39,3.39,3.39,0
2014-07-30,3.39,3.39,3.39,3.39,0
2014-07-31,3.39,3.39,3.39,3.39,0
2014-08-01,3.39,3.39,3.39,3.39,0
2014-08-04,3.39,3.39,3.39,3.39,0
2014-08-05,3.39,3.39,3.39,3.39,0
2014-08-06,3.39,3.39,3.39,3.39,0
2014-08-07,3.39,3.39,3.39,3.39,0
2014-08-08,3.39,3.39,3.39,3.39,0
2014-08-11,3.39,3.39,3.39,3.39,0
2014-08-12,2.06,2.06,2.06,2.06,2300
2014-08-13,2.06,2.06,2.06,2.06,0
2014-08-14,2.06,2.06,2.06,2.06,0
2014-08-15,2.06,2.06,2.06,2.06,0
2014-08-18,1.97,2.11,1.88,2.11,9500
2014-08-19,2.11,2.11,2.11,2.11,0
2014-08-20,2.11,2.11,2.11,2.11,0
2014-08-21,2.15,2.15,2.15,2.15,30000
2014-08-22,2.33,2.33,2.33,2.33,12000
2014-08-25,2.33,2.33,2.33,2.33,0
2014-08-26,2.33,2.33,2.33,2.33,0
2014-08-27,2.56,2.56,2.56,2.56,0
2014-08-28,2.56,2.56,2.56,2.56,0
2014-08-29,2.79,2.79,2.79,2.79,100
2014-09-03,3.07,3.07,3.07,3.07,100
2014-09-04,3.07,3.07,3.07,3.07,0
2014-09-05,3.34,3.34,3.34,3.34,100
2014-09-08,3.34,3.34,3.34,3.34,0
2014-09-09,3.66,3.66,3.66,3.66,100
2014-09-10,3.66,3.66,3.66,3.66,0
2014-09-11,4.03,4.03,3.71,3.71,1800
2014-09-12,3.71,3.71,3.71,3.71,0
2014-09-15,4.12,4.12,4.12,4.12,100
2014-09-16,4.21,4.35,4.21,4.21,6300
2014-09-17,4.35,4.35,4.35,4.35,2000
2014-09-18,4.35,4.35,4.35,4.35,0
2014-09-19,4.35,4.35,4.35,4.35,0
2014-09-22,4.35,4.35,4.35,4.35,0
2014-09-23,4.35,4.35,4.35,4.35,0
2014-09-24,4.35,4.35,4.35,4.35,0
2014-09-25,4.72,4.76,4.72,4.76,13500
2014-09-26,4.76,4.76,4.76,4.76,0
2014-09-29,4.99,4.99,4.99,4.76,5000
2014-09-30,4.99,4.99,4.99,4.99,8200
2014-10-01,4.99,4.99,4.53,4.53,15700
2014-10-02,4.94,5.17,4.94,5.17,8400
2014-10-03,5.04,5.04,5.04,5.04,10100
2014-10-06,5.26,5.26,5.04,5.04,13300
2014-10-07,5.13,5.26,5.04,5.04,20000
2014-10-08,5.13,5.13,5.04,5.04,23200
2014-10-09,5.08,5.13,5.04,5.04,21000
2014-10-10,5.08,5.08,5.04,5.04,24000
2014-10-13,5.04,5.04,5.04,5.04,0
2014-10-14,5.08,5.08,5.04,5.04,34600
2014-10-15,5.04,5.04,5.04,5.04,0
2014-10-16,5.04,5.04,4.99,4.99,20000
2014-10-17,4.99,4.99,4.99,4.99,0
2014-10-20,4.99,4.99,4.99,4.99,0
2014-10-21,4.58,5.54,4.53,5.54,18000
2014-10-22,4.9,5.17,4.9,5.08,20000
2014-10-23,5.04,5.49,4.99,4.99,35000
2014-10-24,4.99,4.99,4.99,4.99,0
2014-10-27,5.13,5.63,5.08,5.63,14901
2014-10-28,5.63,5.63,5.63,5.63,0
2014-10-29,5.63,5.63,5.63,5.63,0
2014-10-30,5.63,5.63,5.63,5.63,0
2014-10-31,5.63,5.63,5.63,5.63,0
2014-11-03,5.63,5.63,5.63,5.63,0
2014-11-04,5.63,5.63,5.63,5.63,0
2014-11-05,5.63,5.63,5.63,5.63,0
2014-11-06,5.63,5.63,5.63,5.63,0
2014-11-07,5.63,5.63,5.63,5.63,0
2014-11-10,4.72,4.72,4.67,4.67,32800
2014-11-11,4.67,5.04,4.62,5.04,32000
2014-11-12,5.04,5.04,5.04,5.04,0
2014-11-13,5.04,5.04,5.04,5.04,0
2014-11-14,5.04,5.04,5.04,5.04,0
2014-11-17,5.04,5.04,5.04,5.04,0
2014-11-18,5.04,5.04,5.04,5.04,0
