time,open,high,low,close,volume
2010-05-21,58.2,58.2,49.83,53.84,251960
2010-05-24,51.29,54.56,51.29,54.56,113860
2010-05-25,54.56,55.29,53.84,54.56,163740
2010-05-26,56.38,56.38,53.84,54.56,30820
2010-05-27,55.29,57.11,54.2,57.11,112420
2010-05-28,59.66,59.66,57.11,57.47,70950
2010-05-31,57.47,57.47,55.29,55.65,42210
2010-06-01,54.56,54.93,54.56,54.56,44500
2010-06-02,53.84,55.29,53.84,54.56,64410
2010-06-03,56.38,56.75,55.65,56.75,102000
2010-06-04,56.02,59.29,56.02,59.29,109390
2010-06-07,59.29,60.75,57.47,60.38,119120
2010-06-08,58.93,60.02,58.56,58.93,44090
2010-06-09,59.29,59.29,58.2,59.29,69620
2010-06-10,58.2,59.66,58.2,59.66,27310
2010-06-11,59.66,60.75,59.66,59.66,89980
2010-06-14,58.93,60.38,58.93,58.93,60030
2010-06-15,58.2,60.02,58.2,58.93,53070
2010-06-16,57.47,58.93,56.75,57.47,54960
2010-06-17,56.75,57.11,56.02,56.75,27210
2010-06-18,56.02,56.75,56.02,56.38,31420
2010-06-21,55.29,56.02,55.29,55.65,19020
2010-06-22,56.02,56.38,55.65,56.02,29660
2010-06-23,55.29,57.47,55.29,56.75,71530
2010-06-24,56.38,59.29,56.38,58.2,62810
2010-06-25,58.56,60.02,58.56,58.93,159480
2010-06-28,57.11,59.66,57.11,58.2,153110
2010-06-29,57.47,57.47,57.47,57.47,45280
2010-06-30,57.47,57.47,56.75,56.75,38930
2010-07-01,56.02,57.11,56.02,56.38,34630
2010-07-02,56.75,57.11,56.38,56.38,40910
2010-07-05,55.65,56.38,55.65,56.02,33050
2010-07-06,55.29,57.47,53.84,55.29,94810
2010-07-07,54.2,55.29,53.84,53.84,36410
2010-07-08,55.65,55.65,53.47,54.56,23130
2010-07-09,55.29,55.29,54.56,54.56,17680
2010-07-12,54.2,55.29,53.84,53.84,154240
2010-07-13,54.93,54.93,53.84,54.93,27520
2010-07-14,55.29,55.29,53.84,53.84,124280
2010-07-15,53.84,54.56,53.11,53.84,147440
2010-07-16,53.84,54.2,53.11,53.84,157500
2010-07-19,53.84,53.84,52.74,53.84,68110
2010-07-20,53.47,53.84,52.38,53.84,37230
2010-07-21,53.84,53.84,52.38,52.38,57140
2010-07-22,53.11,53.11,52.38,52.74,82990
2010-07-23,53.11,53.11,52.38,52.38,78910
2010-07-26,50.93,52.74,50.93,50.93,51710
2010-07-27,52.38,52.74,50.93,52.38,25040
2010-07-28,52.38,52.38,50.93,52.38,21550
2010-07-29,50.93,52.74,50.93,50.93,6040
2010-07-30,50.2,50.93,50.2,50.93,3660
2010-08-02,50.2,50.93,50.2,50.2,6340
2010-08-03,49.83,50.2,49.83,49.83,8580
2010-08-04,50.2,50.2,48.74,50.2,2400
2010-08-05,50.93,50.93,50.2,50.93,9000
2010-08-06,50.93,50.93,49.47,50.93,10430
2010-08-09,50.56,50.56,48.74,50.56,27050
2010-08-10,49.11,49.11,48.38,49.11,36320
2010-08-11,49.83,49.83,49.47,49.83,6010
2010-08-12,49.11,49.47,47.65,49.11,34730
2010-08-13,49.47,49.47,49.11,49.47,13630
2010-08-16,49.83,50.93,49.47,49.83,30470
2010-08-17,48.74,50.56,48.74,49.47,206270
2010-08-18,49.11,49.11,49.11,49.11,29770
2010-08-19,48.74,49.47,48.74,48.74,13640
2010-08-20,48.74,49.11,47.29,48.74,35000
2010-08-23,48.74,49.47,47.29,48.74,93480
2010-08-24,46.92,47.29,46.56,46.56,56030
2010-08-25,47.29,47.29,44.38,46.92,135720
2010-08-26,44.74,47.29,44.74,47.29,120360
2010-08-27,49.47,49.47,47.29,49.47,32170
2010-08-30,49.11,49.47,48.74,49.11,6600
2010-08-31,48.02,49.11,48.02,49.11,3740
2010-09-01,49.11,49.11,48.02,49.11,25900
2010-09-06,49.11,49.47,48.74,49.11,71330
2010-09-07,48.74,49.11,48.02,48.74,18270
2010-09-08,49.83,50.2,48.74,49.83,50750
2010-09-09,49.83,49.83,48.74,49.83,3750
2010-09-10,49.83,49.83,49.47,49.47,17100
2010-09-13,49.47,50.93,48.02,49.47,10730
2010-09-14,49.47,49.47,49.47,49.47,3580
2010-09-15,49.11,49.11,48.02,49.11,11120
2010-09-16,49.47,49.47,48.02,49.47,19570
2010-09-17,49.11,49.11,49.11,49.11,11670
2010-09-20,49.11,49.11,49.11,49.11,1400
2010-09-21,49.11,49.11,49.11,49.11,3100
2010-09-22,49.11,49.11,49.11,49.11,1100
2010-09-23,49.11,49.83,48.74,49.11,33350
2010-09-24,49.11,49.11,49.11,49.11,0
2010-09-27,49.11,49.11,48.74,49.11,5000
2010-09-28,49.11,49.11,49.11,49.11,8200
2010-09-29,48.02,49.83,48.02,49.83,52800
2010-09-30,49.47,50.56,49.47,49.47,18800
2010-10-01,50.2,50.56,50.2,50.2,17350
2010-10-04,49.83,49.83,49.83,49.83,600
2010-10-05,49.47,49.47,49.47,49.47,1000
2010-10-06,49.47,49.47,49.47,49.47,5600
2010-10-07,50.56,51.29,49.83,50.56,25080
2010-10-08,50.93,51.29,50.93,50.93,65000
2010-10-11,50.93,50.93,50.2,50.93,9000
2010-10-12,50.93,50.93,50.2,50.93,13310
2010-10-13,50.2,50.56,50.2,50.56,2400
2010-10-14,50.93,50.93,49.47,50.93,6800
2010-10-15,50.93,50.93,50.2,50.93,13500
2010-10-18,51.29,52.02,50.93,51.29,19600
2010-10-19,50.93,50.93,50.56,50.93,35000
2010-10-20,50.93,50.93,50.2,50.93,20980
2010-10-21,49.51,51.0,49.51,49.51,10530
2010-10-22,49.51,50.63,49.51,49.51,2900
2010-10-25,49.89,49.89,49.14,49.89,12220
2010-10-26,49.51,49.89,49.51,49.51,13750
2010-10-27,49.51,49.89,49.51,49.51,7030
2010-10-28,50.26,50.26,49.51,50.26,7100
2010-10-29,50.63,50.63,50.63,50.63,100
2010-11-01,49.89,49.89,49.51,49.89,2000
2010-11-02,49.14,49.89,48.77,49.14,20230
2010-11-03,48.77,48.77,48.77,48.77,7500
2010-11-04,48.4,49.14,48.4,48.4,22500
2010-11-05,49.14,49.14,47.65,49.14,5800
2010-11-08,49.89,49.89,49.14,49.89,9300
2010-11-09,51.37,51.37,49.51,51.37,25350
2010-11-10,49.14,50.63,49.14,49.14,15000
2010-11-11,49.14,49.14,48.77,48.77,25000
2010-11-12,50.26,50.26,50.26,50.26,100
2010-11-15,49.89,49.89,48.02,49.89,16470
2010-11-16,49.89,49.89,47.65,49.89,3510
2010-11-17,49.89,49.89,49.89,49.89,10
2010-11-18,49.89,49.89,48.4,49.89,12520
2010-11-19,49.51,49.51,48.4,49.51,310
2010-11-22,49.51,50.26,47.28,49.51,1420
2010-11-23,48.77,48.77,47.28,48.77,9380
2010-11-24,49.89,49.89,46.54,49.89,4100
2010-11-25,49.51,49.89,47.65,49.51,3250
2010-11-26,47.28,47.28,47.28,47.28,930
2010-11-29,48.4,49.14,48.02,48.4,1200
2010-11-30,48.4,48.4,46.16,48.4,4350
2010-12-01,48.02,48.02,46.54,48.02,1820
2010-12-02,47.65,48.02,45.79,47.65,7710
2010-12-03,47.65,49.89,46.91,47.65,7970
2010-12-06,47.65,47.65,46.91,47.65,2120
2010-12-07,47.65,47.65,46.91,47.65,4810
2010-12-08,47.65,47.65,46.91,47.65,2560
2010-12-09,47.65,47.65,47.28,47.65,3010
2010-12-10,47.65,47.65,47.28,47.65,7070
2010-12-13,45.42,47.65,45.42,45.42,1100
2010-12-14,43.18,47.65,43.18,47.65,9230
2010-12-15,49.51,49.51,45.42,45.42,710
2010-12-16,47.28,47.28,47.28,47.28,1010
2010-12-17,46.91,47.28,46.16,46.91,8800
2010-12-20,46.54,46.91,44.67,46.54,3040
2010-12-21,44.67,46.54,44.67,44.67,22950
2010-12-22,44.3,44.67,43.93,44.3,3550
2010-12-23,45.05,45.42,44.3,45.05,35060
2010-12-24,45.42,46.16,45.05,45.42,30750
2010-12-27,45.42,47.65,45.05,46.91,12510
2010-12-28,46.91,45.05,45.05,45.05,13200
2010-12-29,45.05,47.28,47.28,47.28,3700
2010-12-30,47.28,45.05,45.05,45.05,2400
2010-12-31,45.05,46.91,42.81,42.81,15990
2011-01-04,42.81,42.81,42.81,42.81,20100
2011-01-05,42.81,42.81,40.95,42.81,51490
2011-01-06,42.81,44.67,42.81,44.67,20760
2011-01-07,44.67,44.67,43.56,44.67,9020
2011-01-10,44.3,44.67,44.3,44.67,9700
2011-01-11,43.93,44.3,43.93,44.3,2000
2011-01-12,44.67,44.67,43.93,44.3,8270
2011-01-13,44.3,44.67,44.3,44.3,6200
2011-01-14,43.93,43.93,43.93,43.93,2000
2011-01-17,43.93,43.93,43.93,43.93,0
2011-01-18,43.18,43.18,43.18,43.18,5000
2011-01-19,42.07,43.18,42.07,43.18,2100
