time,open,high,low,close,volume
2010-01-04,11.49,11.49,11.49,11.49,45480
2010-01-05,12.01,12.01,12.01,12.01,11370
2010-01-06,12.52,12.52,12.52,12.52,255470
2010-01-07,13.04,13.04,12.09,12.09,243610
2010-01-08,12.09,12.44,11.57,11.57,115110
2010-01-11,11.83,11.92,11.23,11.75,114310
2010-01-12,11.75,11.92,11.23,11.23,101050
2010-01-13,10.97,11.66,10.8,11.57,96510
2010-01-14,12.01,12.09,11.66,12.09,146430
2010-01-15,11.92,12.27,11.92,11.92,66950
2010-01-18,11.66,11.75,11.4,11.4,137200
2010-01-19,11.4,11.75,11.32,11.57,63520
2010-01-20,11.49,11.57,11.06,11.06,53310
2010-01-21,10.62,11.06,10.54,10.54,74380
2010-01-22,10.11,10.71,10.11,10.28,75380
2010-01-25,10.02,10.37,10.02,10.37,26510
2010-01-26,10.54,10.88,10.54,10.88,86870
2010-01-27,10.88,10.97,10.45,10.45,34450
2010-01-28,10.62,10.62,10.28,10.28,28360
2010-01-29,10.11,10.37,10.02,10.37,36660
2010-02-01,10.45,10.54,10.37,10.37,10220
2010-02-02,10.37,10.62,10.37,10.54,36660
2010-02-03,10.62,10.8,10.45,10.8,31640
2010-02-04,10.54,11.06,10.54,10.88,42390
2010-02-05,10.71,10.97,10.54,10.8,57770
2010-02-08,11.1,11.1,10.48,10.74,5480
2010-02-09,10.22,10.57,10.22,10.22,20150
2010-02-10,10.22,10.66,10.22,10.66,5910
2010-02-11,10.66,10.92,10.39,10.66,10820
2010-02-12,10.92,10.92,10.74,10.83,16290
2010-02-22,10.83,11.1,10.83,10.83,3930
2010-02-23,10.3,10.83,10.3,10.3,16240
2010-02-24,10.3,10.57,10.22,10.48,6030
2010-02-25,10.74,10.74,10.3,10.3,11800
2010-02-26,10.39,10.39,10.04,10.39,13880
2010-03-01,10.39,10.39,10.3,10.39,10770
2010-03-02,10.57,10.66,10.39,10.39,22560
2010-03-03,10.57,10.57,10.39,10.48,11440
2010-03-04,10.66,10.92,10.57,10.83,77810
2010-03-05,10.83,10.83,10.66,10.74,28220
2010-03-08,10.83,11.27,10.74,11.27,117240
2010-03-09,11.62,11.71,11.45,11.45,153940
2010-03-10,11.27,11.45,11.18,11.18,87840
2010-03-11,11.18,11.36,11.1,11.1,32520
2010-03-12,11.18,11.18,11.01,11.01,34880
2010-03-15,11.27,11.36,11.1,11.18,64590
2010-03-16,11.18,11.18,10.83,10.83,70140
2010-03-17,10.74,11.01,10.74,10.74,26710
2010-03-18,11.1,11.1,10.74,11.1,16640
2010-03-19,10.92,10.92,10.83,10.83,24160
2010-03-22,10.83,10.92,10.74,10.74,23500
2010-03-23,10.74,10.74,10.39,10.39,68400
2010-03-24,10.66,10.83,10.66,10.83,198800
2010-03-25,10.83,10.83,10.39,10.74,15280
2010-03-26,10.74,10.74,10.39,10.57,18440
2010-03-29,10.57,10.57,10.39,10.57,21230
2010-03-30,10.39,10.48,10.22,10.22,42210
2010-03-31,10.39,10.39,10.22,10.22,38540
2010-04-01,10.22,10.39,10.22,10.3,35700
2010-04-02,10.48,10.66,10.39,10.57,76080
2010-04-05,10.57,10.57,10.39,10.39,15340
2010-04-06,10.39,10.57,10.39,10.48,38980
2010-04-07,10.3,10.66,10.3,10.66,86880
2010-04-08,10.92,10.92,10.66,10.74,65880
2010-04-09,10.66,10.83,10.66,10.83,75320
2010-04-12,11.01,11.36,11.01,11.36,320860
2010-04-13,11.36,11.36,10.92,10.92,66400
2010-04-14,10.66,10.92,10.66,10.83,45320
2010-04-15,10.83,11.36,10.83,11.36,289880
2010-04-16,11.62,11.89,11.36,11.89,432940
2010-04-19,11.89,12.42,11.8,12.42,330100
2010-04-20,12.51,12.51,11.89,11.89,157080
2010-04-21,11.8,11.89,11.62,11.89,160310
2010-04-22,11.89,12.42,11.8,11.98,243230
2010-04-26,11.89,11.98,11.54,11.54,158700
2010-04-27,11.54,11.54,11.27,11.45,85480
2010-04-28,11.27,11.54,11.27,11.27,87630
2010-04-29,11.45,11.45,11.18,11.27,108620
2010-05-04,11.62,11.8,11.36,11.8,166060
2010-05-05,11.8,12.07,11.45,11.54,125300
2010-05-06,11.8,11.8,11.54,11.8,218700
2010-05-07,12.39,12.39,12.15,12.39,204110
2010-05-10,12.42,12.42,11.81,11.81,116500
2010-05-11,12.02,12.02,11.62,11.81,55030
2010-05-12,11.36,11.68,11.23,11.23,132240
2010-05-13,11.7,11.7,11.1,11.49,65310
2010-05-14,11.39,11.49,11.23,11.36,13060
2010-05-17,11.36,11.36,10.81,10.81,63300
2010-05-18,10.57,10.7,10.44,10.54,33590
2010-05-19,10.36,10.36,10.04,10.04,154070
2010-05-20,9.54,10.04,9.54,10.04,36180
2010-05-21,9.54,9.54,9.54,9.54,94360
2010-05-24,9.51,9.59,9.25,9.51,15560
2010-05-25,9.17,9.48,9.17,9.48,35530
2010-05-26,9.48,9.93,9.4,9.93,64130
2010-05-27,9.93,9.93,9.75,9.93,21100
2010-05-28,10.04,10.17,9.93,10.12,111170
2010-05-31,9.7,10.14,9.7,9.7,12460
2010-06-01,10.17,10.17,9.51,10.17,93470
2010-06-02,9.83,10.67,9.83,9.91,47570
2010-06-03,10.28,10.28,9.96,9.96,35980
2010-06-04,10.3,10.3,9.83,9.83,28170
2010-06-07,9.51,9.72,9.35,9.38,72840
2010-06-08,9.77,9.77,9.25,9.77,24670
2010-06-09,9.72,9.91,9.72,9.72,8100
2010-06-10,9.51,9.85,9.51,9.72,13800
2010-06-11,9.7,9.83,9.7,9.7,28680
2010-06-14,9.67,9.96,9.67,9.77,82400
2010-06-15,9.96,9.96,9.67,9.67,20010
2010-06-16,9.67,9.85,9.67,9.77,30500
2010-06-17,9.77,9.85,9.72,9.72,13900
2010-06-18,9.72,9.83,9.7,9.72,66220
2010-06-21,9.91,9.91,9.75,9.75,40840
2010-06-22,9.77,9.83,9.72,9.75,55950
2010-06-23,9.75,10.22,9.75,10.22,128290
2010-06-24,10.73,10.73,10.73,10.73,55530
2010-06-25,11.25,11.25,11.25,11.25,345370
2010-06-28,11.25,11.25,10.78,10.78,144610
2010-06-29,10.83,10.83,10.46,10.46,70170
2010-06-30,10.01,10.36,10.01,10.36,68850
2010-07-01,10.12,10.86,10.12,10.86,103110
2010-07-02,10.96,11.36,10.86,10.86,142330
2010-07-05,10.86,11.28,10.86,10.86,65190
2010-07-06,11.1,11.1,10.51,10.51,31750
2010-07-07,10.2,10.54,10.2,10.2,36930
2010-07-08,10.2,10.57,10.2,10.2,53190
2010-07-09,10.2,10.28,10.07,10.2,22000
2010-07-12,10.17,10.17,9.99,10.17,46380
2010-07-13,10.54,10.65,10.36,10.65,28760
2010-07-14,10.83,10.83,10.25,10.25,29970
2010-07-15,10.25,10.51,10.17,10.25,13210
2010-07-16,10.38,10.38,10.17,10.38,23680
2010-07-19,10.2,10.33,10.17,10.2,11810
2010-07-20,10.2,10.3,10.17,10.2,35720
2010-07-21,10.17,10.51,10.12,10.12,27290
2010-07-22,10.04,10.14,10.04,10.09,24000
2010-07-23,10.09,10.14,10.09,10.09,18740
2010-07-26,9.99,10.12,9.99,9.99,10280
2010-07-27,9.91,10.25,9.77,9.91,12600
2010-07-28,9.91,9.91,9.56,9.56,33820
2010-07-29,9.56,9.59,9.38,9.38,29470
2010-07-30,9.64,9.64,9.43,9.43,15120
2010-08-02,9.3,9.64,9.3,9.38,16910
2010-08-03,9.38,9.83,9.38,9.77,67460
2010-08-04,9.35,9.64,9.35,9.59,13370
2010-08-05,9.38,9.62,9.38,9.38,24430
2010-08-06,9.33,9.51,9.3,9.33,11290
2010-08-09,8.88,9.33,8.88,8.88,30570
2010-08-10,8.61,8.61,8.45,8.48,37560
2010-08-11,8.59,8.59,8.06,8.48,22950
2010-08-12,8.48,8.48,8.06,8.08,29310
2010-08-13,7.74,7.93,7.69,7.93,43750
2010-08-16,8.3,8.3,8.06,8.3,19400
2010-08-17,8.67,8.69,8.35,8.69,131270
2010-08-18,9.09,9.11,8.98,9.11,268780
2010-08-19,9.22,9.22,8.85,8.98,39360
2010-08-20,8.59,8.98,8.59,8.98,19450
2010-08-23,8.98,8.98,8.53,8.53,18610
2010-08-24,8.19,8.19,8.11,8.11,41760
2010-08-25,7.77,7.77,7.71,7.71,41290
2010-08-26,7.5,7.66,7.34,7.34,80600
2010-08-27,7.34,7.4,7.0,7.4,31240
2010-08-30,7.77,7.77,7.16,7.77,51670
2010-08-31,7.9,8.11,7.74,8.03,25420
2010-09-01,8.06,8.06,7.69,8.06,55020
2010-09-06,8.06,8.45,8.06,8.45,124000
2010-09-07,8.14,8.45,8.03,8.08,71870
2010-09-08,7.71,8.0,7.71,8.0,50770
