time,open,high,low,close,volume
2010-01-04,6.75,6.93,6.75,6.93,60900
2010-01-05,7.4,7.4,6.92,7.08,255900
2010-01-06,7.08,7.4,6.84,6.84,311400
2010-01-07,6.84,6.92,6.55,6.55,293600
2010-01-08,6.55,7.08,6.55,7.08,330000
2010-01-11,7.4,7.4,6.92,7.08,114500
2010-01-12,6.92,7.08,6.56,6.56,132200
2010-01-13,6.35,7.08,6.29,6.75,182000
2010-01-14,6.92,6.95,6.87,6.95,239000
2010-01-15,7.32,7.32,6.59,6.61,94500
2010-01-18,6.51,6.51,6.3,6.3,75500
2010-01-19,6.43,6.53,6.05,6.53,46200
2010-01-20,6.43,6.59,5.97,5.97,78200
2010-01-21,6.27,6.27,5.79,5.79,104300
2010-01-22,5.47,5.95,5.44,5.79,87100
2010-01-25,5.71,5.95,5.71,5.84,43700
2010-01-26,6.21,6.22,6.03,6.22,46600
2010-01-27,6.66,6.66,5.79,5.95,84900
2010-01-28,6.27,6.3,5.89,5.9,33500
2010-01-29,5.95,6.02,5.66,5.89,59500
2010-02-01,6.03,6.1,5.85,6.06,39300
2010-02-02,6.11,6.11,5.76,5.79,44100
2010-02-03,5.9,6.03,5.9,5.98,22500
2010-02-04,6.11,6.27,6.03,6.27,70000
2010-02-05,5.95,6.26,5.95,5.95,72200
2010-02-08,5.9,5.92,5.85,5.89,24300
2010-02-09,5.89,5.89,5.56,5.56,92200
2010-02-10,5.79,5.87,5.73,5.81,25900
2010-02-11,5.79,5.93,5.77,5.9,33300
2010-02-12,5.98,6.05,5.98,6.05,15900
2010-02-22,6.43,6.43,6.05,6.1,34400
2010-02-23,5.95,5.95,5.85,5.92,15600
2010-02-24,5.9,5.97,5.76,5.95,38700
2010-02-25,6.06,6.16,5.93,5.95,14100
2010-02-26,5.95,6.08,5.95,6.08,10500
2010-03-01,6.11,6.48,6.06,6.48,113600
2010-03-02,6.51,6.72,6.51,6.71,346600
2010-03-03,6.92,7.08,6.69,6.93,91800
2010-03-04,7.0,7.21,6.64,6.8,102500
2010-03-05,6.84,7.08,6.69,7.0,185800
2010-03-08,7.32,7.32,6.92,6.96,173300
2010-03-09,7.0,7.48,6.92,7.48,413500
2010-03-10,7.29,7.58,7.29,7.41,82600
2010-03-11,7.24,7.56,7.19,7.24,102500
2010-03-12,7.35,7.56,7.19,7.51,238600
2010-03-15,7.72,7.91,7.56,7.72,399600
2010-03-16,7.72,8.04,7.32,7.49,246400
2010-03-17,7.46,7.66,7.08,7.24,147400
2010-03-18,7.49,7.56,7.11,7.53,141000
2010-03-19,7.7,7.7,7.3,7.4,113300
2010-03-22,7.43,7.95,7.38,7.91,442300
2010-03-23,7.95,7.95,7.4,7.56,66700
2010-03-24,7.7,7.74,7.32,7.32,116700
2010-03-25,7.72,7.72,7.08,7.21,131900
2010-03-26,7.24,7.25,6.85,7.06,147200
2010-03-29,7.12,7.49,7.12,7.49,206800
2010-03-30,7.4,7.4,7.09,7.14,50900
2010-03-31,7.24,7.24,6.79,6.88,98000
2010-04-01,7.24,7.4,6.92,7.12,57100
2010-04-02,7.4,7.56,7.16,7.21,81300
2010-04-05,7.43,7.56,7.35,7.56,156600
2010-04-06,7.56,7.96,7.56,7.95,540700
2010-04-07,8.2,8.44,7.91,8.44,143400
2010-04-08,8.97,8.97,8.85,8.96,723300
2010-04-09,9.33,9.6,8.86,9.01,380100
2010-04-12,8.88,8.97,8.59,8.6,254700
2010-04-13,8.68,8.97,8.09,8.68,161400
2010-04-14,8.68,9.17,8.67,9.17,364900
2010-04-15,9.25,9.51,9.25,9.51,196100
2010-04-16,9.97,10.05,9.51,9.76,281000
2010-04-19,9.79,9.79,9.12,9.17,437700
2010-04-20,9.31,9.73,9.17,9.3,203000
2010-04-21,9.65,10.05,9.17,9.97,358000
2010-04-22,9.97,10.13,9.01,9.1,204900
2010-04-26,9.17,9.2,8.73,8.86,135200
2010-04-27,9.25,9.54,8.94,9.17,157900
2010-04-28,9.01,9.2,9.01,9.09,170400
2010-04-29,9.17,9.3,8.88,8.88,139500
2010-05-04,9.01,9.33,8.96,8.96,154900
2010-05-05,9.33,9.65,9.01,9.49,268000
2010-05-06,9.65,9.65,9.28,9.33,178100
2010-05-07,9.01,9.33,8.77,8.81,276300
2010-05-10,9.12,9.12,8.36,8.49,142000
2010-05-11,8.6,8.99,8.48,8.48,171900
2010-05-12,8.52,8.64,8.04,8.04,156900
2010-05-13,8.14,8.6,8.12,8.2,117600
2010-05-14,8.36,8.59,8.2,8.59,131900
2010-05-17,8.85,8.99,8.28,8.28,256600
2010-05-18,8.29,9.11,8.29,8.68,174600
2010-05-19,8.84,8.84,8.22,8.22,143500
2010-05-20,7.76,8.31,7.67,8.06,95600
2010-05-21,7.85,7.85,7.31,7.31,221800
2010-05-24,6.85,7.53,6.85,7.47,66400
2010-05-25,7.24,7.35,7.15,7.24,99300
2010-05-26,7.31,7.76,7.31,7.76,101000
2010-05-27,7.72,8.15,7.53,8.11,160900
2010-05-28,8.54,8.54,8.45,8.54,156200
2010-05-31,8.9,9.11,8.56,9.11,479800
2010-06-01,9.06,9.68,9.06,9.68,229000
2010-06-02,10.05,10.27,10.05,10.27,135900
2010-06-03,10.98,10.98,10.94,10.98,558100
2010-06-04,11.74,11.74,11.19,11.74,416000
2010-06-07,10.96,11.69,10.87,10.87,384400
2010-06-08,10.3,11.42,10.3,11.17,316400
2010-06-09,11.42,11.67,11.42,11.67,312300
2010-06-10,11.19,11.71,11.19,11.67,86400
2010-06-11,11.87,11.87,11.23,11.3,180400
2010-06-14,11.42,11.42,11.19,11.42,162400
2010-06-15,11.85,12.1,11.85,12.1,129800
2010-06-16,12.95,12.95,12.33,12.92,498700
2010-06-17,13.24,13.24,12.53,12.63,187200
2010-06-18,12.33,12.83,12.33,12.83,168400
2010-06-21,12.79,13.01,12.58,13.01,143300
2010-06-22,12.79,12.95,11.9,12.22,251700
2010-06-23,11.62,12.19,11.6,11.92,174200
2010-06-24,11.87,12.33,11.87,11.92,75600
2010-06-25,11.83,11.87,11.26,11.35,112200
2010-06-28,11.19,11.8,10.98,11.32,96500
2010-06-29,11.74,11.76,11.19,11.19,67600
2010-06-30,10.59,10.96,10.59,10.62,182700
2010-07-01,11.07,11.42,10.62,10.94,126900
2010-07-02,10.85,10.87,10.73,10.78,87500
2010-07-05,10.96,10.96,10.66,10.87,48700
2010-07-06,10.94,10.94,10.41,10.5,77100
2010-07-07,10.62,10.62,10.18,10.27,71100
2010-07-08,10.73,11.01,10.23,10.23,77700
2010-07-09,10.41,11.12,10.34,11.12,138600
2010-07-12,11.62,11.62,11.28,11.51,212600
2010-07-13,11.67,11.87,11.37,11.67,80800
2010-07-14,11.74,11.87,11.32,11.32,84000
2010-07-15,11.58,11.58,11.19,11.28,81700
2010-07-16,11.3,11.64,11.1,11.46,125300
2010-07-19,11.46,11.46,11.1,11.17,135500
2010-07-20,11.21,11.28,10.89,10.91,134500
2010-07-21,11.26,11.26,10.75,10.85,71900
