time,open,high,low,close,volume
2010-01-04,5.86,5.86,5.86,5.86,96040
2010-01-05,6.15,6.15,6.03,6.15,398180
2010-01-06,6.15,6.32,6.03,6.15,138040
2010-01-07,6.15,6.24,6.09,6.12,81090
2010-01-08,6.32,6.32,6.09,6.09,206710
2010-01-11,6.09,6.18,5.98,6.12,85120
2010-01-12,6.03,6.12,5.86,5.86,92480
2010-01-13,5.78,5.89,5.72,5.83,119730
2010-01-14,5.83,5.89,5.75,5.75,40390
2010-01-15,5.75,5.75,5.63,5.72,71770
2010-01-18,5.55,5.66,5.52,5.55,78460
2010-01-19,5.72,5.72,5.6,5.63,10830
2010-01-20,5.63,5.63,5.55,5.6,49540
2010-01-21,5.49,5.57,5.4,5.4,64070
2010-01-22,5.46,5.46,5.32,5.32,13280
2010-01-25,5.4,5.52,5.32,5.4,9180
2010-01-26,5.57,5.57,5.4,5.52,13930
2010-01-27,5.34,5.52,5.29,5.34,33620
2010-01-28,5.43,5.43,5.32,5.32,55590
2010-01-29,5.37,5.37,5.2,5.37,33110
2010-02-01,5.32,5.43,5.29,5.32,35000
2010-02-02,5.29,5.34,5.29,5.32,110880
2010-02-03,5.32,5.37,5.32,5.32,76790
2010-02-04,5.4,5.4,5.32,5.32,158040
2010-02-05,5.32,5.32,5.26,5.29,70350
2010-02-08,5.17,5.43,5.17,5.43,50690
2010-02-09,5.43,5.43,5.26,5.26,18820
2010-02-10,5.32,5.46,5.26,5.32,44690
2010-02-11,5.37,5.4,5.29,5.37,1630
2010-02-12,5.4,5.46,5.37,5.4,31820
2010-02-22,5.23,5.4,5.23,5.4,1720
2010-02-23,5.43,5.43,5.29,5.29,10230
2010-02-24,5.23,5.32,5.2,5.2,21500
2010-02-25,5.2,5.32,5.2,5.2,28800
2010-02-26,5.2,5.46,5.17,5.43,247500
2010-03-01,5.6,5.69,5.34,5.46,174940
2010-03-02,5.4,5.46,5.32,5.43,19460
2010-03-03,5.4,5.46,5.32,5.4,20580
2010-03-04,5.34,5.4,5.23,5.23,136860
2010-03-05,5.29,5.32,5.2,5.26,122440
2010-03-08,5.37,5.4,5.26,5.32,141250
2010-03-09,5.32,5.37,5.32,5.34,107200
2010-03-10,5.34,5.37,5.32,5.34,212360
2010-03-11,5.4,5.4,5.29,5.29,49080
2010-03-12,5.29,5.34,5.23,5.29,63010
2010-03-15,5.32,5.32,5.26,5.26,45770
2010-03-16,5.23,5.26,5.06,5.06,130800
2010-03-17,5.14,5.17,5.06,5.06,43460
2010-03-18,5.14,5.14,5.06,5.12,65240
2010-03-19,5.12,5.17,5.12,5.14,22590
2010-03-22,5.14,5.14,5.03,5.03,50710
2010-03-23,5.0,5.06,4.94,4.94,65590
2010-03-24,4.97,5.0,4.89,4.94,46940
2010-03-25,4.89,4.89,4.83,4.83,67890
2010-03-26,4.94,4.94,4.83,4.89,72450
2010-03-29,4.91,4.91,4.77,4.8,32550
2010-03-30,4.77,4.83,4.77,4.8,100720
2010-03-31,4.83,4.89,4.74,4.77,63220
2010-04-01,4.86,4.86,4.77,4.86,98570
2010-04-02,4.86,4.91,4.77,4.83,93620
2010-04-05,4.89,4.89,4.83,4.83,14920
2010-04-06,4.8,4.83,4.77,4.77,37420
2010-04-07,4.71,4.77,4.66,4.74,44130
2010-04-08,4.74,4.8,4.71,4.8,42490
2010-04-09,4.86,4.89,4.74,4.83,69120
2010-04-12,4.94,4.94,4.8,4.86,37720
2010-04-13,4.86,4.89,4.77,4.77,30850
2010-04-14,4.71,4.8,4.71,4.71,28690
2010-04-15,4.71,4.74,4.66,4.71,65670
2010-04-16,4.71,4.74,4.71,4.71,52900
2010-04-19,4.71,4.74,4.68,4.74,65590
2010-04-20,4.77,4.8,4.68,4.71,131290
2010-04-21,4.74,4.77,4.68,4.68,55220
2010-04-22,4.68,4.74,4.68,4.68,151260
2010-04-26,4.71,4.91,4.71,4.89,177220
2010-04-27,4.91,4.91,4.83,4.83,99160
2010-04-28,4.86,4.86,4.68,4.68,84620
2010-04-29,4.68,4.91,4.68,4.86,120330
2010-05-04,5.0,5.09,5.0,5.09,416920
2010-05-05,5.03,5.03,4.89,4.97,84260
2010-05-06,5.0,5.12,4.97,5.12,81000
2010-05-07,5.12,5.12,4.91,5.12,226880
2010-05-10,5.12,5.12,4.89,4.89,79850
2010-05-11,4.89,4.94,4.83,4.83,112840
2010-05-12,4.83,4.83,4.66,4.66,113680
2010-05-13,4.8,4.83,4.66,4.66,140440
2010-05-14,4.71,4.71,4.66,4.68,29200
2010-05-17,4.68,4.71,4.6,4.66,80590
2010-05-18,4.66,4.66,4.6,4.66,121470
2010-05-19,4.63,4.63,4.43,4.43,106600
2010-05-20,4.31,4.48,4.31,4.45,91870
2010-05-21,4.31,4.43,4.25,4.25,67430
2010-05-24,4.25,4.31,4.25,4.31,26220
2010-05-25,4.22,4.37,4.22,4.31,147710
2010-05-26,4.34,4.34,4.28,4.34,402560
