time,open,high,low,close,volume
2016-10-05,7.68,7.68,7.68,7.68,205890
2016-10-06,8.21,8.21,8.21,8.21,14250
2016-10-07,8.76,8.76,8.76,8.76,30910
2016-10-10,9.36,9.36,9.36,9.36,450360
2016-10-11,10.0,10.0,10.0,10.0,799790
2016-10-12,10.68,10.68,10.68,10.68,1130610
2016-10-13,11.43,11.43,11.41,11.43,3145880
2016-10-14,12.15,12.22,11.94,12.22,2242380
2016-10-17,13.05,13.07,12.96,13.07,1428260
2016-10-18,13.97,13.97,13.94,13.97,1439460
2016-10-19,14.9,14.9,13.01,13.01,1389260
2016-10-20,12.11,12.11,12.11,12.11,805310
2016-10-21,11.28,12.6,11.28,12.37,3892820
2016-10-24,12.41,12.73,12.39,12.64,1239320
2016-10-25,12.69,13.05,11.9,12.13,1387380
2016-10-26,11.51,12.15,11.32,12.15,2192960
2016-10-27,12.22,12.73,12.22,12.71,1137290
2016-10-28,11.98,12.96,11.98,12.88,1771130
2016-10-31,12.73,12.73,11.98,12.07,557560
2016-11-01,11.39,12.28,11.24,12.07,941280
2016-11-02,12.09,12.09,11.24,11.24,733570
2016-11-03,10.47,10.83,10.47,10.47,280160
2016-11-04,9.74,10.21,9.74,10.11,1020320
2016-11-07,9.81,10.23,9.4,9.4,179850
2016-11-08,8.76,10.04,8.76,10.04,1175430
2016-11-09,10.08,10.47,9.59,10.17,1376620
2016-11-10,10.21,10.87,10.19,10.19,617110
2016-11-11,9.59,10.19,9.49,9.49,610960
2016-11-14,9.38,9.42,8.95,9.32,910960
2016-11-15,9.34,9.53,9.34,9.51,717210
2016-11-16,9.55,9.79,9.55,9.64,1183670
2016-11-17,9.38,9.64,9.38,9.51,775880
2016-11-18,9.55,10.0,9.55,9.94,1545900
2016-11-21,10.02,10.58,9.96,9.96,265960
2016-11-22,9.96,10.17,9.96,10.0,1039110
2016-11-23,10.0,10.15,9.32,9.47,352320
2016-11-24,9.47,9.57,8.95,9.04,282950
2016-11-25,9.04,9.13,8.44,8.74,260410
2016-11-28,8.76,8.78,8.14,8.23,164100
2016-11-29,7.72,8.81,7.7,8.81,377890
2016-11-30,8.87,9.38,8.7,8.85,410010
2016-12-01,8.85,8.85,8.32,8.4,152600
2016-12-02,7.97,8.4,7.97,8.19,338550
2016-12-05,8.44,8.75,8.44,8.75,403940
2016-12-06,8.82,9.1,8.75,8.77,447500
2016-12-07,8.49,8.98,8.49,8.96,457640
2016-12-08,9.15,9.29,8.96,9.29,541740
2016-12-09,9.05,9.29,9.05,9.29,395990
2016-12-12,9.05,9.15,8.75,8.75,154710
2016-12-13,8.61,8.65,8.21,8.21,115150
2016-12-14,8.02,8.54,7.93,8.23,188730
2016-12-15,8.19,8.28,8.11,8.26,254330
2016-12-16,8.28,8.35,8.26,8.3,316980
2016-12-19,8.26,8.42,8.23,8.4,461400
2016-12-20,8.37,8.49,8.35,8.37,330030
2016-12-21,8.37,8.4,8.21,8.37,602550
2016-12-22,8.3,8.35,8.09,8.21,137410
2016-12-23,8.14,8.21,7.97,8.14,67440
2016-12-26,8.16,8.19,7.88,8.02,104860
2016-12-27,8.07,8.09,7.65,7.74,354160
2016-12-28,7.67,7.72,7.51,7.6,237510
2016-12-29,7.51,7.62,7.11,7.51,312690
2016-12-30,7.32,7.93,7.29,7.93,763300
2017-01-03,7.76,7.93,7.76,7.93,524250
2017-01-04,7.95,7.97,7.83,7.88,532300
2017-01-05,7.74,8.07,7.74,8.0,954840
2017-01-06,7.93,7.95,7.79,7.95,736580
2017-01-09,8.02,8.11,8.02,8.07,710260
2017-01-10,7.88,8.07,7.76,7.88,665850
2017-01-11,7.88,7.95,7.74,7.95,764900
2017-01-12,7.95,8.07,7.65,7.88,1352390
2017-01-13,7.86,7.86,7.65,7.83,528940
2017-01-16,7.65,7.79,7.6,7.74,101340
2017-01-17,7.76,7.76,7.46,7.51,175430
2017-01-18,7.41,7.62,7.13,7.41,449810
2017-01-19,7.41,7.41,7.22,7.34,337660
2017-01-20,7.13,7.83,7.13,7.83,1088720
2017-01-23,7.93,7.97,7.76,7.83,1001740
2017-01-24,7.65,7.86,7.65,7.76,166130
2017-01-25,7.67,7.9,7.55,7.9,454370
2017-02-02,7.93,7.95,7.81,7.83,467920
2017-02-03,7.67,7.9,7.6,7.79,527030
2017-02-06,7.65,7.74,7.62,7.72,723590
2017-02-07,7.65,7.69,7.53,7.67,873580
2017-02-08,7.55,7.69,7.43,7.55,406410
2017-02-09,7.62,7.74,7.55,7.6,971380
2017-02-10,7.55,7.62,7.53,7.6,628100
2017-02-13,7.51,8.0,7.36,7.95,1490320
2017-02-14,7.88,8.21,7.86,8.14,1701010
2017-02-15,8.16,8.16,7.81,7.97,648820
2017-02-16,8.0,8.09,7.97,8.04,856650
2017-02-17,8.09,8.14,7.97,8.04,518980
2017-02-20,8.02,8.04,7.79,7.83,435780
2017-02-21,7.83,7.95,7.69,7.79,611860
2017-02-22,7.79,7.79,7.48,7.62,654550
2017-02-23,7.62,7.72,7.62,7.67,377190
2017-02-24,7.6,7.74,7.58,7.69,460030
2017-02-27,7.69,7.72,7.18,7.72,611930
2017-02-28,7.74,7.74,7.58,7.62,311580
2017-03-01,7.6,7.62,7.46,7.55,271930
2017-03-02,7.58,7.69,7.48,7.51,444350
2017-03-03,7.53,7.58,7.46,7.58,319000
2017-03-06,7.62,7.65,7.55,7.6,365180
2017-03-07,7.6,7.67,7.53,7.67,572700
2017-03-08,7.67,7.72,7.58,7.67,774020
2017-03-09,7.6,7.67,7.55,7.62,739780
2017-03-10,7.58,7.65,7.53,7.58,734820
2017-03-13,7.27,7.51,7.27,7.29,521770
2017-03-14,7.15,7.53,7.15,7.53,1339100
2017-03-15,7.39,7.72,7.39,7.69,1527440
2017-03-16,7.69,7.83,7.69,7.83,1306070
2017-03-17,7.79,8.33,7.76,8.3,1818910
2017-03-20,8.26,8.44,8.26,8.4,1315030
2017-03-21,8.42,8.44,8.11,8.33,1106450
2017-03-22,8.33,8.58,8.33,8.51,1977230
2017-03-23,8.49,8.91,8.3,8.91,1364990
2017-03-24,8.77,8.77,8.58,8.63,601920
2017-03-27,8.51,8.77,8.51,8.7,1036850
2017-03-28,8.7,8.72,8.44,8.51,1066770
2017-03-29,8.37,8.49,8.3,8.42,1098030
2017-03-30,8.35,8.58,8.23,8.54,1244880
2017-03-31,8.44,8.56,8.23,8.23,699400
2017-04-03,8.26,8.37,8.21,8.3,973990
2017-04-04,8.28,8.42,8.28,8.4,1261940
2017-04-05,8.42,8.44,8.37,8.4,940450
2017-04-07,8.4,8.42,8.26,8.4,689360
2017-04-10,8.42,8.47,8.37,8.42,1286570
2017-04-11,8.44,8.58,8.35,8.54,1909480
2017-04-12,8.56,8.63,8.35,8.56,1636700
2017-04-13,8.61,8.65,8.49,8.58,1812580
2017-04-14,8.51,8.79,8.44,8.72,2168930
2017-04-17,8.72,9.15,8.72,8.96,2139560
2017-04-18,9.05,9.1,8.79,9.08,1782690
2017-04-19,9.12,9.12,8.82,8.94,1791770
2017-04-20,8.98,9.08,8.91,8.96,1720330
2017-04-21,8.98,9.01,8.68,8.91,2043800
2017-04-24,8.96,9.05,8.94,9.01,1862510
2017-04-25,8.96,9.15,8.94,9.12,1952000
2017-04-26,9.15,9.29,9.15,9.24,1533420
2017-04-27,9.69,9.87,9.48,9.64,2417920
2017-04-28,9.69,9.85,9.66,9.73,2101570
2017-05-03,9.76,9.99,9.76,9.99,1720630
2017-05-04,10.01,10.11,9.76,10.08,2517220
2017-05-05,9.92,10.08,9.52,9.52,1789600
2017-05-08,9.24,9.48,9.1,9.48,2527250
2017-05-09,9.45,9.73,9.22,9.69,2841620
2017-05-10,9.76,9.9,9.71,9.71,2596090
2017-05-11,9.66,9.66,9.36,9.52,2276440
2017-05-12,9.57,9.66,9.52,9.62,1890470
