time,open,high,low,close,volume
2012-02-27,2.13,2.13,2.09,2.09,20000
2012-02-28,2.03,2.09,2.03,2.09,60
2012-02-29,2.09,2.09,2.09,2.09,10
2012-03-01,2.09,2.09,2.09,2.09,0
2012-03-02,2.13,2.13,2.13,2.13,100
2012-03-05,2.03,2.09,2.03,2.03,36620
2012-03-06,2.03,2.03,2.03,2.03,0
2012-03-07,2.13,2.13,1.93,1.93,40
2012-03-08,2.01,2.01,1.93,1.93,540
2012-03-09,1.93,2.01,1.93,2.01,50
2012-03-12,2.07,2.07,2.07,2.07,20
2012-03-13,2.11,2.11,2.11,2.11,50
2012-03-14,2.11,2.15,2.05,2.05,90
2012-03-15,2.03,2.07,2.03,2.07,8130
2012-03-16,1.97,2.07,1.97,2.07,15010
2012-03-19,2.03,2.03,2.03,2.03,3000
2012-03-20,1.93,2.03,1.93,2.01,120
2012-03-21,2.03,2.03,2.03,2.03,10
2012-03-22,1.93,2.03,1.93,2.03,1120
2012-03-23,1.93,2.03,1.93,2.03,470
2012-03-26,2.03,2.03,2.03,2.03,0
2012-03-27,2.03,2.03,2.03,2.03,0
2012-03-28,2.05,2.05,2.03,2.03,3000
2012-03-29,2.01,2.03,2.01,2.03,12470
2012-03-30,2.03,2.03,2.03,2.03,0
2012-04-03,1.93,2.03,1.93,2.03,2600
2012-04-04,2.03,2.03,2.03,2.03,0
2012-04-05,2.12,2.12,2.12,2.12,10
2012-04-06,2.2,2.2,2.16,2.16,220
2012-04-09,2.05,2.2,2.05,2.2,5230
2012-04-10,2.2,2.2,2.2,2.2,0
2012-04-11,2.2,2.2,2.2,2.2,250
2012-04-12,2.2,2.2,2.2,2.2,0
2012-04-13,2.22,2.22,2.22,2.22,10
2012-04-16,2.22,2.22,2.22,2.22,0
2012-04-17,2.18,2.18,2.18,2.18,17610
2012-04-18,2.14,2.14,2.14,2.14,3000
2012-04-19,2.03,2.14,2.03,2.14,5070
2012-04-20,2.14,2.14,2.14,2.14,0
2012-04-23,2.03,2.12,2.03,2.12,3010
2012-04-24,2.09,2.12,2.09,2.12,10010
2012-04-25,2.09,2.09,2.09,2.09,10
2012-04-26,2.18,2.18,2.18,2.18,10
2012-04-27,2.09,2.12,2.09,2.12,4930
2012-05-02,2.07,2.12,2.07,2.12,20
2012-05-03,2.14,2.2,2.14,2.2,16820
2012-05-04,2.14,2.14,2.14,2.14,3030
2012-05-07,2.12,2.12,2.07,2.12,8590
2012-05-08,2.05,2.09,2.03,2.05,5170
2012-05-09,2.05,2.14,1.97,1.97,4660
2012-05-10,2.05,2.05,1.97,2.05,3260
2012-05-11,2.05,2.14,2.05,2.14,5430
2012-05-14,2.14,2.14,2.03,2.12,4010
2012-05-15,2.09,2.09,2.09,2.09,5000
2012-05-16,2.01,2.09,2.01,2.09,6120
2012-05-17,2.09,2.09,2.03,2.09,4010
2012-05-18,2.09,2.09,2.09,2.09,5000
2012-05-21,2.01,2.09,2.01,2.09,5000
2012-05-22,2.09,2.09,2.09,2.09,5000
2012-05-23,2.09,2.09,2.09,2.09,5000
2012-05-24,2.09,2.09,2.01,2.01,5300
2012-05-25,1.95,2.01,1.95,2.01,6000
2012-05-28,2.01,2.01,2.01,2.01,4200
2012-05-29,2.01,2.07,2.01,2.07,1520
2012-05-30,2.09,2.09,2.09,2.09,170
2012-05-31,2.03,2.07,2.01,2.07,5520
2012-06-01,1.99,1.99,1.99,1.99,70
2012-06-04,1.99,1.99,1.9,1.9,1100
2012-06-05,1.99,1.99,1.82,1.82,3070
2012-06-06,1.91,1.91,1.91,1.91,10
2012-06-07,2.0,2.0,1.91,1.91,120
2012-06-08,2.0,2.0,1.82,1.82,120
2012-06-11,1.91,1.91,1.75,1.75,90
2012-06-12,1.68,1.82,1.68,1.68,40
2012-06-13,1.64,1.64,1.64,1.64,50
2012-06-14,1.57,1.57,1.57,1.57,10
2012-06-15,1.57,1.57,1.57,1.57,20
2012-06-18,1.53,1.64,1.53,1.64,20
2012-06-19,1.7,1.7,1.7,1.7,10
2012-06-20,1.77,1.77,1.64,1.77,40
2012-06-21,1.79,1.79,1.79,1.79,10
2012-06-22,1.82,1.82,1.82,1.82,1000
2012-06-25,1.91,1.91,1.91,1.91,10
2012-06-26,1.97,1.97,1.97,1.97,20
2012-06-27,2.04,2.06,1.95,1.95,60
2012-06-28,1.86,2.02,1.86,2.02,3000
2012-06-29,2.11,2.11,2.11,2.11,300
2012-07-02,2.18,2.18,2.18,2.18,90
2012-07-03,2.13,2.13,2.13,2.13,2000
2012-07-04,2.11,2.13,2.11,2.13,3000
2012-07-05,2.13,2.13,2.13,2.13,4700
2012-07-06,2.11,2.13,2.06,2.11,6410
2012-07-09,2.11,2.11,2.06,2.06,5220
2012-07-10,2.06,2.11,2.06,2.11,5000
2012-07-11,2.11,2.11,2.11,2.11,0
2012-07-12,2.11,2.2,2.09,2.2,7950
2012-07-13,2.18,2.24,2.18,2.24,10020
2012-07-16,2.13,2.2,2.13,2.13,10000
2012-07-17,2.13,2.15,2.04,2.15,3140
2012-07-18,2.13,2.13,2.09,2.13,9000
2012-07-19,2.04,2.13,2.04,2.13,2910
2012-07-20,2.15,2.15,2.15,2.15,8500
2012-07-23,2.15,2.15,2.15,2.15,0
2012-07-24,2.15,2.15,2.15,2.15,0
2012-07-25,2.15,2.15,2.15,2.15,0
2012-07-26,2.13,2.13,2.11,2.13,3010
2012-07-27,2.13,2.13,2.13,2.13,0
2012-07-30,2.11,2.11,2.11,2.11,1010
2012-07-31,2.11,2.11,2.11,2.11,2000
2012-08-01,2.11,2.11,2.11,2.11,0
2012-08-02,2.13,2.13,2.11,2.11,11120
2012-08-03,2.11,2.13,2.11,2.13,4000
2012-08-06,2.09,2.11,2.09,2.11,10010
2012-08-07,2.11,2.11,2.11,2.11,0
2012-08-08,2.11,2.11,2.11,2.11,0
2012-08-09,2.02,2.11,2.02,2.11,7090
2012-08-10,2.09,2.13,2.02,2.02,8150
2012-08-13,2.11,2.11,2.11,2.11,1000
2012-08-14,2.11,2.11,2.11,2.11,0
2012-08-15,2.09,2.11,2.09,2.11,8000
2012-08-16,2.09,2.09,2.09,2.09,2000
2012-08-17,2.09,2.11,2.09,2.11,7110
2012-08-20,2.11,2.2,2.11,2.13,13850
2012-08-21,2.13,2.13,2.11,2.13,11610
2012-08-22,2.11,2.13,2.11,2.13,7010
2012-08-23,2.11,2.11,2.11,2.11,5000
2012-08-24,2.11,2.11,2.11,2.11,2000
2012-08-27,2.11,2.11,2.06,2.06,4000
2012-08-28,2.06,2.11,2.06,2.11,8000
2012-08-29,2.09,2.11,2.09,2.11,9000
2012-08-30,2.09,2.11,2.09,2.11,12180
2012-08-31,2.11,2.13,2.11,2.13,5010
2012-09-04,2.11,2.11,2.11,2.11,850
2012-09-05,2.11,2.11,2.11,2.11,0
