time,open,high,low,close,volume
2010-01-04,8.06,8.54,8.06,8.54,17900
2010-01-05,8.93,8.94,8.61,8.61,13000
2010-01-06,8.62,8.62,8.34,8.34,6900
2010-01-07,8.49,8.55,8.3,8.3,6800
2010-01-08,8.49,8.49,8.24,8.28,8900
2010-01-11,8.34,8.41,8.2,8.24,1900
2010-01-12,8.12,8.12,7.69,7.75,10000
2010-01-13,7.66,7.95,7.56,7.95,11200
2010-01-14,8.0,8.06,7.87,8.0,3400
2010-01-15,8.24,8.24,7.75,7.75,3600
2010-01-18,7.63,7.63,7.44,7.56,9700
2010-01-19,7.69,7.81,7.69,7.81,2900
2010-01-20,7.81,7.81,7.63,7.63,3100
2010-01-21,7.38,7.63,7.38,7.38,7600
2010-01-22,7.01,7.55,7.01,7.44,10200
2010-01-25,7.01,7.63,7.01,7.63,6700
2010-01-26,7.93,7.96,7.87,7.96,10600
2010-01-27,8.18,8.18,7.7,7.86,9300
2010-01-28,7.56,7.81,7.52,7.81,5400
2010-01-29,7.87,7.87,7.45,7.75,6800
2010-02-01,7.69,8.0,7.69,8.0,10200
2010-02-02,8.36,8.36,7.93,8.07,28400
2010-02-03,8.12,8.18,8.06,8.12,20300
2010-02-04,8.12,8.43,8.12,8.43,26300
2010-02-05,8.3,8.86,8.3,8.86,43900
2010-02-08,9.34,9.34,9.34,9.34,8200
2010-02-09,9.99,9.99,9.48,9.84,52000
2010-02-10,9.78,9.84,9.24,9.59,21600
2010-02-11,9.59,9.71,9.3,9.59,19100
2010-02-12,10.18,10.18,9.71,9.96,12300
2010-02-22,10.62,10.62,10.21,10.62,43300
2010-02-23,10.68,10.68,10.15,10.3,45100
2010-02-24,11.13,11.13,9.96,10.37,25400
2010-02-25,10.25,10.7,10.25,10.46,20100
2010-02-26,11.22,11.22,10.39,10.52,22300
2010-03-01,10.49,10.58,10.22,10.33,18300
2010-03-02,11.1,11.1,9.96,10.07,20900
2010-03-03,9.86,10.39,9.86,10.27,30500
2010-03-04,10.22,10.33,9.98,9.98,18000
2010-03-05,9.9,9.96,9.72,9.9,21000
2010-03-08,9.84,10.15,9.84,10.02,19800
2010-03-09,10.33,10.33,9.93,9.96,10900
2010-03-10,9.84,10.09,9.84,9.9,21200
2010-03-11,9.85,9.9,9.83,9.86,13700
2010-03-12,9.84,9.94,9.84,9.88,12000
2010-03-15,10.15,10.33,9.47,10.33,38000
2010-03-16,10.21,10.31,10.09,10.27,33500
2010-03-17,10.06,10.21,10.05,10.21,18200
2010-03-18,10.18,10.27,10.12,10.27,8300
2010-03-19,10.58,10.58,10.09,10.1,5200
2010-03-22,10.57,10.57,9.96,10.09,4900
2010-03-23,10.27,10.27,9.84,9.9,6000
2010-03-24,9.95,9.96,9.89,9.91,4600
2010-03-25,9.84,9.9,9.66,9.73,5700
2010-03-26,9.78,9.96,9.78,9.96,10400
2010-03-29,9.9,10.01,9.85,10.01,8400
2010-03-30,10.09,10.09,9.75,9.93,8700
2010-03-31,9.96,10.07,9.93,9.95,3100
2010-04-01,9.96,9.96,9.72,9.96,10100
2010-04-02,9.74,9.96,9.74,9.96,8600
2010-04-05,9.84,10.02,9.84,9.84,8100
2010-04-06,9.9,9.96,9.78,9.78,6800
2010-04-07,9.84,9.85,9.72,9.85,10100
2010-04-08,9.96,10.02,9.84,10.02,15800
2010-04-09,10.21,10.28,9.96,10.09,8700
2010-04-12,10.41,10.41,10.1,10.28,31800
2010-04-13,10.39,10.39,9.99,10.1,19700
2010-04-14,10.02,10.18,9.88,9.96,6500
2010-04-15,9.96,10.15,9.84,10.15,20500
2010-04-16,10.21,10.21,10.02,10.15,27400
2010-04-19,10.04,10.1,9.96,10.06,12600
2010-04-20,10.1,10.1,9.47,9.47,61100
2010-04-21,9.66,9.66,9.08,9.14,44200
2010-04-22,9.21,9.85,9.1,9.79,22200
2010-04-26,9.41,9.98,9.41,9.57,42300
2010-04-27,9.72,9.72,9.29,9.29,12900
2010-04-28,9.59,9.59,9.45,9.45,12900
2010-04-29,9.59,9.59,9.29,9.35,17300
2010-05-04,9.35,9.59,9.32,9.39,27700
