time,open,high,low,close,volume
2010-01-04,4.54,4.56,4.54,4.56,17200
2010-01-05,4.87,4.87,4.8,4.87,88600
2010-01-06,4.68,4.91,4.68,4.82,50000
2010-01-07,4.73,4.84,4.73,4.73,18800
2010-01-08,4.91,5.08,4.68,4.82,28500
2010-01-11,4.89,4.89,4.63,4.68,31600
2010-01-12,4.63,4.73,4.4,4.4,25100
2010-01-13,4.33,4.49,4.28,4.49,7400
2010-01-14,4.56,4.61,4.54,4.61,32200
2010-01-15,4.44,4.47,4.33,4.42,16400
2010-01-18,4.21,4.33,4.21,4.33,15800
2010-01-19,4.33,4.44,4.33,4.44,6400
2010-01-20,4.68,4.68,4.21,4.21,30000
2010-01-21,4.19,4.21,4.07,4.21,23300
2010-01-22,3.98,4.19,3.98,4.19,11000
2010-01-25,4.19,4.35,4.19,4.35,43500
2010-01-26,4.35,4.61,4.35,4.61,34200
2010-01-27,4.59,4.59,4.44,4.44,71900
2010-01-28,4.28,4.3,4.21,4.28,17400
2010-01-29,4.26,4.33,4.23,4.3,16200
2010-02-01,4.33,4.54,4.33,4.47,12900
2010-02-02,4.35,4.49,4.35,4.44,22900
2010-02-03,4.4,4.4,4.33,4.33,2000
2010-02-04,4.21,4.42,4.21,4.42,2100
2010-02-05,4.35,4.35,4.23,4.28,12600
2010-02-08,4.3,4.3,4.23,4.28,7100
2010-02-09,4.21,4.21,4.09,4.09,9400
2010-02-10,4.3,4.3,4.21,4.21,4500
2010-02-11,4.21,4.33,4.21,4.33,8300
2010-02-12,4.33,4.33,4.3,4.33,14700
2010-02-22,4.54,4.54,4.3,4.3,2700
2010-02-23,4.21,4.21,4.21,4.21,4400
2010-02-24,4.09,4.09,4.09,4.09,2500
2010-02-25,4.21,4.3,4.09,4.3,10700
2010-02-26,4.21,4.44,4.19,4.42,15600
2010-03-01,4.37,4.54,4.35,4.54,39600
2010-03-02,4.63,4.66,4.44,4.59,17100
2010-03-03,4.49,4.59,4.44,4.59,20500
2010-03-04,4.63,4.63,4.49,4.63,29600
2010-03-05,4.47,4.56,4.33,4.56,16500
