time,open,high,low,close,volume
2011-07-28,1.43,1.43,1.43,1.43,30
2011-07-29,1.36,1.36,1.36,1.36,10
2011-08-01,1.3,1.3,1.3,1.3,10
2011-08-02,1.23,1.23,1.23,1.23,10
2011-08-03,1.17,1.17,1.17,1.17,10
2011-08-04,1.12,1.12,1.12,1.12,2990
2011-08-05,1.07,1.07,1.07,1.07,10
2011-08-08,1.02,1.02,1.02,1.02,1200
2011-08-09,0.97,0.97,0.97,0.97,60
2011-08-10,0.92,0.92,0.92,0.92,50
2011-08-11,0.88,0.88,0.88,0.88,110
2011-08-12,0.84,0.84,0.84,0.84,820
2011-08-15,0.8,0.87,0.8,0.8,3550
2011-08-16,0.77,0.8,0.77,0.77,14710
2011-08-17,0.73,0.73,0.73,0.73,15970
2011-08-18,0.7,0.7,0.7,0.7,6930
2011-08-19,0.73,0.73,0.67,0.67,35040
2011-08-22,0.66,0.7,0.66,0.68,55030
2011-08-23,0.72,0.72,0.68,0.68,33840
2011-08-24,0.65,0.72,0.65,0.68,1680
2011-08-25,0.72,0.72,0.68,0.68,10040
2011-08-26,0.72,0.72,0.69,0.7,12660
2011-08-29,0.73,0.73,0.73,0.73,10500
2011-08-30,0.76,0.76,0.76,0.76,10
2011-08-31,0.8,0.8,0.8,0.8,2020
2011-09-01,0.84,0.84,0.84,0.84,130
2011-09-05,0.87,0.87,0.84,0.87,870
2011-09-06,0.84,0.84,0.83,0.83,870
2011-09-07,0.79,0.87,0.79,0.8,7270
2011-09-08,0.84,0.84,0.84,0.84,12020
2011-09-09,0.87,0.87,0.84,0.84,5590
2011-09-12,0.84,0.84,0.84,0.84,10670
2011-09-13,0.84,0.84,0.82,0.82,8860
2011-09-14,0.82,0.85,0.79,0.85,20410
2011-09-15,0.81,0.84,0.81,0.84,7670
2011-09-16,0.84,0.84,0.8,0.8,19040
2011-09-19,0.8,0.8,0.8,0.8,8630
2011-09-20,0.77,0.8,0.77,0.77,10760
2011-09-21,0.8,0.81,0.78,0.78,6510
2011-09-22,0.78,0.81,0.78,0.81,2310
2011-09-23,0.8,0.83,0.78,0.78,13020
2011-09-26,0.78,0.81,0.78,0.81,840
2011-09-27,0.8,0.8,0.8,0.8,50
2011-09-28,0.77,0.77,0.77,0.77,1010
2011-09-29,0.75,0.81,0.73,0.73,1870
2011-09-30,0.73,0.76,0.7,0.7,1130
2011-10-03,0.67,0.67,0.67,0.67,1020
2011-10-04,0.67,0.7,0.65,0.7,2340
2011-10-05,0.73,0.73,0.73,0.73,24460
2011-10-06,0.76,0.76,0.76,0.76,1560
2011-10-07,0.8,0.8,0.8,0.8,6790
2011-10-10,0.84,0.84,0.84,0.84,11380
2011-10-11,0.87,0.87,0.87,0.87,46550
2011-10-12,0.91,0.91,0.84,0.87,17730
2011-10-13,0.87,0.87,0.87,0.87,1800
2011-10-14,0.84,0.91,0.84,0.91,28670
2011-10-17,0.89,0.89,0.87,0.87,3430
2011-10-18,0.83,0.87,0.83,0.84,306060
2011-10-19,0.84,0.84,0.84,0.84,10
