time,open,high,low,close,volume
2013-11-12,2.97,2.97,2.09,2.09,15000
2013-11-13,1.91,2.29,1.88,2.29,4300
2013-11-14,2.09,2.5,2.09,2.5,3200
2013-11-15,2.53,2.53,2.53,2.53,1000
2013-11-18,2.53,2.76,2.29,2.29,11100
2013-11-19,2.09,2.09,2.09,2.09,200
2013-11-20,1.88,2.12,1.88,2.09,4400
2013-11-21,1.88,2.09,1.88,2.09,23000
2013-11-22,2.17,2.2,2.17,2.09,600
2013-11-25,2.12,2.12,2.12,2.12,1000
2013-11-26,2.09,2.09,1.91,2.06,24600
2013-11-27,2.03,2.03,1.85,2.03,26800
2013-11-28,2.03,2.03,1.85,1.85,34700
2013-11-29,1.79,1.94,1.7,1.94,21000
2013-12-02,2.0,2.0,1.76,1.97,6200
2013-12-03,1.97,1.97,1.85,1.85,13600
2013-12-04,1.85,1.91,1.85,1.91,1300
2013-12-05,1.82,1.88,1.82,1.88,5300
2013-12-06,1.91,1.91,1.91,1.91,1500
2013-12-09,1.76,1.88,1.73,1.88,6800
2013-12-10,1.82,1.88,1.82,1.88,5700
2013-12-11,1.91,1.91,1.91,1.91,3000
2013-12-12,1.88,1.91,1.88,1.91,2500
2013-12-13,1.73,1.85,1.73,1.85,9400
2013-12-16,1.7,1.91,1.7,1.91,7800
2013-12-17,1.91,1.91,1.91,1.91,1100
2013-12-18,1.91,1.91,1.91,1.91,0
2013-12-19,1.91,1.91,1.91,1.91,600
2013-12-20,1.91,1.91,1.91,1.91,0
2013-12-23,1.91,1.91,1.91,1.91,1100
2013-12-24,1.73,1.73,1.73,1.73,100
2013-12-25,1.85,1.88,1.76,1.88,10800
2013-12-26,1.91,1.91,1.91,1.91,400
2013-12-27,1.91,1.91,1.91,1.91,0
2013-12-30,1.91,1.91,1.91,1.91,0
2013-12-31,1.91,1.91,1.91,1.91,0
2014-01-02,1.91,1.91,1.91,1.91,0
2014-01-03,1.91,1.91,1.91,1.91,0
2014-01-06,1.73,1.88,1.73,1.88,1400
2014-01-07,1.73,1.73,1.7,1.7,8800
2014-01-08,1.7,1.82,1.59,1.82,5100
2014-01-09,1.88,1.88,1.88,1.88,1300
2014-01-10,1.88,1.88,1.88,1.88,0
2014-01-13,1.88,1.88,1.88,1.88,0
2014-01-14,1.88,1.88,1.88,1.88,0
2014-01-15,1.7,1.7,1.7,1.7,2600
2014-01-16,1.7,1.73,1.59,1.73,6900
2014-01-17,1.82,1.82,1.82,1.82,2300
2014-01-20,1.82,1.82,1.82,1.82,0
2014-01-21,1.65,1.76,1.65,1.76,600
2014-01-22,1.59,1.76,1.59,1.76,3400
2014-01-23,1.76,1.76,1.76,1.76,200
2014-01-24,1.76,1.76,1.76,1.76,0
2014-01-27,1.76,1.76,1.76,1.76,0
2014-02-06,1.62,1.76,1.62,1.76,300
2014-02-07,1.76,1.76,1.76,1.76,0
2014-02-10,1.62,1.76,1.62,1.76,4200
