time,open,high,low,close,volume
2010-01-04,7.31,7.55,7.31,7.55,148030
2010-01-05,7.9,7.9,7.73,7.9,301540
2010-01-06,7.67,8.02,7.67,7.9,75760
2010-01-07,8.02,8.26,8.02,8.26,229370
2010-01-08,8.26,8.61,8.08,8.08,201770
2010-01-11,8.08,8.14,7.73,7.96,182370
2010-01-12,7.67,7.96,7.61,7.61,50090
2010-01-13,7.37,7.67,7.25,7.55,139710
2010-01-14,7.67,7.67,7.55,7.67,31250
2010-01-15,7.43,7.67,7.37,7.37,53320
2010-01-18,7.08,7.31,7.02,7.02,73090
2010-01-19,7.08,7.2,7.02,7.2,25950
2010-01-20,7.2,7.31,6.9,7.2,7600
2010-01-21,6.9,7.2,6.84,6.84,79570
2010-01-22,6.84,7.08,6.72,6.84,33540
2010-01-25,6.61,6.96,6.61,6.61,18740
2010-01-26,6.9,6.9,6.9,6.9,18380
2010-01-27,7.02,7.02,6.84,6.9,20660
2010-01-28,7.02,7.02,6.67,6.9,8210
2010-01-29,6.96,6.96,6.84,6.96,12400
2010-02-01,6.96,6.96,6.9,6.96,7250
2010-02-02,7.02,7.02,6.78,6.78,13000
2010-02-03,6.9,6.9,6.72,6.78,8910
2010-02-04,6.9,7.08,6.84,6.96,16330
2010-02-05,6.78,6.96,6.72,6.84,13200
2010-02-08,6.84,6.84,6.55,6.72,9150
2010-02-09,6.72,6.84,6.72,6.72,6040
2010-02-10,6.72,6.96,6.72,6.72,8520
2010-02-11,6.9,6.9,6.72,6.72,2870
2010-02-12,6.78,6.9,6.78,6.9,2010
2010-02-22,6.9,6.96,6.9,6.9,3120
2010-02-23,6.84,6.96,6.84,6.84,2310
2010-02-24,6.61,6.9,6.61,6.9,17530
2010-02-25,6.9,6.96,6.67,6.9,19040
2010-02-26,6.72,6.84,6.67,6.78,46720
2010-03-01,6.84,6.9,6.72,6.84,40460
2010-03-02,6.9,6.9,6.67,6.67,47900
2010-03-03,6.67,6.84,6.67,6.84,61120
2010-03-04,6.96,6.96,6.84,6.9,35580
2010-03-05,6.96,6.96,6.9,6.96,42670
2010-03-08,7.08,7.2,7.02,7.08,52000
2010-03-09,7.08,7.14,7.02,7.14,37250
