time,open,high,low,close,volume
2010-03-26,4.33,4.33,3.99,3.99,112440
2010-03-29,3.88,3.99,3.82,3.88,44380
2010-03-30,3.69,4.07,3.69,4.06,88950
2010-03-31,4.06,4.24,3.99,4.24,18750
2010-04-01,4.33,4.33,4.16,4.22,43270
2010-04-02,4.23,4.24,4.05,4.24,57030
2010-04-05,4.12,4.25,4.12,4.24,35660
2010-04-06,4.16,4.22,4.16,4.16,56670
2010-04-07,3.99,4.15,3.99,4.15,18530
2010-04-08,3.99,4.17,3.99,3.99,4820
2010-04-09,4.1,4.1,3.88,3.99,4160
2010-04-12,4.1,4.1,3.88,3.99,47370
2010-04-13,3.99,4.05,3.99,4.05,5610
2010-04-14,3.99,4.05,3.99,3.99,22350
2010-04-15,3.88,4.1,3.88,3.99,45190
2010-04-16,4.1,4.13,3.88,4.1,46840
2010-04-19,4.1,4.1,3.91,4.1,5110
2010-04-20,3.93,4.1,3.93,3.93,6000
2010-04-21,4.1,4.12,3.99,4.1,24890
2010-04-22,4.1,4.21,4.1,4.1,2700
2010-04-26,4.1,4.1,3.9,4.1,3140
2010-04-27,3.93,3.99,3.93,3.93,2800
2010-04-28,4.07,4.07,3.99,4.05,4640
2010-04-29,4.09,4.09,3.99,3.99,15500
2010-05-04,3.99,3.99,3.88,3.99,6090
2010-05-05,3.84,3.89,3.84,3.84,9500
2010-05-06,3.99,3.99,3.88,3.88,2950
2010-05-07,3.97,3.97,3.97,3.97,3010
2010-05-10,3.77,3.81,3.77,3.77,6460
2010-05-11,3.81,3.81,3.81,3.81,40
2010-05-12,3.86,3.86,3.86,3.86,10
2010-05-13,3.76,3.76,3.68,3.76,18630
2010-05-14,3.58,3.6,3.58,3.58,9780
2010-05-17,3.42,3.42,3.41,3.41,10390
2010-05-18,3.32,3.41,3.31,3.32,17430
2010-05-19,3.16,3.31,3.16,3.16,12250
2010-05-20,3.08,3.27,3.08,3.27,4100
2010-05-21,3.27,3.27,3.27,3.27,360
2010-05-24,3.27,3.27,3.19,3.27,680
2010-05-25,3.25,3.27,3.25,3.25,260
