time,open,high,low,close,volume
2010-01-04,9.68,9.68,9.68,9.68,1100
2010-01-05,10.36,10.36,9.83,10.29,32000
2010-01-06,10.11,10.11,9.99,9.99,2800
2010-01-07,9.53,9.83,9.46,9.46,6000
2010-01-08,9.68,9.68,9.06,9.06,10800
2010-01-11,9.28,9.28,8.67,8.91,6900
2010-01-12,8.48,8.48,8.24,8.24,16700
2010-01-13,8.14,8.88,8.14,8.85,5500
2010-01-14,8.91,8.94,8.88,8.94,17800
2010-01-15,9.37,9.53,8.91,8.91,6200
2010-01-18,8.76,8.76,8.42,8.42,7100
2010-01-19,9.1,9.1,9.1,9.1,2500
2010-01-20,8.76,9.06,8.6,9.06,3500
2010-01-21,8.6,8.6,8.24,8.24,3700
2010-01-22,8.67,8.67,7.71,8.45,5900
2010-01-25,7.99,7.99,7.93,7.93,1900
2010-01-26,7.99,8.45,7.99,8.42,4900
2010-01-27,8.36,8.36,8.17,8.17,3000
2010-01-28,8.17,8.17,8.17,8.17,0
2010-01-29,8.27,8.27,8.27,8.27,300
2010-02-01,8.27,8.27,8.27,8.27,200
2010-02-02,8.45,8.45,8.3,8.3,1300
2010-02-03,8.6,8.6,8.39,8.39,700
2010-02-04,8.45,8.76,8.45,8.76,9300
2010-02-05,8.3,8.54,8.3,8.54,5700
2010-02-08,8.45,8.45,8.45,8.45,2300
2010-02-09,8.45,8.45,8.36,8.36,4000
2010-02-10,8.6,8.6,8.45,8.45,600
2010-02-11,8.45,8.48,8.45,8.48,3100
2010-02-12,9.03,9.03,8.6,8.6,5100
2010-02-22,9.16,9.16,8.6,8.63,2000
2010-02-23,8.63,8.63,8.54,8.63,10600
2010-02-24,8.36,8.63,8.36,8.63,3700
2010-02-25,8.6,8.6,8.6,8.6,4800
2010-02-26,8.6,8.6,8.6,8.6,3300
2010-03-01,8.67,8.67,8.67,8.67,11200
2010-03-02,9.13,9.13,8.6,8.67,6100
2010-03-03,8.7,8.79,8.6,8.73,5600
2010-03-04,8.91,8.91,8.82,8.82,10400
2010-03-05,8.6,8.91,8.6,8.91,9700
2010-03-08,8.91,8.94,8.76,8.94,11800
2010-03-09,8.91,9.06,8.91,8.97,7900
2010-03-10,9.06,9.16,9.06,9.06,5400
2010-03-11,9.16,9.19,9.16,9.16,1400
2010-03-12,9.06,9.22,9.06,9.22,12400
2010-03-15,9.31,9.53,9.25,9.28,5800
2010-03-16,9.19,9.19,9.06,9.1,10000
2010-03-17,9.1,9.1,9.1,9.1,0
2010-03-18,9.46,9.46,9.22,9.22,1200
2010-03-19,9.06,9.22,9.06,9.16,14800
2010-03-22,9.06,9.22,8.76,8.79,6900
2010-03-23,8.91,8.91,8.79,8.91,10700
2010-03-24,8.85,9.06,8.85,9.06,3900
2010-03-25,9.06,9.16,9.06,9.16,5000
2010-03-26,9.16,9.16,8.91,8.91,5800
2010-03-29,8.91,8.91,8.91,8.91,0
2010-03-30,9.06,9.06,9.0,9.0,12100
2010-03-31,8.97,8.97,8.91,8.91,2200
2010-04-01,8.91,8.91,8.91,8.91,5400
2010-04-02,9.16,9.16,8.91,9.0,4200
2010-04-05,9.1,9.16,9.06,9.16,17600
2010-04-06,9.22,9.22,9.1,9.13,7700
2010-04-07,9.13,9.53,9.13,9.37,56100
2010-04-08,9.68,9.83,9.53,9.77,22000
2010-04-09,9.89,10.14,9.89,10.14,23300
2010-04-12,10.26,10.26,9.77,9.77,24900
2010-04-13,9.99,9.99,9.77,9.83,12100
2010-04-14,9.74,9.99,9.74,9.74,12100
2010-04-15,10.02,10.14,9.77,10.11,20900
2010-04-16,10.14,10.51,10.14,10.14,5800
2010-04-19,10.69,10.72,9.83,10.42,9700
2010-04-20,10.42,10.45,9.86,10.36,10700
2010-04-21,10.57,10.6,10.14,10.14,2300
2010-04-22,10.39,10.45,9.59,9.68,6000
2010-04-26,10.26,10.26,9.68,9.86,3400
2010-04-27,10.14,10.14,10.08,10.14,21100
2010-04-28,10.14,10.14,10.14,10.14,10400
2010-04-29,9.99,10.14,9.99,10.14,15600
2010-05-04,10.14,10.14,10.14,10.14,21200
2010-05-05,9.83,10.14,9.83,10.11,300
2010-05-06,10.02,10.45,9.99,10.45,14000
2010-05-07,10.17,10.32,10.14,10.32,11100
2010-05-10,9.46,10.14,9.46,10.14,9300
2010-05-11,10.14,10.29,10.14,10.29,12800
2010-05-12,10.14,10.14,10.14,10.14,12200
2010-05-13,10.14,10.14,10.02,10.14,5200
2010-05-14,10.08,10.08,10.08,10.08,2000
2010-05-17,10.08,10.08,10.08,10.08,0
2010-05-18,10.08,10.14,10.08,10.14,10300
2010-05-19,10.08,10.08,9.99,9.99,8500
2010-05-20,9.99,10.14,9.99,10.14,6800
2010-05-21,9.99,9.99,9.99,9.99,9500
2010-05-24,9.99,10.14,9.99,10.08,14600
2010-05-25,9.99,9.99,9.99,9.99,1000
2010-05-26,9.99,10.29,9.99,10.29,1800
2010-05-27,10.14,10.26,10.14,10.26,9600
2010-05-28,10.29,10.29,10.29,10.29,2000
2010-05-31,10.29,10.29,10.29,10.29,1000
2010-06-01,10.29,10.29,10.29,10.29,0
2010-06-02,10.29,10.29,10.29,10.29,0
2010-06-03,10.14,10.23,10.14,10.23,2000
2010-06-04,10.23,10.23,10.23,10.23,0
2010-06-07,10.14,10.29,10.14,10.29,5600
2010-06-08,10.29,10.29,10.29,10.29,0
2010-06-09,10.14,10.14,10.14,10.14,3000
2010-06-10,10.14,10.14,10.14,10.14,1300
2010-06-11,9.68,9.99,9.68,9.68,3800
2010-06-14,10.08,10.08,9.53,9.53,7300
2010-06-15,9.53,9.65,9.53,9.65,13800
2010-06-16,9.16,9.59,9.16,9.59,25900
2010-06-17,9.53,9.68,9.53,9.53,22700
2010-06-18,9.37,9.56,9.37,9.53,26200
2010-06-21,9.53,9.62,9.53,9.56,8000
2010-06-22,9.59,9.83,9.56,9.68,16200
2010-06-23,9.43,9.86,9.43,9.86,51800
2010-06-24,9.89,10.14,9.74,10.14,45800
2010-06-25,10.14,10.14,9.83,10.11,9400
2010-06-28,10.6,10.6,10.23,10.45,3200
2010-06-29,10.71,10.71,10.32,10.39,11400
2010-06-30,10.13,10.32,10.13,10.29,12800
2010-07-01,10.26,10.29,10.26,10.29,8000
2010-07-02,10.32,10.42,10.29,10.29,17600
2010-07-05,10.45,10.45,10.29,10.39,11100
2010-07-06,10.29,10.45,10.29,10.45,16000
2010-07-07,10.55,11.09,10.39,10.8,22600
2010-07-08,10.77,10.86,10.55,10.55,9900
2010-07-09,10.71,10.71,10.71,10.71,1000
2010-07-12,10.74,10.77,10.64,10.77,7600
2010-07-13,10.83,10.83,10.61,10.77,7200
2010-07-14,10.71,10.8,10.71,10.77,21700
2010-07-15,10.77,10.77,10.77,10.77,100
2010-07-16,10.77,11.02,10.74,10.74,6100
2010-07-19,10.17,10.17,10.17,10.17,1000
2010-07-20,10.42,10.42,10.2,10.2,3700
2010-07-21,10.29,10.29,10.13,10.29,3600
2010-07-22,9.66,9.66,9.66,9.66,500
2010-07-23,9.66,9.66,9.66,9.66,1000
2010-07-26,9.66,10.1,9.5,10.1,9500
2010-07-27,9.82,9.85,9.5,9.85,5800
2010-07-28,9.69,9.69,9.69,9.69,500
2010-07-29,9.5,9.6,9.5,9.6,1000
2010-07-30,9.6,9.6,9.6,9.6,0
2010-08-02,9.44,9.44,9.44,9.44,500
2010-08-03,9.41,9.66,9.41,9.66,1100
2010-08-04,9.53,9.53,9.53,9.53,800
2010-08-05,9.53,9.53,9.53,9.53,0
2010-08-06,9.5,9.5,9.34,9.34,600
2010-08-09,9.34,9.34,9.34,9.34,0
2010-08-10,9.18,9.18,9.18,9.18,100
2010-08-11,8.87,9.44,8.87,9.44,2500
2010-08-12,8.55,8.55,8.55,8.55,6500
2010-08-13,8.23,8.23,8.23,8.23,400
2010-08-16,8.8,8.8,8.8,8.8,100
2010-08-17,8.87,9.18,8.87,8.87,3800
2010-08-18,8.96,8.96,8.96,8.96,400
2010-08-19,8.71,8.74,8.71,8.71,2300
2010-08-20,8.71,8.71,8.71,8.71,0
2010-08-23,9.28,9.28,9.28,9.28,100
2010-08-24,9.28,9.28,9.28,9.28,0
2010-08-25,8.65,8.65,8.65,8.65,4500
2010-08-26,9.18,9.18,8.65,8.65,2400
2010-08-27,8.65,8.65,8.65,8.65,0
2010-08-30,9.18,9.18,9.12,9.12,1100
2010-08-31,9.12,9.12,9.12,9.12,0
2010-09-01,8.71,8.71,8.65,8.65,2100
2010-09-06,8.65,8.65,8.65,8.65,0
2010-09-07,8.65,8.65,8.55,8.65,6600
2010-09-08,8.65,8.65,8.65,8.65,0
2010-09-09,8.58,8.58,8.46,8.46,2000
2010-09-10,8.55,8.55,8.52,8.52,5200
2010-09-13,8.11,8.11,8.01,8.01,1000
2010-09-14,8.27,8.3,8.23,8.23,1900
2010-09-15,8.23,8.23,8.23,8.23,0
2010-09-16,8.23,8.23,8.23,8.23,700
2010-09-17,8.11,8.77,8.11,8.77,800
2010-09-20,8.77,8.77,8.77,8.77,0
2010-09-21,8.77,8.77,8.77,8.77,0
2010-09-22,8.68,8.68,8.68,8.68,200
2010-09-23,8.68,8.68,8.68,8.68,0
2010-09-24,8.71,8.71,8.61,8.61,2100
2010-09-27,8.23,8.23,8.23,8.23,200
2010-09-28,8.27,8.68,8.27,8.68,300
2010-09-29,8.77,8.77,8.23,8.23,900
2010-09-30,9.09,9.09,8.23,8.23,1100
2010-10-01,8.9,8.9,8.9,8.9,600
2010-10-04,8.9,8.9,8.9,8.9,0
2010-10-05,8.9,8.9,8.9,8.9,0
2010-10-06,8.87,8.87,8.87,8.87,2100
2010-10-07,8.87,8.87,8.87,8.87,0
2010-10-08,8.87,8.87,8.87,8.87,0
2010-10-11,8.87,8.87,8.87,8.87,0
2010-10-12,8.87,8.87,8.87,8.87,0
2010-10-13,8.87,8.87,8.87,8.87,0
2010-10-14,8.87,8.87,8.87,8.87,0
2010-10-15,8.87,8.87,8.87,8.87,0
2010-10-18,8.39,8.39,8.39,8.39,1000
2010-10-19,8.39,8.39,8.39,8.39,500
2010-10-20,8.39,8.39,8.39,8.39,0
2010-10-21,8.39,8.39,8.39,8.39,0
2010-10-22,8.33,8.39,8.33,8.39,600
2010-10-25,8.08,8.39,8.08,8.39,800
2010-10-26,8.71,8.71,8.71,8.71,500
2010-10-27,8.23,8.23,8.23,8.23,1000
2010-10-28,8.23,8.23,8.23,8.23,0
2010-10-29,7.92,8.23,7.92,8.23,2000
2010-11-01,8.23,8.23,8.23,8.23,0
2010-11-02,8.23,8.23,8.23,8.23,1000
2010-11-03,8.23,8.23,8.23,8.23,0
2010-11-04,7.66,7.66,7.66,7.66,3000
2010-11-05,7.66,7.66,7.66,7.66,0
2010-11-08,7.66,7.66,7.66,7.66,100
2010-11-09,7.98,7.98,7.98,7.98,400
2010-11-10,7.98,7.98,7.98,7.98,0
2010-11-11,7.98,7.98,7.98,7.98,0
2010-11-12,7.76,7.76,7.76,7.76,1000
2010-11-15,7.76,7.76,7.76,7.76,0
2010-11-16,7.76,7.76,7.76,7.76,0
2010-11-17,7.6,7.6,7.6,7.6,500
2010-11-18,7.6,7.6,7.6,7.6,0
2010-11-19,7.92,7.92,7.92,7.92,200
2010-11-22,7.92,7.92,7.92,7.92,0
2010-11-23,7.92,7.92,7.92,7.92,0
2010-11-24,7.92,7.92,7.92,7.92,0
2010-11-25,8.14,8.14,8.14,8.14,100
2010-11-26,8.23,8.23,8.23,8.23,200
2010-11-29,8.23,8.23,8.23,8.23,0
2010-11-30,8.23,8.23,8.23,8.23,0
2010-12-01,8.23,8.23,8.23,8.23,1000
2010-12-02,7.66,8.23,7.66,8.23,200
2010-12-03,8.23,8.23,7.92,7.92,3400
2010-12-06,8.11,8.11,8.11,8.11,0
2010-12-07,7.46,7.66,7.46,7.66,6100
2010-12-08,7.88,7.88,7.88,7.88,100
2010-12-09,7.88,7.88,7.88,7.88,0
2010-12-10,7.88,7.88,7.88,7.88,0
2010-12-13,7.95,7.95,7.88,7.95,6900
2010-12-14,8.27,8.27,8.27,8.27,1200
2010-12-15,8.27,8.27,8.27,8.27,0
2010-12-16,8.27,8.27,8.27,8.27,0
2010-12-17,8.82,8.82,8.82,8.82,100
2010-12-20,8.92,8.92,8.92,8.92,100
2010-12-21,8.92,8.92,8.92,8.92,0
2010-12-22,8.3,8.3,8.3,8.3,5500
2010-12-23,8.3,8.3,8.3,8.3,0
2010-12-24,8.3,8.3,8.3,8.3,0
2010-12-27,8.3,8.3,8.3,8.3,0
2010-12-28,8.43,8.43,8.3,8.3,3000
2010-12-29,8.43,8.43,8.43,8.43,100
2010-12-30,8.11,8.11,8.11,8.11,1300
2010-12-31,8.11,8.11,8.11,8.11,0
2011-01-04,8.11,8.11,8.11,8.11,0
2011-01-05,8.11,8.11,8.11,8.11,0
2011-01-06,8.66,8.66,8.66,8.66,100
2011-01-07,8.08,8.08,8.08,8.08,100
2011-01-10,7.53,7.53,7.53,7.53,500
2011-01-11,7.14,7.14,7.14,7.14,3400
2011-01-12,7.62,7.62,7.62,7.62,500
2011-01-13,7.62,7.62,7.62,7.62,0
2011-01-14,7.62,7.62,7.62,7.62,0
2011-01-17,7.62,7.62,7.62,7.62,0
2011-01-18,7.62,7.62,7.62,7.62,0
2011-01-19,7.14,7.14,7.14,7.14,2000
2011-01-20,7.14,7.14,7.14,7.14,0
2011-01-21,7.62,7.62,7.62,7.62,100
2011-01-24,7.62,7.62,7.62,7.62,0
2011-01-25,7.62,7.62,7.62,7.62,0
2011-01-26,7.62,7.62,7.62,7.62,0
2011-01-27,7.62,7.62,7.62,7.62,0
2011-01-28,7.62,7.62,7.62,7.62,0
2011-02-08,7.62,7.62,7.62,7.62,0
2011-02-09,7.62,7.62,7.62,7.62,0
2011-02-10,7.62,7.62,7.62,7.62,0
2011-02-11,7.62,7.62,7.62,7.62,0
2011-02-14,7.62,7.62,7.62,7.62,0
2011-02-15,7.62,7.62,7.62,7.62,200
2011-02-16,7.62,7.62,7.62,7.62,0
2011-02-17,7.62,7.62,7.62,7.62,0
2011-02-18,7.62,7.62,7.62,7.62,500
2011-02-21,7.62,7.62,7.62,7.62,0
2011-02-22,7.62,7.62,7.62,7.62,0
2011-02-23,7.62,7.62,7.62,7.62,0
2011-02-24,7.59,7.59,7.59,7.59,100
2011-02-25,7.59,7.59,7.59,7.59,0
2011-02-28,7.07,7.07,7.07,7.07,4300
2011-03-01,6.59,6.59,6.59,6.59,1500
2011-03-02,6.59,6.59,6.59,6.59,0
2011-03-03,6.59,6.59,6.59,6.59,0
2011-03-04,6.68,6.68,6.68,6.68,5000
2011-03-07,6.68,6.68,6.68,6.68,0
2011-03-08,6.68,6.68,6.68,6.68,0
2011-03-09,6.49,6.49,6.49,6.49,200
2011-03-10,6.65,6.81,6.65,6.81,3000
2011-03-11,6.81,6.81,6.81,6.81,100
2011-03-14,6.81,6.81,6.81,6.81,0
2011-03-15,6.81,6.81,6.81,6.81,0
2011-03-16,6.81,6.81,6.81,6.81,0
2011-03-17,6.81,6.81,6.81,6.81,0
2011-03-18,6.81,6.81,6.81,6.81,0
2011-03-21,6.91,6.91,6.91,6.91,100
2011-03-22,6.91,6.91,6.91,6.91,0
