time,open,high,low,close,volume
2010-01-04,5.0,5.0,4.97,5.0,28230
2010-01-05,5.24,5.24,5.14,5.2,76040
2010-01-06,5.24,5.24,5.0,5.04,76050
2010-01-07,5.0,5.27,4.97,5.07,209990
2010-01-08,5.3,5.3,5.27,5.3,252120
2010-01-11,5.2,5.34,5.14,5.3,34690
2010-01-12,5.14,5.17,5.07,5.07,52230
2010-01-13,4.87,5.0,4.84,4.94,86310
2010-01-14,5.04,5.07,4.8,4.94,61390
2010-01-15,4.87,5.07,4.87,4.87,58730
2010-01-18,4.84,4.84,4.67,4.67,47660
2010-01-19,4.67,4.9,4.67,4.9,56760
2010-01-20,5.0,5.0,4.67,4.67,21810
2010-01-21,4.67,4.67,4.44,4.44,76470
2010-01-22,4.3,4.57,4.3,4.5,36880
2010-01-25,4.6,4.6,4.4,4.54,28610
2010-01-26,4.7,4.74,4.67,4.74,45030
2010-01-27,4.5,4.74,4.5,4.6,62260
2010-01-28,4.67,4.67,4.5,4.6,29390
2010-01-29,4.64,4.67,4.6,4.64,27170
2010-02-01,4.67,4.7,4.64,4.67,17280
2010-02-02,4.8,4.8,4.67,4.74,11810
2010-02-03,4.77,4.77,4.67,4.7,15720
2010-02-04,4.77,4.84,4.7,4.77,53320
2010-02-05,4.7,4.77,4.64,4.67,36800
2010-02-08,4.67,4.7,4.64,4.67,16460
2010-02-09,4.6,4.67,4.57,4.57,17810
2010-02-10,4.74,4.74,4.57,4.6,13250
2010-02-11,4.67,4.67,4.6,4.67,26400
2010-02-12,4.7,4.77,4.67,4.77,43360
2010-02-22,4.8,4.8,4.67,4.67,16880
2010-02-23,4.74,4.74,4.57,4.6,20300
2010-02-24,4.6,4.67,4.6,4.67,17010
2010-02-25,4.67,4.7,4.64,4.64,3640
2010-02-26,4.64,4.67,4.6,4.6,22840
2010-03-01,4.67,4.74,4.67,4.67,17290
2010-03-02,4.67,4.7,4.67,4.7,21490
2010-03-03,4.74,4.74,4.67,4.74,39610
2010-03-04,4.8,4.84,4.74,4.77,49510
