time,open,high,low,close,volume
2010-01-04,10.0,10.0,9.9,10.0,98840
2010-01-05,10.48,10.48,9.56,10.14,190750
2010-01-06,9.83,10.65,9.83,10.65,240060
2010-01-07,11.18,11.18,10.87,11.18,182550
2010-01-08,11.71,11.71,10.63,10.63,200600
2010-01-11,10.63,10.65,10.1,10.1,252640
2010-01-12,10.1,10.29,9.61,9.61,135500
2010-01-13,9.3,9.66,9.15,9.66,196960
2010-01-14,9.47,10.02,9.47,9.78,177580
2010-01-15,9.78,9.9,9.32,9.44,142540
2010-01-18,9.44,9.44,8.99,8.99,105950
2010-01-19,8.96,9.13,8.77,8.99,55120
2010-01-20,9.27,9.27,8.7,8.7,176160
2010-01-21,8.26,8.45,8.26,8.26,297290
2010-01-22,7.97,8.09,7.85,7.85,163540
2010-01-25,7.85,8.21,7.75,8.09,68710
2010-01-26,8.38,8.48,8.38,8.48,187140
2010-01-27,8.38,8.67,8.07,8.07,109690
2010-01-28,7.75,7.97,7.75,7.75,46730
2010-01-29,7.78,7.87,7.58,7.73,29500
2010-02-01,7.97,8.12,7.97,8.12,217220
2010-02-02,8.45,8.45,8.14,8.16,58620
2010-02-03,8.21,8.24,8.09,8.12,34770
2010-02-04,8.12,8.41,8.12,8.16,50250
2010-02-05,7.99,8.12,7.87,7.97,43270
2010-02-08,7.75,7.97,7.73,7.83,21240
2010-02-09,7.73,7.73,7.44,7.46,110970
2010-02-10,7.68,7.68,7.46,7.58,22230
2010-02-11,7.61,7.68,7.49,7.61,17360
2010-02-12,7.73,7.97,7.7,7.97,67730
2010-02-22,8.21,8.21,7.73,7.99,103210
2010-02-23,7.8,7.8,7.61,7.66,76190
2010-02-24,7.54,7.97,7.54,7.97,34980
2010-02-25,8.21,8.36,8.19,8.36,266700
2010-02-26,8.36,8.77,8.36,8.77,186550
2010-03-01,8.86,8.89,8.48,8.48,86940
2010-03-02,8.09,8.57,8.09,8.48,185420
2010-03-03,8.86,8.89,8.78,8.89,248230
2010-03-04,9.28,9.34,9.0,9.0,91480
2010-03-05,9.0,9.28,9.0,9.28,66440
2010-03-08,9.2,9.72,9.2,9.42,99880
2010-03-09,9.5,9.5,9.31,9.5,137920
2010-03-10,9.28,9.58,9.28,9.42,90420
2010-03-11,9.42,9.89,9.42,9.89,223520
2010-03-12,10.17,10.17,9.7,9.92,35790
