time,open,high,low,close,volume
2010-01-07,3.58,3.62,3.58,3.62,8800
2010-01-08,3.86,3.86,3.86,3.86,55200
2010-01-11,3.97,4.11,3.79,3.86,48700
2010-01-12,3.86,3.9,3.76,3.76,46500
2010-01-13,3.79,3.79,3.51,3.72,29800
2010-01-14,3.76,3.76,3.72,3.72,10300
2010-01-15,3.72,3.76,3.47,3.51,16000
2010-01-18,3.37,3.4,3.37,3.37,19200
2010-01-19,3.58,3.58,3.55,3.55,1100
2010-01-20,3.4,3.4,3.33,3.4,7700
2010-01-21,3.62,3.62,3.23,3.23,16400
2010-01-22,3.44,3.44,3.26,3.26,5500
2010-01-25,3.37,3.41,3.37,3.37,11100
2010-01-26,3.37,3.6,3.37,3.6,41100
2010-01-27,3.75,3.75,3.37,3.37,4000
2010-01-28,3.34,3.34,3.3,3.3,7400
2010-01-29,3.37,3.37,3.22,3.3,4400
2010-02-01,3.49,3.49,3.26,3.37,4100
2010-02-02,3.52,3.52,3.34,3.37,6100
2010-02-03,3.37,3.45,3.22,3.45,7600
2010-02-04,3.22,3.37,3.22,3.37,17000
2010-02-05,3.41,3.41,3.3,3.3,600
2010-02-08,3.52,3.52,3.22,3.22,700
2010-02-09,3.41,3.41,3.07,3.15,7500
2010-02-10,3.3,3.3,3.22,3.22,1100
2010-02-11,3.41,3.41,3.22,3.34,4500
2010-02-12,3.37,3.37,3.37,3.37,2800
2010-02-22,3.56,3.56,3.22,3.45,5600
2010-02-23,3.22,3.34,3.22,3.22,2200
2010-02-24,3.34,3.34,3.26,3.26,800
2010-02-25,3.49,3.49,3.3,3.3,1600
2010-02-26,3.22,3.34,3.22,3.34,14800
2010-03-01,3.45,3.45,3.26,3.3,12900
2010-03-02,3.41,3.41,3.19,3.19,47900
2010-03-03,3.37,3.37,3.04,3.26,21000
2010-03-04,3.34,3.45,3.3,3.37,27700
2010-03-05,3.45,3.45,3.34,3.37,10100
2010-03-08,3.37,3.52,3.37,3.41,41600
2010-03-09,3.49,3.49,3.37,3.37,37300
2010-03-10,3.52,3.52,3.37,3.45,10700
2010-03-11,3.56,3.56,3.41,3.41,11100
2010-03-12,3.45,3.49,3.45,3.49,23500
2010-03-15,3.64,3.64,3.45,3.45,29200
2010-03-16,3.49,3.49,3.37,3.41,9400
2010-03-17,3.37,3.37,3.37,3.37,2800
2010-03-18,3.6,3.6,3.37,3.37,7200
2010-03-19,3.37,3.37,3.3,3.34,8100
2010-03-22,3.45,3.45,3.26,3.26,16600
2010-03-23,3.37,3.41,3.19,3.22,4500
2010-03-24,3.22,3.34,3.22,3.34,4200
2010-03-25,3.41,3.41,3.26,3.3,17300
2010-03-26,3.45,3.45,3.3,3.34,7100
2010-03-29,3.3,3.3,3.22,3.3,29500
2010-03-30,3.3,3.3,3.22,3.26,19800
2010-03-31,3.15,3.26,3.15,3.15,16800
2010-04-01,3.19,3.22,3.11,3.11,6800
2010-04-02,3.3,3.3,3.15,3.19,9600
2010-04-05,3.19,3.19,3.19,3.19,13900
2010-04-06,3.22,3.34,3.19,3.22,68600
2010-04-07,3.19,3.26,3.19,3.19,8000
2010-04-08,3.34,3.37,3.15,3.15,13100
2010-04-09,3.37,3.49,3.22,3.34,30400
2010-04-12,3.41,3.56,3.37,3.45,191600
2010-04-13,3.64,3.64,3.3,3.37,62400
2010-04-14,3.37,3.37,3.3,3.37,10800
2010-04-15,3.37,3.41,3.26,3.37,46600
2010-04-16,3.45,3.45,3.3,3.41,49200
2010-04-19,3.37,3.49,3.34,3.37,44300
2010-04-20,3.49,3.6,3.49,3.6,129000
2010-04-21,3.82,3.82,3.82,3.82,51800
2010-04-22,4.09,4.09,3.75,3.86,177800
2010-04-26,3.82,3.82,3.75,3.75,13500
2010-04-27,3.71,3.82,3.56,3.56,34000
2010-04-28,3.82,3.82,3.56,3.82,101400
2010-04-29,3.94,3.97,3.75,3.9,117200
2010-05-04,4.01,4.16,3.97,4.16,196000
2010-05-05,4.16,4.42,4.12,4.42,288700
2010-05-06,4.5,4.69,4.5,4.69,144400
2010-05-07,4.69,4.99,4.5,4.99,382600
2010-05-10,4.99,5.29,4.61,4.72,257800
2010-05-11,4.91,4.91,4.57,4.57,48800
2010-05-12,4.39,4.39,4.39,4.39,11500
2010-05-13,4.09,4.09,4.09,4.09,18900
2010-05-14,3.82,3.82,3.82,3.82,16200
2010-05-17,3.82,3.82,3.56,3.64,223700
2010-05-18,3.49,3.6,3.49,3.56,74900
2010-05-19,3.37,3.37,3.3,3.3,128800
2010-05-20,3.22,3.49,3.07,3.3,71700
2010-05-21,3.07,3.22,3.0,3.04,165100
2010-05-24,3.0,3.22,3.0,3.22,43000
2010-05-25,3.3,3.3,3.19,3.22,58000
2010-05-26,3.3,3.45,3.3,3.45,189800
2010-05-27,3.64,3.64,3.37,3.45,56300
2010-05-28,3.56,3.67,3.56,3.67,96800
2010-05-31,3.75,3.82,3.45,3.52,28100
2010-06-01,3.37,3.6,3.37,3.56,45100
2010-06-02,3.45,3.49,3.37,3.41,24600
2010-06-03,3.52,3.52,3.34,3.45,42700
2010-06-04,3.45,3.45,3.26,3.37,29100
2010-06-07,3.3,3.3,3.15,3.15,64000
2010-06-08,3.22,3.37,3.19,3.26,82300
2010-06-09,3.45,3.52,3.45,3.52,73400
2010-06-10,3.71,3.75,3.56,3.75,132200
2010-06-11,3.94,3.94,3.75,3.9,159700
2010-06-14,3.9,3.9,3.64,3.71,65100
2010-06-15,3.6,3.71,3.52,3.67,60200
2010-06-16,3.67,3.79,3.6,3.71,78800
2010-06-17,3.56,3.75,3.52,3.52,28400
2010-06-18,3.67,3.75,3.6,3.71,58400
2010-06-21,3.45,3.9,3.45,3.9,135100
2010-06-22,3.82,3.9,3.71,3.75,45500
2010-06-23,3.67,3.75,3.67,3.71,54700
2010-06-24,3.75,3.94,3.75,3.94,156900
2010-06-25,3.94,4.2,3.94,4.2,260900
2010-06-28,4.39,4.39,4.39,4.39,50100
2010-06-29,4.69,4.69,4.69,4.69,170000
2010-06-30,4.99,4.99,4.39,4.42,493300
2010-07-01,4.35,4.76,4.27,4.76,403100
2010-07-02,4.95,4.95,4.65,4.69,152500
2010-07-05,4.5,5.02,4.5,4.99,261800
2010-07-06,4.99,5.25,4.87,5.25,332600
2010-07-07,5.25,5.4,5.21,5.4,521900
2010-07-08,5.74,5.74,5.17,5.25,160000
