time,open,high,low,close,volume
2015-06-18,3.73,3.73,3.73,3.73,64300
2015-06-19,4.08,4.08,4.08,4.08,201000
2015-06-22,4.49,4.49,4.49,4.49,288000
2015-06-23,4.93,4.93,4.93,4.93,147500
2015-06-24,5.4,5.4,4.46,4.49,372900
2015-06-25,4.64,4.68,4.24,4.24,210600
2015-06-26,3.89,4.08,3.89,3.95,89200
2015-06-29,3.55,4.3,3.55,3.58,239900
2015-06-30,3.36,3.52,3.36,3.45,249800
2015-07-01,3.42,3.48,3.36,3.36,177300
2015-07-02,3.14,3.48,3.14,3.45,190700
2015-07-03,3.39,3.39,3.3,3.33,205100
2015-07-06,3.36,3.36,3.23,3.33,253400
2015-07-07,3.3,3.42,3.3,3.39,151500
2015-07-08,3.39,3.42,3.26,3.26,190400
2015-07-09,3.33,3.33,3.04,3.23,172800
2015-07-10,3.14,3.23,3.08,3.11,118800
2015-07-13,3.17,3.2,3.08,3.11,126500
2015-07-14,3.08,3.11,2.95,3.11,123900
2015-07-15,2.98,3.04,2.92,2.98,133700
2015-07-16,2.98,3.01,2.98,2.98,93800
2015-07-17,2.98,3.04,2.98,3.04,94700
2015-07-20,3.01,3.04,2.92,2.92,66600
2015-07-21,2.95,2.95,2.89,2.89,73200
2015-07-22,2.92,2.98,2.89,2.98,87400
2015-07-23,2.89,2.95,2.89,2.89,75200
2015-07-24,2.89,2.89,2.82,2.82,74500
2015-07-27,2.86,2.92,2.82,2.89,67200
2015-07-28,2.89,2.95,2.82,2.86,78200
2015-07-29,2.86,2.95,2.86,2.89,69400
2015-07-30,2.89,2.95,2.89,2.89,41600
2015-07-31,2.89,2.98,2.82,2.82,34300
2015-08-03,2.89,2.89,2.79,2.89,34900
2015-08-04,2.89,2.98,2.86,2.89,69000
2015-08-05,2.89,3.01,2.89,2.92,71300
2015-08-06,2.92,2.95,2.92,2.95,71100
2015-08-07,2.95,3.08,2.95,2.98,76800
2015-08-10,2.95,2.95,2.92,2.92,56600
2015-08-11,2.95,3.08,2.95,2.98,72900
2015-08-12,2.98,3.08,2.95,2.98,86300
2015-08-13,2.98,3.04,2.92,2.98,89300
2015-08-14,2.95,3.04,2.92,2.98,96200
2015-08-17,2.95,2.98,2.82,2.89,92300
2015-08-18,2.86,2.95,2.86,2.92,89800
2015-08-19,2.89,3.3,2.86,3.3,104600
2015-08-20,2.92,3.04,2.82,2.98,155000
2015-08-21,2.89,2.89,2.79,2.82,104000
2015-08-24,2.86,2.86,2.82,2.82,95200
2015-08-25,2.82,2.82,2.76,2.79,161700
2015-08-26,2.79,2.92,2.76,2.82,169300
2015-08-27,2.89,2.92,2.86,2.86,119400
2015-08-28,2.89,2.95,2.89,2.89,113600
2015-08-31,2.89,2.89,2.86,2.89,115700
2015-09-01,2.89,2.98,2.89,2.92,92900
2015-09-03,2.92,2.92,2.89,2.89,63100
2015-09-04,2.89,2.92,2.86,2.92,69800
2015-09-07,2.86,2.86,2.86,2.86,72500
2015-09-08,2.86,2.92,2.82,2.86,77900
2015-09-09,2.82,2.86,2.82,2.82,71900
2015-09-10,2.82,2.86,2.82,2.86,84200
2015-09-11,2.82,2.86,2.82,2.82,75700
2015-09-14,2.86,2.92,2.82,2.86,74100
2015-09-15,2.82,2.86,2.82,2.82,74000
2015-09-16,2.82,2.86,2.82,2.86,76200
2015-09-17,2.82,2.86,2.82,2.82,77900
2015-09-18,2.82,2.86,2.82,2.86,68100
2015-09-21,2.86,2.86,2.82,2.86,74400
2015-09-22,2.82,2.89,2.79,2.82,104800
2015-09-23,2.82,2.86,2.82,2.86,106800
2015-09-24,2.82,2.86,2.82,2.82,99700
2015-09-25,2.82,2.86,2.82,2.86,101900
2015-09-28,2.82,2.82,2.79,2.82,105200
2015-09-29,2.82,2.86,2.79,2.86,104700
2015-09-30,2.82,2.89,2.82,2.82,106200
2015-10-01,2.82,2.86,2.82,2.86,106600
2015-10-02,2.82,2.86,2.79,2.82,101100
2015-10-05,2.82,2.89,2.79,2.82,115300
2015-10-06,2.79,2.79,2.79,2.79,111100
2015-10-07,2.82,2.82,2.76,2.82,117300
2015-10-08,2.79,2.82,2.79,2.82,109200
2015-10-09,2.82,2.82,2.79,2.82,110200
2015-10-12,2.79,2.82,2.79,2.82,106000
2015-10-13,2.79,2.82,2.79,2.82,109700
2015-10-14,2.79,2.82,2.79,2.82,116400
2015-10-15,2.79,2.79,2.79,2.79,109600
2015-10-16,2.79,2.79,2.79,2.79,110900
2015-10-19,2.79,2.79,2.76,2.76,102500
2015-10-20,2.79,2.82,2.79,2.82,117500
2015-10-21,2.79,2.82,2.79,2.82,107900
2015-10-22,2.82,2.89,2.79,2.82,128700
2015-10-23,2.82,2.92,2.82,2.86,121400
2015-10-26,2.82,2.82,2.79,2.82,114500
2015-10-27,2.82,2.82,2.79,2.82,119200
