time,open,high,low,close,volume
2017-07-17,15.84,15.84,13.2,13.2,75780
2017-07-18,13.6,13.6,12.59,12.59,7800
2017-07-19,12.18,12.26,11.98,11.98,13350
2017-07-20,11.57,11.57,11.15,11.15,35610
2017-07-21,10.52,11.19,10.52,11.19,11110
2017-07-24,11.13,11.96,11.13,11.96,11910
2017-07-25,12.18,12.59,11.98,11.98,29710
2017-07-26,12.51,12.51,11.78,11.78,28080
2017-07-27,11.61,11.78,11.57,11.65,25410
2017-07-28,11.37,11.37,11.17,11.17,13430
2017-07-31,11.17,11.29,11.09,11.09,4190
2017-08-01,11.09,11.17,11.05,11.09,20050
2017-08-02,11.09,11.17,11.09,11.17,4300
2017-08-03,11.29,11.37,11.17,11.17,6930
2017-08-04,11.09,11.17,11.09,11.17,1000
2017-08-07,10.96,10.96,10.8,10.84,13760
2017-08-08,10.58,10.84,10.58,10.58,6860
2017-08-09,10.58,10.58,10.27,10.27,10000
2017-08-10,10.56,10.56,10.52,10.52,240
2017-08-11,10.54,10.56,10.35,10.48,12470
2017-08-14,10.52,10.64,10.52,10.56,5000
2017-08-15,10.31,11.13,10.31,10.56,1220
2017-08-16,10.56,10.64,10.56,10.64,1900
2017-08-17,10.56,10.72,10.48,10.64,9910
2017-08-18,10.7,10.7,10.7,10.7,10
2017-08-21,10.48,10.48,10.31,10.35,19910
2017-08-22,10.19,10.23,10.19,10.19,3090
2017-08-23,10.19,10.23,10.15,10.15,6290
2017-08-24,10.35,10.35,10.03,10.11,13920
2017-08-25,9.99,9.99,9.87,9.87,7690
2017-08-28,9.77,9.91,9.75,9.91,13980
2017-08-29,9.91,9.91,9.91,9.91,0
2017-08-30,10.56,10.56,9.75,9.75,3330
2017-08-31,9.58,9.75,9.52,9.56,12510
2017-09-01,9.71,10.03,9.54,10.03,7850
2017-09-05,9.83,9.83,9.73,9.73,3200
2017-09-06,9.58,9.71,9.58,9.71,300
2017-09-07,9.71,9.71,9.71,9.71,0
2017-09-08,9.14,9.71,9.14,9.66,13860
2017-09-11,9.06,9.71,9.06,9.42,2430
2017-09-12,9.34,9.42,9.14,9.42,9770
2017-09-13,9.34,9.34,9.26,9.3,17780
2017-09-14,9.3,9.3,9.3,9.3,0
2017-09-15,9.22,9.26,9.14,9.26,9840
2017-09-18,9.22,9.22,9.1,9.22,8780
2017-09-19,9.83,9.83,9.1,9.54,4130
2017-09-20,9.54,9.54,9.54,9.54,0
2017-09-21,9.26,9.34,9.26,9.34,2010
