time,open,high,low,close,volume
2010-01-05,5.39,5.42,4.84,5.05,52000
2010-01-11,3.98,3.98,3.92,3.92,16000
2010-01-13,4.19,4.19,4.19,4.19,24000
2010-01-14,4.29,4.29,4.29,4.29,5000
2010-01-26,4.29,4.32,4.29,4.32,11000
2010-01-27,4.13,4.13,3.98,3.98,12000
2010-02-05,4.22,4.19,4.19,4.19,0
2010-03-01,3.98,3.98,3.83,3.95,7000
2010-03-02,4.13,4.13,4.13,4.13,1000
2010-03-03,4.19,4.19,4.19,4.19,1500
2010-03-04,4.19,4.19,4.19,4.19,20000
2010-03-05,4.04,4.04,4.04,4.04,700
2010-03-08,3.64,4.44,3.64,4.13,2500
2010-03-09,4.04,4.04,4.04,4.04,4000
2010-03-10,4.29,4.29,4.1,4.1,4100
2010-03-11,4.16,4.16,4.13,4.13,3100
2010-03-12,4.16,4.22,4.16,4.16,46100
2010-03-15,4.22,4.29,4.22,4.29,20000
2010-03-16,4.22,4.22,4.19,4.22,5500
2010-03-17,4.19,4.22,4.13,4.13,40900
2010-03-18,4.22,4.22,4.16,4.16,22600
2010-03-19,4.19,4.59,4.13,4.13,26100
2010-03-22,4.16,4.16,4.13,4.13,18600
2010-03-23,4.07,4.07,3.98,3.98,31700
2010-03-24,4.04,4.07,4.04,4.07,4400
2010-03-26,3.95,3.95,3.95,3.95,0
2010-03-29,3.95,3.95,3.92,3.92,25000
2010-03-30,3.98,3.98,3.98,0.0,16000
2010-03-31,3.98,3.98,3.92,3.92,60100
2010-04-01,4.04,4.04,4.04,4.04,5000
2010-04-02,3.98,3.98,3.95,3.95,26000
2010-04-05,3.95,3.95,3.89,3.89,45100
2010-04-06,3.92,3.89,3.89,3.89,0
2010-04-07,3.92,3.89,3.89,3.89,0
2010-04-08,3.95,4.01,3.95,4.01,117500
2010-04-09,4.07,4.16,3.98,4.16,72500
2010-04-12,4.19,4.5,4.19,4.5,252800
2010-04-13,4.9,4.9,4.71,4.71,158490
2010-04-14,4.9,4.9,4.59,0.0,28100
2010-04-15,4.62,4.74,4.59,4.59,30800
2010-04-16,4.5,4.62,4.47,4.5,78830
2010-04-19,4.96,4.96,4.59,4.71,65815
2010-04-20,4.59,5.17,4.59,4.74,71355
2010-04-21,4.71,4.71,4.53,4.53,55200
2010-04-22,5.08,5.08,4.35,4.5,43200
2010-04-26,4.9,4.9,4.44,4.47,85500
2010-04-27,4.5,4.62,4.47,4.47,49650
2010-04-28,4.5,4.84,4.5,4.84,64200
2010-04-29,4.9,5.14,4.84,5.14,310050
2010-05-04,5.2,5.57,5.2,5.57,98600
2010-05-05,5.97,6.09,5.82,6.09,235800
2010-05-06,6.61,6.61,5.66,6.61,136900
2010-05-07,7.19,7.22,6.15,6.73,114590
2010-05-10,6.73,6.76,6.09,6.09,130550
2010-05-11,6.12,6.83,5.6,5.6,107160
2010-05-12,5.23,5.51,5.23,5.3,148060
2010-05-13,4.74,5.75,4.74,5.75,42380
2010-05-14,6.15,6.15,5.66,5.88,9510
2010-05-17,5.91,5.91,5.66,5.78,12612
2010-05-18,5.36,5.42,5.26,0.0,22500
2010-05-19,4.62,5.05,4.59,4.9,25800
2010-05-20,5.05,5.17,5.05,5.17,76110
2010-05-21,4.71,4.84,4.68,4.84,37300
2010-05-25,5.14,5.14,4.71,4.74,40200
2010-05-26,4.81,5.2,4.81,5.17,60500
2010-05-27,5.17,5.57,5.17,5.17,27950
2010-05-28,5.75,5.75,5.36,5.45,61810
2010-05-31,5.36,5.36,5.02,5.08,21000
2010-06-01,4.96,5.66,4.96,5.2,19700
2010-06-02,5.26,5.26,4.99,5.05,16000
2010-06-03,5.66,5.66,4.99,5.02,27630
2010-06-07,4.56,4.87,4.56,4.74,9200
2010-06-08,4.96,4.96,4.93,4.96,3500
2010-06-10,5.45,5.45,4.77,4.81,15860
2010-06-14,5.05,5.14,5.02,5.14,17000
2010-06-15,5.05,5.51,4.99,5.11,17810
2010-06-16,5.05,5.11,5.05,0.0,9500
2010-06-17,5.6,5.6,5.2,5.45,67940
2010-06-18,5.33,5.48,5.2,5.2,40900
2010-06-21,5.3,5.36,5.3,5.3,20680
2010-06-22,5.2,5.26,5.2,5.26,6700
2010-06-24,5.23,5.66,5.2,5.2,43440
2010-06-25,5.3,5.88,5.05,5.88,20500
2010-06-28,5.14,6.06,5.05,5.17,28810
2010-06-29,5.23,5.23,5.14,5.17,47100
2010-06-30,5.26,5.26,4.93,4.93,80260
2010-07-01,5.02,5.42,5.02,5.42,204560
2010-07-02,5.66,5.78,5.26,5.78,323280
2010-07-05,6.34,6.34,6.12,6.34,134000
2010-07-06,6.95,6.95,6.95,6.95,581470
2010-07-07,7.62,7.62,6.43,6.58,346270
2010-07-08,7.47,7.47,6.12,6.27,136010
2010-07-09,6.27,6.92,6.12,6.64,205900
2010-07-12,6.73,7.01,6.7,7.01,382450
2010-07-13,7.65,7.65,7.04,7.35,301535
2010-07-14,7.35,7.53,6.73,7.44,217155
2010-07-15,7.32,7.77,7.07,7.71,345976
2010-07-19,8.45,8.45,7.44,7.44,367000
2010-07-20,7.65,7.68,7.1,7.28,235600
2010-07-21,7.13,7.19,6.61,6.61,183100
2010-07-22,6.49,6.73,6.34,6.55,132900
2010-07-23,6.73,6.73,6.52,6.67,95600
2010-07-26,6.7,6.7,6.27,6.37,140700
2010-07-27,6.43,6.58,6.27,6.4,89600
2010-07-28,6.43,6.43,5.82,5.91,76800
2010-07-29,5.75,6.55,5.75,6.4,72300
2010-07-30,6.4,6.43,6.18,0.0,23000
2010-08-02,6.89,6.89,6.15,6.15,35500
2010-08-04,5.94,5.97,5.75,5.82,45300
2010-08-05,6.09,6.09,5.63,0.0,25700
2010-08-06,5.63,5.82,5.6,5.66,42600
2010-08-09,5.57,5.57,5.2,5.36,23700
2010-08-10,5.48,5.66,5.05,5.36,108000
2010-08-11,5.51,5.6,5.36,5.36,25700
2010-08-12,5.48,5.48,4.96,4.96,68800
2010-08-13,5.14,5.36,5.05,5.23,27000
2010-08-16,5.48,5.63,5.45,5.54,72700
2010-08-17,5.6,5.6,5.26,5.36,50400
2010-08-18,5.23,5.36,5.08,5.17,20000
2010-08-19,5.05,5.17,4.99,5.05,35800
2010-08-20,5.33,5.33,4.74,4.93,43400
2010-08-23,5.17,5.17,4.84,4.87,7900
2010-08-25,4.74,4.74,4.1,4.1,205300
2010-08-26,4.41,4.41,4.07,4.41,30200
2010-08-27,4.41,4.41,4.22,4.35,96600
2010-08-30,4.44,4.77,4.44,4.77,101600
2010-08-31,4.81,5.08,4.74,4.96,120800
2010-09-01,4.77,5.02,4.77,4.96,70900
2010-09-06,4.84,5.2,4.74,4.99,56300
2010-09-07,5.05,5.05,4.68,4.68,60500
2010-09-08,4.59,4.68,4.47,4.68,58000
2010-09-09,4.53,5.02,4.5,4.99,115700
2010-09-10,4.87,4.87,4.53,4.59,73500
2010-09-13,4.59,4.59,4.41,4.53,35800
2010-09-14,4.53,4.77,4.47,4.59,68000
2010-09-15,4.53,4.59,4.53,4.53,33800
2010-09-16,4.56,4.56,4.47,4.5,40500
2010-09-17,4.59,4.96,4.59,4.9,102200
2010-09-20,4.9,4.9,4.74,4.77,40900
2010-09-21,4.81,4.81,4.65,4.71,28200
2010-09-22,4.68,4.68,4.65,4.68,24700
2010-09-23,4.65,4.68,4.53,4.65,80100
2010-09-24,4.65,4.71,4.59,4.62,18200
2010-09-27,4.65,4.71,4.56,4.68,23600
2010-09-28,4.68,4.77,4.68,4.71,50600
2010-09-29,4.62,4.65,4.56,4.56,46400
2010-09-30,4.59,4.71,4.53,4.62,8400
2010-10-01,4.53,4.56,4.53,4.56,6400
2010-10-04,4.19,4.47,4.19,4.32,54400
2010-10-05,4.41,4.59,4.29,4.56,30300
2010-10-06,4.71,4.71,4.44,4.47,20200
2010-10-07,4.81,4.93,4.5,4.5,10100
2010-10-08,4.35,4.44,4.35,4.35,18500
2010-10-11,4.44,4.44,4.35,4.35,18600
2010-10-12,4.65,4.65,4.25,4.29,20300
2010-10-13,4.29,4.35,4.29,4.29,14100
2010-10-14,4.29,4.29,4.22,4.22,1600
2010-10-15,4.29,4.29,4.16,4.22,6200
2010-10-18,4.53,4.53,4.22,4.22,27600
2010-10-19,4.22,4.22,4.01,4.16,10100
2010-10-20,3.95,4.32,3.89,3.92,31800
