time,open,high,low,close,volume
2016-01-07,7.45,7.45,7.27,7.36,49600
2016-01-08,7.36,7.36,7.18,7.27,41200
2016-01-11,7.27,7.27,7.09,7.18,42000
2016-01-12,7.18,7.27,7.09,7.27,48400
2016-01-13,7.18,7.27,7.09,7.18,35600
2016-01-14,7.18,7.18,7.09,7.09,38000
2016-01-15,7.36,7.36,7.09,7.18,37500
2016-01-18,7.18,7.18,6.91,7.09,42040
2016-01-19,7.09,7.18,6.91,7.18,53500
2016-01-20,7.09,7.18,6.91,7.18,153000
2016-01-21,7.18,7.18,7.0,7.09,104600
2016-01-22,7.09,7.27,7.09,7.18,68500
2016-01-25,7.18,7.27,7.09,7.18,70600
2016-01-26,7.18,7.18,7.0,7.09,77000
2016-01-27,7.09,7.27,7.09,7.18,68100
2016-01-28,7.27,7.55,7.27,7.36,50200
2016-01-29,7.27,7.45,7.27,7.36,63000
2016-02-01,7.45,7.55,7.27,7.36,62200
2016-02-02,7.36,7.55,7.36,7.36,67300
2016-02-03,7.36,7.55,7.18,7.36,73700
2016-02-04,7.36,8.09,7.36,8.09,207200
2016-02-05,8.09,8.45,8.09,8.27,119300
2016-02-15,8.18,8.27,7.82,7.91,102700
2016-02-16,7.91,7.91,7.64,7.64,96900
2016-02-17,7.64,7.82,7.55,7.82,85900
2016-02-18,7.82,7.91,7.64,7.82,98300
2016-02-19,7.82,8.0,7.73,7.91,113300
2016-02-22,7.82,8.0,7.73,7.82,127800
2016-02-23,7.82,8.0,7.73,7.73,113300
2016-02-24,7.82,8.0,7.73,8.0,116000
2016-02-25,8.0,8.18,8.0,8.18,109700
2016-02-26,8.18,8.45,8.09,8.36,85000
2016-02-29,8.45,8.45,8.27,8.36,100800
2016-03-01,8.27,8.82,8.27,8.73,148410
2016-03-02,8.73,9.18,8.64,9.18,181600
2016-03-03,9.27,9.36,9.0,9.09,150900
2016-03-04,9.09,9.36,9.0,9.27,92300
2016-03-07,9.27,9.45,9.18,9.18,126200
2016-03-08,9.27,9.36,9.09,9.09,138500
2016-03-09,9.09,9.18,8.91,9.09,132500
2016-03-10,9.09,9.36,9.0,9.36,175000
2016-03-11,9.45,9.91,9.27,9.91,190000
2016-03-14,10.0,10.09,9.91,9.91,106100
2016-03-15,10.0,10.0,9.64,9.82,93500
2016-03-16,9.82,10.36,9.82,10.36,189135
2016-03-17,10.27,10.73,10.18,10.64,152600
2016-03-18,10.64,10.73,10.55,10.64,136100
2016-03-21,10.73,10.82,10.55,10.64,107200
2016-03-22,10.64,11.18,10.64,11.09,194300
2016-03-23,11.09,11.27,11.0,11.09,115400
2016-03-24,11.09,11.09,10.91,10.91,127500
2016-03-25,10.91,11.0,10.36,10.82,203600
2016-03-28,10.82,11.09,10.73,10.91,149000
2016-03-29,11.0,11.0,10.82,10.91,103000
2016-03-30,10.82,10.91,10.73,10.73,114700
2016-03-31,10.73,11.0,10.73,10.82,91700
2016-04-01,10.82,10.91,10.73,10.82,95900
2016-04-04,10.82,11.0,10.73,10.82,103900
2016-04-05,10.91,11.09,10.82,11.09,121700
2016-04-06,11.09,11.09,10.82,11.0,97400
2016-04-07,10.91,11.09,10.91,11.0,119000
2016-04-08,11.0,11.0,10.64,10.73,115200
2016-04-11,10.82,11.0,10.73,10.82,95900
