time,open,high,low,close,volume
2010-05-10,30.17,30.17,27.15,28.66,765000
2010-05-11,30.17,30.24,29.79,30.24,246200
2010-05-12,31.98,31.98,28.05,28.28,367500
2010-05-13,28.36,29.04,26.4,26.77,169000
2010-05-14,25.64,27.45,25.49,25.72,181500
2010-05-17,26.24,26.32,24.43,24.43,172600
2010-05-18,23.45,23.45,23.3,23.3,52800
2010-05-19,21.72,22.62,21.72,21.72,382900
2010-05-20,21.87,23.0,20.36,22.62,253100
2010-05-21,21.27,21.87,20.36,20.97,107100
2010-05-24,21.12,22.25,21.12,22.25,236500
2010-05-25,22.32,22.62,21.87,21.87,186600
2010-05-26,22.25,22.47,21.57,22.25,162900
2010-05-27,21.49,22.32,21.49,22.1,113600
2010-05-28,22.55,23.61,22.4,23.61,409300
2010-05-31,23.53,25.04,23.53,24.89,565600
2010-06-01,25.57,25.57,23.68,24.13,89000
2010-06-02,24.13,24.13,22.85,23.23,126700
2010-06-03,24.13,24.13,22.85,23.23,211400
2010-06-04,23.45,23.98,22.1,22.25,238000
2010-06-07,21.04,21.64,21.04,21.19,216900
2010-06-08,21.12,22.62,21.12,22.25,87200
2010-06-09,22.4,22.47,21.8,21.8,197800
2010-06-10,22.47,22.47,21.57,21.57,88000
2010-06-11,21.95,22.25,21.49,21.64,190300
2010-06-14,22.17,22.17,21.72,22.17,96800
2010-06-15,22.25,22.78,22.17,22.32,151400
2010-06-16,22.62,24.06,22.62,24.06,703500
2010-06-17,25.26,25.26,24.51,25.26,1075300
2010-06-18,26.7,26.85,25.34,25.64,545900
2010-06-21,26.55,26.55,24.51,25.49,198300
2010-06-22,24.66,25.26,24.06,24.06,433500
2010-06-23,23.76,24.13,22.85,23.76,221700
2010-06-24,24.21,25.26,23.83,25.26,644900
2010-06-25,24.06,25.19,24.06,24.13,246400
2010-06-28,24.59,24.59,23.76,23.83,146200
2010-06-29,23.76,24.13,23.76,23.83,121400
2010-06-30,23.38,23.38,22.47,22.85,232300
2010-07-01,22.7,22.85,21.87,22.7,152000
2010-07-02,23.38,23.38,22.7,23.08,167300
2010-07-05,23.38,23.38,22.93,23.0,65700
2010-07-06,23.38,23.38,22.17,22.25,159900
2010-07-07,22.62,22.85,21.87,22.02,109600
2010-07-08,22.62,23.3,22.25,23.0,241700
2010-07-09,24.21,24.21,23.38,24.21,594100
2010-07-12,25.72,25.72,24.13,24.43,174900
2010-07-13,24.89,25.26,24.51,24.74,212300
2010-07-14,25.11,25.11,24.51,24.81,399800
2010-07-15,24.51,24.51,23.38,23.98,238100
2010-07-16,23.91,24.51,23.76,24.21,255300
2010-07-19,24.13,24.13,23.76,23.83,132600
2010-07-20,24.43,24.43,23.38,23.38,222400
2010-07-21,24.06,24.06,22.62,22.85,168900
2010-07-22,23.0,23.38,22.62,23.08,172800
2010-07-23,23.08,24.36,22.62,23.76,302800
2010-07-26,23.53,24.06,23.53,23.61,109700
2010-07-27,23.76,24.89,23.76,23.98,237500
2010-07-28,24.21,24.21,22.62,23.23,245300
2010-07-29,22.85,23.68,22.85,23.15,109200
2010-07-30,23.53,23.76,22.93,23.0,178500
2010-08-02,23.0,23.0,22.47,22.62,98300
2010-08-03,22.62,23.15,22.32,22.32,216300
2010-08-04,22.62,22.7,21.87,21.95,134200
2010-08-05,22.55,22.62,21.87,22.17,92500
2010-08-06,22.32,22.32,21.49,21.87,61500
2010-08-09,22.1,22.1,20.21,20.36,106200
2010-08-10,19.61,19.76,19.23,19.23,238900
2010-08-11,19.08,19.61,18.85,19.23,123200
2010-08-12,18.25,18.85,17.95,17.95,186900
2010-08-13,16.97,18.25,16.97,18.1,139900
2010-08-16,18.33,18.78,17.65,18.78,61100
2010-08-17,19.61,19.83,18.33,18.55,115300
2010-08-18,18.63,18.63,17.42,18.02,81200
2010-08-19,17.8,18.1,17.35,17.95,64300
2010-08-20,17.72,18.25,17.57,18.02,125400
2010-08-23,17.8,18.02,17.35,17.35,75900
2010-08-24,17.8,18.02,16.59,16.59,135100
2010-08-25,15.91,15.91,15.84,15.84,85800
2010-08-26,15.08,16.59,14.78,15.08,143300
2010-08-27,14.71,14.93,14.03,14.78,79500
2010-08-30,15.23,15.61,15.23,15.61,82800
2010-08-31,16.44,16.59,15.76,16.59,188800
2010-09-01,16.97,17.42,16.21,17.42,120600
2010-09-06,18.02,18.18,18.02,18.18,162700
