time,open,high,low,close,volume
2010-01-04,3.64,3.72,3.64,3.68,3400
2010-01-05,3.9,3.93,3.9,3.92,3200
2010-01-06,3.65,3.75,3.65,3.75,1200
2010-01-07,3.49,3.49,3.48,3.49,1700
2010-01-08,3.68,3.68,3.68,3.68,100
2010-01-11,3.43,3.44,3.43,3.43,12300
2010-01-12,3.31,3.31,3.21,3.21,500
2010-01-13,3.21,3.4,3.21,3.4,600
2010-01-14,3.31,3.31,3.31,3.31,3000
2010-01-15,3.31,3.31,3.31,3.31,3100
2010-01-18,3.31,3.31,3.31,3.31,0
2010-01-19,3.31,3.31,3.31,3.31,0
2010-01-20,3.31,3.31,3.31,3.31,0
2010-01-21,3.13,3.13,3.09,3.09,1900
2010-01-22,3.09,3.1,3.09,3.1,2000
2010-01-25,3.29,3.31,3.28,3.31,2400
2010-01-26,3.53,3.53,3.51,3.53,1900
2010-01-27,3.41,3.41,3.41,3.41,300
2010-01-28,3.41,3.41,3.41,3.41,0
2010-01-29,3.21,3.21,3.18,3.18,1000
2010-02-01,3.21,3.39,3.21,3.39,3800
2010-02-02,3.29,3.29,3.29,3.29,1200
2010-02-03,3.31,3.31,3.31,3.31,200
2010-02-04,3.41,3.41,3.22,3.22,200
2010-02-05,3.22,3.22,3.22,3.22,0
2010-02-08,3.27,3.27,3.27,3.27,500
2010-02-09,3.37,3.37,3.28,3.28,900
2010-02-10,3.33,3.33,3.32,3.32,300
2010-02-11,3.29,3.51,3.29,3.51,1100
2010-02-12,3.34,3.48,3.34,3.48,300
2010-02-22,3.48,3.48,3.48,3.48,0
2010-02-23,3.36,3.36,3.27,3.31,3100
2010-02-24,3.26,3.26,3.08,3.16,3600
2010-02-25,3.13,3.31,3.13,3.31,1100
2010-02-26,3.42,3.42,3.42,3.42,100
2010-03-01,3.19,3.19,3.19,3.19,200
2010-03-02,3.24,3.24,2.98,3.21,6000
2010-03-03,3.31,3.32,3.31,3.32,900
2010-03-04,3.49,3.5,3.41,3.41,4000
2010-03-05,3.68,3.68,3.68,3.68,1400
2010-03-08,3.59,3.59,3.59,3.59,3200
2010-03-09,3.65,3.8,3.6,3.78,12800
2010-03-10,3.78,3.78,3.78,3.78,0
2010-03-11,3.6,3.65,3.6,3.65,500
2010-03-12,3.62,3.62,3.62,3.62,200
2010-03-15,3.65,3.65,3.65,3.65,500
2010-03-16,3.65,3.69,3.65,3.65,7000
2010-03-17,3.6,3.66,3.6,3.66,3000
2010-03-18,3.66,3.68,3.66,3.68,6600
2010-03-19,3.7,3.7,3.7,3.7,6300
2010-03-22,3.6,3.6,3.6,3.6,3000
2010-03-23,3.6,3.7,3.56,3.7,3600
2010-03-24,3.61,3.61,3.61,3.61,900
2010-03-25,3.57,3.6,3.57,3.6,1300
2010-03-26,3.79,3.79,3.79,3.79,1600
2010-03-29,3.7,3.75,3.65,3.65,1200
2010-03-30,3.72,3.72,3.65,3.65,2600
2010-03-31,3.68,3.72,3.68,3.69,3600
2010-04-01,3.7,3.7,3.7,3.7,100
2010-04-02,3.57,3.57,3.57,3.57,10900
2010-04-05,3.6,3.6,3.6,3.6,3000
2010-04-06,3.47,3.6,3.47,3.6,6400
2010-04-07,3.6,3.62,3.6,3.62,3700
2010-04-08,3.67,3.67,3.6,3.64,8300
2010-04-09,3.65,3.65,3.6,3.6,7100
2010-04-12,3.6,3.62,3.6,3.6,11500
2010-04-13,3.65,3.65,3.6,3.6,8900
2010-04-14,3.64,3.65,3.64,3.65,3000
2010-04-15,3.66,3.66,3.65,3.65,2400
2010-04-16,3.65,3.66,3.65,3.65,17000
2010-04-19,3.76,3.9,3.52,3.52,8300
2010-04-20,3.6,3.65,3.6,3.65,7500
2010-04-21,3.69,3.85,3.69,3.85,6000
2010-04-22,3.85,3.85,3.85,3.85,0
2010-04-26,3.62,3.7,3.6,3.65,15800
2010-04-27,3.7,3.8,3.69,3.8,11900
2010-04-28,3.7,3.9,3.67,3.8,7700
2010-04-29,3.99,3.99,3.8,3.95,2700
2010-05-04,3.85,3.85,3.82,3.82,2000
2010-05-05,3.8,3.99,3.76,3.95,4800
2010-05-06,3.99,4.04,3.72,4.04,5000
2010-05-07,4.03,4.03,3.95,3.95,6700
