time,open,high,low,close,volume
2012-08-27,5.44,5.44,5.38,5.38,2600
2012-08-28,5.06,5.06,5.06,5.06,1100
2012-08-29,4.74,4.74,4.74,4.74,100
2012-08-30,4.74,4.74,4.74,4.74,0
2012-08-31,4.42,5.06,4.42,5.06,1400
2012-09-04,5.06,5.06,5.06,5.06,0
2012-09-05,5.06,5.06,5.06,5.06,0
2012-09-06,4.74,4.74,4.74,4.74,100
2012-09-07,4.42,4.42,4.42,4.42,100
2012-09-10,4.42,4.42,4.42,4.42,0
2012-09-11,4.42,4.42,4.42,4.42,0
2012-09-12,4.16,4.16,4.16,4.16,100
2012-09-13,3.91,3.91,3.91,3.91,100
2012-09-14,3.65,3.65,3.65,3.65,100
2012-09-17,3.46,3.46,3.46,3.46,100
2012-09-18,3.27,3.27,3.27,3.27,100
2012-09-19,3.07,3.46,3.07,3.46,1300
2012-09-20,3.46,3.46,3.46,3.46,0
2012-09-21,3.65,3.65,3.65,3.65,100
2012-09-24,3.46,3.46,3.46,3.46,300
2012-09-25,3.46,3.46,3.46,3.46,0
2012-09-26,3.46,3.46,3.46,3.46,0
2012-09-27,3.46,3.46,3.46,3.46,0
2012-09-28,3.33,3.52,3.33,3.52,400
2012-10-01,3.72,3.72,3.72,3.72,100
2012-10-02,3.72,3.72,3.72,3.72,0
2012-10-03,3.72,3.72,3.72,3.72,0
2012-10-04,3.72,3.72,3.72,3.72,0
2012-10-05,3.72,3.72,3.72,3.72,0
2012-10-08,3.72,3.72,3.72,3.72,0
2012-10-09,3.72,3.72,3.72,3.72,0
2012-10-10,3.72,3.72,3.72,3.72,0
2012-10-11,3.72,3.72,3.72,3.72,0
2012-10-12,3.59,3.59,3.59,3.59,100
2012-10-15,3.59,3.59,3.59,3.59,0
2012-10-16,3.59,3.59,3.59,3.59,0
2012-10-17,3.59,3.59,3.59,3.59,0
2012-10-18,3.59,3.59,3.59,3.59,0
2012-10-19,3.59,3.59,3.59,3.59,0
2012-10-22,3.39,3.39,3.39,3.39,100
2012-10-23,3.2,3.2,3.2,3.2,100
2012-10-24,3.01,3.01,3.01,3.01,100
2012-10-25,2.82,2.82,2.82,2.82,100
2012-10-26,2.63,2.63,2.63,2.63,100
2012-10-29,2.5,2.5,2.5,2.5,100
2012-10-30,2.37,2.37,2.37,2.37,400
2012-10-31,2.24,2.24,2.24,2.24,200
2012-11-01,2.11,2.11,2.11,2.11,500
2012-11-02,1.99,1.99,1.99,1.99,1000
2012-11-05,1.86,2.05,1.86,2.05,1200
2012-11-06,2.05,2.05,2.05,2.05,0
2012-11-07,2.05,2.05,2.05,2.05,0
2012-11-08,1.92,1.92,1.92,1.92,100
2012-11-09,1.79,1.79,1.79,1.79,500
2012-11-12,1.73,1.73,1.73,1.73,1100
2012-11-13,1.67,1.67,1.67,1.67,600
2012-11-14,1.67,1.67,1.67,1.67,0
2012-11-15,1.67,1.67,1.67,1.67,200
2012-11-16,1.67,1.67,1.67,1.67,0
2012-11-19,1.67,1.67,1.67,1.67,0
2012-11-20,1.6,1.6,1.6,1.6,300
2012-11-21,1.6,1.6,1.6,1.6,0
2012-11-22,1.67,1.67,1.67,1.67,100
2012-11-23,1.6,1.6,1.6,1.6,500
2012-11-26,1.54,1.54,1.54,1.54,300
2012-11-27,1.54,1.54,1.54,1.54,0
2012-11-28,1.54,1.54,1.54,1.54,0
