time,open,high,low,close,volume
2010-01-04,10.7,11.23,10.7,11.23,95240
2010-01-05,11.77,11.77,11.41,11.77,157000
2010-01-06,11.59,11.77,11.32,11.41,55640
2010-01-07,11.32,11.59,11.14,11.14,123110
2010-01-08,11.5,11.59,11.14,11.14,137850
2010-01-11,10.97,11.32,10.88,10.97,35630
2010-01-12,11.32,11.32,10.7,10.7,49810
2010-01-13,10.7,10.7,10.16,10.7,67980
2010-01-14,11.05,11.05,10.7,10.7,70820
2010-01-15,10.7,10.7,10.52,10.52,36230
2010-01-18,10.61,10.61,10.25,10.34,64320
2010-01-19,10.25,10.43,10.07,10.07,78740
2010-01-20,10.07,10.25,9.9,9.9,66400
2010-01-21,9.72,9.9,9.54,9.54,87710
2010-01-22,9.27,9.54,9.27,9.54,62950
2010-01-25,9.36,9.72,9.36,9.54,44140
2010-01-26,9.54,9.98,9.54,9.98,64930
2010-01-27,9.81,9.98,9.54,9.54,38210
2010-01-28,9.27,9.54,9.27,9.45,43660
2010-01-29,9.9,9.9,9.36,9.45,33370
2010-02-01,9.36,9.45,9.27,9.36,29870
2010-02-02,9.63,9.63,9.36,9.36,56170
2010-02-03,9.36,9.54,9.36,9.45,50520
2010-02-04,9.36,9.72,9.36,9.72,81290
2010-02-05,9.45,9.63,9.36,9.45,31480
2010-02-08,9.45,9.63,9.45,9.54,25290
2010-02-09,9.54,9.63,9.54,9.54,38540
2010-02-10,9.63,9.63,9.54,9.63,4700
2010-02-11,9.63,9.81,9.54,9.54,22590
2010-02-12,9.81,9.81,9.63,9.81,11690
2010-02-22,10.16,10.25,10.07,10.25,133190
2010-02-23,10.07,10.16,9.9,9.9,59520
2010-02-24,9.81,10.07,9.81,9.9,10630
2010-02-25,9.98,10.16,9.81,9.81,32170
2010-02-26,9.81,10.07,9.81,9.98,19780
2010-03-01,10.07,10.07,9.98,10.07,26310
2010-03-02,9.9,9.98,9.81,9.9,46070
2010-03-03,9.98,9.98,9.81,9.98,38940
2010-03-04,10.16,10.34,9.98,9.98,87020
2010-03-05,9.98,10.07,9.98,9.98,44400
2010-03-08,10.34,10.34,9.98,10.16,66360
2010-03-09,10.52,10.61,10.25,10.61,307350
2010-03-10,10.7,10.88,10.52,10.7,133760
2010-03-11,10.7,10.97,10.7,10.79,45090
2010-03-12,11.05,11.05,10.61,10.88,71580
2010-03-15,11.14,11.23,10.88,10.97,63080
2010-03-16,10.7,10.88,10.43,10.43,93270
2010-03-17,10.34,10.43,10.16,10.16,70350
2010-03-18,10.43,10.43,9.98,10.25,39550
2010-03-19,10.43,10.43,10.16,10.16,9160
2010-03-22,10.07,10.25,10.07,10.16,24720
2010-03-23,10.07,10.61,10.07,10.16,57540
2010-03-24,10.52,10.61,10.43,10.61,155840
2010-03-25,10.97,10.97,10.16,10.16,137680
2010-03-26,10.43,10.61,10.43,10.52,92420
2010-03-29,10.7,10.7,10.25,10.34,29260
2010-03-30,10.16,10.34,10.16,10.16,75760
2010-03-31,10.25,10.52,10.25,10.34,86870
2010-04-01,10.25,10.43,10.16,10.43,20130
2010-04-02,10.25,10.43,10.07,10.16,114380
2010-04-05,10.16,10.25,10.07,10.16,125120
2010-04-06,10.16,10.61,10.16,10.52,173200
2010-04-07,10.34,10.52,10.25,10.34,49740
2010-04-08,10.34,10.52,10.34,10.43,49700
2010-04-09,10.43,10.7,10.34,10.52,133170
2010-04-12,10.61,10.61,10.34,10.34,59900
2010-04-13,10.43,10.43,10.16,10.16,28240
2010-04-14,10.25,10.25,10.16,10.25,97840
2010-04-15,10.34,10.34,10.16,10.25,48470
2010-04-16,10.43,10.43,10.16,10.34,108610
2010-04-19,10.34,10.52,10.16,10.34,92520
2010-04-20,10.34,10.52,10.25,10.25,69810
2010-04-21,10.7,10.7,10.7,10.7,246610
2010-04-22,11.23,11.23,10.61,10.61,354870
2010-04-26,10.7,10.97,10.7,10.79,112030
2010-04-27,10.79,10.88,10.61,10.79,59250
2010-04-28,10.52,10.7,10.43,10.52,66540
2010-04-29,10.7,10.97,10.61,10.97,372590
2010-05-04,11.5,11.5,11.5,11.5,98180
2010-05-05,12.03,12.03,12.03,12.03,195090
2010-05-06,12.57,12.57,12.57,12.57,138760
2010-05-07,13.19,13.19,12.57,13.19,1293520
2010-05-10,13.82,13.82,12.57,12.66,524990
2010-05-11,13.19,13.19,12.03,12.03,310790
2010-05-12,11.59,11.59,11.5,11.5,202600
2010-05-13,10.97,11.32,10.97,10.97,403160
2010-05-14,10.97,11.41,10.97,11.32,64840
2010-05-17,11.32,11.41,10.88,10.88,74570
2010-05-18,10.7,10.79,10.34,10.79,185170
2010-05-19,10.79,10.79,10.25,10.25,251140
2010-05-20,9.9,10.34,9.81,10.34,135970
2010-05-21,9.9,9.98,9.9,9.9,268120
2010-05-24,10.07,10.07,9.45,9.9,149360
2010-05-25,10.07,10.07,9.63,9.81,128460
2010-05-26,10.16,10.25,10.16,10.25,164030
2010-05-27,10.25,10.25,10.07,10.07,62310
2010-05-28,10.52,10.52,10.43,10.52,166100
2010-05-31,10.34,10.61,10.16,10.16,57830
2010-06-01,10.16,10.52,10.07,10.34,92550
2010-06-02,10.34,10.79,10.34,10.79,342820
2010-06-03,11.32,11.32,11.32,11.32,96600
2010-06-04,11.23,11.86,11.14,11.68,662610
2010-06-07,11.14,11.59,11.14,11.14,183950
2010-06-08,10.7,11.41,10.61,11.41,218980
2010-06-09,11.32,11.5,10.88,10.88,218150
2010-06-10,10.79,11.32,10.79,11.14,76270
2010-06-11,11.5,11.5,11.14,11.14,75240
2010-06-14,10.97,11.32,10.97,11.05,93120
2010-06-15,10.97,11.59,10.97,11.59,480770
2010-06-16,12.03,12.12,11.77,12.12,582270
2010-06-17,12.39,12.39,11.86,12.03,254800
2010-06-18,12.12,12.12,11.86,11.95,144490
2010-06-21,11.95,11.95,11.68,11.86,205330
2010-06-22,11.68,11.95,11.68,11.68,169460
2010-06-23,11.59,12.21,11.5,12.21,519250
2010-06-24,12.39,12.75,12.3,12.75,672660
2010-06-25,12.3,12.84,12.3,12.3,227650
2010-06-28,12.12,12.3,12.03,12.21,48350
2010-06-29,12.3,12.39,11.86,12.21,159250
2010-06-30,11.86,11.95,11.68,11.68,182590
2010-07-01,11.59,12.12,11.59,12.03,92640
2010-07-02,12.12,12.12,11.68,12.12,91110
2010-07-05,12.03,12.12,12.03,12.03,84020
2010-07-06,12.03,12.03,11.77,11.95,123400
2010-07-07,12.03,12.21,11.68,11.68,76080
2010-07-08,12.03,12.21,11.95,12.21,234750
2010-07-09,12.21,12.3,11.95,12.21,34550
2010-07-12,12.21,12.21,12.12,12.21,154430
2010-07-13,12.3,12.75,12.3,12.75,439960
2010-07-14,13.37,13.37,13.28,13.37,525210
2010-07-15,14.0,14.0,14.0,14.0,378520
2010-07-16,14.62,14.62,14.62,14.62,169030
2010-07-19,15.33,15.33,14.71,15.33,784470
2010-07-20,15.6,16.05,14.98,14.98,1287390
2010-07-21,15.16,15.69,15.16,15.69,265650
2010-07-22,16.31,16.4,15.87,16.31,1155910
2010-07-23,16.31,16.31,15.51,15.51,499590
2010-07-26,15.51,15.51,14.8,14.8,1188570
2010-07-27,14.8,15.07,14.17,14.17,339830
2010-07-28,13.91,14.0,13.55,13.55,642370
2010-07-29,13.91,14.17,13.55,14.17,653060
2010-07-30,14.17,14.8,14.17,14.17,280550
2010-08-02,14.26,14.8,14.17,14.71,394940
2010-08-03,15.16,15.16,14.44,14.44,260370
2010-08-04,14.71,15.16,14.71,15.16,1105600
2010-08-05,15.87,15.87,15.6,15.87,965050
2010-08-06,16.05,16.58,15.33,16.58,1407730
2010-08-09,16.05,16.49,15.78,15.78,620580
2010-08-10,15.24,15.69,15.07,15.07,569220
2010-08-11,15.07,15.24,14.35,15.16,425710
2010-08-12,14.53,15.07,14.44,14.44,234610
2010-08-13,13.82,14.53,13.73,14.53,433120
2010-08-16,14.53,15.24,14.53,15.24,479030
2010-08-17,14.98,15.24,14.53,14.62,229170
2010-08-18,14.89,14.89,13.91,13.91,247740
2010-08-19,13.82,14.09,13.37,13.91,180050
2010-08-20,14.17,14.17,13.46,13.91,340650
2010-08-23,14.09,14.09,13.46,13.46,136190
2010-08-24,13.37,13.37,12.84,12.84,302750
2010-08-25,12.48,12.84,12.21,12.21,241300
2010-08-26,12.48,12.48,11.68,12.03,443060
2010-08-27,11.5,12.48,11.5,12.3,348650
2010-08-30,12.84,12.84,12.75,12.84,314480
2010-08-31,13.1,13.46,12.84,13.46,270420
2010-09-01,13.91,14.09,13.55,14.09,431630
2010-09-06,14.62,14.71,14.62,14.71,262240
2010-09-07,14.71,15.42,14.53,14.98,582630
2010-09-08,14.35,15.16,14.26,14.44,385770
2010-09-09,14.44,15.16,14.26,14.53,602100
2010-09-10,14.53,14.53,13.82,13.82,261190
2010-09-13,13.82,13.82,13.19,13.19,377550
2010-09-14,13.19,13.73,13.19,13.64,297090
