time,open,high,low,close,volume
2010-01-04,7.12,7.65,7.12,7.65,26000
2010-01-05,7.96,8.13,7.6,7.6,11200
2010-01-06,7.68,7.82,7.54,7.62,23700
2010-01-07,7.54,7.54,7.26,7.54,33200
2010-01-08,7.54,8.01,7.54,7.54,49200
2010-01-11,7.48,7.6,7.4,7.6,27300
2010-01-12,7.32,7.65,7.26,7.26,9700
2010-01-13,7.4,7.54,6.98,7.4,7400
2010-01-14,7.71,7.71,7.4,7.6,2200
2010-01-15,7.57,7.57,7.26,7.32,5100
2010-01-18,7.26,7.26,6.9,6.93,4400
2010-01-19,7.43,7.43,7.04,7.04,1900
2010-01-20,7.09,7.09,7.07,7.07,900
2010-01-21,6.87,6.87,6.62,6.62,14100
2010-01-22,6.91,6.91,6.91,6.91,100
2010-01-25,7.05,7.05,7.05,7.05,600
2010-01-26,7.25,7.54,7.08,7.54,26400
2010-01-27,7.08,7.11,6.93,6.93,10200
2010-01-28,6.79,6.79,6.65,6.65,4000
2010-01-29,6.7,6.79,6.65,6.7,16600
2010-02-01,7.05,7.05,6.65,6.65,1200
2010-02-02,6.93,6.93,6.47,6.47,1400
2010-02-03,6.59,6.59,6.56,6.59,3500
2010-02-04,6.65,6.85,6.65,6.85,3600
2010-02-05,6.91,6.91,6.82,6.82,1800
2010-02-08,6.65,6.67,6.65,6.65,2900
2010-02-09,6.56,6.56,6.5,6.5,1500
2010-02-10,6.65,6.65,6.53,6.59,1300
2010-02-11,6.79,6.93,6.79,6.91,5600
2010-02-12,6.91,6.91,6.91,6.91,1000
2010-02-22,7.17,7.17,7.17,7.17,100
2010-02-23,7.17,7.17,7.17,7.17,0
2010-02-24,6.93,7.17,6.93,7.17,4200
2010-02-25,6.85,6.85,6.67,6.79,2100
2010-02-26,6.82,6.82,6.82,6.82,5000
2010-03-01,6.85,6.93,6.85,6.88,20200
2010-03-02,6.91,6.91,6.88,6.91,4300
2010-03-03,6.93,6.93,6.73,6.73,12000
2010-03-04,7.11,7.11,6.67,6.67,7800
2010-03-05,6.79,6.93,6.79,6.93,6700
2010-03-08,6.93,6.93,6.93,6.93,6400
2010-03-09,6.93,7.08,6.93,7.08,10100
2010-03-10,6.93,6.96,6.93,6.93,1500
2010-03-11,6.96,6.96,6.79,6.79,2600
2010-03-12,6.73,6.99,6.73,6.99,4500
2010-03-15,6.96,7.22,6.96,7.08,25600
2010-03-16,6.96,7.05,6.91,6.91,28400
2010-03-17,6.93,6.93,6.82,6.82,9400
2010-03-18,6.91,7.02,6.59,7.02,35800
2010-03-19,6.93,6.93,6.88,6.88,4100
2010-03-22,6.91,7.37,6.91,7.37,79700
2010-03-23,7.37,7.54,7.37,7.54,105400
2010-03-24,7.74,7.74,7.05,7.37,28900
