time,open,high,low,close,volume
2014-09-04,5.23,5.23,5.23,5.23,200
2014-09-05,5.23,5.23,5.23,5.23,6300
2014-09-08,5.23,5.23,5.23,5.23,0
2014-09-09,4.99,4.99,4.99,4.99,5900
2014-09-10,4.75,4.75,4.75,4.75,6200
2014-09-11,4.51,4.51,4.51,4.51,6700
2014-09-12,4.28,4.28,4.28,4.28,1000
2014-09-15,4.13,4.13,4.09,4.09,10100
2014-09-16,3.85,3.85,3.85,3.85,100
2014-09-17,3.85,3.85,3.85,3.85,0
2014-09-18,3.8,3.8,3.8,3.8,100
2014-09-19,3.8,3.8,3.8,3.8,0
2014-09-22,3.8,3.8,3.8,3.8,0
2014-09-23,3.8,3.8,3.8,3.8,0
2014-09-24,3.8,3.8,3.8,3.8,0
2014-09-25,3.8,3.8,3.8,3.8,0
2014-09-26,3.8,3.8,3.8,3.8,0
2014-09-29,3.8,3.8,3.8,3.8,0
2014-09-30,4.18,4.18,4.18,4.18,300
2014-10-01,3.8,4.28,3.8,4.28,500
2014-10-02,4.42,4.42,4.42,4.42,200
2014-10-03,4.75,4.75,4.75,4.75,300
2014-10-06,4.75,4.75,4.75,4.75,200
2014-10-07,4.61,4.61,4.56,4.56,1500
2014-10-08,4.51,4.51,4.51,4.51,300
2014-10-09,4.51,4.51,4.51,4.51,10000
2014-10-10,4.56,4.56,4.56,4.56,1000
2014-10-13,4.61,4.61,4.51,4.51,700
2014-10-14,4.51,4.51,4.51,4.51,100
2014-10-15,4.51,4.51,4.51,4.51,0
2014-10-16,4.51,4.51,4.51,4.51,100
2014-10-17,4.51,4.51,4.51,4.51,0
2014-10-20,4.51,4.51,4.51,4.51,0
2014-10-21,4.47,4.47,4.28,4.28,9900
2014-10-22,4.28,4.28,4.28,4.28,0
2014-10-23,4.28,4.28,4.28,4.28,0
2014-10-24,4.28,4.28,4.28,4.28,0
2014-10-27,4.28,4.28,4.28,4.28,0
2014-10-28,4.28,4.28,4.28,4.28,0
2014-10-29,4.28,4.28,4.28,4.28,0
2014-10-30,3.85,3.85,3.85,3.85,100
2014-10-31,3.85,3.85,3.85,3.85,5000
2014-11-03,3.85,3.85,3.85,3.85,0
2014-11-04,3.85,3.85,3.85,3.85,0
2014-11-05,3.85,3.85,3.85,3.85,0
2014-11-06,3.94,3.94,3.8,3.8,8700
2014-11-07,3.9,4.18,3.9,4.18,1100
2014-11-10,4.18,4.18,4.18,4.18,0
2014-11-11,4.18,4.18,4.18,4.18,0
