time,open,high,low,close,volume
2015-10-20,10.04,10.16,9.35,9.97,11300
2015-10-21,9.16,9.97,9.16,9.97,200
2015-10-22,9.04,9.66,9.04,9.04,2500
2015-10-23,8.48,8.54,8.23,8.23,2300
2015-10-26,8.23,8.91,8.23,8.73,6300
2015-10-27,8.73,8.73,8.73,8.73,2700
2015-10-28,8.73,8.73,8.73,8.73,0
2015-10-29,8.73,8.91,8.73,8.91,2900
2015-10-30,9.04,9.04,9.04,9.04,100
2015-11-02,9.04,9.04,9.04,9.04,100
2015-11-03,9.04,9.04,9.04,9.04,400
2015-11-04,9.04,9.66,9.04,9.35,7000
2015-11-05,9.35,9.35,9.04,9.04,3600
2015-11-06,8.73,8.79,8.6,8.6,9700
2015-11-09,8.23,9.41,8.23,8.48,500
2015-11-10,8.1,8.73,8.1,8.54,1500
2015-11-11,8.54,8.54,8.54,8.54,0
2015-11-12,7.79,8.85,7.79,8.85,4400
2015-11-13,8.04,8.73,8.04,8.73,4900
2015-11-16,8.54,8.73,8.1,8.54,4000
2015-11-17,8.17,8.42,8.17,8.17,1400
2015-11-18,8.17,8.17,7.48,7.92,5000
2015-11-19,7.79,7.79,7.79,7.79,900
2015-11-20,7.67,7.67,7.67,7.67,100
2015-11-23,8.42,8.42,8.1,8.42,2700
2015-11-24,8.17,8.17,8.17,8.17,200
2015-11-25,7.86,8.73,7.86,8.73,1200
2015-11-26,7.98,8.6,7.98,8.6,2200
2015-11-27,8.6,8.6,8.6,8.6,2000
2015-11-30,7.86,8.6,7.86,8.42,4400
2015-12-01,7.92,7.98,7.92,7.92,6900
2015-12-02,7.92,7.92,7.92,7.92,0
2015-12-03,8.67,8.67,8.67,8.67,100
2015-12-04,8.29,8.6,8.29,8.6,2300
2015-12-07,8.23,8.23,8.23,8.23,4000
2015-12-08,8.23,8.23,8.23,8.23,0
2015-12-09,7.48,8.6,7.48,8.6,2300
2015-12-10,8.73,8.73,8.73,8.73,10000
2015-12-11,7.92,7.92,7.92,7.92,200
2015-12-14,8.23,8.23,8.23,8.23,100
2015-12-15,8.23,8.23,8.23,8.23,0
2015-12-16,8.17,8.17,8.17,8.17,500
2015-12-17,8.17,8.17,8.1,8.1,3200
2015-12-18,8.42,8.42,8.42,8.42,300
2015-12-21,8.42,8.42,8.42,8.42,0
2015-12-22,8.42,8.42,8.42,8.42,500
2015-12-23,8.42,8.42,8.42,8.42,300
2015-12-24,8.42,8.42,8.42,8.42,0
2015-12-25,7.61,8.42,7.61,8.42,1000
2015-12-28,9.23,9.23,8.73,8.73,200
2015-12-29,9.6,9.6,8.6,8.6,3200
2015-12-30,9.41,9.41,9.41,9.41,900
2015-12-31,8.48,8.73,8.48,8.48,6100
2016-01-04,8.1,8.1,8.1,8.1,1000
2016-01-05,8.1,8.1,8.1,8.1,0
2016-01-06,8.1,8.1,8.1,8.1,0
2016-01-07,7.98,8.73,7.98,8.73,1100
2016-01-08,8.04,8.04,7.98,7.98,2000
2016-01-11,7.98,7.98,7.98,7.98,0
2016-01-12,7.98,7.98,7.98,7.98,0
2016-01-13,8.1,8.1,8.1,8.1,500
2016-01-14,8.1,8.1,8.1,8.1,0
2016-01-15,8.1,8.1,8.1,8.1,0
2016-01-18,7.36,7.42,7.36,7.42,4300
2016-01-19,8.04,8.04,8.04,8.04,100
2016-01-20,8.04,8.04,8.04,8.04,0
2016-01-21,7.36,7.98,7.36,7.36,600
2016-01-22,6.36,6.61,6.3,6.42,4850
2016-01-25,5.86,6.8,5.86,6.8,3000
2016-01-26,6.17,7.04,6.17,7.04,500
2016-01-27,7.04,7.04,7.04,7.04,0
2016-01-28,7.23,7.23,7.23,7.23,100
2016-01-29,7.23,7.36,7.23,7.36,1100
2016-02-01,7.42,7.42,7.42,7.42,2000
2016-02-02,7.36,7.36,7.17,7.17,3100
2016-02-03,7.48,7.61,7.48,7.61,1500
2016-02-04,7.61,7.61,7.61,7.61,0
2016-02-05,7.73,8.35,7.73,8.35,3700
2016-02-15,8.35,8.35,8.35,8.35,0
2016-02-16,7.61,7.61,7.61,7.61,2000
2016-02-17,7.17,7.17,7.17,7.17,5000
2016-02-18,7.86,7.86,7.86,7.86,100
2016-02-19,7.36,7.36,7.36,7.36,3000
2016-02-22,7.17,7.48,7.17,7.48,5100
2016-02-23,7.48,7.48,7.36,7.36,5600
2016-02-24,7.36,7.36,7.36,7.36,3000
2016-02-25,7.42,7.42,7.42,7.42,2000
2016-02-26,7.36,7.42,7.36,7.42,7100
2016-02-29,7.42,7.42,7.42,7.42,0
2016-03-01,7.42,7.42,7.42,7.42,2000
2016-03-02,7.17,7.48,7.17,7.48,14000
2016-03-03,7.48,7.48,7.48,7.48,0
2016-03-04,7.48,7.48,7.48,7.48,0
2016-03-07,7.48,7.48,7.48,7.48,0
2016-03-08,7.36,7.48,7.36,7.48,9400
2016-03-09,8.23,8.23,7.48,7.48,200
2016-03-10,8.23,8.23,7.54,7.54,2100
2016-03-11,7.42,8.23,7.42,7.48,7100
2016-03-14,8.17,8.23,8.17,8.23,300
2016-03-15,7.61,8.29,7.48,8.29,3200
2016-03-16,7.54,7.54,7.54,7.54,100
2016-03-17,8.23,8.29,7.79,7.79,19200
2016-03-18,7.79,7.79,7.79,7.79,0
2016-03-21,7.79,7.79,7.79,7.79,400
2016-03-22,7.48,7.48,7.48,7.48,500
2016-03-23,7.48,8.23,7.48,8.23,1000
2016-03-24,7.61,8.23,7.61,7.79,10800
2016-03-25,7.98,8.1,7.61,7.61,5400
2016-03-28,7.61,7.61,7.61,7.61,0
2016-03-29,8.35,8.35,8.1,8.1,4100
2016-03-30,8.1,8.1,8.1,8.1,0
2016-03-31,8.35,8.35,8.35,8.35,100
2016-04-01,7.98,7.98,7.98,7.98,100
2016-04-04,7.98,7.98,7.98,7.98,0
