time,open,high,low,close,volume
2010-01-04,8.15,8.28,8.1,8.24,110980
2010-01-05,8.55,8.55,7.88,8.1,127390
2010-01-06,7.92,8.24,7.88,8.1,70310
2010-01-07,8.1,8.28,7.92,8.28,102510
2010-01-08,8.42,8.64,8.33,8.42,198970
2010-01-11,8.42,8.51,8.24,8.24,111600
2010-01-12,8.33,8.64,8.24,8.55,399730
2010-01-13,8.37,8.55,8.15,8.33,110540
2010-01-14,8.46,8.46,8.06,8.33,76830
2010-01-15,8.28,8.37,8.1,8.1,30110
2010-01-18,7.79,7.83,7.7,7.7,84780
2010-01-19,7.52,7.74,7.47,7.52,53440
2010-01-20,7.79,7.79,7.16,7.16,220600
2010-01-21,7.16,7.2,6.84,6.98,66330
2010-01-22,7.11,7.2,6.93,7.2,47310
2010-01-25,7.25,7.29,7.07,7.25,18730
2010-01-26,7.25,7.52,7.25,7.47,63670
2010-01-27,7.38,7.43,7.2,7.2,34460
2010-01-28,7.2,7.2,7.11,7.2,9950
2010-01-29,7.11,7.2,7.07,7.16,25740
2010-02-01,7.2,7.25,7.02,7.2,2160
2010-02-02,7.11,7.2,7.07,7.2,35420
2010-02-03,7.2,7.2,7.07,7.2,20830
2010-02-04,7.2,7.43,7.2,7.34,27330
2010-02-05,7.07,7.29,7.07,7.2,21090
2010-02-08,7.34,7.34,7.02,7.02,1010
2010-02-09,7.11,7.16,6.98,7.11,15580
2010-02-10,7.16,7.2,7.11,7.11,11330
2010-02-11,7.16,7.2,7.02,7.16,10670
2010-02-12,7.25,7.43,7.2,7.25,25450
2010-02-22,7.47,7.47,7.2,7.25,7770
2010-02-23,7.43,7.43,7.02,7.02,20490
2010-02-24,6.89,7.2,6.75,6.89,58390
2010-02-25,7.2,7.2,6.89,7.07,11120
2010-02-26,7.16,7.16,6.93,7.16,7750
2010-03-01,7.2,7.2,7.07,7.2,23990
2010-03-02,7.07,7.2,7.07,7.07,18350
2010-03-03,7.16,7.2,7.07,7.2,72640
2010-03-04,7.2,7.52,7.2,7.29,64990
2010-03-05,7.29,7.29,7.2,7.29,33400
2010-03-08,7.38,7.52,7.38,7.43,67210
2010-03-09,7.43,7.56,7.34,7.43,36040
2010-03-10,7.43,7.47,7.34,7.43,90970
2010-03-11,7.43,7.79,7.43,7.79,235810
2010-03-12,8.01,8.01,7.65,7.65,48880
2010-03-15,7.79,7.79,7.65,7.65,55810
