time,open,high,low,close,volume
2010-01-04,4.66,4.67,4.57,4.67,202660
2010-01-05,4.9,4.9,4.81,4.86,296870
2010-01-06,4.72,4.91,4.72,4.91,84840
2010-01-07,4.82,4.91,4.82,4.9,111770
2010-01-08,4.81,5.01,4.66,4.66,332190
2010-01-11,4.56,4.8,4.43,4.43,176540
2010-01-12,4.37,4.61,4.21,4.21,224800
2010-01-13,4.31,4.41,4.09,4.31,151520
2010-01-14,4.46,4.46,4.31,4.41,35360
2010-01-15,4.36,4.39,4.28,4.31,18480
2010-01-18,4.14,4.14,4.1,4.1,68720
2010-01-19,4.01,4.11,4.01,4.01,41700
2010-01-20,4.11,4.11,3.86,3.86,24940
2010-01-21,3.76,3.86,3.67,3.72,274310
2010-01-22,3.71,3.9,3.71,3.9,158920
2010-01-25,3.93,4.07,3.9,4.06,130230
2010-01-26,4.16,4.26,4.16,4.26,180820
2010-01-27,4.26,4.36,4.22,4.33,171720
2010-01-28,4.36,4.36,4.21,4.26,145240
2010-01-29,4.19,4.31,4.16,4.23,127580
2010-02-01,4.29,4.44,4.21,4.44,152860
2010-02-02,4.61,4.61,4.51,4.6,139030
2010-02-03,4.6,4.71,4.56,4.56,107700
2010-02-04,4.59,4.78,4.59,4.73,285290
2010-02-05,4.61,4.73,4.51,4.51,276360
2010-02-08,4.6,4.61,4.41,4.55,212160
2010-02-09,4.54,4.61,4.47,4.61,214350
2010-02-10,4.54,4.7,4.54,4.57,226380
2010-02-11,4.56,4.61,4.56,4.6,140780
2010-02-12,4.71,4.71,4.6,4.66,242910
2010-02-22,4.86,4.86,4.71,4.84,129770
2010-02-23,4.75,4.77,4.71,4.71,137450
2010-02-24,4.61,4.73,4.61,4.71,128210
2010-02-25,4.86,4.86,4.76,4.81,170680
2010-02-26,4.81,5.01,4.76,5.01,243340
2010-03-01,5.06,5.26,5.06,5.26,142000
2010-03-02,5.46,5.46,5.26,5.41,354150
2010-03-03,5.41,5.51,5.36,5.46,293370
2010-03-04,5.41,5.51,5.21,5.21,254990
2010-03-05,5.21,5.36,5.21,5.31,180140
2010-03-08,5.41,5.46,5.16,5.31,281560
2010-03-09,5.26,5.41,5.26,5.31,182870
2010-03-10,5.26,5.36,5.26,5.31,157730
2010-03-11,5.31,5.56,5.31,5.41,284300
