time,open,high,low,close,volume
2016-09-19,9.81,9.81,9.81,9.81,100
2016-09-20,11.26,11.26,11.26,11.26,100
2016-09-21,12.92,12.92,12.92,12.92,100
2016-09-22,14.84,14.84,11.0,11.0,398200
2016-09-23,11.05,14.47,10.74,11.05,398100
2016-09-26,12.45,12.45,9.6,11.41,169000
2016-09-27,10.32,11.41,10.01,10.38,101200
2016-09-28,10.43,11.31,10.43,11.15,102600
2016-09-29,10.95,12.45,10.64,12.45,336100
2016-09-30,12.97,13.44,12.97,13.44,35400
2016-10-03,14.27,15.3,14.27,15.3,216550
2016-10-04,15.3,15.56,12.81,14.32,129300
2016-10-05,14.58,14.68,14.11,14.16,38500
2016-10-06,14.32,14.32,13.7,14.01,92700
2016-10-07,13.64,14.21,13.49,13.75,20510
2016-10-10,13.7,14.73,13.7,14.01,36600
2016-10-11,14.27,14.27,13.75,13.85,22800
2016-10-12,14.01,14.01,13.59,13.64,35900
2016-10-13,13.7,13.7,13.02,13.64,44000
2016-10-14,13.28,13.49,13.23,13.44,22700
2016-10-17,13.23,14.01,13.13,13.75,62270
2016-10-18,13.75,14.94,13.75,14.94,128530
2016-10-19,14.94,16.08,14.94,15.87,194800
2016-10-20,15.72,17.17,15.62,17.17,72200
2016-10-21,16.6,18.88,16.6,17.64,224300
2016-10-24,18.57,18.57,16.08,16.86,122000
2016-10-25,17.02,17.22,15.82,17.12,47000
2016-10-26,17.12,18.16,16.6,17.64,67000
2016-10-27,17.64,18.99,17.64,18.16,147400
2016-10-28,18.42,18.94,18.11,18.68,76400
2016-10-31,18.57,20.75,18.57,20.75,127340
2016-11-01,21.22,21.79,20.54,20.91,150530
2016-11-02,20.91,21.17,19.61,19.71,136870
2016-11-03,19.71,19.77,18.68,19.77,53810
2016-11-04,19.71,20.75,19.3,19.71,53750
2016-11-07,19.71,20.13,19.35,20.13,49700
2016-11-08,20.13,20.23,19.71,19.87,54520
2016-11-09,20.23,20.23,17.64,19.2,118320
2016-11-10,19.4,20.13,19.2,19.66,50850
2016-11-11,19.66,20.34,19.2,20.34,113700
2016-11-14,20.13,20.54,19.92,20.23,65000
2016-11-15,20.49,20.8,19.97,19.97,27760
2016-11-16,20.23,20.23,19.25,19.61,35770
2016-11-17,19.71,20.18,18.99,19.2,57510
2016-11-18,19.45,19.97,19.2,19.25,30200
2016-11-21,19.2,19.4,18.68,18.68,68527
2016-11-22,18.88,19.35,18.88,19.09,41133
2016-11-23,18.42,18.99,18.21,18.31,23090
2016-11-24,18.0,18.31,17.64,17.9,55925
2016-11-25,18.0,18.0,15.56,16.24,129220
2016-11-28,16.65,16.65,14.16,14.58,328500
2016-11-29,14.58,16.24,13.38,15.04,263770
2016-11-30,14.32,14.84,12.97,13.9,258900
2016-12-01,14.53,15.56,13.07,13.64,747400
2016-12-02,14.01,14.53,13.49,14.27,412610
2016-12-05,14.53,15.04,14.11,14.79,346570
2016-12-06,14.94,14.94,14.32,14.32,120000
2016-12-07,14.47,14.53,14.06,14.21,103930
2016-12-08,14.16,14.47,14.06,14.06,86100
2016-12-09,14.21,14.21,13.75,13.8,97600
2016-12-12,13.49,13.85,13.28,13.75,79925
2016-12-13,13.49,13.49,13.18,13.18,128000
2016-12-14,13.33,13.33,12.76,12.97,388550
2016-12-15,12.97,13.44,12.87,13.33,1238600
2016-12-16,13.38,14.27,13.13,14.01,211560
2016-12-19,14.27,15.2,14.01,15.1,231523
2016-12-20,15.04,15.82,14.68,15.1,232420
2016-12-21,15.04,15.1,14.32,14.84,162110
2016-12-22,14.79,15.04,14.68,14.79,90100
2016-12-23,14.68,14.68,14.11,14.32,96000
2016-12-26,14.21,14.68,14.21,14.58,92361
2016-12-27,14.32,15.04,14.32,14.94,145400
2016-12-28,14.99,15.41,14.84,15.36,135700
2016-12-29,15.1,15.3,14.89,15.2,80626
2016-12-30,15.25,15.46,14.99,15.04,82513
2017-01-03,15.15,15.3,14.99,15.3,53571
2017-01-04,15.1,15.41,14.79,14.84,155650
2017-01-05,15.04,15.51,15.04,15.46,98680
2017-01-06,15.72,15.72,15.1,15.3,78825
2017-01-09,15.15,15.36,15.15,15.2,88000
2017-01-10,15.25,15.25,15.04,15.04,67120
2017-01-11,15.15,15.25,14.27,14.94,262214
2017-01-12,14.53,14.53,13.75,14.47,322810
2017-01-13,14.79,14.79,13.9,14.21,395900
2017-01-16,14.42,14.84,14.37,14.84,85709
2017-01-17,14.63,14.79,14.53,14.63,42500
2017-01-18,14.42,14.63,14.32,14.32,112500
2017-01-19,14.37,14.42,13.28,14.11,3986200
2017-01-20,14.37,14.37,14.27,14.27,33400
2017-01-23,14.32,14.53,14.32,14.42,33172
2017-01-24,14.27,14.27,14.01,14.16,145800
2017-01-25,14.16,14.32,14.11,14.21,94200
2017-02-02,14.21,14.84,14.16,14.68,177400
2017-02-03,14.84,14.84,14.53,14.53,56240
2017-02-06,14.53,14.58,14.32,14.37,81450
2017-02-07,14.42,14.47,14.16,14.27,80400
2017-02-08,14.01,14.06,13.75,13.9,255300
2017-02-09,13.75,13.9,13.64,13.75,132500
2017-02-10,13.75,14.11,13.75,13.9,196500
2017-02-13,14.01,14.01,13.85,13.96,33100
2017-02-14,13.9,14.01,13.8,13.9,40200
2017-02-15,13.75,13.9,13.75,13.85,31502
2017-02-16,13.75,14.42,13.75,14.01,107200
2017-02-17,14.01,14.01,13.75,13.8,35300
2017-02-20,13.75,14.01,13.7,13.9,37900
2017-02-21,13.8,13.9,13.7,13.7,63700
2017-02-22,13.7,13.9,13.7,13.75,35300
2017-02-23,13.75,14.11,13.7,14.01,216600
2017-02-24,13.9,14.01,13.75,13.9,60000
2017-02-27,13.9,14.16,13.75,13.9,94800
2017-02-28,13.9,13.9,13.64,13.64,39800
2017-03-01,13.64,13.7,13.23,13.54,68000
2017-03-02,13.54,13.64,13.49,13.54,13500
2017-03-03,13.49,13.7,13.33,13.33,46500
2017-03-06,13.49,13.7,13.49,13.7,41700
2017-03-07,13.49,13.49,13.33,13.33,24500
2017-03-08,13.59,13.59,13.38,13.49,71020
2017-03-09,13.33,13.49,13.28,13.38,24700
2017-03-10,13.33,13.38,12.97,13.23,57220
2017-03-13,13.28,13.59,13.13,13.49,31300
2017-03-14,13.23,13.54,13.23,13.33,24300
2017-03-15,13.49,13.49,13.23,13.33,14015
2017-03-16,13.49,14.27,13.49,14.01,162100
2017-03-17,13.9,14.06,13.75,14.06,100300
