time,open,high,low,close,volume
2016-10-21,82.05,82.05,61.32,73.48,193900
2016-10-24,76.98,78.29,71.73,72.61,74900
2016-10-25,73.83,73.83,67.79,68.06,24700
2016-10-26,65.61,65.69,61.32,62.11,59400
2016-10-27,61.23,61.23,59.66,59.83,31340
2016-10-28,59.75,64.91,58.78,64.91,22460
2016-10-31,65.61,65.61,62.98,65.52,13700
2016-11-01,64.29,64.29,61.23,62.28,12000
2016-11-02,61.23,62.11,60.36,60.36,15500
2016-11-03,59.66,59.66,56.86,59.05,12900
2016-11-04,58.26,58.26,58.17,58.17,5400
2016-11-07,58.17,58.61,57.73,58.17,4500
2016-11-08,58.61,59.92,58.61,58.96,4000
2016-11-09,58.7,58.7,56.86,57.73,8800
2016-11-10,57.3,58.17,57.3,58.17,9200
2016-11-11,56.86,56.86,55.98,55.98,23700
2016-11-14,55.98,56.42,55.98,56.42,9500
2016-11-15,56.86,57.56,56.51,57.3,10000
2016-11-16,57.21,57.47,56.51,56.51,5900
2016-11-17,56.68,56.68,56.07,56.07,6100
2016-11-18,56.07,57.38,55.98,56.42,12400
2016-11-21,56.42,56.42,55.02,55.02,12900
2016-11-22,55.9,55.9,54.67,54.67,9700
2016-11-23,54.67,56.77,54.5,54.5,11600
2016-11-24,55.9,55.9,53.8,53.8,6000
2016-11-25,53.36,53.36,52.31,52.31,9300
2016-11-28,51.44,51.44,50.04,50.04,3000
2016-11-29,45.92,48.11,45.49,48.11,6200
2016-11-30,46.19,47.24,45.05,47.24,2700
2016-12-01,46.8,47.24,45.58,45.58,3400
2016-12-02,45.92,45.92,45.58,45.58,300
2016-12-05,45.66,45.66,43.74,44.18,4000
2016-12-06,43.3,43.74,42.69,42.69,6700
2016-12-07,48.99,48.99,45.49,46.36,900
2016-12-08,46.36,46.36,46.36,46.36,500
2016-12-09,44.61,47.24,44.61,45.92,15900
2016-12-12,48.9,48.9,43.74,43.74,6900
2016-12-13,45.49,45.49,45.05,45.05,10200
2016-12-14,46.1,46.36,46.1,46.36,1900
2016-12-15,45.05,45.05,45.05,45.05,100
2016-12-16,41.99,44.18,41.99,43.74,6800
2016-12-19,43.04,43.74,42.95,42.95,3400
2016-12-20,48.55,48.55,43.74,43.91,2600
2016-12-21,43.74,44.96,43.74,44.96,1700
2016-12-22,43.74,43.74,41.99,42.25,5700
2016-12-23,43.74,43.74,43.74,43.74,1600
2016-12-26,43.74,43.74,42.69,43.74,3600
2016-12-27,42.51,43.74,42.43,43.74,3100
2016-12-28,42.51,43.21,41.99,41.99,15600
2016-12-29,42.16,42.43,41.99,41.99,4300
2016-12-30,41.55,43.74,41.55,43.74,2000
2017-01-03,42.51,43.56,41.99,43.48,7500
2017-01-04,41.99,42.08,41.99,41.99,3200
2017-01-05,41.11,41.99,39.36,39.36,16900
2017-01-06,39.36,40.59,38.49,39.28,11800
2017-01-09,40.24,40.24,40.24,40.24,100
2017-01-10,38.93,38.93,38.75,38.75,900
2017-01-11,40.24,40.24,40.24,40.24,100
2017-01-12,39.36,40.24,38.49,40.24,9100
2017-01-13,39.36,40.24,39.36,40.24,700
2017-01-16,40.68,43.21,40.68,42.43,11600
2017-01-17,42.86,47.76,42.86,47.76,11900
2017-01-18,48.99,48.99,43.74,47.24,7800
2017-01-19,38.84,47.24,38.84,44.18,4200
2017-01-20,41.99,43.3,41.99,42.51,1300
2017-01-23,42.86,42.86,41.99,41.99,4900
2017-01-24,48.46,48.46,43.83,43.83,1000
2017-01-25,42.51,42.86,41.99,42.86,3000
2017-02-02,41.11,41.99,41.11,41.11,5400
2017-02-03,41.29,41.55,41.11,41.55,3500
2017-02-06,41.2,43.39,41.11,41.29,5600
2017-02-07,41.29,41.29,41.29,41.29,400
2017-02-08,41.29,41.99,41.29,41.99,2200
2017-02-09,41.38,42.86,41.38,42.08,9800
2017-02-10,41.99,41.99,41.2,41.29,2400
2017-02-13,41.38,41.55,41.11,41.11,10700
2017-02-14,41.2,41.2,40.76,41.03,3600
2017-02-15,41.11,41.11,41.11,41.11,200
2017-02-16,39.71,39.71,39.36,39.45,1900
2017-02-17,39.19,41.55,38.49,40.24,10500
2017-02-20,40.24,40.24,39.8,39.8,700
2017-02-21,39.19,40.24,39.19,40.24,900
2017-02-22,40.06,40.33,39.89,40.33,1300
2017-02-23,39.63,39.89,39.36,39.8,4500
2017-02-24,39.54,39.89,39.54,39.8,5800
2017-02-27,39.54,40.24,39.54,40.15,3953
2017-02-28,39.63,40.24,39.63,39.63,7634
2017-03-01,39.98,40.24,39.54,39.54,3988
2017-03-02,39.98,40.15,39.98,40.15,804
2017-03-03,39.63,40.06,39.63,39.63,2258
2017-03-06,39.36,39.45,38.75,38.75,5870
2017-03-07,40.94,40.94,38.49,38.93,12604
2017-03-08,39.36,39.36,39.01,39.01,850
2017-03-09,38.75,38.75,38.49,38.49,2101
2017-03-10,38.49,38.75,38.49,38.75,5900
2017-03-13,38.05,38.49,38.05,38.49,3502
2017-03-14,38.49,38.49,38.14,38.14,2000
2017-03-15,38.4,38.84,38.4,38.84,5800
2017-03-16,38.49,39.1,38.49,39.1,1900
2017-03-17,38.58,39.19,38.58,39.19,2900
2017-03-20,38.58,38.58,38.58,38.58,2200
2017-03-21,38.49,38.58,38.49,38.58,200
2017-03-22,39.36,39.36,38.49,38.49,1400
2017-03-23,38.58,38.58,38.58,38.58,200
2017-03-24,38.49,39.28,38.49,39.1,2100
2017-03-27,39.1,39.1,39.1,39.1,0
2017-03-28,39.19,39.28,39.19,39.28,900
2017-03-29,38.66,39.28,38.66,38.75,900
2017-03-30,38.75,38.75,38.75,38.75,0
2017-03-31,39.19,41.99,38.93,40.24,8000
2017-04-03,39.01,41.99,39.01,41.11,5700
2017-04-04,39.01,43.74,39.01,43.74,4900
