time,open,high,low,close,volume
2010-01-04,38.73,40.13,38.44,40.13,7400
2010-01-05,42.58,42.75,39.96,39.96,7900
2010-01-06,39.61,41.35,39.61,40.83,3200
2010-01-07,38.5,40.77,38.5,39.9,3100
2010-01-08,40.48,40.77,39.14,39.14,5400
2010-01-11,37.92,42.17,37.92,38.79,700
2010-01-12,37.92,38.73,37.1,37.51,4300
2010-01-13,39.32,39.9,36.7,38.91,1300
2010-01-14,37.57,38.44,37.39,37.39,1800
2010-01-15,37.86,37.86,37.28,37.57,1600
2010-01-18,36.87,37.57,36.87,36.87,2700
2010-01-19,37.86,37.86,36.99,37.34,3100
2010-01-20,38.38,38.38,38.38,38.38,2000
2010-01-21,37.57,37.57,35.7,36.11,4500
2010-01-22,36.11,36.11,36.11,36.11,0
2010-01-25,37.16,37.86,37.16,37.86,1100
2010-01-26,39.61,40.25,39.61,39.61,12000
2010-01-27,41.35,41.35,40.13,40.13,2100
2010-01-28,39.02,39.32,37.92,39.32,1700
2010-01-29,38.44,39.02,38.44,39.02,2100
2010-02-01,39.37,39.37,39.37,39.37,100
2010-02-02,39.61,39.61,39.61,39.61,100
2010-02-03,37.34,37.34,36.99,36.99,500
2010-02-04,38.38,38.38,38.38,38.38,100
2010-02-05,38.38,38.38,38.38,38.38,0
2010-02-08,38.38,38.38,38.38,38.38,500
2010-02-09,38.27,38.33,36.4,36.4,3100
2010-02-10,37.57,37.57,37.28,37.28,1000
2010-02-11,36.35,37.34,36.29,37.34,1100
2010-02-12,38.97,38.97,36.46,36.46,4100
2010-02-22,39.26,39.26,37.28,37.28,2700
2010-02-23,37.28,37.28,37.28,37.28,0
2010-02-24,37.86,37.86,37.57,37.57,2200
2010-02-25,37.57,37.57,37.28,37.28,4000
2010-02-26,36.64,37.28,36.64,37.28,1000
2010-03-01,38.68,38.68,37.86,37.86,1000
2010-03-02,38.44,38.73,37.04,37.04,3100
2010-03-03,37.86,37.98,37.28,37.98,5700
2010-03-04,38.15,38.73,37.69,37.86,3200
2010-03-05,38.44,38.44,38.15,38.15,1000
2010-03-08,37.86,38.44,37.86,38.27,5100
2010-03-09,37.57,37.86,36.11,36.11,22500
2010-03-10,37.16,38.21,36.7,38.21,11600
2010-03-11,38.97,39.96,37.86,39.9,23100
2010-03-12,39.08,40.77,39.08,39.14,6900
2010-03-15,40.66,41.94,39.14,41.06,7800
2010-03-16,39.02,41.35,37.98,38.21,7900
2010-03-17,40.66,41.47,37.34,37.86,6400
2010-03-18,40.48,40.66,38.44,38.44,4100
2010-03-19,39.9,40.02,38.97,38.97,1000
2010-03-22,37.28,41.35,37.28,39.02,1600
2010-03-23,40.19,40.77,38.44,38.44,11600
2010-03-24,39.61,40.36,38.73,39.14,4600
2010-03-25,39.84,40.77,38.5,39.02,3600
2010-03-26,39.49,39.84,39.32,39.84,6000
2010-03-29,40.77,40.77,39.61,39.61,1600
2010-03-30,40.77,41.65,39.61,39.61,1200
2010-03-31,38.56,38.56,38.33,38.33,900
2010-04-01,39.49,39.49,39.32,39.49,1000
2010-04-02,38.03,38.44,38.03,38.15,10400
2010-04-05,38.15,38.33,37.92,38.33,700
2010-04-06,39.78,39.78,38.44,38.79,2300
2010-04-07,38.79,39.02,38.15,38.15,5600
2010-04-08,38.44,40.77,38.44,39.02,7100
2010-04-09,38.85,38.97,38.44,38.44,3800
2010-04-12,38.44,38.73,38.33,38.73,5500
2010-04-13,38.44,38.44,37.86,37.86,6800
2010-04-14,37.86,38.91,37.86,38.91,5300
2010-04-15,38.33,38.44,37.28,37.28,26900
2010-04-16,38.44,38.44,37.45,37.74,2600
2010-04-19,38.33,38.33,38.33,38.33,100
2010-04-20,39.32,39.32,37.86,38.15,1800
2010-04-21,37.86,37.86,37.28,37.86,9800
2010-04-22,37.63,40.25,37.63,39.61,40000
2010-04-26,39.9,39.9,38.44,39.02,1400
2010-04-27,39.14,39.14,38.73,38.73,2700
2010-04-28,38.44,38.91,37.86,38.91,3100
2010-04-29,38.91,39.02,38.15,38.44,12700
2010-05-04,37.92,39.55,37.92,39.49,8000
2010-05-05,39.61,39.61,37.86,37.86,10900
2010-05-06,39.49,39.49,37.57,37.86,13800
2010-05-07,37.57,38.03,37.57,37.57,300
2010-05-10,36.7,36.93,36.46,36.46,6900
2010-05-11,37.34,37.86,36.7,36.7,3800
2010-05-12,36.7,36.7,34.42,34.42,6900
2010-05-13,36.64,36.64,36.64,36.64,1300
2010-05-14,36.99,36.99,34.48,35.94,1600
2010-05-17,36.7,36.7,34.37,34.37,3800
2010-05-18,34.95,34.95,32.56,32.56,13800
2010-05-19,33.08,33.08,31.45,31.45,12000
2010-05-20,33.78,33.78,32.04,33.2,2100
2010-05-21,32.5,32.5,30.23,30.87,7100
2010-05-24,30.87,32.73,30.87,32.73,4500
2010-05-25,32.33,32.33,32.33,32.33,500
2010-05-26,32.04,33.14,32.04,32.68,4300
2010-05-27,31.45,33.03,31.45,32.91,1000
2010-05-28,34.31,34.37,34.19,34.37,5200
2010-05-31,36.58,36.58,36.0,36.0,200
2010-06-01,37.8,37.8,33.78,33.78,2200
2010-06-02,34.95,34.95,33.78,33.78,700
2010-06-03,34.95,34.95,33.96,33.96,2600
2010-06-04,34.66,34.66,32.33,32.91,3600
2010-06-07,33.2,33.2,31.74,31.74,1100
2010-06-08,33.03,33.61,33.03,33.08,3200
2010-06-09,34.83,34.83,33.2,33.2,1200
2010-06-10,32.73,32.73,32.56,32.56,2300
2010-06-11,34.83,34.83,32.62,32.68,400
2010-06-14,34.25,34.25,32.62,33.61,3300
2010-06-15,32.27,33.2,32.27,33.2,200
2010-06-16,34.07,34.37,32.91,32.91,3600
2010-06-17,34.07,34.07,31.45,33.2,400
2010-06-18,33.2,33.2,33.2,33.2,0
2010-06-21,33.72,33.72,32.33,33.72,800
2010-06-22,33.72,33.72,33.72,33.72,100
2010-06-23,33.67,33.67,33.2,33.2,1100
2010-06-24,33.2,33.2,33.2,33.2,0
2010-06-25,31.45,32.09,31.45,32.09,5500
2010-06-28,33.49,33.49,32.62,32.91,1900
2010-06-29,33.43,33.43,33.43,33.43,100
2010-06-30,32.38,32.73,32.38,32.68,2800
2010-07-01,31.92,33.14,31.74,32.04,3300
2010-07-02,31.98,32.5,31.74,32.5,5300
2010-07-05,30.87,32.38,30.64,31.45,3100
2010-07-06,30.87,31.39,30.87,31.39,1700
2010-07-07,33.2,33.2,31.34,32.04,700
2010-07-08,30.11,33.14,30.11,31.63,3100
2010-07-09,31.1,32.79,31.1,32.79,900
2010-07-12,32.04,33.2,32.04,33.2,5700
2010-07-13,32.91,32.91,32.91,32.91,300
2010-07-14,34.6,34.66,32.62,33.43,2200
2010-07-15,33.2,33.2,32.85,33.2,400
2010-07-16,31.57,34.07,31.57,33.49,1000
2010-07-19,33.43,33.43,31.57,31.57,400
2010-07-20,32.04,33.2,32.04,32.44,1500
2010-07-21,32.15,33.49,32.15,33.49,600
2010-07-22,32.04,32.33,32.04,32.33,1000
2010-07-23,32.15,32.15,32.15,32.15,100
2010-07-26,33.78,33.78,32.04,32.15,1300
2010-07-27,32.04,32.04,32.04,32.04,300
2010-07-28,32.09,32.09,31.45,31.45,600
2010-07-29,31.22,31.22,31.22,31.22,400
2010-07-30,31.51,31.51,31.51,31.51,1100
2010-08-02,31.45,31.51,31.45,31.45,2400
2010-08-03,31.45,31.51,31.45,31.51,600
2010-08-04,31.22,31.51,31.22,31.45,400
2010-08-05,31.22,31.45,31.22,31.45,1600
2010-08-06,31.45,31.63,31.34,31.39,1000
2010-08-09,31.69,31.69,30.87,30.87,2500
2010-08-10,29.71,29.71,29.12,29.41,6200
2010-08-11,29.76,30.17,29.47,29.76,2700
2010-08-12,29.24,29.24,29.12,29.12,1600
2010-08-13,31.05,31.05,29.12,29.12,700
2010-08-16,29.71,29.71,29.71,29.71,400
2010-08-17,31.16,31.16,29.76,30.87,3400
2010-08-18,30.29,30.87,29.71,29.82,1200
2010-08-19,30.29,30.29,29.71,29.71,800
