time,open,high,low,close,volume
2010-01-04,5.24,5.26,5.19,5.26,126000
2010-01-05,5.37,5.6,5.35,5.6,123100
2010-01-06,5.53,5.53,5.15,5.19,47100
2010-01-07,4.99,5.67,4.99,5.19,76400
2010-01-08,5.17,5.65,5.03,5.08,97400
2010-01-11,5.01,5.62,4.99,5.62,313700
2010-01-12,5.94,5.94,5.71,5.94,102800
2010-01-13,5.97,5.97,5.51,5.81,51300
2010-01-14,6.22,6.29,5.65,6.29,61100
2010-01-15,6.63,6.63,5.97,6.63,202400
2010-01-18,7.02,7.02,6.33,6.33,24700
2010-01-19,6.42,6.51,6.42,6.51,26000
2010-01-20,6.51,6.74,6.42,6.42,45000
2010-01-21,6.35,6.95,6.15,6.95,50500
2010-01-22,6.35,6.76,6.33,6.33,1600
2010-01-25,6.47,6.92,6.03,6.13,12500
2010-01-26,6.24,6.78,6.15,6.78,4100
2010-01-27,6.45,6.45,6.04,6.04,8500
2010-01-28,5.71,6.4,5.71,6.4,1100
2010-01-29,6.6,6.76,6.06,6.76,22700
2010-02-01,6.24,6.99,6.24,6.95,35500
2010-02-02,6.58,7.43,6.51,7.43,53400
2010-02-03,6.78,7.27,6.78,7.26,3000
2010-02-04,6.94,7.31,6.94,7.27,8500
2010-02-05,7.4,7.4,6.95,6.95,1200
2010-02-08,6.95,6.95,6.95,6.95,300
2010-02-09,7.4,7.43,7.4,7.43,1000
2010-02-10,7.47,7.47,7.47,7.47,100
2010-02-11,7.04,7.04,7.04,7.04,1000
2010-02-12,7.04,7.31,7.04,7.31,600
2010-02-22,7.11,7.11,7.11,7.11,100
2010-02-23,7.6,7.6,6.86,6.86,200
2010-02-24,6.78,6.79,6.78,6.79,1000
2010-02-25,6.56,7.24,6.56,7.17,4400
2010-02-26,7.63,7.63,7.13,7.13,200
2010-03-01,6.95,6.95,6.88,6.88,6800
2010-03-02,6.6,6.61,6.6,6.6,2500
2010-03-03,6.35,7.04,6.35,6.95,5500
2010-03-04,6.78,6.78,6.78,6.78,500
2010-03-05,6.78,7.2,6.78,7.2,1500
2010-03-08,7.2,7.2,7.2,7.2,0
2010-03-09,6.95,7.17,6.94,7.13,19400
2010-03-10,7.13,7.56,7.08,7.56,41800
2010-03-11,7.93,7.93,7.93,7.93,25400
2010-03-12,8.49,8.49,8.49,8.49,5100
2010-03-15,9.08,9.08,9.08,9.08,7200
2010-03-16,9.7,9.7,9.7,9.7,7600
2010-03-17,10.38,10.38,10.34,10.38,44000
2010-03-18,11.09,11.09,10.16,11.09,115300
2010-03-19,11.77,11.77,11.75,11.77,7000
2010-03-22,12.55,12.55,10.95,10.95,103300
2010-03-23,10.56,11.95,10.43,11.2,220000
2010-03-24,11.2,11.2,9.73,11.2,1257000
2010-03-25,10.48,10.52,9.9,10.39,42100
2010-03-26,10.16,10.16,9.45,9.45,63500
2010-03-29,8.84,8.84,8.84,8.84,27500
2010-03-30,8.24,8.24,8.24,8.24,31600
2010-03-31,7.67,8.56,7.67,7.95,583900
2010-04-01,8.02,8.17,7.52,8.02,83700
2010-04-02,7.92,7.92,7.38,7.42,213500
2010-04-05,7.31,7.76,7.15,7.49,177400
2010-04-06,7.6,7.6,7.04,7.17,235100
2010-04-07,7.15,7.68,6.95,7.68,352500
2010-04-08,8.08,8.08,8.02,8.08,167800
2010-04-09,8.63,8.63,7.72,7.83,187700
2010-04-12,7.81,7.84,7.35,7.47,141100
2010-04-13,7.49,7.49,7.2,7.22,129100
2010-04-14,7.31,7.4,7.15,7.26,86700
2010-04-15,7.15,7.35,7.15,7.29,144700
2010-04-16,7.29,7.29,7.13,7.26,172800
2010-04-19,7.26,7.26,6.95,6.99,106000
2010-04-20,6.88,7.51,6.88,7.4,137100
2010-04-21,7.49,7.49,7.02,7.26,83100
2010-04-22,7.15,7.15,6.78,6.9,112100
2010-04-26,6.86,6.95,6.61,6.78,72500
2010-04-27,6.79,7.04,6.79,6.86,86900
2010-04-28,6.79,6.81,6.69,6.74,59100
2010-04-29,6.85,6.85,6.61,6.7,89800
2010-05-04,6.78,6.79,6.65,6.69,63400
2010-05-05,6.74,6.74,6.53,6.58,76900
2010-05-06,6.58,7.1,6.58,7.1,144000
2010-05-07,7.01,7.31,6.61,6.74,65400
2010-05-10,6.88,6.88,6.44,6.58,69000
2010-05-11,6.69,6.78,6.51,6.53,49900
2010-05-12,6.42,6.42,6.12,6.12,106900
2010-05-13,5.71,6.13,5.71,5.71,374600
2010-05-14,5.79,5.97,5.62,5.96,126400
2010-05-17,5.79,6.19,5.79,6.1,126600
2010-05-18,6.06,6.1,5.81,5.81,51900
2010-05-19,5.88,5.88,5.53,5.53,109400
2010-05-20,5.53,5.6,5.17,5.51,163100
2010-05-21,5.17,5.17,4.89,4.89,101800
2010-05-24,4.58,4.97,4.55,4.71,94600
2010-05-25,4.55,4.71,4.46,4.53,94600
2010-05-26,4.8,4.87,4.8,4.87,131800
2010-05-27,5.15,5.21,4.81,5.21,180800
2010-05-28,5.51,5.51,5.51,5.51,24300
2010-05-31,5.88,5.88,5.51,5.79,250900
2010-06-01,5.71,5.71,5.38,5.58,117400
2010-06-02,5.24,5.62,5.19,5.53,174100
2010-06-03,5.53,5.83,5.53,5.6,69300
2010-06-04,5.58,5.62,5.33,5.35,69400
2010-06-07,5.08,5.19,5.06,5.06,147400
2010-06-08,4.97,5.42,4.83,5.42,223800
2010-06-09,5.63,5.63,5.54,5.63,313500
2010-06-10,5.67,5.74,5.53,5.63,42200
2010-06-11,5.71,5.88,5.58,5.62,100800
2010-06-14,5.49,5.69,5.47,5.56,81300
2010-06-15,5.6,5.88,5.47,5.69,282600
2010-06-16,5.79,6.1,5.79,6.1,378600
2010-06-17,6.33,6.47,6.06,6.45,352000
2010-06-18,6.38,6.63,6.38,6.4,165600
2010-06-21,6.56,6.69,6.33,6.37,160500
2010-06-22,6.29,6.29,5.97,6.03,225400
2010-06-23,5.79,6.2,5.78,6.15,136100
2010-06-24,6.24,6.33,6.03,6.1,151900
2010-06-25,5.88,6.1,5.83,5.9,140900
2010-06-28,6.06,6.12,6.01,6.06,73300
2010-06-29,6.12,6.24,5.85,5.88,156900
2010-06-30,5.65,5.79,5.56,5.63,136800
2010-07-01,5.69,5.74,5.58,5.62,94000
2010-07-02,5.71,5.71,5.63,5.71,52500
2010-07-05,5.56,5.71,5.53,5.62,74600
2010-07-06,5.53,5.62,5.31,5.37,105800
2010-07-07,5.42,5.44,5.08,5.12,115500
2010-07-08,5.26,5.31,5.17,5.17,54900
2010-07-09,5.1,5.26,5.1,5.17,50000
2010-07-12,5.26,5.33,5.17,5.33,61200
2010-07-13,5.37,5.53,5.37,5.53,27800
2010-07-14,5.71,5.79,5.38,5.4,75000
2010-07-15,5.35,5.44,5.33,5.33,43300
2010-07-16,5.22,5.37,5.22,5.33,63600
2010-07-19,5.24,5.33,5.22,5.31,52800
2010-07-20,5.44,5.44,5.28,5.37,51700
2010-07-21,5.51,5.6,5.28,5.33,48800
2010-07-22,5.33,5.33,5.24,5.31,22700
2010-07-23,5.44,5.44,5.22,5.24,41700
2010-07-26,5.35,5.35,5.1,5.13,30900
2010-07-27,5.21,5.24,5.1,5.12,33600
2010-07-28,5.05,5.05,4.9,4.94,51000
2010-07-29,4.85,5.05,4.81,4.99,38500
2010-07-30,4.85,5.08,4.85,5.05,26900
2010-08-02,5.21,5.21,4.83,4.83,26500
2010-08-03,4.97,4.97,4.78,4.78,36400
2010-08-04,4.96,4.96,4.6,4.65,38400
2010-08-05,4.64,4.8,4.64,4.72,22400
2010-08-06,4.81,4.81,4.67,4.72,14600
2010-08-09,4.64,4.64,4.4,4.42,59200
2010-08-10,4.37,4.37,4.19,4.26,77000
2010-08-11,4.19,4.28,4.07,4.15,69000
2010-08-12,4.1,4.1,3.9,3.9,82900
2010-08-13,3.76,3.92,3.74,3.87,79900
2010-08-16,4.07,4.09,4.07,4.09,19200
2010-08-17,4.09,4.35,4.07,4.13,46800
2010-08-18,4.09,4.09,3.93,3.98,27100
2010-08-19,4.09,4.13,3.93,4.0,16500
2010-08-20,3.94,4.05,3.93,3.98,35400
